,Frankntank,Yoursnmine,Mytime,Spring Delight,Hes A Modern Boy,Amphijet,Micton Mouse,Filcarlo
10-01-2023 17:39:27.855756,"(21.0, 44.0, 27.0)","(4.8, 7.4, 6.733333333333333)","(6.0, 9.6, 7.92)","(2.4, 3.4, 2.7199999999999998)","(61.0, 200.0, 157.14285714285714)","(3.1, 4.6, 4.39)","(8.5, 15.0, 12.0)","(101.0, 170.0, 147.5)"
10-01-2023 17:39:29.021848,"(21.0, 44.0, 27.0)","(4.8, 7.4, 6.733333333333333)","(6.0, 9.6, 7.92)","(2.4, 3.4, 2.7199999999999998)","(61.0, 200.0, 157.14285714285714)","(3.1, 4.6, 4.39)","(8.5, 15.0, 12.0)","(101.0, 170.0, 147.5)"
10-01-2023 17:39:30.174371,"(21.0, 44.0, 27.0)","(4.8, 7.4, 6.733333333333333)","(6.0, 9.6, 7.92)","(2.4, 3.4, 2.7199999999999998)","(61.0, 200.0, 157.14285714285714)","(3.1, 4.6, 4.39)","(8.5, 15.0, 12.0)","(101.0, 170.0, 147.5)"
10-01-2023 17:39:31.285679,"(21.0, 44.0, 27.0)","(4.8, 7.4, 6.733333333333333)","(6.0, 9.6, 7.92)","(2.4, 3.4, 2.7199999999999998)","(61.0, 200.0, 157.14285714285714)","(3.1, 4.6, 4.39)","(8.5, 15.0, 12.0)","(101.0, 170.0, 147.5)"
10-01-2023 17:39:32.426438,"(21.0, 44.0, 27.0)","(4.8, 7.4, 6.733333333333333)","(6.0, 9.6, 7.92)","(2.4, 3.4, 2.7199999999999998)","(61.0, 200.0, 157.14285714285714)","(3.1, 4.6, 4.39)","(8.5, 15.0, 12.0)","(101.0, 170.0, 147.5)"
10-01-2023 17:39:33.486453,"(21.0, 44.0, 27.0)","(4.8, 7.4, 6.733333333333333)","(6.0, 9.6, 7.92)","(2.4, 3.4, 2.7199999999999998)","(61.0, 200.0, 157.14285714285714)","(3.1, 4.6, 4.39)","(8.5, 15.0, 12.0)","(101.0, 170.0, 147.5)"
10-01-2023 17:39:34.553863,"(21.0, 44.0, 27.0)","(4.8, 7.4, 6.733333333333333)","(6.0, 9.6, 7.92)","(2.4, 3.4, 2.7199999999999998)","(61.0, 200.0, 157.14285714285714)","(3.1, 4.6, 4.39)","(8.5, 15.0, 12.0)","(101.0, 170.0, 147.5)"
10-01-2023 17:39:35.605540,"(21.0, 44.0, 27.0)","(4.8, 7.4, 6.733333333333333)","(6.0, 9.6, 7.92)","(2.4, 3.4, 2.7199999999999998)","(61.0, 200.0, 157.14285714285714)","(3.1, 4.6, 4.39)","(8.5, 15.0, 12.0)","(101.0, 170.0, 147.5)"
10-01-2023 17:39:36.667302,"(21.0, 44.0, 27.0)","(4.8, 7.4, 6.733333333333333)","(6.0, 9.6, 7.92)","(2.4, 3.4, 2.7199999999999998)","(61.0, 200.0, 157.14285714285714)","(3.1, 4.6, 4.39)","(8.5, 15.0, 12.0)","(101.0, 170.0, 147.5)"
10-01-2023 17:39:37.733782,"(21.0, 44.0, 27.0)","(4.8, 7.4, 6.733333333333333)","(6.0, 9.6, 7.92)","(2.4, 3.4, 2.7199999999999998)","(61.0, 200.0, 157.14285714285714)","(3.1, 4.6, 4.39)","(8.5, 15.0, 12.0)","(101.0, 170.0, 147.5)"
10-01-2023 17:39:38.930077,"(21.0, 44.0, 27.0)","(4.8, 7.4, 6.733333333333333)","(6.0, 9.6, 7.92)","(2.4, 3.4, 2.7199999999999998)","(61.0, 200.0, 157.14285714285714)","(3.1, 4.6, 4.39)","(8.5, 15.0, 12.0)","(101.0, 170.0, 147.5)"
10-01-2023 17:39:40.062206,"(21.0, 44.0, 27.0)","(4.8, 7.4, 6.733333333333333)","(6.0, 9.6, 7.92)","(2.4, 3.4, 2.7199999999999998)","(61.0, 200.0, 157.14285714285714)","(3.1, 4.6, 4.39)","(8.5, 15.0, 12.0)","(101.0, 170.0, 147.5)"
10-01-2023 17:39:41.187264,"(21.0, 44.0, 27.0)","(4.8, 7.4, 6.733333333333333)","(6.0, 9.6, 7.92)","(2.4, 3.4, 2.7199999999999998)","(61.0, 200.0, 157.14285714285714)","(3.1, 4.6, 4.39)","(8.5, 15.0, 12.0)","(101.0, 170.0, 147.5)"
10-01-2023 17:39:42.344874,"(21.0, 44.0, 27.0)","(4.8, 7.4, 6.733333333333333)","(6.0, 9.6, 7.92)","(2.4, 3.4, 2.7199999999999998)","(61.0, 200.0, 157.14285714285714)","(3.1, 4.6, 4.39)","(8.5, 15.0, 12.0)","(101.0, 170.0, 147.5)"
10-01-2023 17:39:43.487630,"(21.0, 44.0, 27.0)","(4.8, 7.4, 6.733333333333333)","(6.0, 9.6, 7.92)","(2.4, 3.4, 2.7199999999999998)","(61.0, 200.0, 157.14285714285714)","(3.1, 4.6, 4.39)","(8.5, 15.0, 12.0)","(101.0, 170.0, 147.5)"
10-01-2023 17:39:44.644014,"(21.0, 44.0, 27.0)","(4.8, 7.4, 6.733333333333333)","(6.0, 9.6, 7.92)","(2.4, 3.4, 2.7199999999999998)","(61.0, 200.0, 157.14285714285714)","(3.1, 4.6, 4.39)","(8.5, 15.0, 12.0)","(101.0, 170.0, 147.5)"
10-01-2023 17:39:45.764249,"(21.0, 44.0, 27.0)","(4.8, 7.4, 6.733333333333333)","(6.0, 9.6, 7.92)","(2.4, 3.4, 2.7199999999999998)","(61.0, 200.0, 157.14285714285714)","(3.1, 4.6, 4.39)","(8.5, 15.0, 12.0)","(101.0, 170.0, 147.5)"
10-01-2023 17:39:46.847318,"(21.0, 44.0, 27.0)","(4.8, 7.4, 6.733333333333333)","(6.0, 9.6, 7.92)","(2.4, 3.4, 2.7199999999999998)","(61.0, 200.0, 157.14285714285714)","(3.1, 4.6, 4.39)","(8.5, 15.0, 12.0)","(101.0, 170.0, 147.5)"
10-01-2023 17:39:47.885872,"(21.0, 44.0, 27.0)","(4.8, 7.4, 6.733333333333333)","(6.0, 9.6, 7.92)","(2.4, 3.4, 2.7199999999999998)","(61.0, 200.0, 157.14285714285714)","(3.1, 4.6, 4.39)","(8.5, 15.0, 12.0)","(101.0, 170.0, 147.5)"
10-01-2023 17:39:48.937144,"(21.0, 44.0, 27.0)","(4.8, 7.4, 6.733333333333333)","(6.0, 9.6, 7.92)","(2.4, 3.4, 2.7199999999999998)","(61.0, 200.0, 157.14285714285714)","(3.1, 4.6, 4.39)","(8.5, 15.0, 12.0)","(101.0, 170.0, 147.5)"
10-01-2023 17:39:50.039977,"(21.0, 44.0, 27.0)","(4.8, 7.4, 6.733333333333333)","(6.0, 9.6, 7.92)","(2.4, 3.4, 2.7199999999999998)","(61.0, 200.0, 157.14285714285714)","(3.1, 4.6, 4.39)","(8.5, 15.0, 12.0)","(101.0, 170.0, 147.5)"
10-01-2023 17:39:51.172151,"(21.0, 44.0, 27.0)","(4.8, 7.4, 6.733333333333333)","(6.0, 9.6, 7.92)","(2.4, 3.4, 2.7199999999999998)","(61.0, 200.0, 157.14285714285714)","(3.1, 4.6, 4.39)","(8.5, 15.0, 12.0)","(101.0, 170.0, 147.5)"
10-01-2023 17:39:52.289489,"(21.0, 44.0, 27.0)","(4.8, 7.4, 6.733333333333333)","(6.0, 9.6, 7.92)","(2.4, 3.4, 2.7199999999999998)","(61.0, 200.0, 157.14285714285714)","(3.1, 4.6, 4.39)","(8.5, 15.0, 12.0)","(101.0, 170.0, 147.5)"
10-01-2023 17:39:53.405155,"(21.0, 44.0, 27.0)","(4.8, 7.4, 6.733333333333333)","(6.0, 9.6, 7.92)","(2.4, 3.4, 2.7199999999999998)","(61.0, 200.0, 157.14285714285714)","(3.1, 4.6, 4.39)","(8.5, 15.0, 12.0)","(101.0, 170.0, 147.5)"
10-01-2023 17:39:54.506119,"(21.0, 44.0, 27.0)","(4.8, 7.4, 6.733333333333333)","(6.0, 9.6, 7.92)","(2.4, 3.4, 2.7199999999999998)","(61.0, 200.0, 157.14285714285714)","(3.1, 4.6, 4.39)","(8.5, 15.0, 12.0)","(101.0, 170.0, 147.5)"
10-01-2023 17:39:55.683933,"(21.0, 44.0, 27.0)","(4.8, 7.4, 6.733333333333333)","(6.0, 9.6, 7.92)","(2.4, 3.4, 2.7199999999999998)","(61.0, 200.0, 157.14285714285714)","(3.1, 4.6, 4.39)","(8.5, 15.0, 12.0)","(101.0, 170.0, 147.5)"
10-01-2023 17:39:56.839583,"(21.0, 44.0, 27.0)","(4.8, 7.4, 6.733333333333333)","(6.0, 9.6, 7.92)","(2.4, 3.4, 2.7199999999999998)","(61.0, 200.0, 157.14285714285714)","(3.1, 4.6, 4.39)","(8.5, 15.0, 12.0)","(101.0, 170.0, 147.5)"
10-01-2023 17:39:58.079552,"(21.0, 44.0, 27.0)","(4.8, 7.4, 6.733333333333333)","(6.0, 9.6, 7.92)","(2.4, 3.4, 2.7199999999999998)","(61.0, 200.0, 157.14285714285714)","(3.1, 4.6, 4.39)","(8.5, 15.0, 12.0)","(101.0, 170.0, 147.5)"
10-01-2023 17:39:59.337774,"(21.0, 44.0, 27.0)","(4.8, 7.4, 6.733333333333333)","(6.0, 9.6, 7.92)","(2.4, 3.4, 2.7199999999999998)","(61.0, 200.0, 157.14285714285714)","(3.1, 4.6, 4.39)","(8.5, 15.0, 12.0)","(101.0, 170.0, 147.5)"
10-01-2023 17:40:00.561806,"(21.0, 44.0, 27.0)","(4.8, 7.4, 6.733333333333333)","(6.0, 9.6, 7.92)","(2.4, 3.4, 2.7199999999999998)","(61.0, 200.0, 157.14285714285714)","(3.1, 4.6, 4.39)","(8.5, 15.0, 12.0)","(101.0, 170.0, 147.5)"
