,Maddys Girl,Andos A Thief,Miss Mel,Cashmere Kaos,Book Of Love,Deep Sapphire,Shes A Sully
04-01-2023 14:28:48.057661,"(14.0, 34.0, 30.666666666666668)","(1.85, 2.34, 1.9158536585365855)","(51.0, 350.0, 249.33333333333334)","(7.5, 15.5, 8.833333333333334)","(2.9, 4.5, 3.3)","(71.0, 580.0, 493.33333333333337)","(5.5, 10.0, 6.866666666666666)"
04-01-2023 14:28:49.246897,"(14.0, 34.0, 28.875)","(1.85, 2.34, 1.9158536585365855)","(51.0, 350.0, 249.33333333333334)","(7.5, 15.5, 8.833333333333334)","(2.9, 4.5, 3.3)","(71.0, 580.0, 493.33333333333337)","(5.5, 10.0, 6.866666666666666)"
04-01-2023 14:28:50.426151,"(14.0, 34.0, 29.9)","(1.85, 2.34, 1.9158536585365855)","(51.0, 350.0, 249.33333333333334)","(7.5, 15.5, 8.833333333333334)","(2.9, 4.5, 3.3)","(71.0, 580.0, 493.33333333333337)","(5.5, 10.0, 6.866666666666666)"
04-01-2023 14:28:51.597284,"(14.0, 34.0, 29.9)","(1.85, 2.34, 1.9158536585365855)","(51.0, 350.0, 249.33333333333334)","(7.5, 15.5, 8.833333333333334)","(2.9, 4.5, 3.3)","(71.0, 580.0, 493.33333333333337)","(5.5, 10.0, 6.866666666666666)"
04-01-2023 14:28:52.708013,"(14.0, 34.0, 29.9)","(1.85, 2.34, 1.9158536585365855)","(51.0, 350.0, 249.33333333333334)","(7.5, 15.5, 8.833333333333334)","(2.9, 4.5, 3.3)","(71.0, 580.0, 493.33333333333337)","(5.5, 10.0, 6.866666666666666)"
04-01-2023 14:28:53.807407,"(14.0, 34.0, 29.9)","(1.85, 2.34, 1.9158536585365855)","(51.0, 350.0, 249.33333333333334)","(7.5, 15.5, 8.833333333333334)","(2.9, 4.5, 3.3)","(71.0, 580.0, 493.33333333333337)","(5.5, 10.0, 6.866666666666666)"
04-01-2023 14:28:54.975583,"(14.0, 34.0, 29.9)","(1.85, 2.34, 1.9158536585365855)","(51.0, 350.0, 249.33333333333334)","(7.5, 15.5, 8.833333333333334)","(2.9, 4.5, 3.3)","(71.0, 580.0, 493.33333333333337)","(5.5, 10.0, 6.866666666666666)"
04-01-2023 14:28:56.192030,"(14.0, 34.0, 29.9)","(1.85, 2.34, 1.9158536585365855)","(51.0, 350.0, 249.33333333333334)","(7.5, 15.5, 8.833333333333334)","(2.9, 4.5, 3.3)","(71.0, 580.0, 493.33333333333337)","(5.5, 10.0, 6.866666666666666)"
04-01-2023 14:28:57.391626,"(14.0, 34.0, 30.666666666666668)","(1.85, 2.34, 1.9158536585365855)","(51.0, 350.0, 249.33333333333334)","(7.5, 15.5, 8.833333333333334)","(2.9, 4.5, 3.3)","(71.0, 580.0, 493.33333333333337)","(5.5, 10.0, 6.866666666666666)"
04-01-2023 14:28:58.605048,"(14.0, 34.0, 30.666666666666668)","(1.85, 2.34, 1.9158536585365855)","(51.0, 350.0, 249.33333333333334)","(7.5, 15.5, 8.833333333333334)","(2.9, 4.5, 3.3)","(71.0, 580.0, 493.33333333333337)","(5.5, 10.0, 6.866666666666666)"
04-01-2023 14:28:59.737403,"(14.0, 34.0, 30.666666666666668)","(1.85, 2.34, 1.9158536585365855)","(51.0, 350.0, 148.66666666666669)","(7.5, 15.5, 8.833333333333334)","(2.9, 4.5, 3.3)","(71.0, 580.0, 322.5)","(5.5, 10.0, 6.866666666666666)"
04-01-2023 14:29:00.792150,"(14.0, 34.0, 29.25)","(1.85, 2.34, 1.9158536585365855)","(51.0, 350.0, 150.0)","(7.5, 15.5, 8.833333333333334)","(2.9, 4.5, 3.3)","(71.0, 580.0, 322.5)","(5.5, 10.0, 6.866666666666666)"
04-01-2023 14:29:01.887297,"(14.0, 34.0, 29.25)","(1.85, 2.34, 1.9158536585365855)","(51.0, 350.0, 150.0)","(7.5, 15.5, 8.833333333333334)","(2.9, 4.5, 3.3)","(71.0, 580.0, 322.5)","(5.5, 10.0, 6.866666666666666)"
04-01-2023 14:29:02.990680,"(14.0, 34.0, 24.75)","(1.85, 2.34, 1.9158536585365855)","(51.0, 350.0, 150.0)","(7.5, 15.5, 10.045454545454545)","(2.9, 4.5, 3.3)","(71.0, 580.0, 322.5)","(5.5, 10.0, 7.65)"
