,Urana Blazer,Cudal Coyote,Mumble Bug,Ballina,All Stoked Up,Skylas Elite,Blue Mojito,Fabulous Carter
04-01-2023 15:02:57.241875,"(7.5, 15.0, 14.129411764705882)","(8.5, 16.5, 14.263157894736842)","(6.5, 12.5, 11.787500000000001)","(3.5, 6.2, 4.075)","(14.0, 29.0, 27.450000000000003)","(51.0, 410.0, 170.0)","(4.0, 6.4, 6.271028037383179)","(3.4, 5.9, 3.6568181818181817)"
04-01-2023 15:02:58.214118,"(7.5, 15.0, 14.129411764705882)","(8.5, 16.5, 14.263157894736842)","(6.5, 12.5, 11.787500000000001)","(3.5, 6.2, 4.075)","(14.0, 29.0, 27.450000000000003)","(51.0, 410.0, 170.0)","(4.0, 6.4, 6.271028037383179)","(3.4, 5.9, 3.6568181818181817)"
04-01-2023 15:02:59.287119,"(7.5, 15.0, 14.129411764705882)","(8.5, 16.5, 14.263157894736842)","(6.5, 12.5, 11.787500000000001)","(3.5, 6.2, 4.075)","(14.0, 29.0, 27.450000000000003)","(51.0, 410.0, 170.0)","(4.0, 6.4, 6.271028037383179)","(3.4, 5.9, 3.6568181818181817)"
04-01-2023 15:03:00.427508,"(7.5, 15.0, 14.129411764705882)","(8.5, 16.5, 14.263157894736842)","(6.5, 12.5, 11.787500000000001)","(3.5, 6.2, 4.075)","(14.0, 29.0, 27.450000000000003)","(51.0, 410.0, 170.0)","(4.0, 6.4, 6.271028037383179)","(3.4, 5.9, 3.6568181818181817)"
04-01-2023 15:03:01.513025,"(7.5, 15.0, 14.129411764705882)","(8.5, 16.5, 14.263157894736842)","(6.5, 12.5, 11.787500000000001)","(3.5, 6.2, 4.075)","(14.0, 29.0, 27.450000000000003)","(51.0, 410.0, 170.0)","(4.0, 6.4, 6.271028037383179)","(3.4, 5.9, 3.6568181818181817)"
04-01-2023 15:03:02.648441,"(7.5, 15.0, 14.129411764705882)","(8.5, 16.5, 14.263157894736842)","(6.5, 12.5, 11.787500000000001)","(3.5, 6.2, 4.075)","(14.0, 29.0, 27.450000000000003)","(51.0, 410.0, 170.0)","(4.0, 6.4, 6.271028037383179)","(3.4, 5.9, 3.6568181818181817)"
04-01-2023 15:03:03.800340,"(7.5, 15.0, 14.129411764705882)","(8.5, 16.5, 14.263157894736842)","(6.5, 12.5, 11.787500000000001)","(3.5, 6.2, 4.075)","(14.0, 29.0, 27.450000000000003)","(51.0, 410.0, 170.0)","(4.0, 6.4, 6.271028037383179)","(3.4, 5.9, 3.6568181818181817)"
04-01-2023 15:03:04.960759,"(7.5, 15.0, 14.129411764705882)","(8.5, 16.5, 14.263157894736842)","(6.5, 12.5, 11.787500000000001)","(3.5, 6.2, 4.075)","(14.0, 29.0, 27.450000000000003)","(51.0, 410.0, 170.0)","(4.0, 6.4, 6.271028037383179)","(3.4, 5.9, 3.6568181818181817)"
04-01-2023 15:03:06.123139,"(7.5, 15.0, 14.129411764705882)","(8.5, 16.5, 14.263157894736842)","(6.5, 12.5, 11.787500000000001)","(3.5, 6.2, 4.075)","(14.0, 29.0, 27.450000000000003)","(51.0, 410.0, 170.0)","(4.0, 6.4, 6.271028037383179)","(3.4, 5.9, 3.6568181818181817)"
04-01-2023 15:03:07.172600,"(7.5, 15.0, 14.129411764705882)","(8.5, 16.5, 14.263157894736842)","(6.5, 12.5, 11.787500000000001)","(3.5, 6.2, 4.075)","(14.0, 29.0, 27.450000000000003)","(51.0, 410.0, 170.0)","(4.0, 6.4, 6.271028037383179)","(3.4, 5.9, 3.6568181818181817)"
