,Amass,Sonny Maguire,Heez Good,Franco Huntington,Elouisa Dale,Foveaux Strait,Van Liberty,Airwaves
14-12-2022 14:42:33.608312,"(1.7, 1.89, 1.8399999999999999)","(16.0, 17.5, 16.558823529411764)","(21.0, 130.0, 106.5)","(26.0, 65.0, 56.0)","(4.2, 5.2, 4.811111111111111)","(4.6, 7.6, 6.127272727272727)","(26.0, 65.0, 51.5)","(51.0, 230.0, 195.0)"
14-12-2022 14:42:34.633561,"(1.7, 1.9, 1.888495575221239)","(16.0, 17.5, 16.558823529411764)","(21.0, 130.0, 106.5)","(26.0, 65.0, 56.0)","(4.2, 5.2, 4.811111111111111)","(4.6, 7.6, 6.127272727272727)","(26.0, 65.0, 62.0)","(51.0, 230.0, 195.0)"
14-12-2022 14:42:35.678046,"(1.7, 1.9, 1.888495575221239)","(16.0, 17.5, 16.558823529411764)","(21.0, 130.0, 99.33333333333334)","(26.0, 65.0, 56.0)","(4.2, 5.2, 4.888888888888889)","(4.6, 7.6, 6.3999999999999995)","(26.0, 65.0, 52.5)","(51.0, 230.0, 331.0)"
14-12-2022 14:42:36.758553,"(1.7, 1.9, 1.826875)","(16.0, 17.5, 16.558823529411764)","(21.0, 130.0, 99.33333333333334)","(26.0, 65.0, 56.0)","(4.2, 5.2, 4.733333333333333)","(4.6, 7.6, 6.333333333333333)","(26.0, 65.0, 57.333333333333336)","(51.0, 400.0, 331.0)"
14-12-2022 14:42:37.840663,"(1.7, 1.93, 1.881875)","(16.0, 17.5, 16.558823529411764)","(21.0, 130.0, 107.0)","(26.0, 65.0, 60.5)","(4.2, 5.2, 4.952941176470588)","(4.6, 7.4, 6.333333333333333)","(26.0, 65.0, 57.333333333333336)","(51.0, 400.0, 411.0)"
14-12-2022 14:42:38.962397,"(1.7, 1.93, 1.881875)","(16.0, 17.5, 16.558823529411764)","(21.0, 130.0, 107.0)","(26.0, 65.0, 60.5)","(4.2, 5.2, 4.871428571428571)","(4.6, 7.4, 6.65)","(26.0, 65.0, 58.42857142857143)","(51.0, 500.0, 411.0)"
14-12-2022 14:42:40.007125,"(1.7, 1.93, 1.88625)","(16.0, 17.5, 16.558823529411764)","(21.0, 130.0, 107.0)","(26.0, 65.0, 60.5)","(4.2, 5.1, 4.788235294117647)","(4.6, 7.4, 7.633333333333333)","(26.0, 65.0, 54.5)","(51.0, 500.0, 411.0)"
14-12-2022 14:42:41.043114,"(1.7, 1.95, 1.898)","(15.0, 17.5, 16.558823529411764)","(21.0, 130.0, 107.0)","(26.0, 65.0, 60.5)","(4.2, 5.2, 4.888888888888889)","(4.6, 8.0, 7.3999999999999995)","(26.0, 65.0, 54.5)","(51.0, 500.0, 411.0)"
14-12-2022 14:42:42.021744,"(1.7, 1.95, 1.898)","(15.0, 17.5, 16.558823529411764)","(21.0, 130.0, 107.0)","(26.0, 65.0, 60.5)","(4.2, 5.2, 4.888888888888889)","(4.6, 8.2, 7.3999999999999995)","(26.0, 65.0, 54.5)","(51.0, 500.0, 411.0)"
14-12-2022 14:42:43.036029,"(1.7, 1.95, 1.898)","(15.0, 17.5, 16.558823529411764)","(21.0, 130.0, 85.0)","(26.0, 65.0, 60.5)","(4.2, 5.2, 4.873333333333333)","(4.6, 8.2, 7.3999999999999995)","(26.0, 65.0, 56.6)","(51.0, 500.0, 411.0)"
14-12-2022 14:42:44.009742,"(1.7, 1.95, 1.9467213114754098)","(15.0, 17.5, 16.53030303030303)","(21.0, 130.0, 85.0)","(26.0, 65.0, 56.0)","(4.2, 5.2, 4.838709677419355)","(4.6, 8.2, 7.3999999999999995)","(26.0, 65.0, 56.6)","(51.0, 500.0, 411.0)"
14-12-2022 14:42:45.034812,"(1.7, 1.95, 1.9467213114754098)","(15.0, 17.5, 16.53030303030303)","(21.0, 130.0, 85.0)","(26.0, 65.0, 56.0)","(4.2, 5.2, 4.838709677419355)","(4.6, 8.2, 7.3999999999999995)","(26.0, 65.0, 58.0)","(51.0, 500.0, 411.0)"
14-12-2022 14:42:46.088066,"(1.7, 1.95, 1.9467213114754098)","(15.0, 17.5, 16.53030303030303)","(21.0, 130.0, 85.0)","(26.0, 65.0, 56.0)","(4.2, 5.2, 4.89375)","(4.6, 8.2, 7.3999999999999995)","(26.0, 65.0, 58.0)","(51.0, 500.0, 351.6666666666667)"
14-12-2022 14:42:47.196583,"(1.7, 1.95, 1.894)","(15.0, 17.5, 16.53030303030303)","(21.0, 130.0, 85.0)","(26.0, 65.0, 56.0)","(4.2, 5.2, 4.5875)","(4.6, 8.2, 7.3999999999999995)","(26.0, 65.0, 58.0)","(51.0, 490.0, 403.0)"
14-12-2022 14:42:48.278000,"(1.7, 1.95, 1.894)","(14.0, 17.5, 16.53030303030303)","(21.0, 130.0, 85.0)","(26.0, 65.0, 56.0)","(4.2, 5.2, 4.89375)","(4.6, 8.2, 7.3999999999999995)","(26.0, 65.0, 59.0)","(51.0, 490.0, 403.0)"
14-12-2022 14:42:49.307798,"(1.7, 1.95, 1.894)","(14.0, 17.5, 16.53030303030303)","(21.0, 130.0, 85.0)","(26.0, 65.0, 56.0)","(4.2, 5.2, 4.5875)","(4.6, 8.2, 7.3999999999999995)","(26.0, 65.0, 59.0)","(51.0, 490.0, 272.5)"
14-12-2022 14:42:50.310914,"(1.7, 1.95, 1.894)","(14.0, 17.5, 16.53030303030303)","(21.0, 130.0, 85.0)","(26.0, 65.0, 56.0)","(4.2, 5.2, 4.883870967741935)","(4.6, 8.0, 6.533333333333333)","(26.0, 65.0, 51.0)","(51.0, 490.0, 338.3333333333333)"
14-12-2022 14:42:51.327992,"(1.7, 1.95, 1.894)","(14.0, 17.5, 16.53030303030303)","(21.0, 130.0, 85.0)","(26.0, 65.0, 55.33333333333333)","(4.2, 5.2, 5.007692307692308)","(4.6, 8.0, 6.466666666666667)","(26.0, 65.0, 51.0)","(51.0, 480.0, 150.71428571428572)"
14-12-2022 14:42:52.314257,"(1.7, 1.93, 1.9219642857142856)","(14.0, 17.5, 16.53030303030303)","(21.0, 130.0, 85.0)","(26.0, 65.0, 55.33333333333333)","(4.2, 5.1, 5.007692307692308)","(4.6, 7.8, 6.65)","(26.0, 65.0, 59.0)","(51.0, 390.0, 271.66666666666663)"
14-12-2022 14:42:53.314022,"(1.7, 1.93, 1.9219642857142856)","(14.0, 17.5, 16.53030303030303)","(21.0, 130.0, 85.0)","(26.0, 65.0, 55.33333333333333)","(4.2, 5.1, 5.004)","(4.6, 7.8, 6.65)","(26.0, 65.0, 56.6)","(51.0, 380.0, 338.25)"
14-12-2022 14:42:54.367972,"(1.7, 1.93, 1.88)","(14.0, 17.5, 16.53030303030303)","(21.0, 130.0, 85.0)","(26.0, 65.0, 55.33333333333333)","(4.2, 5.1, 4.8)","(4.6, 7.8, 6.65)","(26.0, 65.0, 51.0)","(51.0, 380.0, 338.25)"
14-12-2022 14:42:55.400610,"(1.7, 1.93, 1.88)","(14.0, 17.5, 16.53030303030303)","(21.0, 130.0, 85.0)","(26.0, 65.0, 55.33333333333333)","(4.2, 5.1, 4.8)","(4.6, 7.8, 6.65)","(26.0, 65.0, 51.0)","(51.0, 380.0, 338.25)"
14-12-2022 14:42:56.395416,"(1.7, 1.93, 1.88)","(14.0, 17.5, 16.53030303030303)","(21.0, 130.0, 85.0)","(26.0, 65.0, 55.33333333333333)","(4.2, 5.1, 4.8)","(4.6, 7.8, 6.65)","(26.0, 65.0, 51.0)","(51.0, 380.0, 338.25)"
14-12-2022 14:42:57.425347,"(1.7, 1.93, 1.88)","(14.0, 17.5, 16.53030303030303)","(21.0, 130.0, 85.0)","(26.0, 65.0, 55.33333333333333)","(4.2, 5.1, 4.8)","(4.6, 7.8, 6.65)","(26.0, 65.0, 51.0)","(51.0, 380.0, 338.25)"
14-12-2022 14:42:58.414284,"(1.7, 1.93, 1.88)","(14.0, 17.5, 16.53030303030303)","(21.0, 130.0, 85.0)","(26.0, 65.0, 55.33333333333333)","(4.2, 5.1, 4.8)","(4.6, 7.8, 6.65)","(26.0, 65.0, 51.0)","(51.0, 380.0, 296.5)"
14-12-2022 14:42:59.385078,"(1.7, 1.93, 1.88)","(14.0, 17.5, 16.53030303030303)","(21.0, 130.0, 85.0)","(26.0, 65.0, 55.33333333333333)","(4.2, 5.1, 4.8)","(4.6, 7.8, 6.65)","(26.0, 65.0, 51.0)","(51.0, 380.0, 296.5)"
14-12-2022 14:43:00.395658,"(1.7, 1.93, 1.88)","(14.0, 17.5, 16.53030303030303)","(21.0, 130.0, 85.0)","(26.0, 65.0, 55.33333333333333)","(4.2, 5.1, 4.8)","(4.6, 7.8, 6.65)","(26.0, 65.0, 51.0)","(51.0, 380.0, 296.5)"
14-12-2022 14:43:01.375503,"(1.7, 1.93, 1.88)","(14.0, 17.5, 16.53030303030303)","(21.0, 130.0, 85.0)","(26.0, 65.0, 55.33333333333333)","(4.2, 5.1, 4.8)","(4.6, 7.8, 6.65)","(26.0, 65.0, 51.0)","(51.0, 380.0, 296.5)"
14-12-2022 14:43:02.388057,"(1.7, 1.93, 1.88)","(14.0, 17.5, 16.53030303030303)","(21.0, 130.0, 85.0)","(26.0, 65.0, 55.33333333333333)","(4.2, 5.1, 4.8)","(4.6, 7.8, 6.65)","(26.0, 65.0, 51.0)","(51.0, 380.0, 296.5)"
