,Betcha By Golly,Sheriffs Kid,Dulcimer Dame,China Cat,Magic In Me,Sax,Marketability
06-01-2023 09:20:59.926169,"(2.9, 230.0, 173.3375)","(7.0, 12.0, 9.466666666666667)","(2.0, 2.5, 2.2556000000000003)","(10.0, 230.0, 175.0)","(15.0, 230.0, 156.83333333333334)","(26.0, 230.0, 175.125)","(17.0, 150.0, 103.5)"
06-01-2023 09:21:00.855989,"(2.9, 230.0, 173.3375)","(7.0, 12.0, 9.466666666666667)","(2.0, 2.5, 2.2556000000000003)","(10.0, 230.0, 175.0)","(15.0, 230.0, 156.83333333333334)","(26.0, 230.0, 175.125)","(17.0, 150.0, 103.5)"
06-01-2023 09:21:01.852061,"(2.9, 230.0, 173.3375)","(7.0, 12.0, 9.466666666666667)","(2.0, 2.5, 2.2556000000000003)","(10.0, 230.0, 175.0)","(15.0, 230.0, 156.83333333333334)","(26.0, 230.0, 175.125)","(17.0, 150.0, 103.5)"
06-01-2023 09:21:02.812330,"(2.9, 230.0, 173.3375)","(7.0, 12.0, 9.466666666666667)","(2.0, 2.5, 2.2556000000000003)","(10.0, 230.0, 175.0)","(15.0, 230.0, 156.83333333333334)","(26.0, 230.0, 175.125)","(17.0, 150.0, 103.5)"
06-01-2023 09:21:03.841238,"(2.9, 230.0, 173.3375)","(7.0, 12.0, 9.466666666666667)","(2.0, 2.5, 2.2556000000000003)","(10.0, 230.0, 175.0)","(15.0, 230.0, 156.83333333333334)","(26.0, 230.0, 175.125)","(17.0, 150.0, 103.5)"
06-01-2023 09:21:04.844964,"(2.9, 230.0, 173.3375)","(7.0, 12.0, 9.466666666666667)","(2.0, 2.5, 2.2556000000000003)","(10.0, 230.0, 175.0)","(15.0, 230.0, 156.83333333333334)","(26.0, 230.0, 175.125)","(17.0, 150.0, 103.5)"
06-01-2023 09:21:05.914036,"(2.9, 230.0, 173.3375)","(7.0, 12.0, 9.466666666666667)","(2.0, 2.5, 2.2556000000000003)","(10.0, 230.0, 175.0)","(15.0, 230.0, 156.83333333333334)","(26.0, 230.0, 175.125)","(17.0, 150.0, 103.5)"
06-01-2023 09:21:06.957671,"(2.9, 230.0, 173.3375)","(7.0, 12.0, 9.466666666666667)","(2.0, 2.5, 2.2556000000000003)","(10.0, 230.0, 175.0)","(15.0, 230.0, 156.83333333333334)","(26.0, 230.0, 175.125)","(17.0, 150.0, 103.5)"
06-01-2023 09:21:07.999484,"(2.9, 230.0, 173.3375)","(7.0, 12.0, 9.466666666666667)","(2.0, 2.5, 2.2556000000000003)","(10.0, 230.0, 175.0)","(15.0, 230.0, 156.83333333333334)","(26.0, 230.0, 175.125)","(17.0, 150.0, 103.5)"
06-01-2023 09:21:09.054353,"(2.9, 230.0, 173.3375)","(7.0, 12.0, 9.466666666666667)","(2.0, 2.5, 2.2556000000000003)","(10.0, 230.0, 175.0)","(15.0, 230.0, 156.83333333333334)","(26.0, 230.0, 175.125)","(17.0, 150.0, 103.5)"
