,Confusion,Tolkowsky,Valley Of Dreams,Gold Lunar,Silesian,Jumeirah Triangle
15-12-2022 13:33:38.711343,"(2.6, 3.4, 3.1589285714285715)","(4.8, 6.2, 5.6000000000000005)","(2.5, 2.88, 2.8716666666666666)","(9.0, 14.5, 13.9)","(10.0, 19.0, 16.0)","(31.0, 80.0, 48.0)"
15-12-2022 13:33:39.631336,"(2.6, 3.4, 3.1589285714285715)","(4.8, 6.2, 5.6000000000000005)","(2.5, 2.88, 2.8716666666666666)","(9.0, 14.5, 13.9)","(10.0, 19.0, 16.0)","(31.0, 75.0, 51.666666666666664)"
15-12-2022 13:33:40.490873,"(2.6, 3.4, 3.1589285714285715)","(4.8, 6.2, 5.6000000000000005)","(2.5, 2.88, 2.8716666666666666)","(9.0, 14.5, 13.9)","(10.0, 19.0, 16.0)","(31.0, 75.0, 51.666666666666664)"
15-12-2022 13:33:41.537725,"(2.6, 3.4, 3.1589285714285715)","(4.8, 6.2, 5.6000000000000005)","(2.5, 2.88, 2.8716666666666666)","(9.0, 14.5, 13.9)","(10.0, 19.0, 16.0)","(31.0, 75.0, 51.666666666666664)"
15-12-2022 13:33:42.595310,"(2.6, 3.4, 3.1589285714285715)","(4.8, 6.2, 5.6000000000000005)","(2.5, 2.88, 2.8716666666666666)","(9.0, 14.5, 13.9)","(10.0, 19.0, 16.0)","(31.0, 75.0, 51.666666666666664)"
15-12-2022 13:33:43.538001,"(2.6, 3.4, 3.1589285714285715)","(4.8, 6.2, 5.6000000000000005)","(2.5, 2.88, 2.8716666666666666)","(9.0, 14.5, 13.9)","(10.0, 19.0, 16.0)","(31.0, 75.0, 51.666666666666664)"
15-12-2022 13:33:44.511692,"(2.6, 3.4, 3.1589285714285715)","(4.8, 6.0, 5.6)","(2.5, 2.88, 2.8716666666666666)","(9.0, 14.5, 13.9)","(10.0, 19.0, 16.0)","(31.0, 75.0, 51.666666666666664)"
15-12-2022 13:33:45.481456,"(2.6, 3.4, 3.1589285714285715)","(4.8, 6.0, 5.490909090909091)","(2.5, 2.88, 2.8716666666666666)","(9.0, 14.5, 13.9)","(10.0, 19.0, 16.0)","(31.0, 75.0, 51.666666666666664)"
15-12-2022 13:33:46.441623,"(2.6, 3.4, 3.1589285714285715)","(4.8, 6.0, 5.490909090909091)","(2.5, 2.88, 2.8716666666666666)","(9.0, 14.5, 13.9)","(10.0, 19.0, 16.0)","(31.0, 75.0, 51.666666666666664)"
15-12-2022 13:33:47.395687,"(2.6, 3.35, 3.192105263157895)","(4.8, 6.0, 5.490909090909091)","(2.5, 2.88, 2.8716666666666666)","(9.0, 14.5, 13.9)","(10.0, 19.0, 16.0)","(31.0, 75.0, 51.666666666666664)"
15-12-2022 13:33:48.379427,"(2.6, 3.35, 3.192105263157895)","(4.8, 6.0, 5.490909090909091)","(2.5, 2.88, 2.8716666666666666)","(9.0, 14.5, 13.9)","(10.0, 19.0, 16.0)","(31.0, 75.0, 51.666666666666664)"
15-12-2022 13:33:49.406587,"(2.6, 3.35, 3.1847826086956523)","(4.8, 6.0, 5.490909090909091)","(2.5, 2.88, 2.8716666666666666)","(9.0, 14.5, 13.9)","(10.0, 19.0, 15.75)","(31.0, 75.0, 51.666666666666664)"
15-12-2022 13:33:50.455946,"(2.6, 3.35, 3.1847826086956523)","(4.8, 6.0, 5.490909090909091)","(2.5, 2.88, 2.8716666666666666)","(9.0, 14.5, 13.9)","(10.0, 18.5, 15.75)","(31.0, 75.0, 51.666666666666664)"
15-12-2022 13:33:51.528199,"(2.6, 3.35, 3.1847826086956523)","(4.8, 6.0, 5.490909090909091)","(2.5, 2.88, 2.853333333333333)","(9.0, 14.5, 13.9)","(10.0, 18.5, 15.75)","(31.0, 75.0, 51.666666666666664)"
15-12-2022 13:33:52.489537,"(2.6, 3.35, 3.1847826086956523)","(4.8, 6.0, 5.490909090909091)","(2.5, 2.86, 2.853333333333333)","(9.0, 14.5, 13.9)","(10.0, 18.5, 15.75)","(31.0, 75.0, 51.666666666666664)"
15-12-2022 13:33:53.540053,"(2.6, 3.35, 3.1847826086956523)","(4.8, 6.0, 5.490909090909091)","(2.5, 2.86, 2.853333333333333)","(9.0, 14.5, 13.9)","(10.0, 18.5, 15.75)","(31.0, 75.0, 51.666666666666664)"
15-12-2022 13:33:54.547289,"(2.6, 3.35, 3.1847826086956523)","(4.8, 6.0, 5.69375)","(2.5, 2.86, 2.853333333333333)","(9.0, 14.5, 13.9)","(10.0, 18.5, 15.75)","(31.0, 75.0, 51.666666666666664)"
15-12-2022 13:33:55.530296,"(2.6, 3.35, 3.1847826086956523)","(4.8, 6.0, 5.86875)","(2.5, 2.86, 2.853333333333333)","(9.0, 14.5, 13.9)","(10.0, 18.5, 15.75)","(31.0, 75.0, 51.666666666666664)"
15-12-2022 13:33:56.449778,"(2.6, 3.35, 3.1847826086956523)","(4.8, 6.0, 5.742857142857143)","(2.5, 2.86, 2.853333333333333)","(9.0, 14.5, 13.9)","(10.0, 18.5, 15.75)","(31.0, 75.0, 51.666666666666664)"
15-12-2022 13:33:57.390181,"(2.6, 3.35, 3.1847826086956523)","(4.8, 6.0, 5.742857142857143)","(2.5, 2.86, 2.853333333333333)","(9.0, 14.5, 13.9)","(10.0, 18.5, 15.75)","(31.0, 75.0, 51.666666666666664)"
15-12-2022 13:33:58.435316,"(2.6, 3.35, 3.1847826086956523)","(4.8, 6.0, 5.742857142857143)","(2.5, 2.86, 2.853333333333333)","(9.0, 14.5, 13.9)","(10.0, 18.5, 15.75)","(31.0, 75.0, 51.666666666666664)"
15-12-2022 13:33:59.453746,"(2.6, 3.35, 3.1847826086956523)","(4.8, 6.0, 5.742857142857143)","(2.5, 2.86, 2.853333333333333)","(9.0, 14.5, 13.9)","(10.0, 18.5, 15.75)","(31.0, 75.0, 51.666666666666664)"
15-12-2022 13:34:00.383957,"(2.6, 3.35, 3.1847826086956523)","(4.8, 6.0, 5.742857142857143)","(2.5, 2.86, 2.853333333333333)","(9.0, 14.5, 13.9)","(10.0, 18.5, 15.75)","(31.0, 75.0, 51.666666666666664)"
15-12-2022 13:34:01.321329,"(2.6, 3.35, 3.1847826086956523)","(4.8, 6.0, 5.742857142857143)","(2.5, 2.84, 2.837894736842105)","(9.0, 14.5, 13.9)","(10.0, 18.5, 15.75)","(31.0, 75.0, 51.666666666666664)"
