,Cornish Smuggler,Rambunctious,Illawong Danny,Wichita Kansas,Good Feelings,River Patrol Nz,Layden,Spicey Major,Starzzz Destiny
11-01-2023 20:14:58.870369,"(15.0, 23.0, 16.875)","(18.0, 28.0, 19.6875)","(21.0, 34.0, 30.4)","(14.0, 15.0, 13.5)","(12.0, 16.5, 14.166666666666666)","(5.5, 99999, 99990)","(6.5, 8.6, 7.72)","(3.5, 4.9, 4.0)","(2.8, 3.95, 3.8)"
11-01-2023 20:15:00.298451,"(15.0, 23.0, 16.875)","(18.0, 28.0, 19.6875)","(21.0, 34.0, 30.4)","(14.0, 15.0, 13.5)","(12.0, 16.5, 14.166666666666666)","(5.5, 99999, 99990)","(6.5, 8.6, 7.72)","(3.5, 4.9, 4.0)","(2.8, 3.95, 3.8)"
11-01-2023 20:15:01.690544,"(15.0, 23.0, 16.875)","(18.0, 28.0, 19.6875)","(21.0, 34.0, 30.4)","(14.0, 15.0, 13.5)","(12.0, 16.5, 14.166666666666666)","(5.5, 99999, 99990)","(6.5, 8.6, 7.72)","(3.5, 4.9, 4.0)","(2.8, 3.95, 3.8)"
11-01-2023 20:15:03.052245,"(15.0, 23.0, 16.875)","(18.0, 28.0, 19.6875)","(21.0, 34.0, 30.4)","(14.0, 15.0, 13.5)","(12.0, 16.5, 14.166666666666666)","(5.5, 99999, 99990)","(6.5, 8.6, 7.72)","(3.5, 4.9, 4.0)","(2.8, 3.95, 3.8)"
11-01-2023 20:15:04.430752,"(15.0, 23.0, 16.875)","(18.0, 28.0, 19.6875)","(21.0, 34.0, 30.4)","(14.0, 15.0, 13.5)","(12.0, 16.5, 14.166666666666666)","(5.5, 99999, 99990)","(6.5, 8.6, 7.72)","(3.5, 4.9, 4.0)","(2.8, 3.95, 3.8)"
11-01-2023 20:15:05.615490,"(15.0, 23.0, 16.875)","(18.0, 28.0, 19.6875)","(21.0, 34.0, 30.4)","(14.0, 15.0, 13.5)","(12.0, 16.5, 14.166666666666666)","(5.5, 99999, 99990)","(6.5, 8.6, 7.72)","(3.5, 4.9, 4.0)","(2.8, 3.95, 3.8)"
11-01-2023 20:15:06.880921,"(15.0, 23.0, 16.875)","(18.0, 28.0, 19.6875)","(21.0, 34.0, 30.4)","(14.0, 15.0, 13.5)","(12.0, 16.5, 14.166666666666666)","(5.5, 99999, 99990)","(6.5, 8.6, 7.72)","(3.5, 4.9, 4.0)","(2.8, 3.95, 3.8)"
11-01-2023 20:15:08.210084,"(15.0, 23.0, 16.875)","(18.0, 28.0, 19.6875)","(21.0, 34.0, 30.4)","(14.0, 15.0, 13.5)","(12.0, 16.5, 14.166666666666666)","(5.5, 99999, 99990)","(6.5, 8.6, 7.72)","(3.5, 4.9, 4.0)","(2.8, 3.95, 3.8)"
11-01-2023 20:15:09.658212,"(15.0, 23.0, 16.875)","(18.0, 28.0, 19.6875)","(21.0, 34.0, 30.4)","(14.0, 15.0, 13.5)","(12.0, 16.5, 14.166666666666666)","(5.5, 99999, 99990)","(6.5, 8.6, 7.72)","(3.5, 4.9, 4.0)","(2.8, 3.95, 3.8)"
11-01-2023 20:15:10.979295,"(15.0, 23.0, 16.875)","(18.0, 28.0, 19.6875)","(21.0, 34.0, 30.4)","(14.0, 15.0, 13.5)","(12.0, 16.5, 14.166666666666666)","(5.5, 99999, 99990)","(6.5, 8.6, 7.72)","(3.5, 4.9, 4.0)","(2.8, 3.95, 3.8)"
11-01-2023 20:15:12.449550,"(15.0, 23.0, 16.875)","(18.0, 28.0, 19.6875)","(21.0, 34.0, 30.4)","(14.0, 15.0, 13.5)","(12.0, 16.5, 14.166666666666666)","(5.5, 99999, 99990)","(6.5, 8.6, 7.72)","(3.5, 4.9, 4.0)","(2.8, 3.95, 3.8)"
11-01-2023 20:15:13.848546,"(15.0, 23.0, 16.875)","(18.0, 28.0, 19.6875)","(21.0, 34.0, 30.4)","(14.0, 15.0, 13.5)","(12.0, 16.5, 14.166666666666666)","(5.5, 99999, 99990)","(6.5, 8.6, 7.72)","(3.5, 4.9, 4.0)","(2.8, 3.95, 3.8)"
11-01-2023 20:15:15.262635,"(15.0, 23.0, 16.875)","(18.0, 28.0, 19.6875)","(21.0, 34.0, 30.4)","(14.0, 15.0, 13.5)","(12.0, 16.5, 14.166666666666666)","(5.5, 99999, 99990)","(6.5, 8.6, 7.72)","(3.5, 4.9, 4.0)","(2.8, 3.95, 3.8)"
11-01-2023 20:15:16.668899,"(15.0, 23.0, 16.875)","(18.0, 28.0, 19.6875)","(21.0, 34.0, 30.4)","(14.0, 15.0, 13.5)","(12.0, 16.5, 14.166666666666666)","(5.5, 99999, 99990)","(6.5, 8.6, 7.72)","(3.5, 4.9, 4.0)","(2.8, 3.95, 3.8)"
11-01-2023 20:15:18.001290,"(15.0, 23.0, 16.875)","(18.0, 28.0, 19.6875)","(21.0, 34.0, 30.4)","(14.0, 15.0, 13.5)","(12.0, 16.5, 14.166666666666666)","(5.5, 99999, 99990)","(6.5, 8.6, 7.72)","(3.5, 4.9, 4.0)","(2.8, 3.95, 3.8)"
11-01-2023 20:15:19.370576,"(15.0, 23.0, 16.875)","(18.0, 28.0, 19.6875)","(21.0, 34.0, 30.4)","(14.0, 15.0, 13.5)","(12.0, 16.5, 14.166666666666666)","(5.5, 99999, 99990)","(6.5, 8.6, 7.72)","(3.5, 4.9, 4.0)","(2.8, 3.95, 3.8)"
11-01-2023 20:15:20.686549,"(15.0, 23.0, 16.875)","(18.0, 28.0, 19.6875)","(21.0, 34.0, 30.4)","(14.0, 15.0, 13.5)","(12.0, 16.5, 14.166666666666666)","(5.5, 99999, 99990)","(6.5, 8.6, 7.72)","(3.5, 4.9, 4.0)","(2.8, 3.95, 3.8)"
11-01-2023 20:15:22.020434,"(15.0, 23.0, 16.875)","(18.0, 28.0, 19.6875)","(21.0, 34.0, 30.4)","(14.0, 15.0, 13.5)","(12.0, 16.5, 14.166666666666666)","(5.5, 99999, 99990)","(6.5, 8.6, 7.72)","(3.5, 4.9, 4.0)","(2.8, 3.95, 3.8)"
11-01-2023 20:15:23.318305,"(15.0, 23.0, 16.875)","(18.0, 28.0, 19.6875)","(21.0, 34.0, 30.4)","(14.0, 15.0, 13.5)","(12.0, 16.5, 14.166666666666666)","(5.5, 99999, 99990)","(6.5, 8.6, 7.72)","(3.5, 4.9, 4.0)","(2.8, 3.95, 3.8)"
