,Shes Roses,Lektra Dish,Blazin Cool,Devils Spirit,Mt View Jewel,Dr Earnie,Establishment
07-01-2023 09:56:04.895198,"(2.4, 3.25, 2.4577272727272725)","(4.0, 7.2, 4.33235294117647)","(21.0, 80.0, 46.111111111111114)","(21.0, 60.0, 36.94444444444444)","(81.0, 560.0, 135.0)","(2.45, 4.3, 4.183333333333334)","(8.5, 17.0, 15.280000000000001)"
07-01-2023 09:56:05.947995,"(2.4, 3.25, 2.4577272727272725)","(4.0, 7.2, 4.33235294117647)","(21.0, 80.0, 46.111111111111114)","(21.0, 60.0, 36.94444444444444)","(81.0, 560.0, 135.0)","(2.45, 4.3, 4.183333333333334)","(8.5, 17.0, 15.280000000000001)"
07-01-2023 09:56:06.921839,"(2.4, 3.25, 2.4577272727272725)","(4.0, 7.2, 4.33235294117647)","(21.0, 80.0, 46.111111111111114)","(21.0, 60.0, 36.94444444444444)","(81.0, 560.0, 135.0)","(2.45, 4.3, 4.183333333333334)","(8.5, 17.0, 15.280000000000001)"
07-01-2023 09:56:08.104858,"(2.4, 3.25, 2.4577272727272725)","(4.0, 7.2, 4.33235294117647)","(21.0, 80.0, 46.111111111111114)","(21.0, 60.0, 36.94444444444444)","(81.0, 560.0, 135.0)","(2.45, 4.3, 4.183333333333334)","(8.5, 17.0, 15.280000000000001)"
07-01-2023 09:56:09.271699,"(2.4, 3.25, 2.4577272727272725)","(4.0, 7.2, 4.33235294117647)","(21.0, 80.0, 46.111111111111114)","(21.0, 60.0, 36.94444444444444)","(81.0, 560.0, 135.0)","(2.45, 4.3, 4.183333333333334)","(8.5, 17.0, 15.280000000000001)"
07-01-2023 09:56:10.270212,"(2.4, 3.25, 2.4577272727272725)","(4.0, 7.2, 4.33235294117647)","(21.0, 80.0, 46.111111111111114)","(21.0, 60.0, 36.94444444444444)","(81.0, 560.0, 135.0)","(2.45, 4.3, 4.183333333333334)","(8.5, 17.0, 15.280000000000001)"
07-01-2023 09:56:11.264454,"(2.4, 3.25, 2.4577272727272725)","(4.0, 7.2, 4.33235294117647)","(21.0, 80.0, 46.111111111111114)","(21.0, 60.0, 36.94444444444444)","(81.0, 560.0, 135.0)","(2.45, 4.3, 4.183333333333334)","(8.5, 17.0, 15.280000000000001)"
07-01-2023 09:56:12.304264,"(2.4, 3.25, 2.4577272727272725)","(4.0, 7.2, 4.33235294117647)","(21.0, 80.0, 46.111111111111114)","(21.0, 60.0, 36.94444444444444)","(81.0, 560.0, 135.0)","(2.45, 4.3, 4.183333333333334)","(8.5, 17.0, 15.280000000000001)"
07-01-2023 09:56:13.296878,"(2.4, 3.25, 2.4577272727272725)","(4.0, 7.2, 4.33235294117647)","(21.0, 80.0, 46.111111111111114)","(21.0, 60.0, 36.94444444444444)","(81.0, 560.0, 135.0)","(2.45, 4.3, 4.183333333333334)","(8.5, 17.0, 15.280000000000001)"
07-01-2023 09:56:14.403118,"(2.4, 3.25, 2.4577272727272725)","(4.0, 7.2, 4.33235294117647)","(21.0, 80.0, 46.111111111111114)","(21.0, 60.0, 36.94444444444444)","(81.0, 560.0, 135.0)","(2.45, 4.3, 4.183333333333334)","(8.5, 17.0, 15.280000000000001)"
07-01-2023 09:56:15.392426,"(2.4, 3.25, 2.4577272727272725)","(4.0, 7.2, 4.33235294117647)","(21.0, 80.0, 46.111111111111114)","(21.0, 60.0, 36.94444444444444)","(81.0, 560.0, 135.0)","(2.45, 4.3, 4.183333333333334)","(8.5, 17.0, 15.280000000000001)"
