,Context,Play Fling,Wreck It Rio,Canya Bellatrix,Been Framed,Couch King,Esmay Nelly,Magic Spry
08-01-2023 17:56:56.657495,"(5.0, 7.6, 6.8352941176470585)","(8.0, 16.5, 14.071428571428571)","(6.5, 13.5, 11.4)","(10.0, 25.0, 17.5)","(3.8, 5.2, 4.178448275862069)","(31.0, 190.0, 109.0)","(2.6, 3.4, 2.7653333333333334)","(21.0, 90.0, 48.125)"
08-01-2023 17:56:57.694706,"(5.0, 7.6, 6.8352941176470585)","(8.0, 16.5, 14.071428571428571)","(6.5, 13.5, 11.4)","(10.0, 25.0, 17.5)","(3.8, 5.2, 4.178448275862069)","(31.0, 190.0, 109.0)","(2.6, 3.4, 2.7653333333333334)","(21.0, 90.0, 48.125)"
08-01-2023 17:56:58.804495,"(5.0, 7.6, 6.8352941176470585)","(8.0, 16.5, 14.071428571428571)","(6.5, 13.5, 11.4)","(10.0, 25.0, 17.5)","(3.8, 5.2, 4.178448275862069)","(31.0, 190.0, 109.0)","(2.6, 3.4, 2.7653333333333334)","(21.0, 90.0, 48.125)"
08-01-2023 17:56:59.980621,"(5.0, 7.6, 6.8352941176470585)","(8.0, 16.5, 14.071428571428571)","(6.5, 13.5, 11.4)","(10.0, 25.0, 17.5)","(3.8, 5.2, 4.178448275862069)","(31.0, 190.0, 109.0)","(2.6, 3.4, 2.7653333333333334)","(21.0, 90.0, 48.125)"
08-01-2023 17:57:01.208278,"(5.0, 7.6, 6.8352941176470585)","(8.0, 16.5, 14.071428571428571)","(6.5, 13.5, 11.4)","(10.0, 25.0, 17.5)","(3.8, 5.2, 4.178448275862069)","(31.0, 190.0, 109.0)","(2.6, 3.4, 2.7653333333333334)","(21.0, 90.0, 48.125)"
08-01-2023 17:57:02.308477,"(5.0, 7.6, 6.8352941176470585)","(8.0, 16.5, 14.071428571428571)","(6.5, 13.5, 11.4)","(10.0, 25.0, 15.9375)","(3.8, 5.2, 4.178448275862069)","(31.0, 190.0, 104.23529411764706)","(2.6, 3.4, 2.7653333333333334)","(21.0, 90.0, 51.714285714285715)"
08-01-2023 17:57:03.412874,"(5.0, 7.6, 6.8352941176470585)","(8.0, 16.5, 13.18)","(6.5, 13.5, 11.4)","(10.0, 25.0, 15.9375)","(3.8, 5.2, 4.178448275862069)","(31.0, 190.0, 104.23529411764706)","(2.6, 3.4, 2.7653333333333334)","(21.0, 90.0, 51.714285714285715)"
08-01-2023 17:57:04.584895,"(5.0, 7.6, 6.8352941176470585)","(8.0, 16.5, 13.18)","(6.5, 13.5, 11.4)","(10.0, 25.0, 16.666666666666668)","(3.8, 5.2, 4.178448275862069)","(31.0, 190.0, 104.23529411764706)","(2.6, 3.4, 2.7653333333333334)","(21.0, 90.0, 51.714285714285715)"
08-01-2023 17:57:05.745797,"(5.0, 7.6, 6.8352941176470585)","(8.0, 16.5, 13.18)","(6.5, 13.5, 11.4)","(10.0, 25.0, 16.666666666666668)","(3.8, 5.2, 4.178448275862069)","(31.0, 190.0, 104.23529411764706)","(2.6, 3.4, 2.7653333333333334)","(21.0, 90.0, 51.714285714285715)"
08-01-2023 17:57:06.834613,"(5.0, 7.6, 6.8352941176470585)","(8.0, 16.5, 13.8)","(6.5, 13.5, 11.4)","(10.0, 25.0, 16.666666666666668)","(3.8, 5.2, 4.178448275862069)","(31.0, 190.0, 104.23529411764706)","(2.6, 3.4, 2.7653333333333334)","(21.0, 90.0, 51.714285714285715)"
08-01-2023 17:57:07.915631,"(5.0, 7.6, 6.8352941176470585)","(8.0, 16.5, 13.8)","(6.5, 13.5, 11.4)","(10.0, 25.0, 15.9375)","(3.8, 5.2, 4.178448275862069)","(31.0, 190.0, 104.23529411764706)","(2.6, 3.4, 2.7653333333333334)","(21.0, 90.0, 51.714285714285715)"
08-01-2023 17:57:08.970257,"(5.0, 7.6, 6.8352941176470585)","(8.0, 16.5, 13.8)","(6.5, 13.5, 11.4)","(10.0, 25.0, 15.9375)","(3.8, 5.2, 4.178448275862069)","(31.0, 190.0, 104.23529411764706)","(2.6, 3.4, 2.7653333333333334)","(21.0, 90.0, 51.714285714285715)"
08-01-2023 17:57:10.050424,"(5.0, 7.6, 6.8352941176470585)","(8.0, 16.5, 13.8)","(6.5, 13.5, 11.4)","(10.0, 25.0, 15.9375)","(3.8, 5.2, 4.178448275862069)","(31.0, 190.0, 104.23529411764706)","(2.6, 3.4, 2.7653333333333334)","(21.0, 90.0, 51.714285714285715)"
08-01-2023 17:57:11.097311,"(5.0, 7.6, 6.8352941176470585)","(8.0, 16.5, 13.8)","(6.5, 13.5, 11.4)","(10.0, 25.0, 15.9375)","(3.8, 5.2, 4.178448275862069)","(31.0, 190.0, 104.23529411764706)","(2.6, 3.4, 2.7653333333333334)","(21.0, 90.0, 51.714285714285715)"
08-01-2023 17:57:12.377856,"(5.0, 7.6, 6.8352941176470585)","(8.0, 16.5, 13.8)","(6.5, 13.5, 11.4)","(10.0, 25.0, 15.9375)","(3.8, 5.2, 4.178448275862069)","(31.0, 190.0, 104.23529411764706)","(2.6, 3.4, 2.7653333333333334)","(21.0, 90.0, 51.714285714285715)"
08-01-2023 17:57:13.438067,"(5.0, 7.6, 6.8352941176470585)","(8.0, 16.5, 13.8)","(6.5, 13.5, 11.4)","(10.0, 25.0, 15.9375)","(3.8, 5.2, 4.178448275862069)","(31.0, 190.0, 104.23529411764706)","(2.6, 3.4, 2.7653333333333334)","(21.0, 90.0, 51.714285714285715)"
08-01-2023 17:57:14.638304,"(5.0, 7.6, 6.8352941176470585)","(8.0, 16.5, 13.8)","(6.5, 13.5, 11.4)","(10.0, 25.0, 15.9375)","(3.8, 5.2, 4.178448275862069)","(31.0, 190.0, 104.23529411764706)","(2.6, 3.4, 2.7653333333333334)","(21.0, 90.0, 51.714285714285715)"
08-01-2023 17:57:15.769440,"(5.0, 7.6, 6.8352941176470585)","(8.0, 16.5, 13.8)","(6.5, 13.5, 11.4)","(10.0, 25.0, 15.9375)","(3.8, 5.2, 4.178448275862069)","(31.0, 190.0, 104.23529411764706)","(2.6, 3.4, 2.7653333333333334)","(21.0, 90.0, 51.714285714285715)"
