,Emmas Portrait,Pyrenees Blazer,Cruising Loren,Philip Marlowe,Another Six,Ranger Ricksen,Jellybean Jam,Aston Zabbar
16-12-2022 13:15:50.164941,"(3.4, 5.6, 3.4956521739130433)","(5.0, 8.6, 5.88)","(51.0, 280.0, 101.5)","(10.0, 22.0, 12.833333333333334)","(10.0, 28.0, 19.25)","(6.0, 12.5, 10.2875)","(3.1, 5.1, 4.252173913043478)","(7.0, 12.5, 11.125)"
16-12-2022 13:15:51.205644,"(3.4, 5.6, 3.4956521739130433)","(5.0, 8.6, 5.88)","(51.0, 280.0, 101.5)","(10.0, 22.0, 11.833333333333334)","(10.0, 28.0, 19.25)","(6.0, 12.5, 9.08)","(3.1, 5.1, 4.252173913043478)","(7.0, 12.5, 11.125)"
16-12-2022 13:15:52.248877,"(3.4, 5.6, 3.4956521739130433)","(5.0, 8.6, 5.88)","(51.0, 280.0, 101.5)","(10.0, 22.0, 11.833333333333334)","(10.0, 28.0, 19.25)","(6.0, 12.5, 9.08)","(3.1, 5.1, 4.252173913043478)","(7.0, 12.5, 11.125)"
16-12-2022 13:15:53.409734,"(3.4, 5.6, 3.4956521739130433)","(5.0, 8.6, 5.88)","(51.0, 280.0, 101.5)","(10.0, 22.0, 13.285714285714286)","(10.0, 28.0, 19.25)","(6.0, 12.5, 9.08)","(3.1, 5.1, 4.252173913043478)","(7.0, 12.5, 11.125)"
16-12-2022 13:15:54.459300,"(3.4, 5.6, 3.4956521739130433)","(5.0, 8.6, 5.88)","(51.0, 280.0, 101.5)","(10.0, 22.0, 13.285714285714286)","(10.0, 28.0, 19.25)","(6.0, 12.5, 9.08)","(3.1, 5.1, 4.252173913043478)","(7.0, 12.5, 11.125)"
16-12-2022 13:15:55.685827,"(3.4, 5.6, 3.4956521739130433)","(5.0, 8.6, 5.88)","(51.0, 280.0, 101.5)","(10.0, 22.0, 13.285714285714286)","(10.0, 28.0, 19.25)","(6.0, 12.5, 9.08)","(3.1, 5.1, 4.252173913043478)","(7.0, 12.5, 11.125)"
16-12-2022 13:15:56.917140,"(3.4, 5.6, 3.4956521739130433)","(5.0, 8.6, 5.88)","(51.0, 280.0, 101.5)","(10.0, 22.0, 13.285714285714286)","(10.0, 28.0, 19.25)","(6.0, 12.5, 9.08)","(3.1, 5.1, 4.252173913043478)","(7.0, 12.5, 11.125)"
16-12-2022 13:15:58.162489,"(3.4, 5.6, 3.4956521739130433)","(5.0, 8.6, 5.88)","(51.0, 280.0, 101.5)","(10.0, 22.0, 13.285714285714286)","(10.0, 28.0, 19.25)","(6.0, 12.5, 9.08)","(3.1, 5.1, 4.252173913043478)","(7.0, 12.5, 11.125)"
16-12-2022 13:15:59.286854,"(3.4, 5.6, 3.4956521739130433)","(5.0, 8.6, 5.88)","(51.0, 280.0, 101.5)","(10.0, 22.0, 13.285714285714286)","(10.0, 28.0, 19.25)","(6.0, 12.5, 9.08)","(3.1, 5.1, 4.252173913043478)","(7.0, 12.5, 11.125)"
16-12-2022 13:16:00.510118,"(3.4, 5.6, 3.4956521739130433)","(5.0, 8.6, 5.88)","(51.0, 280.0, 101.5)","(10.0, 22.0, 13.285714285714286)","(10.0, 28.0, 19.25)","(6.0, 12.5, 9.08)","(3.1, 5.1, 4.252173913043478)","(7.0, 12.5, 11.125)"
16-12-2022 13:16:01.718804,"(3.4, 5.6, 3.4956521739130433)","(5.0, 8.6, 5.88)","(51.0, 280.0, 101.5)","(10.0, 22.0, 13.285714285714286)","(10.0, 28.0, 19.25)","(6.0, 12.5, 9.08)","(3.1, 5.1, 4.252173913043478)","(7.0, 12.5, 11.125)"
