,Shes Our Cruze,Piazza Farnese,Urana Lot,Cry Wolf,Shanes Pick,Perfect Pacific,Tarantula
07-12-2022 19:56:23.735430,"(21.0, 250.0, 117.39999999999999)","(21.0, 220.0, 95.28571428571429)","(4.6, 8.0, 7.38)","(1.7, 2.22, 2.085)","(21.0, 85.0, 57.72727272727273)","(4.2, 5.4, 5.12)","(6.5, 21.0, 19.375)"
07-12-2022 19:56:24.905777,"(21.0, 250.0, 117.39999999999999)","(21.0, 220.0, 95.28571428571429)","(4.6, 8.0, 7.38)","(1.7, 2.22, 2.085)","(21.0, 85.0, 57.72727272727273)","(4.2, 5.4, 5.12)","(6.5, 21.0, 19.375)"
07-12-2022 19:56:26.061368,"(21.0, 250.0, 117.39999999999999)","(21.0, 220.0, 95.28571428571429)","(4.6, 8.0, 7.38)","(1.7, 2.22, 2.085)","(21.0, 85.0, 57.72727272727273)","(4.2, 5.4, 5.12)","(6.5, 21.0, 19.375)"
07-12-2022 19:56:27.134348,"(21.0, 250.0, 117.39999999999999)","(21.0, 220.0, 95.28571428571429)","(4.6, 8.0, 7.38)","(1.7, 2.22, 2.085)","(21.0, 85.0, 57.72727272727273)","(4.2, 5.4, 5.12)","(6.5, 21.0, 19.375)"
07-12-2022 19:56:28.320070,"(21.0, 250.0, 117.39999999999999)","(21.0, 220.0, 95.28571428571429)","(4.6, 8.0, 7.38)","(1.7, 2.22, 2.085)","(21.0, 85.0, 57.72727272727273)","(4.2, 5.4, 5.12)","(6.5, 21.0, 19.375)"
07-12-2022 19:56:29.570039,"(21.0, 250.0, 117.39999999999999)","(21.0, 220.0, 95.28571428571429)","(4.6, 8.0, 7.38)","(1.7, 2.22, 2.085)","(21.0, 85.0, 57.72727272727273)","(4.2, 5.4, 5.12)","(6.5, 21.0, 19.375)"
07-12-2022 19:56:30.919867,"(21.0, 250.0, 117.39999999999999)","(21.0, 220.0, 95.28571428571429)","(4.6, 8.0, 7.38)","(1.7, 2.22, 2.085)","(21.0, 85.0, 57.72727272727273)","(4.2, 5.4, 5.12)","(6.5, 21.0, 19.375)"
07-12-2022 19:56:32.106811,"(21.0, 250.0, 117.39999999999999)","(21.0, 220.0, 95.28571428571429)","(4.6, 8.0, 7.38)","(1.7, 2.22, 2.085)","(21.0, 85.0, 71.0)","(4.2, 5.4, 5.12)","(6.5, 21.0, 19.625)"
07-12-2022 19:56:33.432714,"(21.0, 250.0, 117.39999999999999)","(21.0, 220.0, 95.28571428571429)","(4.6, 8.0, 7.38)","(1.7, 2.22, 2.085)","(21.0, 140.0, 71.0)","(4.2, 5.4, 5.12)","(6.5, 21.0, 19.75)"
07-12-2022 19:56:34.689428,"(21.0, 250.0, 117.39999999999999)","(21.0, 220.0, 95.28571428571429)","(4.6, 8.0, 7.38)","(1.7, 2.22, 2.085)","(21.0, 140.0, 71.0)","(4.2, 5.4, 5.12)","(6.5, 21.0, 19.75)"
07-12-2022 19:56:35.976560,"(21.0, 250.0, 117.39999999999999)","(21.0, 220.0, 95.28571428571429)","(4.6, 8.0, 7.38)","(1.7, 2.22, 2.085)","(21.0, 140.0, 71.0)","(4.2, 5.4, 5.12)","(6.5, 21.0, 19.75)"
07-12-2022 19:56:37.324318,"(21.0, 250.0, 117.39999999999999)","(21.0, 220.0, 95.28571428571429)","(4.6, 8.0, 7.38)","(1.7, 2.22, 2.085)","(21.0, 140.0, 71.0)","(4.2, 5.4, 5.12)","(6.5, 21.0, 19.75)"
07-12-2022 19:56:38.660331,"(21.0, 250.0, 123.71428571428572)","(21.0, 220.0, 95.28571428571429)","(4.6, 8.0, 7.859999999999999)","(1.7, 2.22, 2.085)","(21.0, 140.0, 71.0)","(4.2, 5.4, 5.12)","(6.5, 21.0, 19.75)"
07-12-2022 19:56:39.770523,"(21.0, 250.0, 123.71428571428572)","(21.0, 220.0, 95.28571428571429)","(4.6, 8.6, 7.859999999999999)","(1.7, 2.22, 2.085)","(21.0, 140.0, 71.0)","(4.2, 5.4, 5.12)","(6.5, 21.0, 19.75)"
07-12-2022 19:56:40.937569,"(21.0, 250.0, 123.71428571428572)","(21.0, 220.0, 95.28571428571429)","(4.6, 8.6, 7.859999999999999)","(1.7, 2.22, 2.085)","(21.0, 140.0, 71.0)","(4.2, 5.4, 5.12)","(6.5, 21.0, 19.75)"
07-12-2022 19:56:42.122940,"(21.0, 250.0, 123.71428571428572)","(21.0, 220.0, 95.28571428571429)","(4.6, 8.6, 7.859999999999999)","(1.7, 2.22, 2.085)","(21.0, 140.0, 71.0)","(4.2, 5.4, 5.12)","(6.5, 21.0, 19.75)"
07-12-2022 19:56:43.373694,"(21.0, 250.0, 123.71428571428572)","(21.0, 220.0, 95.28571428571429)","(4.6, 8.6, 8.02)","(1.7, 2.22, 1.9500000000000002)","(21.0, 140.0, 71.0)","(4.2, 5.4, 5.12)","(6.5, 21.0, 19.75)"
07-12-2022 19:56:44.619064,"(21.0, 250.0, 123.71428571428572)","(21.0, 220.0, 95.28571428571429)","(4.6, 8.8, 8.02)","(1.7, 2.22, 2.000769230769231)","(21.0, 140.0, 71.0)","(4.2, 5.4, 5.12)","(6.5, 21.0, 19.75)"
07-12-2022 19:56:45.766716,"(21.0, 250.0, 123.71428571428572)","(21.0, 220.0, 95.28571428571429)","(4.6, 8.8, 8.02)","(1.7, 2.1, 2.000769230769231)","(21.0, 140.0, 71.0)","(4.2, 5.4, 5.12)","(6.5, 21.0, 19.75)"
07-12-2022 19:56:46.940838,"(21.0, 250.0, 123.71428571428572)","(21.0, 220.0, 95.28571428571429)","(4.6, 8.8, 8.02)","(1.7, 2.1, 2.000769230769231)","(21.0, 140.0, 71.0)","(4.2, 5.4, 5.12)","(6.5, 21.0, 19.75)"
07-12-2022 19:56:48.188056,"(21.0, 250.0, 123.71428571428572)","(21.0, 220.0, 95.28571428571429)","(4.6, 8.8, 6.046666666666667)","(1.7, 2.1, 2.000769230769231)","(21.0, 140.0, 71.0)","(4.2, 5.4, 5.12)","(6.5, 21.0, 20.5)"
07-12-2022 19:56:49.418141,"(21.0, 250.0, 123.71428571428572)","(21.0, 220.0, 95.28571428571429)","(4.6, 9.2, 8.18)","(1.7, 2.1, 2.000769230769231)","(21.0, 140.0, 71.0)","(4.2, 5.4, 5.12)","(6.5, 22.0, 20.5)"
07-12-2022 19:56:50.680222,"(21.0, 250.0, 123.71428571428572)","(21.0, 220.0, 95.28571428571429)","(4.6, 9.0, 7.0)","(1.7, 2.1, 2.000769230769231)","(21.0, 140.0, 71.0)","(4.2, 5.4, 5.12)","(6.5, 22.0, 20.5)"
07-12-2022 19:56:51.912927,"(21.0, 250.0, 123.71428571428572)","(21.0, 220.0, 95.28571428571429)","(4.6, 9.0, 7.1)","(1.7, 2.1, 2.000769230769231)","(21.0, 140.0, 71.0)","(4.2, 5.4, 5.12)","(6.5, 22.0, 20.5)"
07-12-2022 19:56:53.124835,"(21.0, 250.0, 123.71428571428572)","(21.0, 220.0, 95.28571428571429)","(4.6, 9.2, 7.1)","(1.7, 2.1, 2.000769230769231)","(21.0, 140.0, 71.0)","(4.2, 5.4, 5.12)","(6.5, 22.0, 21.38888888888889)"
