,Vidris Bale,Scarlett Express,Malibu Bale,She Devil,Riverdale Bud,Judys Redeemer,Tiggerlong Egg
10-01-2023 14:23:29.863735,"(3.6, 8.0, 6.533333333333333)","(7.5, 15.5, 10.366666666666667)","(13.0, 28.0, 15.625)","(3.9, 8.6, 6.9833333333333325)","(20.0, 200.0, 79.33333333333334)","(3.0, 4.1, 3.2493333333333334)","(5.0, 9.0, 6.6000000000000005)"
10-01-2023 14:23:31.132316,"(3.6, 8.0, 6.533333333333333)","(7.5, 15.5, 10.366666666666667)","(13.0, 28.0, 15.625)","(3.9, 8.6, 6.9833333333333325)","(20.0, 200.0, 79.33333333333334)","(3.0, 4.1, 3.2493333333333334)","(5.0, 9.0, 6.6000000000000005)"
10-01-2023 14:23:32.423693,"(3.6, 8.0, 6.533333333333333)","(7.5, 15.5, 10.366666666666667)","(13.0, 28.0, 15.625)","(3.9, 8.6, 6.9833333333333325)","(20.0, 200.0, 79.33333333333334)","(3.0, 4.1, 3.2493333333333334)","(5.0, 9.0, 6.6000000000000005)"
10-01-2023 14:23:33.657434,"(3.6, 8.0, 6.533333333333333)","(7.5, 15.5, 10.366666666666667)","(13.0, 28.0, 15.625)","(3.9, 8.6, 6.9833333333333325)","(20.0, 200.0, 79.33333333333334)","(3.0, 4.1, 3.2493333333333334)","(5.0, 9.0, 6.6000000000000005)"
10-01-2023 14:23:34.880018,"(3.6, 8.0, 6.533333333333333)","(7.5, 15.5, 10.366666666666667)","(13.0, 28.0, 15.625)","(3.9, 8.6, 7.63)","(20.0, 200.0, 127.60000000000001)","(3.0, 4.1, 3.4619999999999997)","(5.0, 9.0, 7.4)"
10-01-2023 14:23:36.173324,"(3.6, 8.0, 7.2666666666666675)","(7.5, 15.5, 12.42)","(13.0, 28.0, 15.625)","(3.9, 8.6, 8.120000000000001)","(20.0, 200.0, 127.60000000000001)","(3.0, 4.1, 3.4619999999999997)","(5.0, 9.0, 6.2)"
10-01-2023 14:23:37.485346,"(3.6, 8.0, 7.2666666666666675)","(7.5, 15.5, 10.5)","(13.0, 28.0, 15.625)","(3.9, 8.6, 8.120000000000001)","(20.0, 200.0, 127.60000000000001)","(3.0, 4.1, 3.0733333333333333)","(5.0, 9.0, 7.923076923076923)"
10-01-2023 14:23:38.699205,"(3.6, 8.0, 7.2666666666666675)","(7.5, 15.5, 10.5)","(13.0, 28.0, 15.625)","(3.9, 8.6, 8.120000000000001)","(20.0, 200.0, 127.60000000000001)","(3.0, 4.1, 3.0733333333333333)","(5.0, 9.0, 7.923076923076923)"
10-01-2023 14:23:39.945430,"(3.6, 8.0, 7.2666666666666675)","(7.5, 15.5, 10.5)","(13.0, 28.0, 15.625)","(3.9, 8.6, 8.120000000000001)","(20.0, 200.0, 127.60000000000001)","(3.0, 4.1, 3.0733333333333333)","(5.0, 9.0, 7.923076923076923)"
10-01-2023 14:23:41.106882,"(3.6, 8.0, 7.2666666666666675)","(7.5, 15.5, 10.633333333333333)","(13.0, 28.0, 15.625)","(3.9, 8.6, 8.120000000000001)","(20.0, 200.0, 127.60000000000001)","(3.0, 4.1, 3.0733333333333333)","(5.0, 9.0, 7.923076923076923)"
