,Missczech,Curlin Blessing,Taking Charge Desi,Kynlies Empire,Tiz A Macho Girl,Joy In The Battle,Miss Hard Knocks,Lucy K
10-01-2023 08:09:10.829726,"(11.0, 15.5, 15.37704918032787)","(14.0, 24.0, 23.5)","(31.0, 46.0, 44.8)","(31.0, 120.0, 95.20833333333333)","(2.5, 2.8, 2.7789247311827956)","(5.5, 7.6, 7.649275362318841)","(2.5, 2.84, 2.8323809523809524)","(26.0, 65.0, 62.10526315789474)"
10-01-2023 08:09:11.852116,"(11.0, 15.5, 15.418032786885245)","(14.0, 24.0, 23.636363636363637)","(31.0, 46.0, 44.8)","(31.0, 120.0, 95.20833333333333)","(2.5, 2.78, 2.7762962962962963)","(5.5, 7.8, 7.638888888888889)","(2.5, 2.84, 2.8368421052631576)","(26.0, 65.0, 62.10526315789474)"
10-01-2023 08:09:12.853833,"(11.0, 15.5, 15.410714285714286)","(14.0, 24.0, 23.636363636363637)","(31.0, 46.0, 44.8)","(31.0, 120.0, 95.20833333333333)","(2.5, 2.78, 2.7762962962962963)","(5.5, 7.8, 7.625)","(2.5, 2.84, 2.8378571428571426)","(26.0, 65.0, 62.10526315789474)"
10-01-2023 08:09:13.917867,"(11.0, 15.5, 15.410714285714286)","(14.0, 24.0, 23.636363636363637)","(31.0, 46.0, 44.8)","(31.0, 120.0, 95.20833333333333)","(2.5, 2.78, 2.7789247311827956)","(5.5, 7.8, 7.602816901408451)","(2.5, 2.84, 2.8377777777777777)","(26.0, 65.0, 62.10526315789474)"
10-01-2023 08:09:15.098278,"(11.0, 15.5, 15.410714285714286)","(14.0, 24.0, 23.636363636363637)","(31.0, 46.0, 44.8)","(31.0, 120.0, 95.20833333333333)","(2.5, 2.78, 2.774705882352941)","(5.5, 7.8, 7.6454545454545455)","(2.5, 2.84, 2.831111111111111)","(26.0, 65.0, 63.07692307692308)"
10-01-2023 08:09:16.594308,"(11.0, 15.5, 15.450980392156863)","(14.0, 24.0, 23.53846153846154)","(31.0, 46.0, 44.666666666666664)","(31.0, 120.0, 95.20833333333333)","(2.5, 2.78, 2.7767441860465114)","(5.5, 7.8, 7.653333333333333)","(2.5, 2.84, 2.831111111111111)","(26.0, 65.0, 63.07692307692308)"
10-01-2023 08:09:17.807701,"(11.0, 15.5, 15.418181818181818)","(14.0, 24.0, 23.636363636363637)","(26.0, 46.0, 43.81818181818182)","(31.0, 120.0, 95.20833333333333)","(2.5, 2.78, 2.7730434782608695)","(5.5, 7.8, 7.653333333333333)","(2.5, 2.84, 2.836)","(26.0, 65.0, 63.07692307692308)"
10-01-2023 08:09:18.924938,"(11.0, 15.5, 15.418181818181818)","(14.0, 24.0, 23.636363636363637)","(26.0, 46.0, 43.81818181818182)","(31.0, 120.0, 95.20833333333333)","(2.5, 2.78, 2.772079207920792)","(5.5, 7.8, 7.653333333333333)","(2.5, 2.84, 2.836)","(26.0, 65.0, 63.07692307692308)"
10-01-2023 08:09:19.998585,"(11.0, 15.5, 15.433962264150944)","(15.0, 24.0, 23.636363636363637)","(26.0, 46.0, 43.81818181818182)","(31.0, 120.0, 95.20833333333333)","(2.5, 2.78, 2.7730434782608695)","(6.0, 7.8, 7.653333333333333)","(2.5, 2.84, 2.834230769230769)","(26.0, 65.0, 63.07692307692308)"
10-01-2023 08:09:21.105786,"(11.0, 15.5, 15.433962264150944)","(15.0, 24.0, 23.636363636363637)","(26.0, 46.0, 43.81818181818182)","(31.0, 120.0, 95.20833333333333)","(2.5, 2.78, 2.7730434782608695)","(6.0, 7.8, 7.653333333333333)","(2.5, 2.84, 2.8337499999999998)","(26.0, 65.0, 63.07692307692308)"
10-01-2023 08:09:22.203599,"(11.0, 15.5, 15.433962264150944)","(15.0, 24.0, 23.636363636363637)","(26.0, 46.0, 43.81818181818182)","(31.0, 120.0, 95.20833333333333)","(2.5, 2.78, 2.7725925925925923)","(6.0, 7.8, 7.63157894736842)","(2.5, 2.84, 2.8337499999999998)","(26.0, 65.0, 63.07692307692308)"
10-01-2023 08:09:23.347335,"(11.0, 15.5, 15.43)","(15.0, 24.0, 23.636363636363637)","(26.0, 46.0, 43.81818181818182)","(31.0, 120.0, 94.13043478260869)","(2.5, 2.78, 2.836275862068965)","(6.0, 7.8, 7.566666666666666)","(2.5, 2.84, 2.832682926829268)","(26.0, 65.0, 63.07692307692308)"
10-01-2023 08:09:24.579318,"(11.0, 15.5, 15.425531914893616)","(15.0, 24.0, 23.555555555555557)","(26.0, 46.0, 43.0)","(31.0, 120.0, 94.13043478260869)","(2.5, 2.9, 2.86)","(6.0, 7.6, 7.566666666666666)","(2.5, 2.84, 2.8413043478260867)","(26.0, 65.0, 63.07692307692308)"
10-01-2023 08:09:25.841617,"(11.0, 15.5, 15.15625)","(15.0, 24.0, 23.352941176470587)","(26.0, 46.0, 44.8)","(31.0, 120.0, 94.13043478260869)","(2.5, 2.88, 2.8762499999999998)","(6.0, 7.6, 7.466666666666667)","(2.5, 2.86, 2.8336585365853657)","(26.0, 65.0, 63.07692307692308)"
10-01-2023 08:09:27.072091,"(11.0, 15.5, 15.15625)","(15.0, 24.0, 23.352941176470587)","(26.0, 46.0, 44.8)","(31.0, 120.0, 94.13043478260869)","(2.5, 2.88, 2.8762499999999998)","(6.0, 7.6, 7.466666666666667)","(2.5, 2.84, 2.8336585365853657)","(26.0, 65.0, 63.07692307692308)"
10-01-2023 08:09:28.218480,"(11.0, 15.5, 15.15625)","(15.0, 24.0, 23.352941176470587)","(26.0, 46.0, 44.8)","(31.0, 120.0, 94.13043478260869)","(2.5, 2.88, 2.876)","(6.0, 7.6, 7.587755102040816)","(2.5, 2.84, 2.826875)","(26.0, 65.0, 63.07692307692308)"
10-01-2023 08:09:29.405329,"(11.0, 15.0, 14.744186046511627)","(15.0, 23.0, 22.85185185185185)","(26.0, 44.0, 43.878787878787875)","(31.0, 120.0, 94.13043478260869)","(2.5, 2.88, 2.8757142857142854)","(6.0, 7.8, 7.515384615384615)","(2.5, 2.84, 2.769090909090909)","(26.0, 65.0, 62.857142857142854)"
10-01-2023 08:09:30.596196,"(11.0, 15.0, 14.75)","(15.0, 23.0, 22.818181818181817)","(26.0, 44.0, 44.57142857142857)","(31.0, 120.0, 94.13043478260869)","(2.5, 2.88, 2.885970149253731)","(6.0, 7.6, 7.515384615384615)","(2.5, 2.82, 2.7674999999999996)","(26.0, 65.0, 71.42857142857143)"
10-01-2023 08:09:31.776596,"(11.0, 15.0, 14.75)","(15.0, 23.0, 22.90909090909091)","(26.0, 46.0, 44.57142857142857)","(31.0, 120.0, 94.13043478260869)","(2.5, 2.9, 2.886349206349206)","(6.0, 7.6, 7.515384615384615)","(2.5, 2.78, 2.766315789473684)","(26.0, 80.0, 71.42857142857143)"
10-01-2023 08:09:33.034613,"(11.0, 15.0, 14.75)","(15.0, 24.0, 22.9)","(26.0, 46.0, 44.57142857142857)","(31.0, 120.0, 94.13043478260869)","(2.5, 2.9, 2.886349206349206)","(6.0, 7.6, 7.515384615384615)","(2.5, 2.78, 2.766315789473684)","(26.0, 80.0, 69.5)"
10-01-2023 08:09:34.275977,"(11.0, 15.0, 14.75)","(15.0, 23.0, 22.9)","(26.0, 46.0, 44.666666666666664)","(31.0, 120.0, 94.13043478260869)","(2.5, 2.9, 2.9)","(6.0, 7.6, 7.557894736842105)","(2.5, 2.78, 2.7739534883720927)","(26.0, 80.0, 68.21428571428571)"
10-01-2023 08:09:35.517841,"(11.0, 15.0, 14.728260869565217)","(15.0, 23.0, 22.818181818181817)","(26.0, 46.0, 45.07692307692308)","(31.0, 120.0, 94.13043478260869)","(2.5, 2.92, 2.904166666666667)","(6.0, 7.6, 7.621428571428571)","(2.5, 2.78, 2.7556097560975608)","(26.0, 80.0, 73.33333333333333)"
10-01-2023 08:09:36.745220,"(11.0, 15.0, 14.808823529411764)","(15.0, 23.0, 22.8)","(26.0, 46.0, 45.16279069767442)","(31.0, 120.0, 94.13043478260869)","(2.5, 2.92, 2.912830188679245)","(6.0, 7.8, 7.621428571428571)","(2.5, 2.76, 2.7516129032258068)","(26.0, 80.0, 74.19354838709677)"
10-01-2023 08:09:37.907385,"(11.0, 15.0, 14.824324324324325)","(15.0, 23.0, 22.8)","(26.0, 46.0, 45.55555555555556)","(31.0, 120.0, 94.13043478260869)","(2.5, 2.92, 2.8449999999999998)","(6.0, 7.8, 7.64375)","(2.5, 2.78, 2.7725)","(26.0, 80.0, 74.19354838709677)"
10-01-2023 08:09:39.153452,"(11.0, 15.0, 14.946428571428571)","(15.0, 23.0, 22.9)","(26.0, 46.0, 45.55555555555556)","(31.0, 120.0, 94.13043478260869)","(2.5, 2.86, 2.815609756097561)","(6.0, 7.8, 7.64375)","(2.5, 2.8, 2.788965517241379)","(26.0, 80.0, 74.19354838709677)"
10-01-2023 08:09:40.418789,"(11.0, 15.0, 14.946428571428571)","(15.0, 23.0, 23.125)","(26.0, 46.0, 45.0)","(31.0, 120.0, 94.13043478260869)","(2.5, 2.82, 2.813076923076923)","(6.0, 7.8, 7.64375)","(2.5, 2.8, 2.793846153846154)","(26.0, 80.0, 74.19354838709677)"
10-01-2023 08:09:41.640198,"(11.0, 15.0, 14.946428571428571)","(15.0, 24.0, 23.176470588235293)","(26.0, 46.0, 43.6551724137931)","(31.0, 120.0, 94.13043478260869)","(2.5, 2.82, 2.790285714285714)","(6.0, 7.8, 7.64375)","(2.5, 2.8, 2.788965517241379)","(26.0, 80.0, 74.19354838709677)"
10-01-2023 08:09:42.803203,"(11.0, 15.5, 15.166666666666666)","(15.0, 24.0, 23.176470588235293)","(26.0, 48.0, 43.6551724137931)","(31.0, 120.0, 94.13043478260869)","(2.5, 2.8, 2.7908108108108105)","(6.0, 7.8, 7.668421052631579)","(2.5, 2.8, 2.7727102803738317)","(26.0, 80.0, 70.76923076923077)"
10-01-2023 08:09:43.846242,"(11.0, 15.5, 15.235294117647058)","(15.0, 24.0, 23.125)","(26.0, 48.0, 43.25)","(31.0, 120.0, 94.13043478260869)","(2.5, 2.8, 2.7994736842105263)","(6.0, 7.8, 7.668421052631579)","(2.5, 2.8, 2.781201716738197)","(26.0, 80.0, 70.76923076923077)"
10-01-2023 08:09:44.961664,"(11.0, 15.5, 15.176470588235293)","(15.0, 24.0, 23.125)","(26.0, 48.0, 45.333333333333336)","(31.0, 120.0, 97.11538461538461)","(2.5, 2.82, 2.795658914728682)","(6.0, 7.8, 7.844444444444444)","(2.5, 2.8, 2.7828235294117647)","(26.0, 80.0, 71.42857142857143)"
10-01-2023 08:09:46.007763,"(11.0, 15.5, 15.32857142857143)","(15.0, 24.0, 23.523809523809526)","(26.0, 48.0, 44.44444444444444)","(31.0, 120.0, 97.11538461538461)","(2.5, 2.8, 2.7968181818181814)","(6.0, 8.0, 7.904477611940298)","(2.5, 2.8, 2.7828235294117647)","(26.0, 80.0, 77.35294117647058)"
10-01-2023 08:09:47.125413,"(11.0, 15.5, 15.32857142857143)","(15.0, 24.0, 23.523809523809526)","(26.0, 48.0, 45.333333333333336)","(31.0, 120.0, 97.11538461538461)","(2.5, 2.8, 2.7979032258064516)","(6.0, 8.0, 7.904477611940298)","(2.5, 2.8, 2.782868525896414)","(26.0, 80.0, 77.35294117647058)"
10-01-2023 08:09:48.206669,"(11.0, 15.5, 15.32857142857143)","(15.0, 24.0, 23.523809523809526)","(26.0, 55.0, 47.5)","(31.0, 120.0, 97.11538461538461)","(2.5, 2.8, 2.7921978021978022)","(6.0, 8.0, 7.905882352941177)","(2.5, 2.8, 2.7670833333333333)","(26.0, 80.0, 77.35294117647058)"
10-01-2023 08:09:49.311386,"(11.0, 15.5, 15.32857142857143)","(15.0, 24.0, 23.523809523809526)","(26.0, 50.0, 47.09090909090909)","(31.0, 120.0, 97.11538461538461)","(2.5, 2.82, 2.804395604395604)","(6.0, 8.0, 7.905882352941177)","(2.5, 2.78, 2.7666666666666666)","(26.0, 80.0, 77.35294117647058)"
10-01-2023 08:09:50.418133,"(11.0, 15.5, 15.32857142857143)","(15.0, 24.0, 23.523809523809526)","(26.0, 50.0, 46.44444444444444)","(31.0, 120.0, 97.11538461538461)","(2.5, 2.82, 2.804395604395604)","(6.0, 8.0, 7.905882352941177)","(2.5, 2.78, 2.7666666666666666)","(26.0, 80.0, 77.35294117647058)"
10-01-2023 08:09:51.511688,"(11.0, 15.5, 15.32857142857143)","(15.0, 24.0, 23.523809523809526)","(26.0, 50.0, 46.44444444444444)","(31.0, 120.0, 97.11538461538461)","(2.5, 2.82, 2.804395604395604)","(6.0, 8.0, 7.905882352941177)","(2.5, 2.78, 2.7713178294573644)","(26.0, 80.0, 77.35294117647058)"
10-01-2023 08:09:52.597379,"(11.0, 15.5, 15.32857142857143)","(15.0, 24.0, 23.61111111111111)","(26.0, 50.0, 47.25714285714286)","(31.0, 120.0, 97.11538461538461)","(2.5, 2.82, 2.804309392265193)","(6.0, 8.0, 7.905882352941177)","(2.5, 2.78, 2.7713178294573644)","(26.0, 80.0, 77.35294117647058)"
10-01-2023 08:09:53.694543,"(11.0, 15.5, 15.32857142857143)","(15.0, 24.0, 23.733333333333334)","(26.0, 50.0, 47.25714285714286)","(31.0, 120.0, 97.11538461538461)","(2.5, 2.82, 2.804309392265193)","(6.0, 8.0, 7.905882352941177)","(2.5, 2.78, 2.7600000000000002)","(26.0, 80.0, 77.35294117647058)"
10-01-2023 08:09:54.872511,"(11.0, 15.5, 15.32857142857143)","(15.0, 24.0, 23.733333333333334)","(26.0, 50.0, 48.4)","(31.0, 120.0, 97.11538461538461)","(2.5, 2.82, 2.797460317460317)","(6.0, 8.0, 7.946666666666666)","(2.5, 2.8, 2.7710545454545454)","(26.0, 80.0, 77.90697674418604)"
10-01-2023 08:09:56.016194,"(11.0, 15.5, 15.39655172413793)","(15.0, 24.0, 23.61111111111111)","(26.0, 50.0, 48.4)","(31.0, 120.0, 97.11538461538461)","(2.5, 2.82, 2.7974193548387096)","(6.0, 8.0, 7.905882352941177)","(2.5, 2.8, 2.7710545454545454)","(26.0, 80.0, 77.90697674418604)"
10-01-2023 08:09:57.106582,"(11.0, 15.5, 15.359375)","(15.0, 24.0, 23.61111111111111)","(26.0, 50.0, 48.4)","(31.0, 120.0, 97.11538461538461)","(2.5, 2.8, 2.7923529411764703)","(6.0, 8.0, 7.963636363636364)","(2.5, 2.8, 2.7710545454545454)","(26.0, 80.0, 77.90697674418604)"
10-01-2023 08:09:58.161698,"(11.0, 15.5, 15.359375)","(15.0, 24.0, 23.61111111111111)","(26.0, 50.0, 48.4)","(31.0, 120.0, 97.11538461538461)","(2.5, 2.8, 2.7923529411764703)","(6.0, 8.0, 7.963636363636364)","(2.5, 2.8, 2.7710545454545454)","(26.0, 80.0, 77.90697674418604)"
10-01-2023 08:09:59.210483,"(11.0, 15.5, 15.359375)","(15.0, 24.0, 23.61111111111111)","(26.0, 50.0, 48.4)","(31.0, 120.0, 97.11538461538461)","(2.5, 2.8, 2.7923529411764703)","(6.0, 8.0, 7.92972972972973)","(2.5, 2.8, 2.7710545454545454)","(26.0, 80.0, 77.90697674418604)"
10-01-2023 08:10:00.262690,"(11.0, 15.5, 15.359375)","(15.0, 24.0, 23.61111111111111)","(26.0, 50.0, 48.4)","(31.0, 120.0, 97.11538461538461)","(2.5, 2.8, 2.7777358490566035)","(6.0, 8.0, 7.92972972972973)","(2.5, 2.8, 2.764109589041096)","(26.0, 80.0, 77.90697674418604)"
10-01-2023 08:10:01.292003,"(11.0, 15.5, 15.35483870967742)","(15.0, 24.0, 23.523809523809526)","(26.0, 50.0, 48.22222222222222)","(31.0, 120.0, 97.11538461538461)","(2.5, 2.78, 2.7866666666666666)","(6.0, 8.0, 7.935)","(2.5, 2.78, 2.754125874125874)","(26.0, 80.0, 77.90697674418604)"
10-01-2023 08:10:02.361315,"(11.0, 15.5, 15.35483870967742)","(15.0, 24.0, 23.61111111111111)","(26.0, 50.0, 48.22222222222222)","(31.0, 120.0, 97.11538461538461)","(2.5, 2.8, 2.7648780487804876)","(6.0, 8.0, 9.391111111111112)","(2.5, 2.78, 2.728636363636364)","(26.0, 80.0, 77.56756756756756)"
10-01-2023 08:10:03.447080,"(11.0, 15.5, 15.178571428571429)","(15.0, 23.0, 22.75)","(26.0, 50.0, 48.06060606060606)","(31.0, 120.0, 95.20833333333333)","(2.5, 2.78, 2.764)","(6.0, 9.4, 9.389289871944122)","(2.5, 2.74, 2.7279166666666668)","(26.0, 80.0, 77.56756756756756)"
10-01-2023 08:10:04.532899,"(11.0, 15.5, 15.178571428571429)","(15.0, 23.0, 22.545454545454547)","(26.0, 50.0, 45.733333333333334)","(31.0, 120.0, 95.20833333333333)","(2.5, 2.78, 2.7725)","(6.0, 9.4, 9.022222222222222)","(2.5, 2.74, 2.7279166666666668)","(26.0, 80.0, 74.70588235294117)"
10-01-2023 08:10:05.624770,"(11.0, 15.0, 14.51863354037267)","(15.0, 23.0, 22.545454545454547)","(26.0, 50.0, 45.733333333333334)","(31.0, 120.0, 95.20833333333333)","(2.5, 2.78, 2.770555555555555)","(6.0, 9.2, 8.525)","(2.5, 2.74, 2.7352542372881357)","(26.0, 80.0, 75.5)"
10-01-2023 08:10:06.714463,"(11.0, 15.0, 14.619718309859154)","(15.0, 23.0, 22.63157894736842)","(26.0, 50.0, 46.0)","(31.0, 120.0, 95.20833333333333)","(2.5, 2.78, 2.770555555555555)","(6.0, 8.6, 8.658823529411766)","(2.5, 2.74, 2.7351724137931037)","(26.0, 80.0, 75.5)"
10-01-2023 08:10:07.798637,"(11.0, 15.5, 15.095238095238095)","(15.0, 23.0, 22.72)","(26.0, 50.0, 46.0)","(31.0, 120.0, 95.20833333333333)","(2.5, 2.78, 2.7669230769230766)","(6.0, 8.8, 8.542857142857143)","(2.45, 2.74, 2.7351724137931037)","(31.0, 80.0, 75.5)"
10-01-2023 08:10:08.915889,"(11.0, 16.0, 15.7)","(15.0, 23.0, 22.72)","(26.0, 48.0, 45.77777777777778)","(31.0, 120.0, 95.20833333333333)","(2.5, 2.78, 2.7669230769230766)","(6.0, 8.6, 8.542857142857143)","(2.45, 2.74, 2.7351724137931037)","(31.0, 80.0, 75.5)"
10-01-2023 08:10:10.061858,"(11.0, 16.0, 15.875)","(15.0, 23.0, 22.72)","(26.0, 48.0, 45.77777777777778)","(31.0, 120.0, 95.20833333333333)","(2.5, 2.78, 2.7669230769230766)","(6.0, 8.6, 8.707692307692309)","(2.45, 2.74, 2.7351724137931037)","(31.0, 80.0, 75.5)"
10-01-2023 08:10:11.189536,"(11.0, 16.0, 15.875)","(15.0, 23.0, 22.72)","(26.0, 48.0, 45.6)","(31.0, 120.0, 95.20833333333333)","(2.5, 2.78, 2.770285714285714)","(6.0, 8.8, 8.547368421052632)","(2.45, 2.74, 2.722962962962963)","(31.0, 80.0, 75.5)"
10-01-2023 08:10:12.255535,"(11.0, 16.0, 15.875)","(15.0, 23.0, 22.5)","(26.0, 46.0, 44.888888888888886)","(31.0, 120.0, 95.20833333333333)","(2.5, 2.78, 2.770285714285714)","(6.0, 8.8, 9.181717451523545)","(2.45, 2.74, 2.7216326530612247)","(31.0, 80.0, 75.5)"
10-01-2023 08:10:13.292879,"(11.0, 16.0, 15.823529411764707)","(15.0, 23.0, 22.5)","(26.0, 48.0, 45.77777777777778)","(31.0, 120.0, 95.20833333333333)","(2.5, 2.78, 2.7593063583815027)","(6.0, 9.2, 9.205128205128204)","(2.45, 2.74, 2.7131914893617024)","(31.0, 80.0, 74.70588235294117)"
10-01-2023 08:10:14.363636,"(11.0, 16.0, 15.357142857142858)","(15.0, 23.0, 22.444444444444443)","(26.0, 48.0, 46.84615384615385)","(31.0, 120.0, 95.20833333333333)","(2.5, 2.76, 2.773269230769231)","(6.0, 9.4, 8.936363636363637)","(2.45, 2.72, 2.7131914893617024)","(31.0, 80.0, 74.70588235294117)"
10-01-2023 08:10:15.360645,"(11.0, 15.5, 15.394736842105264)","(15.0, 23.0, 22.444444444444443)","(26.0, 46.0, 45.81818181818182)","(31.0, 120.0, 95.20833333333333)","(2.5, 2.78, 2.773269230769231)","(6.0, 9.0, 8.78)","(2.45, 2.72, 2.7151515151515153)","(31.0, 80.0, 77.5)"
10-01-2023 08:10:16.375957,"(11.0, 16.0, 15.357142857142858)","(15.0, 23.0, 22.444444444444443)","(26.0, 46.0, 44.333333333333336)","(31.0, 120.0, 95.20833333333333)","(2.5, 2.76, 2.7596666666666665)","(6.0, 9.0, 8.808695652173913)","(2.45, 2.72, 2.7290909090909095)","(31.0, 80.0, 77.35294117647058)"
10-01-2023 08:10:17.551525,"(11.0, 16.0, 15.405405405405405)","(15.0, 23.0, 22.444444444444443)","(26.0, 46.0, 44.333333333333336)","(31.0, 120.0, 95.20833333333333)","(2.5, 2.76, 2.7596666666666665)","(6.0, 9.0, 8.733333333333333)","(2.45, 2.74, 2.726)","(31.0, 80.0, 77.09677419354838)"
10-01-2023 08:10:18.714822,"(11.0, 16.0, 15.405405405405405)","(15.0, 23.0, 22.444444444444443)","(26.0, 46.0, 44.333333333333336)","(31.0, 120.0, 95.20833333333333)","(2.5, 2.76, 2.770849673202614)","(6.0, 9.0, 8.733333333333333)","(2.45, 2.74, 2.7151724137931037)","(31.0, 80.0, 77.09677419354838)"
10-01-2023 08:10:19.890255,"(11.0, 16.0, 15.405405405405405)","(16.0, 23.0, 22.444444444444443)","(26.0, 46.0, 44.54545454545455)","(31.0, 120.0, 95.20833333333333)","(2.5, 2.78, 2.770849673202614)","(6.5, 9.0, 8.733333333333333)","(2.45, 2.72, 2.7151724137931037)","(31.0, 80.0, 77.09677419354838)"
10-01-2023 08:10:21.019524,"(11.0, 16.0, 15.405405405405405)","(16.0, 23.0, 22.444444444444443)","(26.0, 46.0, 44.54545454545455)","(31.0, 120.0, 95.20833333333333)","(2.5, 2.78, 2.771358024691358)","(6.5, 9.0, 8.733333333333333)","(2.45, 2.72, 2.7123529411764706)","(31.0, 80.0, 77.09677419354838)"
10-01-2023 08:10:22.125322,"(11.0, 16.0, 15.520833333333334)","(16.0, 23.0, 22.708333333333332)","(26.0, 46.0, 44.333333333333336)","(31.0, 120.0, 95.20833333333333)","(2.5, 2.78, 2.771358024691358)","(6.5, 9.0, 9.589189189189188)","(2.45, 2.74, 2.7150000000000003)","(31.0, 80.0, 77.09677419354838)"
10-01-2023 08:10:23.247650,"(11.0, 16.0, 15.557377049180328)","(16.0, 23.0, 22.708333333333332)","(26.0, 46.0, 44.333333333333336)","(31.0, 120.0, 95.20833333333333)","(2.5, 2.78, 2.7255737704918035)","(6.5, 9.6, 9.592207792207791)","(2.45, 2.72, 2.706451612903226)","(31.0, 80.0, 77.09677419354838)"
10-01-2023 08:10:24.359540,"(11.0, 15.5, 15.447368421052632)","(16.0, 23.0, 22.666666666666668)","(26.0, 46.0, 44.333333333333336)","(31.0, 120.0, 95.20833333333333)","(2.5, 2.74, 2.6872727272727275)","(6.5, 9.6, 9.692307692307692)","(2.45, 2.72, 2.701818181818182)","(31.0, 80.0, 77.09677419354838)"
10-01-2023 08:10:25.490387,"(11.0, 16.0, 15.557377049180328)","(16.0, 23.0, 22.84)","(26.0, 46.0, 44.333333333333336)","(31.0, 120.0, 95.20833333333333)","(2.5, 2.72, 2.6957894736842105)","(6.5, 9.8, 9.507692307692308)","(2.45, 2.72, 2.70974358974359)","(31.0, 80.0, 75.71428571428572)"
10-01-2023 08:10:26.649566,"(11.0, 16.0, 15.557377049180328)","(16.0, 23.0, 22.91304347826087)","(26.0, 46.0, 44.333333333333336)","(31.0, 120.0, 95.20833333333333)","(2.5, 2.7, 2.717857142857143)","(6.5, 9.6, 9.215873015873015)","(2.45, 2.72, 2.711515151515152)","(31.0, 80.0, 75.71428571428572)"
10-01-2023 08:10:27.770741,"(11.0, 16.0, 15.557377049180328)","(16.0, 23.0, 22.91304347826087)","(26.0, 46.0, 45.69230769230769)","(31.0, 120.0, 95.20833333333333)","(2.5, 2.72, 2.7350000000000003)","(6.5, 9.4, 9.294545454545455)","(2.45, 2.72, 2.6891818181818183)","(31.0, 80.0, 75.71428571428572)"
10-01-2023 08:10:28.868819,"(11.0, 16.0, 15.596491228070175)","(16.0, 24.0, 23.076923076923077)","(26.0, 48.0, 45.857142857142854)","(31.0, 120.0, 95.20833333333333)","(2.5, 2.74, 2.73125)","(6.5, 9.4, 9.3)","(2.45, 2.7, 2.6860818713450296)","(31.0, 80.0, 75.26315789473685)"
10-01-2023 08:10:29.949806,"(11.0, 16.0, 15.596491228070175)","(16.0, 24.0, 23.142857142857142)","(26.0, 48.0, 45.857142857142854)","(31.0, 120.0, 95.20833333333333)","(2.5, 2.74, 2.7164705882352944)","(6.5, 9.4, 9.91891891891892)","(2.45, 2.7, 2.677450980392157)","(31.0, 80.0, 76.47058823529412)"
10-01-2023 08:10:31.177105,"(11.0, 15.5, 15.45945945945946)","(16.0, 23.0, 22.857142857142858)","(26.0, 48.0, 45.857142857142854)","(31.0, 120.0, 95.20833333333333)","(2.5, 2.74, 2.7222222222222223)","(6.5, 10.0, 9.847058823529412)","(2.45, 2.68, 2.6760360360360362)","(31.0, 80.0, 77.0)"
10-01-2023 08:10:32.482356,"(11.0, 15.5, 15.45945945945946)","(16.0, 23.0, 22.846153846153847)","(26.0, 48.0, 45.857142857142854)","(31.0, 120.0, 95.20833333333333)","(2.5, 2.74, 2.7222222222222223)","(6.5, 10.0, 9.7625)","(2.45, 2.68, 2.675686274509804)","(31.0, 80.0, 77.0)"
10-01-2023 08:10:33.682784,"(11.0, 15.5, 15.45945945945946)","(16.0, 23.0, 22.846153846153847)","(26.0, 48.0, 45.6)","(31.0, 120.0, 95.20833333333333)","(2.5, 2.74, 2.7290909090909095)","(6.5, 10.0, 9.788888888888888)","(2.45, 2.68, 2.675686274509804)","(31.0, 80.0, 77.0)"
10-01-2023 08:10:34.909131,"(11.0, 15.5, 15.45945945945946)","(16.0, 23.0, 22.857142857142858)","(26.0, 48.0, 44.84615384615385)","(31.0, 120.0, 90.0)","(2.5, 2.74, 2.6359375000000003)","(6.5, 10.0, 11.488888888888889)","(2.45, 2.68, 2.7697777777777777)","(31.0, 80.0, 73.33333333333333)"
10-01-2023 08:10:36.238517,"(11.0, 15.0, 14.195530726256983)","(16.0, 23.0, 19.96153846153846)","(26.0, 46.0, 43.69230769230769)","(31.0, 120.0, 82.22222222222223)","(2.5, 2.64, 2.66421052631579)","(6.5, 11.5, 11.82716049382716)","(2.45, 2.78, 2.7752941176470585)","(31.0, 80.0, 74.28571428571429)"
10-01-2023 08:10:37.549486,"(11.0, 14.5, 14.320512820512821)","(16.0, 21.0, 19.071428571428573)","(26.0, 44.0, 43.69230769230769)","(31.0, 120.0, 84.28571428571429)","(2.5, 2.68, 2.6682352941176473)","(6.5, 12.0, 12.407534246575342)","(2.45, 2.78, 2.7979591836734694)","(31.0, 80.0, 74.28571428571429)"
10-01-2023 08:10:38.827024,"(11.0, 14.0, 13.90625)","(16.0, 19.5, 18.884615384615383)","(26.0, 44.0, 44.857142857142854)","(31.0, 110.0, 85.0)","(2.5, 2.68, 2.671044776119403)","(6.5, 12.5, 11.902597402597403)","(2.45, 2.82, 2.7878260869565215)","(31.0, 80.0, 72.22222222222223)"
10-01-2023 08:10:39.987613,"(11.0, 14.0, 13.935185185185185)","(16.0, 19.0, 18.884615384615383)","(26.0, 46.0, 45.27272727272727)","(31.0, 110.0, 85.0)","(2.5, 2.68, 2.671549295774648)","(6.5, 12.0, 11.486013986013987)","(2.45, 2.8, 2.789367088607595)","(31.0, 80.0, 72.22222222222223)"
