,Shonas Fury,Blue Bathers,Prince Danube,Last Date,Double Tara,Step Up
06-01-2023 11:02:01.472217,"(4.6, 8.2, 7.566666666666666)","(1.8, 2.34, 1.9180555555555556)","(11.0, 22.0, 16.75)","(4.8, 11.0, 9.211764705882352)","(17.0, 55.0, 38.958333333333336)","(6.0, 10.0, 9.266666666666666)"
06-01-2023 11:02:02.349115,"(4.6, 8.2, 7.566666666666666)","(1.8, 2.34, 1.9180555555555556)","(11.0, 22.0, 16.75)","(4.8, 11.0, 9.211764705882352)","(17.0, 55.0, 38.958333333333336)","(6.0, 10.0, 9.266666666666666)"
06-01-2023 11:02:03.200076,"(4.6, 8.2, 7.566666666666666)","(1.8, 2.34, 1.9180555555555556)","(11.0, 22.0, 16.75)","(4.8, 8.2, 7.3)","(17.0, 55.0, 38.958333333333336)","(6.0, 10.0, 9.266666666666666)"
06-01-2023 11:02:04.106921,"(4.6, 8.2, 7.566666666666666)","(1.8, 2.34, 1.9180555555555556)","(11.0, 22.0, 16.75)","(4.8, 8.2, 7.3)","(17.0, 55.0, 38.958333333333336)","(6.0, 10.0, 9.266666666666666)"
06-01-2023 11:02:05.043469,"(4.6, 8.2, 7.566666666666666)","(1.8, 2.34, 1.9180555555555556)","(11.0, 22.0, 17.8)","(4.8, 8.2, 7.959999999999999)","(17.0, 55.0, 38.958333333333336)","(6.0, 10.0, 9.266666666666666)"
06-01-2023 11:02:05.930295,"(4.6, 8.2, 7.566666666666666)","(1.8, 2.34, 1.9180555555555556)","(11.0, 22.0, 17.8)","(4.8, 8.2, 7.959999999999999)","(17.0, 55.0, 38.958333333333336)","(6.0, 10.0, 9.266666666666666)"
06-01-2023 11:02:06.793317,"(4.6, 8.2, 7.566666666666666)","(1.8, 2.34, 1.9180555555555556)","(11.0, 22.0, 17.4)","(4.8, 8.2, 7.959999999999999)","(17.0, 55.0, 38.958333333333336)","(6.0, 10.0, 9.266666666666666)"
06-01-2023 11:02:07.727226,"(4.6, 8.2, 7.566666666666666)","(1.8, 2.34, 1.9180555555555556)","(11.0, 22.0, 17.4)","(4.8, 8.2, 7.959999999999999)","(17.0, 55.0, 38.958333333333336)","(6.0, 10.0, 9.266666666666666)"
06-01-2023 11:02:08.723139,"(4.6, 8.2, 7.566666666666666)","(1.8, 2.34, 1.9180555555555556)","(11.0, 22.0, 17.4)","(4.8, 8.2, 7.959999999999999)","(17.0, 55.0, 38.958333333333336)","(6.0, 10.0, 9.266666666666666)"
06-01-2023 11:02:09.756921,"(4.6, 8.2, 7.566666666666666)","(1.8, 2.34, 1.9180555555555556)","(11.0, 22.0, 17.4)","(4.8, 8.2, 7.959999999999999)","(17.0, 55.0, 38.958333333333336)","(6.0, 10.0, 9.266666666666666)"
06-01-2023 11:02:10.619714,"(4.6, 8.2, 7.566666666666666)","(1.8, 2.34, 1.9180555555555556)","(11.0, 22.0, 17.4)","(4.8, 8.2, 7.959999999999999)","(17.0, 55.0, 38.958333333333336)","(6.0, 10.0, 9.266666666666666)"
06-01-2023 11:02:11.539990,"(4.6, 8.2, 7.566666666666666)","(1.8, 2.34, 1.9180555555555556)","(11.0, 22.0, 17.4)","(4.8, 8.8, 8.542857142857143)","(17.0, 55.0, 38.958333333333336)","(6.0, 10.0, 9.266666666666666)"
06-01-2023 11:02:12.461423,"(4.6, 8.2, 7.566666666666666)","(1.8, 2.34, 1.9180555555555556)","(11.0, 22.0, 17.4)","(4.8, 8.8, 8.542857142857143)","(17.0, 55.0, 38.958333333333336)","(6.0, 10.0, 9.266666666666666)"
06-01-2023 11:02:13.409776,"(4.6, 8.2, 7.566666666666666)","(1.8, 2.34, 1.9180555555555556)","(11.0, 22.0, 17.4)","(4.8, 8.8, 8.542857142857143)","(17.0, 55.0, 38.958333333333336)","(6.0, 10.0, 9.266666666666666)"
06-01-2023 11:02:14.370766,"(4.6, 8.2, 7.566666666666666)","(1.8, 2.34, 1.9180555555555556)","(11.0, 22.0, 17.4)","(4.8, 8.8, 8.542857142857143)","(17.0, 55.0, 38.958333333333336)","(6.0, 10.0, 9.266666666666666)"
