,Evanlee,Mechanics Kismet,Lamont Bale,Our Watto,Forcefully,Sonic Sammy
12-01-2023 15:22:09.269107,"(15.0, 38.0, 31.625)","(5.5, 11.0, 5.909090909090909)","(4.4, 8.6, 5.311764705882353)","(3.1, 5.1, 4.322222222222222)","(2.6, 4.0, 2.5978947368421053)","(10.0, 21.0, 20.21333333333333)"
12-01-2023 15:22:10.223503,"(15.0, 38.0, 31.625)","(5.5, 11.0, 5.909090909090909)","(4.4, 8.6, 5.311764705882353)","(3.1, 5.1, 4.322222222222222)","(2.6, 4.0, 2.5978947368421053)","(10.0, 21.0, 20.21333333333333)"
12-01-2023 15:22:11.183462,"(15.0, 38.0, 31.625)","(5.5, 11.0, 5.909090909090909)","(4.4, 8.6, 5.311764705882353)","(3.1, 5.1, 4.322222222222222)","(2.6, 4.0, 2.5978947368421053)","(10.0, 21.0, 20.21333333333333)"
12-01-2023 15:22:12.225197,"(15.0, 38.0, 31.625)","(5.5, 11.0, 5.909090909090909)","(4.4, 8.6, 5.311764705882353)","(3.1, 5.1, 4.322222222222222)","(2.6, 4.0, 2.5978947368421053)","(10.0, 21.0, 20.21333333333333)"
12-01-2023 15:22:13.136352,"(15.0, 38.0, 31.625)","(5.5, 11.0, 5.909090909090909)","(4.4, 8.6, 5.311764705882353)","(3.1, 5.1, 4.322222222222222)","(2.6, 4.0, 2.5978947368421053)","(10.0, 21.0, 20.21333333333333)"
12-01-2023 15:22:14.029366,"(15.0, 38.0, 31.625)","(5.5, 11.0, 5.909090909090909)","(4.4, 8.6, 5.311764705882353)","(3.1, 5.1, 4.322222222222222)","(2.6, 4.0, 2.5978947368421053)","(10.0, 21.0, 20.21333333333333)"
12-01-2023 15:22:15.026766,"(15.0, 38.0, 31.625)","(5.5, 11.0, 5.909090909090909)","(4.4, 8.6, 5.311764705882353)","(3.1, 5.1, 4.322222222222222)","(2.6, 4.0, 2.5978947368421053)","(10.0, 21.0, 20.21333333333333)"
12-01-2023 15:22:16.020632,"(15.0, 38.0, 31.625)","(5.5, 11.0, 5.909090909090909)","(4.4, 8.6, 5.311764705882353)","(3.1, 5.1, 4.322222222222222)","(2.6, 4.0, 2.5978947368421053)","(10.0, 21.0, 20.21333333333333)"
12-01-2023 15:22:16.863985,"(15.0, 38.0, 31.625)","(5.5, 11.0, 5.909090909090909)","(4.4, 8.6, 5.311764705882353)","(3.1, 5.1, 4.322222222222222)","(2.6, 4.0, 2.5978947368421053)","(10.0, 21.0, 20.21333333333333)"
12-01-2023 15:22:17.832492,"(15.0, 38.0, 31.625)","(5.5, 11.0, 5.909090909090909)","(4.4, 8.6, 5.311764705882353)","(3.1, 5.1, 4.322222222222222)","(2.6, 4.0, 2.5978947368421053)","(10.0, 21.0, 20.21333333333333)"
12-01-2023 15:22:18.822923,"(15.0, 38.0, 31.625)","(5.5, 11.0, 5.909090909090909)","(4.4, 8.6, 5.311764705882353)","(3.1, 5.1, 4.322222222222222)","(2.6, 4.0, 2.72125)","(10.0, 21.0, 20.21333333333333)"
12-01-2023 15:22:19.723495,"(15.0, 38.0, 31.625)","(5.5, 11.0, 5.909090909090909)","(4.4, 8.6, 5.311764705882353)","(3.1, 5.1, 4.322222222222222)","(2.6, 3.85, 2.72125)","(10.0, 21.0, 20.21333333333333)"
12-01-2023 15:22:20.698459,"(15.0, 38.0, 31.625)","(5.5, 11.0, 5.909090909090909)","(4.4, 8.6, 5.311764705882353)","(3.1, 5.1, 4.322222222222222)","(2.6, 3.85, 2.72125)","(10.0, 21.0, 20.21333333333333)"
12-01-2023 15:22:21.699597,"(15.0, 38.0, 31.625)","(5.5, 11.0, 5.909090909090909)","(4.4, 8.6, 5.311764705882353)","(3.1, 5.1, 4.322222222222222)","(2.6, 3.85, 2.72125)","(10.0, 21.0, 20.21333333333333)"
12-01-2023 15:22:22.649873,"(15.0, 38.0, 31.625)","(5.5, 11.0, 5.909090909090909)","(4.4, 8.6, 5.311764705882353)","(3.1, 5.1, 4.322222222222222)","(2.6, 3.85, 2.72125)","(10.0, 21.0, 20.21333333333333)"
12-01-2023 15:22:23.554073,"(15.0, 38.0, 31.625)","(5.5, 11.0, 5.909090909090909)","(4.4, 8.6, 5.311764705882353)","(3.1, 5.1, 4.322222222222222)","(2.6, 3.85, 2.72125)","(10.0, 21.0, 20.21333333333333)"
12-01-2023 15:22:24.516613,"(15.0, 38.0, 31.625)","(5.5, 11.0, 5.909090909090909)","(4.4, 8.6, 5.311764705882353)","(3.1, 5.1, 4.322222222222222)","(2.6, 3.85, 2.72125)","(10.0, 21.0, 20.21333333333333)"
