,Choir Boy,Dixon Bay,Sarodec,Liability,Elected,Hokahey,Ready For Better,Wickedn Lovinit
08-01-2023 13:44:53.136158,"(5.5, 8.6, 8.32)","(9.0, 15.0, 13.5375)","(41.0, 140.0, 78.66666666666667)","(5.0, 7.0, 6.781818181818182)","(6.5, 9.2, 8.054545454545455)","(3.3, 5.0, 4.885714285714286)","(4.6, 5.4, 5.330769230769231)","(8.5, 10.0, 9.923076923076923)"
08-01-2023 13:44:54.577214,"(5.5, 8.6, 8.32)","(9.0, 15.0, 13.5375)","(41.0, 140.0, 78.66666666666667)","(5.0, 7.0, 6.781818181818182)","(6.5, 9.2, 8.054545454545455)","(3.3, 5.0, 4.8)","(4.6, 5.4, 5.330769230769231)","(8.5, 10.0, 9.923076923076923)"
08-01-2023 13:44:55.873645,"(5.5, 8.6, 8.32)","(9.0, 15.0, 13.5375)","(41.0, 140.0, 78.66666666666667)","(5.0, 7.0, 6.781818181818182)","(6.5, 9.2, 8.054545454545455)","(3.3, 5.3, 4.8)","(4.6, 5.4, 5.330769230769231)","(8.5, 10.0, 9.923076923076923)"
08-01-2023 13:44:57.158619,"(5.5, 8.6, 8.32)","(9.0, 15.0, 13.5375)","(41.0, 140.0, 78.66666666666667)","(5.0, 7.0, 6.781818181818182)","(6.5, 9.2, 8.054545454545455)","(3.3, 5.3, 4.75)","(4.6, 5.4, 5.330769230769231)","(8.5, 10.0, 9.923076923076923)"
08-01-2023 13:44:58.194964,"(5.5, 8.6, 8.32)","(9.0, 15.0, 13.5375)","(41.0, 140.0, 78.66666666666667)","(5.0, 7.0, 6.781818181818182)","(6.5, 9.2, 8.054545454545455)","(3.3, 5.3, 4.64)","(4.6, 5.4, 5.330769230769231)","(8.5, 10.0, 9.923076923076923)"
08-01-2023 13:44:59.283499,"(5.5, 8.6, 8.32)","(9.0, 15.0, 13.5375)","(41.0, 140.0, 78.66666666666667)","(5.0, 7.0, 6.781818181818182)","(6.5, 9.2, 8.054545454545455)","(3.3, 5.3, 4.64)","(4.6, 5.4, 5.330769230769231)","(8.5, 10.0, 9.923076923076923)"
08-01-2023 13:45:00.397648,"(5.5, 8.6, 8.32)","(9.0, 15.0, 13.5375)","(41.0, 140.0, 78.66666666666667)","(5.0, 7.0, 6.781818181818182)","(6.5, 9.2, 8.85)","(3.3, 5.3, 4.64)","(4.6, 5.4, 5.330769230769231)","(8.5, 10.0, 9.333333333333334)"
08-01-2023 13:45:01.602427,"(5.5, 8.6, 8.32)","(9.0, 15.0, 13.5375)","(41.0, 140.0, 78.66666666666667)","(5.0, 7.0, 6.781818181818182)","(6.5, 9.2, 8.85)","(3.3, 5.3, 4.3100000000000005)","(4.6, 5.4, 5.330769230769231)","(8.5, 10.0, 9.333333333333334)"
08-01-2023 13:45:02.786770,"(5.5, 8.6, 8.32)","(9.0, 15.0, 13.5375)","(41.0, 140.0, 78.66666666666667)","(5.0, 7.0, 6.781818181818182)","(6.5, 9.2, 8.85)","(3.3, 5.3, 4.3100000000000005)","(4.6, 5.4, 5.330769230769231)","(8.5, 10.0, 9.333333333333334)"
08-01-2023 13:45:03.898865,"(5.5, 8.6, 8.32)","(9.0, 15.0, 13.5375)","(41.0, 140.0, 78.66666666666667)","(5.0, 7.0, 6.781818181818182)","(6.5, 9.2, 8.85)","(3.3, 5.3, 4.4)","(4.6, 5.4, 5.330769230769231)","(8.5, 10.0, 9.4)"
