,Delightful Mia,Jilliby Willow,Ajay Breezy Rose,Story To Tell,Gossip Girl Nz,Lady Lani,Ruby Wingate,Celestialfragrance,Sassyola,Orbie
07-01-2023 17:12:09.306019,"(41.0, 120.0, 65.33333333333333)","(2.8, 4.5, 3.182352941176471)","(31.0, 100.0, 86.4)","(5.0, 8.6, 6.699999999999999)","(6.5, 99999, 99990)","(41.0, 130.0, 111.6)","(14.0, 32.0, 19.666666666666664)","(4.8, 7.0, 5.055555555555555)","(6.0, 10.5, 9.0)","(14.0, 27.0, 14.2)"
07-01-2023 17:12:10.643985,"(41.0, 120.0, 65.33333333333333)","(2.8, 4.5, 3.182352941176471)","(31.0, 100.0, 86.4)","(5.0, 8.6, 6.699999999999999)","(6.5, 99999, 99990)","(41.0, 130.0, 111.6)","(14.0, 32.0, 19.666666666666664)","(4.8, 7.0, 5.055555555555555)","(6.0, 10.5, 9.0)","(14.0, 27.0, 14.2)"
07-01-2023 17:12:11.967081,"(41.0, 120.0, 65.33333333333333)","(2.8, 4.5, 3.182352941176471)","(31.0, 100.0, 86.4)","(5.0, 8.6, 6.699999999999999)","(6.5, 99999, 99990)","(41.0, 130.0, 111.6)","(14.0, 32.0, 19.666666666666664)","(4.8, 7.0, 5.055555555555555)","(6.0, 10.5, 9.0)","(14.0, 27.0, 14.2)"
07-01-2023 17:12:13.287255,"(41.0, 120.0, 65.33333333333333)","(2.8, 4.5, 3.182352941176471)","(31.0, 100.0, 86.4)","(5.0, 8.6, 6.699999999999999)","(6.5, 99999, 99990)","(41.0, 130.0, 111.6)","(14.0, 32.0, 19.666666666666664)","(4.8, 7.0, 5.055555555555555)","(6.0, 10.5, 9.0)","(14.0, 27.0, 14.2)"
07-01-2023 17:12:14.507430,"(41.0, 120.0, 65.33333333333333)","(2.8, 4.5, 3.182352941176471)","(31.0, 100.0, 86.4)","(5.0, 8.6, 6.699999999999999)","(6.5, 99999, 99990)","(41.0, 130.0, 111.6)","(14.0, 32.0, 19.666666666666664)","(4.8, 7.0, 5.055555555555555)","(6.0, 10.5, 9.0)","(14.0, 27.0, 14.2)"
07-01-2023 17:12:15.697955,"(41.0, 120.0, 65.33333333333333)","(2.8, 4.5, 3.182352941176471)","(31.0, 100.0, 86.4)","(5.0, 8.6, 6.699999999999999)","(6.5, 99999, 99990)","(41.0, 130.0, 111.6)","(14.0, 32.0, 19.666666666666664)","(4.8, 7.0, 5.055555555555555)","(6.0, 10.5, 9.0)","(14.0, 27.0, 14.2)"
07-01-2023 17:12:16.883544,"(41.0, 120.0, 65.33333333333333)","(2.8, 4.5, 3.182352941176471)","(31.0, 100.0, 86.4)","(5.0, 8.6, 6.699999999999999)","(6.5, 99999, 99990)","(41.0, 130.0, 111.6)","(14.0, 32.0, 19.666666666666664)","(4.8, 7.0, 5.055555555555555)","(6.0, 10.5, 9.0)","(14.0, 27.0, 14.2)"
07-01-2023 17:12:18.158005,"(41.0, 120.0, 65.33333333333333)","(2.8, 4.5, 3.182352941176471)","(31.0, 100.0, 86.4)","(5.0, 8.6, 6.699999999999999)","(6.5, 99999, 99990)","(41.0, 130.0, 111.6)","(14.0, 32.0, 19.666666666666664)","(4.8, 7.0, 5.055555555555555)","(6.0, 10.5, 9.0)","(14.0, 27.0, 14.2)"
07-01-2023 17:12:19.459052,"(41.0, 120.0, 65.33333333333333)","(2.8, 4.5, 3.182352941176471)","(31.0, 100.0, 86.4)","(5.0, 8.6, 6.699999999999999)","(6.5, 99999, 99990)","(41.0, 130.0, 111.6)","(14.0, 32.0, 19.666666666666664)","(4.8, 7.0, 5.055555555555555)","(6.0, 10.5, 9.0)","(14.0, 27.0, 14.2)"
07-01-2023 17:12:20.686715,"(41.0, 120.0, 65.33333333333333)","(2.8, 4.5, 3.182352941176471)","(31.0, 100.0, 86.4)","(5.0, 8.6, 6.699999999999999)","(6.5, 99999, 99990)","(41.0, 130.0, 111.6)","(14.0, 32.0, 19.666666666666664)","(4.8, 7.0, 5.055555555555555)","(6.0, 10.5, 9.0)","(14.0, 27.0, 14.2)"
