,Ms Lucky Leaves,Hillbilly Joker,Bad Bailey,Real Talent,Tysons Typhoon,Darley Dynamo,Lala Que,Earn The Fizz
09-01-2023 11:00:03.414344,"(4.8, 12.0, 5.52)","(12.0, 32.0, 25.823529411764707)","(11.0, 24.0, 20.11111111111111)","(15.0, 38.0, 26.863636363636363)","(10.0, 20.0, 16.214285714285715)","(2.8, 4.3, 3.34)","(5.0, 8.0, 6.541666666666666)","(4.8, 7.8, 6.675000000000001)"
09-01-2023 11:00:04.590006,"(4.8, 12.0, 5.52)","(12.0, 32.0, 25.823529411764707)","(11.0, 24.0, 20.11111111111111)","(15.0, 38.0, 26.863636363636363)","(10.0, 20.0, 16.214285714285715)","(2.8, 4.3, 3.34)","(5.0, 8.0, 6.541666666666666)","(4.8, 7.8, 6.675000000000001)"
09-01-2023 11:00:05.744267,"(4.8, 12.0, 5.52)","(12.0, 32.0, 26.75)","(11.0, 24.0, 20.705882352941174)","(15.0, 38.0, 28.200000000000003)","(10.0, 20.0, 16.214285714285715)","(2.8, 4.3, 3.34)","(5.0, 8.0, 6.541666666666666)","(4.8, 7.8, 6.675000000000001)"
09-01-2023 11:00:06.920287,"(4.8, 12.0, 5.52)","(12.0, 32.0, 26.75)","(11.0, 24.0, 20.705882352941174)","(15.0, 38.0, 26.863636363636363)","(10.0, 20.0, 16.214285714285715)","(2.8, 4.3, 3.34)","(5.0, 8.0, 6.541666666666666)","(4.8, 7.8, 6.675000000000001)"
09-01-2023 11:00:08.111408,"(4.8, 12.0, 5.52)","(12.0, 32.0, 25.823529411764707)","(11.0, 24.0, 19.88235294117647)","(15.0, 38.0, 26.863636363636363)","(10.0, 20.0, 15.923076923076923)","(2.8, 4.3, 3.34)","(5.0, 8.0, 6.541666666666666)","(4.8, 7.8, 6.675000000000001)"
09-01-2023 11:00:09.332998,"(4.8, 12.0, 5.52)","(12.0, 32.0, 25.823529411764707)","(11.0, 24.0, 20.11111111111111)","(15.0, 38.0, 26.863636363636363)","(10.0, 20.0, 15.923076923076923)","(2.8, 4.3, 3.34)","(5.0, 8.0, 6.541666666666666)","(4.8, 7.8, 6.675000000000001)"
09-01-2023 11:00:10.540582,"(4.8, 12.0, 5.52)","(12.0, 32.0, 25.823529411764707)","(11.0, 24.0, 20.11111111111111)","(15.0, 38.0, 26.863636363636363)","(10.0, 20.0, 15.923076923076923)","(2.8, 4.3, 3.34)","(5.0, 8.0, 6.541666666666666)","(4.8, 7.8, 6.675000000000001)"
09-01-2023 11:00:11.722643,"(4.8, 12.0, 5.52)","(12.0, 32.0, 25.823529411764707)","(11.0, 24.0, 20.11111111111111)","(15.0, 38.0, 26.863636363636363)","(10.0, 20.0, 15.923076923076923)","(2.8, 4.3, 3.34)","(5.0, 8.0, 6.541666666666666)","(4.8, 7.8, 6.675000000000001)"
09-01-2023 11:00:12.969684,"(4.8, 12.0, 5.52)","(12.0, 32.0, 25.823529411764707)","(11.0, 24.0, 20.11111111111111)","(15.0, 38.0, 26.863636363636363)","(10.0, 20.0, 15.923076923076923)","(2.8, 4.3, 3.34)","(5.0, 8.0, 6.541666666666666)","(4.8, 7.8, 6.675000000000001)"
09-01-2023 11:00:14.156005,"(4.8, 12.0, 5.52)","(12.0, 32.0, 25.823529411764707)","(11.0, 24.0, 20.11111111111111)","(15.0, 38.0, 26.863636363636363)","(10.0, 20.0, 15.923076923076923)","(2.8, 4.3, 3.34)","(5.0, 8.0, 6.541666666666666)","(4.8, 7.8, 6.675000000000001)"
