,Safe Hustle,If I Din Havadime,More Special,Fine Line,Kamaka
07-01-2023 14:19:49.888559,"(9.0, 12.5, 12.352941176470589)","(4.8, 5.8, 5.433333333333334)","(2.4, 2.88, 2.8274999999999997)","(9.0, 10.5, 10.359375)","(3.3, 3.9, 3.891304347826087)"
07-01-2023 14:19:50.808660,"(9.0, 12.5, 12.352941176470589)","(4.8, 5.8, 5.433333333333334)","(2.4, 2.88, 2.83)","(9.0, 10.5, 10.359375)","(3.3, 3.9, 3.891304347826087)"
07-01-2023 14:19:51.755557,"(9.0, 12.5, 12.105263157894736)","(4.8, 5.8, 5.433333333333334)","(2.4, 2.88, 2.837142857142857)","(9.0, 10.5, 10.359375)","(3.3, 3.9, 3.891304347826087)"
07-01-2023 14:19:52.719969,"(9.0, 12.5, 12.222222222222221)","(4.8, 5.8, 5.433333333333334)","(2.4, 2.88, 2.832272727272727)","(9.0, 10.5, 10.359375)","(3.3, 3.9, 3.891304347826087)"
07-01-2023 14:19:53.586445,"(9.0, 12.5, 12.222222222222221)","(4.8, 5.8, 5.433333333333334)","(2.4, 2.88, 2.832272727272727)","(9.0, 10.5, 10.359375)","(3.3, 3.9, 3.891304347826087)"
07-01-2023 14:19:54.473715,"(9.0, 12.5, 12.222222222222221)","(4.8, 5.8, 5.433333333333334)","(2.4, 2.88, 2.832272727272727)","(9.0, 10.5, 10.359375)","(3.3, 3.9, 3.891304347826087)"
07-01-2023 14:19:55.332589,"(9.0, 12.5, 12.222222222222221)","(4.8, 5.8, 5.433333333333334)","(2.4, 2.88, 2.832272727272727)","(9.0, 10.5, 10.359375)","(3.3, 3.9, 3.891304347826087)"
07-01-2023 14:19:56.304636,"(9.0, 12.5, 12.222222222222221)","(4.8, 5.8, 5.433333333333334)","(2.4, 2.88, 2.832272727272727)","(9.0, 10.5, 10.359375)","(3.3, 3.9, 3.891304347826087)"
07-01-2023 14:19:57.352770,"(9.0, 12.5, 12.222222222222221)","(4.8, 5.8, 5.433333333333334)","(2.4, 2.88, 2.832272727272727)","(9.0, 10.5, 10.95)","(3.3, 3.9, 3.8872340425531915)"
07-01-2023 14:19:58.205564,"(9.0, 12.0, 11.882352941176471)","(4.8, 5.8, 5.428571428571429)","(2.4, 2.88, 2.8449999999999998)","(9.0, 11.0, 10.95)","(3.3, 3.9, 3.8872340425531915)"
07-01-2023 14:19:59.243018,"(9.0, 12.0, 11.882352941176471)","(4.8, 5.8, 5.433333333333334)","(2.4, 2.88, 2.8317391304347823)","(9.0, 10.5, 10.359375)","(3.3, 3.9, 3.891304347826087)"
07-01-2023 14:20:00.244261,"(9.0, 12.5, 12.222222222222221)","(4.8, 5.8, 5.433333333333334)","(2.4, 2.88, 2.8317391304347823)","(9.0, 10.5, 10.359375)","(3.3, 3.9, 3.891304347826087)"
07-01-2023 14:20:01.266228,"(9.0, 12.5, 12.222222222222221)","(4.8, 5.8, 5.433333333333334)","(2.4, 2.88, 2.8317391304347823)","(9.0, 10.5, 10.359375)","(3.3, 3.9, 3.891304347826087)"
07-01-2023 14:20:02.172016,"(9.0, 12.5, 12.222222222222221)","(4.8, 5.8, 5.433333333333334)","(2.4, 2.88, 2.8317391304347823)","(9.0, 10.5, 10.359375)","(3.3, 3.9, 3.891304347826087)"
07-01-2023 14:20:03.305554,"(9.0, 12.5, 12.222222222222221)","(4.8, 5.8, 5.412903225806452)","(2.4, 2.88, 2.8410526315789473)","(9.0, 10.5, 10.444444444444445)","(3.3, 3.9, 3.8872340425531915)"
