,Im Ready Jet,Majestuoso Nz,Hopeful Beauty Fra,Always Ready,Aldebaran Zeus,Sleepee,Sundons Courage,Ollivici Nz,Nephew Of Sonoko,Keayang Livana
07-01-2023 18:53:45.665481,"(3.0, 4.7, 4.5)","(1.95, 99999, 99990)","(10.0, 99999, 99990)","(31.0, 50.0, 40.0)","(8.5, 11.0, 10.542857142857143)","(101.0, 210.0, 163.33333333333334)","(71.0, 90.0, 82.5)","(8.5, 99999, 99990)","(41.0, 90.0, 72.5)","(71.0, 140.0, 125.71428571428572)"
07-01-2023 18:53:46.990712,"(3.0, 4.7, 4.5)","(1.95, 99999, 99990)","(10.0, 99999, 99990)","(31.0, 50.0, 40.0)","(8.5, 11.0, 10.542857142857143)","(101.0, 210.0, 163.33333333333334)","(71.0, 90.0, 82.5)","(8.5, 99999, 99990)","(41.0, 90.0, 72.5)","(71.0, 140.0, 125.71428571428572)"
07-01-2023 18:53:48.327236,"(3.0, 4.7, 4.5)","(1.95, 99999, 99990)","(10.0, 99999, 99990)","(31.0, 50.0, 40.0)","(8.5, 11.0, 10.542857142857143)","(101.0, 210.0, 163.33333333333334)","(71.0, 90.0, 82.5)","(8.5, 99999, 99990)","(41.0, 90.0, 72.5)","(71.0, 140.0, 125.71428571428572)"
07-01-2023 18:53:49.638785,"(3.0, 4.5, 4.22093023255814)","(1.95, 99999, 99990)","(10.0, 99999, 99990)","(31.0, 50.0, 40.0)","(8.5, 11.0, 10.542857142857143)","(101.0, 210.0, 163.33333333333334)","(71.0, 90.0, 82.5)","(8.5, 99999, 99990)","(41.0, 90.0, 72.5)","(71.0, 140.0, 125.71428571428572)"
07-01-2023 18:53:50.943783,"(3.0, 4.5, 4.22093023255814)","(1.95, 99999, 99990)","(10.0, 99999, 99990)","(31.0, 50.0, 40.0)","(8.5, 11.0, 10.542857142857143)","(101.0, 210.0, 163.33333333333334)","(71.0, 90.0, 82.5)","(8.5, 99999, 99990)","(41.0, 90.0, 72.5)","(71.0, 140.0, 125.71428571428572)"
07-01-2023 18:53:52.306930,"(3.0, 4.5, 4.22093023255814)","(1.95, 99999, 99990)","(10.0, 99999, 99990)","(31.0, 50.0, 40.0)","(8.5, 11.0, 10.542857142857143)","(101.0, 210.0, 163.33333333333334)","(71.0, 90.0, 82.5)","(8.5, 99999, 99990)","(41.0, 90.0, 72.5)","(71.0, 140.0, 125.71428571428572)"
07-01-2023 18:53:53.850820,"(3.0, 4.5, 4.22093023255814)","(1.95, 99999, 99990)","(10.0, 99999, 99990)","(31.0, 50.0, 40.0)","(8.5, 11.0, 10.542857142857143)","(101.0, 210.0, 163.33333333333334)","(71.0, 90.0, 82.5)","(8.5, 99999, 99990)","(41.0, 90.0, 72.5)","(71.0, 140.0, 125.71428571428572)"
07-01-2023 18:53:55.305814,"(3.0, 4.5, 4.22093023255814)","(1.95, 99999, 99990)","(10.0, 99999, 99990)","(31.0, 50.0, 40.0)","(8.5, 11.0, 10.542857142857143)","(101.0, 210.0, 163.33333333333334)","(71.0, 90.0, 82.5)","(8.5, 99999, 99990)","(41.0, 90.0, 72.5)","(71.0, 140.0, 125.71428571428572)"
07-01-2023 18:53:56.607580,"(3.0, 4.5, 4.22093023255814)","(1.95, 99999, 99990)","(10.0, 99999, 99990)","(31.0, 50.0, 40.0)","(8.5, 11.0, 10.542857142857143)","(101.0, 210.0, 163.33333333333334)","(71.0, 90.0, 82.5)","(8.5, 99999, 99990)","(41.0, 90.0, 72.5)","(71.0, 140.0, 125.71428571428572)"
07-01-2023 18:53:58.002433,"(3.0, 4.5, 4.22093023255814)","(1.95, 99999, 99990)","(10.0, 99999, 99990)","(31.0, 50.0, 40.0)","(8.5, 11.0, 10.542857142857143)","(101.0, 210.0, 163.33333333333334)","(71.0, 90.0, 82.5)","(8.5, 99999, 99990)","(41.0, 90.0, 72.5)","(71.0, 140.0, 125.71428571428572)"
