,Paramount Rush,Kahlua And Soda,Up There Millie,Magic Zimba,Destini Fresco,Up There Rocco
16-12-2022 10:46:57.428242,"(3.9, 5.9, 5.460000000000001)","(4.6, 7.6, 7.142857142857142)","(21.0, 90.0, 50.83333333333333)","(19.0, 75.0, 43.611111111111114)","(14.0, 55.0, 35.0)","(1.6, 1.89, 1.6187500000000001)"
16-12-2022 10:46:58.497371,"(3.9, 5.9, 5.460000000000001)","(4.6, 7.6, 7.142857142857142)","(21.0, 90.0, 50.83333333333333)","(19.0, 75.0, 43.611111111111114)","(14.0, 55.0, 35.0)","(1.6, 1.89, 1.6187500000000001)"
16-12-2022 10:46:59.500927,"(3.9, 5.9, 5.460000000000001)","(4.6, 7.6, 7.142857142857142)","(21.0, 90.0, 50.83333333333333)","(19.0, 75.0, 43.611111111111114)","(14.0, 55.0, 35.25)","(1.6, 1.89, 1.6187500000000001)"
16-12-2022 10:47:00.351615,"(3.9, 5.9, 5.460000000000001)","(4.6, 7.6, 7.142857142857142)","(21.0, 90.0, 50.83333333333333)","(19.0, 75.0, 43.611111111111114)","(14.0, 55.0, 35.25)","(1.6, 1.89, 1.6187500000000001)"
16-12-2022 10:47:01.276563,"(3.9, 5.9, 5.460000000000001)","(4.6, 7.6, 7.142857142857142)","(21.0, 90.0, 50.83333333333333)","(19.0, 75.0, 43.611111111111114)","(14.0, 55.0, 35.25)","(1.6, 1.89, 1.6187500000000001)"
16-12-2022 10:47:02.273798,"(3.9, 5.9, 5.460000000000001)","(4.6, 7.6, 7.142857142857142)","(21.0, 90.0, 50.83333333333333)","(19.0, 75.0, 43.611111111111114)","(14.0, 55.0, 35.25)","(1.6, 1.89, 1.6187500000000001)"
16-12-2022 10:47:03.342716,"(3.9, 5.9, 5.460000000000001)","(4.6, 7.6, 7.142857142857142)","(21.0, 90.0, 50.83333333333333)","(19.0, 75.0, 43.611111111111114)","(14.0, 55.0, 35.25)","(1.6, 1.89, 1.6187500000000001)"
16-12-2022 10:47:04.321435,"(3.9, 5.9, 5.460000000000001)","(4.6, 7.6, 7.142857142857142)","(21.0, 90.0, 50.83333333333333)","(19.0, 75.0, 43.611111111111114)","(14.0, 55.0, 37.214285714285715)","(1.6, 1.89, 1.6187500000000001)"
16-12-2022 10:47:05.235795,"(3.9, 5.9, 5.460000000000001)","(4.6, 7.6, 7.142857142857142)","(21.0, 90.0, 50.83333333333333)","(19.0, 75.0, 43.611111111111114)","(14.0, 55.0, 37.214285714285715)","(1.6, 1.89, 1.6187500000000001)"
16-12-2022 10:47:06.070915,"(3.9, 5.9, 5.460000000000001)","(4.6, 7.6, 7.142857142857142)","(21.0, 90.0, 50.83333333333333)","(19.0, 75.0, 43.611111111111114)","(14.0, 55.0, 37.214285714285715)","(1.6, 1.89, 1.6187500000000001)"
16-12-2022 10:47:06.996829,"(3.9, 5.9, 5.460000000000001)","(4.6, 7.6, 7.142857142857142)","(21.0, 90.0, 50.83333333333333)","(19.0, 75.0, 43.611111111111114)","(14.0, 55.0, 37.42857142857143)","(1.6, 1.89, 1.6187500000000001)"
16-12-2022 10:47:08.196344,"(3.9, 5.9, 5.460000000000001)","(4.6, 7.6, 7.142857142857142)","(21.0, 90.0, 50.83333333333333)","(19.0, 75.0, 43.611111111111114)","(14.0, 55.0, 37.42857142857143)","(1.6, 1.89, 1.6187500000000001)"
16-12-2022 10:47:09.146712,"(3.9, 5.9, 5.460000000000001)","(4.6, 7.6, 7.142857142857142)","(21.0, 90.0, 50.83333333333333)","(19.0, 75.0, 43.611111111111114)","(14.0, 55.0, 37.42857142857143)","(1.6, 1.89, 1.6187500000000001)"
