,Jess For Kicks,Holy Pink,Supersnake,Ballymena,Ultimate Breeze,Americas Woman,Red Priestess,Mi Yayis,My Bridget Verdot
06-01-2023 09:54:57.093321,"(9.0, 17.0, 13.0)","(11.0, 22.0, 16.0)","(17.0, 230.0, 193.83333333333331)","(19.0, 180.0, 146.9)","(17.0, 230.0, 148.625)","(9.0, 17.0, 13.0)","(1.7, 2.0, 1.9726470588235294)","(6.0, 10.5, 8.19)","(19.0, 230.0, 158.16666666666666)"
06-01-2023 09:54:58.201545,"(9.0, 17.0, 13.0)","(11.0, 22.0, 16.0)","(17.0, 230.0, 193.83333333333331)","(19.0, 180.0, 146.9)","(17.0, 230.0, 148.625)","(9.0, 17.0, 13.0)","(1.7, 2.0, 1.9726470588235294)","(6.0, 10.5, 8.19)","(19.0, 230.0, 158.16666666666666)"
06-01-2023 09:54:59.267593,"(9.0, 17.0, 13.0)","(11.0, 22.0, 16.0)","(17.0, 230.0, 193.83333333333331)","(19.0, 180.0, 146.9)","(17.0, 230.0, 148.625)","(9.0, 17.0, 13.0)","(1.7, 2.0, 1.9726470588235294)","(6.0, 10.5, 8.19)","(19.0, 230.0, 158.16666666666666)"
06-01-2023 09:55:00.358377,"(9.0, 17.0, 13.0)","(11.0, 22.0, 16.0)","(17.0, 230.0, 193.83333333333331)","(19.0, 180.0, 146.9)","(17.0, 230.0, 148.625)","(9.0, 17.0, 13.0)","(1.7, 2.0, 1.9726470588235294)","(6.0, 10.5, 8.19)","(19.0, 230.0, 158.16666666666666)"
06-01-2023 09:55:01.434640,"(9.0, 17.0, 13.0)","(11.0, 22.0, 16.0)","(17.0, 230.0, 193.83333333333331)","(19.0, 180.0, 146.9)","(17.0, 230.0, 148.625)","(9.0, 17.0, 13.0)","(1.7, 2.0, 1.9726470588235294)","(6.0, 10.5, 8.19)","(19.0, 230.0, 158.16666666666666)"
06-01-2023 09:55:02.496880,"(9.0, 17.0, 13.0)","(11.0, 22.0, 16.0)","(17.0, 230.0, 193.83333333333331)","(19.0, 180.0, 146.9)","(17.0, 230.0, 148.625)","(9.0, 17.0, 13.0)","(1.7, 2.0, 1.9726470588235294)","(6.0, 10.5, 8.19)","(19.0, 230.0, 158.16666666666666)"
06-01-2023 09:55:03.615765,"(9.0, 17.0, 13.0)","(11.0, 22.0, 16.0)","(17.0, 230.0, 193.83333333333331)","(19.0, 180.0, 146.9)","(17.0, 230.0, 148.625)","(9.0, 17.0, 13.0)","(1.7, 2.0, 1.9726470588235294)","(6.0, 10.5, 8.19)","(19.0, 230.0, 158.16666666666666)"
06-01-2023 09:55:04.694851,"(9.0, 17.0, 13.0)","(11.0, 22.0, 16.0)","(17.0, 230.0, 193.83333333333331)","(19.0, 180.0, 146.9)","(17.0, 230.0, 148.625)","(9.0, 17.0, 13.0)","(1.7, 2.0, 1.9726470588235294)","(6.0, 10.5, 8.19)","(19.0, 230.0, 158.16666666666666)"
06-01-2023 09:55:05.783890,"(9.0, 17.0, 13.0)","(11.0, 22.0, 16.0)","(17.0, 230.0, 193.83333333333331)","(19.0, 180.0, 146.9)","(17.0, 230.0, 148.625)","(9.0, 17.0, 13.0)","(1.7, 2.0, 1.9726470588235294)","(6.0, 10.5, 8.19)","(19.0, 230.0, 158.16666666666666)"
06-01-2023 09:55:06.878443,"(9.0, 17.0, 13.0)","(11.0, 22.0, 16.0)","(17.0, 230.0, 193.83333333333331)","(19.0, 180.0, 146.9)","(17.0, 230.0, 148.625)","(9.0, 17.0, 13.0)","(1.7, 2.0, 1.9726470588235294)","(6.0, 10.5, 8.19)","(19.0, 230.0, 158.16666666666666)"
06-01-2023 09:55:07.974695,"(9.0, 17.0, 13.0)","(11.0, 22.0, 16.0)","(17.0, 230.0, 193.83333333333331)","(19.0, 180.0, 146.9)","(17.0, 230.0, 148.625)","(9.0, 17.0, 13.0)","(1.7, 2.0, 1.9726470588235294)","(6.0, 10.5, 8.19)","(19.0, 230.0, 158.16666666666666)"
06-01-2023 09:55:09.176080,"(9.0, 17.0, 13.0)","(11.0, 22.0, 16.0)","(17.0, 230.0, 193.83333333333331)","(19.0, 180.0, 146.9)","(17.0, 230.0, 148.625)","(9.0, 17.0, 13.0)","(1.7, 2.0, 1.9726470588235294)","(6.0, 10.5, 8.19)","(19.0, 230.0, 158.16666666666666)"
06-01-2023 09:55:10.336927,"(9.0, 17.0, 13.0)","(11.0, 22.0, 16.0)","(17.0, 230.0, 193.83333333333331)","(19.0, 180.0, 146.9)","(17.0, 230.0, 148.625)","(9.0, 17.0, 13.0)","(1.7, 2.0, 1.9726470588235294)","(6.0, 10.5, 8.19)","(19.0, 230.0, 158.16666666666666)"
06-01-2023 09:55:11.444144,"(9.0, 17.0, 13.0)","(11.0, 22.0, 16.0)","(17.0, 230.0, 193.83333333333331)","(19.0, 180.0, 146.9)","(17.0, 230.0, 148.625)","(9.0, 17.0, 13.0)","(1.7, 2.0, 1.9726470588235294)","(6.0, 10.5, 8.19)","(19.0, 230.0, 158.16666666666666)"
06-01-2023 09:55:12.565443,"(9.0, 17.0, 13.0)","(11.0, 22.0, 16.0)","(17.0, 230.0, 193.83333333333331)","(19.0, 180.0, 146.9)","(17.0, 230.0, 148.625)","(9.0, 17.0, 13.0)","(1.7, 2.0, 1.9726470588235294)","(6.0, 10.5, 8.19)","(19.0, 230.0, 158.16666666666666)"
06-01-2023 09:55:13.788875,"(9.0, 17.0, 13.0)","(11.0, 22.0, 16.0)","(17.0, 230.0, 193.83333333333331)","(19.0, 180.0, 146.9)","(17.0, 230.0, 148.625)","(9.0, 17.0, 13.0)","(1.7, 2.0, 1.9726470588235294)","(6.0, 10.5, 8.19)","(19.0, 230.0, 158.16666666666666)"
06-01-2023 09:55:14.858029,"(9.0, 17.0, 13.0)","(11.0, 22.0, 16.0)","(17.0, 230.0, 193.83333333333331)","(19.0, 180.0, 146.9)","(17.0, 230.0, 148.625)","(9.0, 17.0, 13.0)","(1.7, 2.0, 1.9726470588235294)","(6.0, 10.5, 8.19)","(19.0, 230.0, 158.16666666666666)"
06-01-2023 09:55:15.930524,"(9.0, 17.0, 13.0)","(11.0, 22.0, 16.0)","(17.0, 230.0, 193.83333333333331)","(19.0, 180.0, 146.9)","(17.0, 230.0, 148.625)","(9.0, 17.0, 13.0)","(1.7, 2.0, 1.9726470588235294)","(6.0, 10.5, 8.19)","(19.0, 230.0, 158.16666666666666)"
06-01-2023 09:55:17.140872,"(9.0, 17.0, 13.0)","(11.0, 22.0, 16.0)","(17.0, 230.0, 193.83333333333331)","(19.0, 180.0, 146.9)","(17.0, 230.0, 148.625)","(9.0, 17.0, 13.0)","(1.7, 2.0, 1.9726470588235294)","(6.0, 10.5, 8.19)","(19.0, 230.0, 158.16666666666666)"
06-01-2023 09:55:18.258277,"(9.0, 17.0, 13.0)","(11.0, 22.0, 16.0)","(17.0, 230.0, 193.83333333333331)","(19.0, 180.0, 146.9)","(17.0, 230.0, 148.625)","(9.0, 17.0, 13.0)","(1.7, 2.0, 1.9726470588235294)","(6.0, 10.5, 8.19)","(19.0, 230.0, 158.16666666666666)"
06-01-2023 09:55:19.368334,"(9.0, 17.0, 13.0)","(11.0, 22.0, 16.0)","(17.0, 230.0, 193.83333333333331)","(19.0, 180.0, 146.9)","(17.0, 230.0, 148.625)","(9.0, 17.0, 13.0)","(1.7, 2.0, 1.9726470588235294)","(6.0, 10.5, 8.19)","(19.0, 230.0, 158.16666666666666)"
06-01-2023 09:55:20.508318,"(9.0, 17.0, 13.0)","(11.0, 22.0, 16.0)","(17.0, 230.0, 193.83333333333331)","(19.0, 180.0, 146.9)","(17.0, 230.0, 148.625)","(9.0, 17.0, 13.0)","(1.7, 2.0, 1.9726470588235294)","(6.0, 10.5, 8.19)","(19.0, 230.0, 158.16666666666666)"
06-01-2023 09:55:21.641245,"(9.0, 17.0, 13.0)","(11.0, 22.0, 16.0)","(17.0, 230.0, 193.83333333333331)","(19.0, 180.0, 146.9)","(17.0, 230.0, 148.625)","(9.0, 17.0, 13.0)","(1.7, 2.0, 1.9726470588235294)","(6.0, 10.5, 8.19)","(19.0, 230.0, 158.16666666666666)"
06-01-2023 09:55:22.734061,"(9.0, 17.0, 13.0)","(11.0, 22.0, 16.0)","(17.0, 230.0, 193.83333333333331)","(19.0, 180.0, 146.9)","(17.0, 230.0, 148.625)","(9.0, 17.0, 13.0)","(1.7, 2.0, 1.9726470588235294)","(6.0, 10.5, 8.19)","(19.0, 230.0, 158.16666666666666)"
