,Willsintown,Destiny Blues,Fortyfive Rock,Handsome Harry Nz,Tulhurst Cuddles,Taleggio,Jaydes Terror,Darby Brights,Whata Reactor
12-01-2023 14:55:21.988178,"(101.0, 190.0, 162.85714285714286)","(61.0, 150.0, 133.33333333333334)","(17.0, 36.0, 26.5)","(5.0, 99999, 99990)","(2.6, 3.95, 3.44375)","(7.5, 12.0, 10.4)","(6.0, 9.6, 8.4)","(4.4, 6.6, 5.64)","(8.5, 15.5, 11.033333333333333)"
12-01-2023 14:55:23.280401,"(101.0, 190.0, 162.85714285714286)","(61.0, 150.0, 133.33333333333334)","(17.0, 36.0, 26.5)","(5.0, 99999, 99990)","(2.6, 3.95, 3.44375)","(7.5, 12.0, 10.4)","(6.0, 9.6, 8.4)","(4.4, 6.6, 5.64)","(8.5, 15.5, 11.033333333333333)"
12-01-2023 14:55:24.437103,"(101.0, 190.0, 162.85714285714286)","(61.0, 150.0, 133.33333333333334)","(17.0, 36.0, 26.5)","(5.0, 99999, 99990)","(2.6, 3.95, 3.44375)","(7.5, 12.0, 10.4)","(6.0, 9.6, 8.4)","(4.4, 6.6, 5.64)","(8.5, 15.5, 11.033333333333333)"
12-01-2023 14:55:25.865796,"(101.0, 190.0, 162.85714285714286)","(61.0, 150.0, 133.33333333333334)","(17.0, 36.0, 26.5)","(5.0, 99999, 99990)","(2.6, 3.95, 3.44375)","(7.5, 12.0, 10.4)","(6.0, 9.6, 8.4)","(4.4, 6.6, 5.64)","(8.5, 15.5, 11.033333333333333)"
12-01-2023 14:55:27.114542,"(101.0, 190.0, 162.85714285714286)","(61.0, 150.0, 133.33333333333334)","(17.0, 36.0, 26.5)","(5.0, 99999, 99990)","(2.6, 3.95, 3.44375)","(7.5, 12.0, 10.4)","(6.0, 9.6, 8.4)","(4.4, 6.6, 5.64)","(8.5, 15.5, 11.033333333333333)"
12-01-2023 14:55:28.413994,"(101.0, 190.0, 162.85714285714286)","(61.0, 150.0, 133.33333333333334)","(17.0, 36.0, 26.5)","(5.0, 99999, 99990)","(2.6, 3.95, 3.44375)","(7.5, 12.0, 10.4)","(6.0, 9.6, 8.4)","(4.4, 6.6, 5.64)","(8.5, 15.5, 11.033333333333333)"
12-01-2023 14:55:29.692147,"(101.0, 190.0, 162.85714285714286)","(61.0, 150.0, 133.33333333333334)","(17.0, 36.0, 26.5)","(5.0, 99999, 99990)","(2.6, 3.95, 3.44375)","(7.5, 12.0, 10.4)","(6.0, 9.6, 8.4)","(4.4, 6.6, 5.64)","(8.5, 15.5, 11.033333333333333)"
12-01-2023 14:55:30.972171,"(101.0, 190.0, 162.85714285714286)","(61.0, 150.0, 133.33333333333334)","(17.0, 36.0, 26.5)","(5.0, 99999, 99990)","(2.6, 3.95, 3.44375)","(7.5, 12.0, 10.4)","(6.0, 9.6, 8.4)","(4.4, 6.6, 5.64)","(8.5, 15.5, 11.033333333333333)"
12-01-2023 14:55:32.582884,"(101.0, 190.0, 162.85714285714286)","(61.0, 150.0, 133.33333333333334)","(17.0, 36.0, 26.5)","(5.0, 99999, 99990)","(2.6, 3.95, 3.44375)","(7.5, 12.0, 10.4)","(6.0, 9.6, 8.4)","(4.4, 6.6, 5.64)","(8.5, 15.5, 11.033333333333333)"
12-01-2023 14:55:33.847269,"(101.0, 190.0, 162.85714285714286)","(61.0, 150.0, 133.33333333333334)","(17.0, 36.0, 26.5)","(5.0, 99999, 99990)","(2.6, 3.95, 3.44375)","(7.5, 12.0, 10.4)","(6.0, 9.6, 8.4)","(4.4, 6.6, 5.64)","(8.5, 15.5, 11.033333333333333)"
