,Rippa Buddy,Far Too Tempting,Tsegay,And Then,Bloomin Crafty
04-01-2023 12:43:55.719963,"(10.0, 14.5, 12.555555555555555)","(1.55, 1.84, 1.82875)","(18.0, 42.0, 37.0)","(6.5, 9.8, 9.600000000000001)","(3.9, 5.0, 4.65)"
04-01-2023 12:43:56.668067,"(10.0, 14.5, 12.555555555555555)","(1.55, 1.84, 1.82875)","(18.0, 42.0, 37.0)","(6.5, 9.8, 9.600000000000001)","(3.9, 5.0, 4.65)"
04-01-2023 12:43:57.542393,"(10.0, 14.5, 12.555555555555555)","(1.55, 1.84, 1.82875)","(18.0, 42.0, 37.0)","(6.5, 9.8, 9.600000000000001)","(3.9, 5.0, 4.65)"
04-01-2023 12:43:58.342513,"(10.0, 14.5, 12.555555555555555)","(1.55, 1.84, 1.82875)","(18.0, 42.0, 37.0)","(6.5, 9.8, 9.600000000000001)","(3.9, 5.0, 4.65)"
04-01-2023 12:43:59.212640,"(10.0, 14.5, 12.555555555555555)","(1.55, 1.84, 1.82875)","(18.0, 42.0, 37.0)","(6.5, 9.8, 9.600000000000001)","(3.9, 5.0, 4.65)"
04-01-2023 12:44:00.118772,"(10.0, 14.5, 12.555555555555555)","(1.55, 1.84, 1.82875)","(18.0, 42.0, 37.0)","(6.5, 9.8, 9.600000000000001)","(3.9, 5.0, 4.65)"
04-01-2023 12:44:00.985795,"(10.0, 14.5, 12.555555555555555)","(1.55, 1.84, 1.82875)","(18.0, 42.0, 37.0)","(6.5, 9.8, 9.600000000000001)","(3.9, 5.0, 4.65)"
04-01-2023 12:44:01.777874,"(10.0, 14.5, 12.555555555555555)","(1.55, 1.84, 1.82875)","(18.0, 42.0, 37.0)","(6.5, 9.8, 9.600000000000001)","(3.9, 5.0, 4.65)"
04-01-2023 12:44:02.642240,"(10.0, 14.5, 12.555555555555555)","(1.55, 1.84, 1.82875)","(18.0, 42.0, 37.0)","(6.5, 9.8, 9.600000000000001)","(3.9, 5.0, 4.65)"
04-01-2023 12:44:03.601827,"(10.0, 14.5, 12.555555555555555)","(1.55, 1.84, 1.82875)","(18.0, 42.0, 37.0)","(6.5, 9.8, 9.600000000000001)","(3.9, 5.0, 4.65)"
04-01-2023 12:44:04.497061,"(10.0, 14.5, 12.555555555555555)","(1.55, 1.84, 1.82875)","(19.0, 42.0, 37.0)","(6.5, 9.8, 9.600000000000001)","(3.9, 5.0, 4.65)"
04-01-2023 12:44:05.283348,"(10.0, 14.5, 12.555555555555555)","(1.55, 1.84, 1.82875)","(19.0, 42.0, 37.0)","(6.5, 9.8, 9.600000000000001)","(3.9, 5.0, 4.65)"
04-01-2023 12:44:06.136148,"(10.0, 14.5, 12.555555555555555)","(1.55, 1.84, 1.82875)","(19.0, 42.0, 37.0)","(6.5, 9.8, 9.600000000000001)","(3.9, 5.0, 4.65)"
04-01-2023 12:44:07.021291,"(10.0, 14.5, 12.555555555555555)","(1.55, 1.84, 1.82875)","(19.0, 42.0, 37.0)","(6.5, 9.8, 9.600000000000001)","(3.9, 5.0, 4.65)"
