,Flying G,Indian Sky,Crooked Fellow,Rodeo Champ,Captain Dozer,J Fs Senna,Fort Hood,Rowdy River
08-12-2022 14:37:10.345165,"(9.0, 14.5, 13.025)","(6.5, 8.8, 8.085714285714285)","(7.0, 9.6, 8.959999999999999)","(5.5, 7.2, 6.2846153846153845)","(5.0, 6.6, 6.033333333333333)","(2.9, 4.4, 3.9000000000000004)","(19.0, 190.0, 65.0)","(14.0, 34.0, 29.0)"
08-12-2022 14:37:11.636840,"(9.0, 14.5, 13.025)","(6.5, 8.8, 8.085714285714285)","(7.0, 9.6, 8.959999999999999)","(5.5, 7.2, 6.2846153846153845)","(5.0, 6.6, 6.033333333333333)","(2.9, 4.4, 3.857142857142857)","(19.0, 190.0, 65.0)","(14.0, 34.0, 29.0)"
08-12-2022 14:37:12.856632,"(9.0, 14.5, 13.025)","(6.5, 8.8, 8.085714285714285)","(7.0, 9.6, 8.959999999999999)","(5.5, 7.2, 6.2846153846153845)","(5.0, 6.6, 6.033333333333333)","(2.9, 4.4, 3.857142857142857)","(19.0, 190.0, 65.0)","(14.0, 34.0, 29.0)"
08-12-2022 14:37:14.147496,"(9.0, 14.5, 13.025)","(6.5, 8.8, 8.085714285714285)","(7.0, 9.6, 8.959999999999999)","(5.5, 7.2, 6.63076923076923)","(5.0, 6.6, 6.033333333333333)","(2.9, 4.4, 3.857142857142857)","(19.0, 190.0, 65.0)","(14.0, 34.0, 29.0)"
08-12-2022 14:37:15.372937,"(9.0, 14.5, 13.025)","(6.5, 8.8, 8.085714285714285)","(7.0, 9.6, 8.959999999999999)","(5.5, 7.0, 6.368421052631579)","(5.0, 6.6, 6.033333333333333)","(2.9, 4.4, 3.857142857142857)","(19.0, 190.0, 65.0)","(14.0, 34.0, 29.0)"
08-12-2022 14:37:16.598622,"(9.0, 14.5, 13.025)","(6.5, 8.8, 8.085714285714285)","(7.0, 9.6, 8.959999999999999)","(5.5, 7.0, 6.368421052631579)","(5.0, 6.6, 6.033333333333333)","(2.9, 4.4, 3.857142857142857)","(19.0, 190.0, 53.888888888888886)","(14.0, 34.0, 29.0)"
08-12-2022 14:37:17.815125,"(9.0, 14.5, 13.025)","(6.5, 8.8, 8.085714285714285)","(7.0, 9.6, 8.959999999999999)","(5.5, 7.0, 6.368421052631579)","(5.0, 6.6, 6.033333333333333)","(2.9, 4.4, 3.857142857142857)","(19.0, 190.0, 125.0)","(14.0, 34.0, 29.0)"
08-12-2022 14:37:19.149562,"(9.0, 14.5, 13.025)","(6.5, 8.8, 8.085714285714285)","(7.0, 9.6, 8.959999999999999)","(5.5, 7.0, 6.368421052631579)","(5.0, 6.6, 6.033333333333333)","(2.9, 4.4, 3.857142857142857)","(19.0, 180.0, 125.0)","(14.0, 34.0, 29.0)"
08-12-2022 14:37:20.550461,"(9.0, 14.5, 13.025)","(6.5, 8.8, 8.085714285714285)","(7.0, 9.6, 8.959999999999999)","(5.5, 7.0, 6.368421052631579)","(5.0, 6.6, 6.033333333333333)","(2.9, 4.4, 3.857142857142857)","(19.0, 180.0, 125.0)","(14.0, 34.0, 29.0)"
08-12-2022 14:37:21.879169,"(9.0, 14.5, 13.025)","(6.5, 8.8, 8.085714285714285)","(7.0, 9.6, 8.959999999999999)","(5.5, 7.0, 6.368421052631579)","(5.0, 6.6, 6.033333333333333)","(2.9, 4.4, 3.857142857142857)","(19.0, 180.0, 125.0)","(14.0, 34.0, 29.0)"
08-12-2022 14:37:23.163276,"(9.0, 14.5, 13.025)","(6.5, 8.8, 8.085714285714285)","(7.0, 9.6, 8.959999999999999)","(5.5, 7.0, 6.368421052631579)","(5.0, 6.6, 6.033333333333333)","(2.9, 4.4, 3.857142857142857)","(19.0, 180.0, 125.0)","(14.0, 34.0, 29.0)"
08-12-2022 14:37:24.499049,"(9.0, 14.5, 13.025)","(6.5, 8.8, 8.085714285714285)","(7.0, 10.0, 8.24)","(6.0, 7.0, 6.368421052631579)","(5.0, 6.6, 6.033333333333333)","(3.0, 4.4, 3.857142857142857)","(17.0, 180.0, 125.0)","(14.0, 34.0, 29.0)"
