,Obsession Agogo,Ratified,Halwes,Jaggers Lady,Stellar Rising,Louie,Enraged,Worry Less
07-12-2022 14:16:14.588091,"(6.0, 12.5, 7.181818181818182)","(8.0, 17.5, 12.1)","(6.0, 11.0, 8.814285714285715)","(5.0, 7.6, 6.266666666666667)","(16.0, 46.0, 30.0)","(3.9, 5.5, 4.154545454545454)","(14.0, 34.0, 21.333333333333332)","(3.6, 4.9, 3.672727272727273)"
07-12-2022 14:16:15.935765,"(6.0, 12.5, 7.181818181818182)","(8.0, 17.5, 12.1)","(6.0, 11.0, 8.814285714285715)","(5.0, 7.6, 6.266666666666667)","(16.0, 46.0, 35.33333333333333)","(3.9, 5.5, 4.154545454545454)","(14.0, 34.0, 21.333333333333332)","(3.6, 4.9, 3.672727272727273)"
07-12-2022 14:16:17.255169,"(6.0, 12.5, 7.181818181818182)","(8.0, 17.5, 12.1)","(6.0, 11.0, 8.814285714285715)","(5.0, 7.6, 6.266666666666667)","(16.0, 46.0, 30.0)","(3.9, 5.5, 4.154545454545454)","(14.0, 34.0, 21.333333333333332)","(3.6, 4.9, 3.672727272727273)"
07-12-2022 14:16:18.519113,"(6.0, 12.5, 7.181818181818182)","(8.0, 17.5, 12.1)","(6.0, 11.0, 8.814285714285715)","(5.0, 7.6, 6.266666666666667)","(16.0, 46.0, 37.875)","(3.9, 5.5, 4.154545454545454)","(14.0, 34.0, 21.333333333333332)","(3.6, 4.9, 3.672727272727273)"
07-12-2022 14:16:19.743861,"(6.0, 12.5, 7.181818181818182)","(8.0, 17.5, 12.1)","(6.0, 11.0, 8.814285714285715)","(5.0, 7.6, 6.266666666666667)","(16.0, 46.0, 30.0)","(3.9, 5.5, 4.154545454545454)","(14.0, 34.0, 21.333333333333332)","(3.6, 4.9, 3.672727272727273)"
07-12-2022 14:16:21.013613,"(6.0, 12.5, 7.181818181818182)","(8.0, 17.5, 12.1)","(6.0, 11.0, 8.814285714285715)","(5.0, 7.6, 6.266666666666667)","(16.0, 46.0, 30.0)","(3.9, 5.5, 4.154545454545454)","(14.0, 34.0, 21.333333333333332)","(3.6, 4.9, 3.672727272727273)"
07-12-2022 14:16:22.325219,"(6.0, 12.5, 7.181818181818182)","(8.0, 17.5, 12.1)","(6.0, 11.0, 8.814285714285715)","(5.0, 7.6, 6.266666666666667)","(16.0, 46.0, 35.33333333333333)","(3.9, 5.5, 4.154545454545454)","(14.0, 34.0, 21.333333333333332)","(3.6, 4.9, 3.672727272727273)"
07-12-2022 14:16:23.555880,"(6.0, 12.5, 7.181818181818182)","(8.0, 17.5, 12.1)","(6.0, 11.0, 8.814285714285715)","(5.0, 7.6, 6.266666666666667)","(16.0, 46.0, 35.33333333333333)","(3.9, 5.5, 4.154545454545454)","(14.0, 34.0, 21.333333333333332)","(3.6, 4.9, 3.672727272727273)"
07-12-2022 14:16:24.735346,"(6.0, 12.5, 7.181818181818182)","(8.0, 17.5, 12.1)","(6.0, 11.0, 8.814285714285715)","(5.0, 7.6, 6.266666666666667)","(16.0, 46.0, 37.875)","(3.9, 5.5, 4.154545454545454)","(14.0, 34.0, 21.333333333333332)","(3.6, 4.9, 3.672727272727273)"
07-12-2022 14:16:25.939898,"(6.0, 12.5, 7.181818181818182)","(8.0, 17.5, 12.1)","(6.0, 11.0, 8.814285714285715)","(5.0, 7.6, 6.266666666666667)","(16.0, 46.0, 37.875)","(3.9, 5.5, 4.154545454545454)","(14.0, 34.0, 21.333333333333332)","(3.6, 4.9, 3.672727272727273)"
