,Desert Safari,Hes For The Girls,Mishani Maverick,Quasimoto,Royal Entrance,Sonny Daze,Worx,Limero
07-01-2023 12:23:46.388791,"(12.0, 12.0, 11.722222222222221)","(71.0, 100.0, 80.0)","(51.0, 85.0, 80.0)","(3.5, 5.2, 5.132467532467532)","(2.4, 2.8, 2.792444444444444)","(12.0, 12.5, 12.362068965517242)","(6.5, 7.4, 7.252173913043478)","(8.0, 9.4, 9.353846153846154)"
07-01-2023 12:23:47.560081,"(12.0, 12.0, 11.722222222222221)","(71.0, 100.0, 80.0)","(51.0, 85.0, 80.0)","(3.5, 5.2, 5.132467532467532)","(2.4, 2.8, 2.792444444444444)","(12.0, 12.5, 12.362068965517242)","(6.5, 7.4, 7.252173913043478)","(8.0, 9.4, 9.353846153846154)"
07-01-2023 12:23:48.680320,"(12.0, 12.0, 11.722222222222221)","(71.0, 100.0, 80.0)","(51.0, 85.0, 80.0)","(3.5, 5.2, 5.077272727272727)","(2.4, 2.8, 2.792)","(12.0, 12.5, 12.362068965517242)","(6.5, 7.4, 7.2444444444444445)","(8.0, 9.4, 9.353846153846154)"
07-01-2023 12:23:49.760133,"(12.0, 12.0, 11.6875)","(71.0, 100.0, 80.0)","(51.0, 85.0, 80.0)","(3.5, 5.1, 5.077272727272727)","(2.4, 2.8, 2.79)","(12.0, 12.5, 12.362068965517242)","(6.5, 7.4, 7.252173913043478)","(8.0, 9.4, 9.325)"
07-01-2023 12:23:50.832900,"(12.0, 12.0, 11.6875)","(71.0, 100.0, 80.0)","(51.0, 85.0, 80.0)","(3.5, 5.1, 5.077272727272727)","(2.4, 2.8, 2.79)","(12.0, 12.5, 12.362068965517242)","(6.5, 7.4, 7.252173913043478)","(8.0, 9.4, 9.278260869565218)"
07-01-2023 12:23:51.938756,"(12.0, 12.0, 11.6875)","(71.0, 100.0, 80.0)","(51.0, 85.0, 80.0)","(3.5, 5.1, 5.077272727272727)","(2.4, 2.8, 2.79)","(12.0, 12.5, 12.362068965517242)","(6.5, 7.4, 7.252173913043478)","(8.0, 9.4, 9.278260869565218)"
07-01-2023 12:23:53.119512,"(12.0, 12.0, 11.6875)","(71.0, 100.0, 80.0)","(51.0, 85.0, 80.0)","(3.5, 5.1, 5.077272727272727)","(2.4, 2.8, 2.79)","(12.0, 12.5, 12.468)","(6.5, 7.4, 7.252173913043478)","(8.0, 9.4, 9.278260869565218)"
07-01-2023 12:23:54.292927,"(12.0, 12.0, 11.6875)","(71.0, 100.0, 80.0)","(51.0, 85.0, 80.0)","(3.5, 5.1, 5.077272727272727)","(2.4, 2.8, 2.7861538461538458)","(12.0, 12.5, 12.468)","(6.5, 7.4, 7.252173913043478)","(8.0, 9.4, 9.246153846153847)"
07-01-2023 12:23:55.448288,"(12.0, 12.5, 11.666666666666666)","(71.0, 100.0, 80.0)","(51.0, 85.0, 80.0)","(3.5, 5.1, 5.077272727272727)","(2.4, 2.8, 2.792)","(12.0, 12.5, 12.468)","(6.5, 7.4, 7.252173913043478)","(8.0, 9.4, 9.218181818181819)"
07-01-2023 12:23:56.547005,"(12.0, 12.0, 11.8)","(71.0, 100.0, 80.0)","(51.0, 85.0, 80.0)","(3.5, 5.1, 5.077272727272727)","(2.4, 2.8, 2.792)","(12.0, 12.5, 12.468)","(6.5, 7.4, 7.252173913043478)","(8.0, 9.4, 9.218181818181819)"
