,El Cordobes,Trodaire,Euro Dandy,Girello,Indifference,Magnetic Prince,Piaggio,Montjeuify
04-01-2023 13:47:49.715092,"(5.5, 8.0, 7.844897959183673)","(16.0, 23.0, 19.8)","(4.0, 4.8, 4.772340425531914)","(6.5, 8.4, 8.302702702702703)","(2.6, 3.15, 3.125)","(7.5, 9.2, 9.025)","(15.0, 18.0, 17.785714285714285)","(61.0, 170.0, 144.28571428571428)"
04-01-2023 13:47:50.823871,"(5.5, 8.0, 7.844897959183673)","(16.0, 23.0, 21.933333333333334)","(4.0, 4.8, 4.772340425531914)","(6.5, 8.4, 8.345454545454546)","(2.6, 3.15, 3.125)","(7.5, 9.2, 9.025)","(15.0, 18.0, 17.785714285714285)","(61.0, 170.0, 144.28571428571428)"
04-01-2023 13:47:51.916162,"(5.5, 8.0, 7.844897959183673)","(16.0, 23.0, 22.11111111111111)","(4.0, 4.8, 4.794444444444444)","(6.5, 8.4, 8.345454545454546)","(2.6, 3.15, 3.1116504854368934)","(7.5, 9.2, 8.948)","(15.0, 18.0, 17.785714285714285)","(61.0, 170.0, 144.28571428571428)"
04-01-2023 13:47:53.059018,"(5.5, 8.0, 7.844897959183673)","(16.0, 23.0, 22.11111111111111)","(4.0, 4.8, 4.794444444444444)","(6.5, 8.4, 8.345454545454546)","(2.6, 3.15, 3.1116504854368934)","(7.5, 9.0, 8.948)","(15.0, 18.0, 17.5)","(61.0, 170.0, 144.28571428571428)"
04-01-2023 13:47:54.243220,"(5.5, 8.0, 7.844897959183673)","(16.0, 23.0, 22.157894736842106)","(4.0, 4.8, 4.794736842105263)","(6.5, 8.4, 8.219999999999999)","(2.6, 3.15, 3.0832589285714285)","(7.5, 9.0, 8.949019607843137)","(15.0, 18.0, 17.5)","(61.0, 170.0, 144.28571428571428)"
04-01-2023 13:47:55.429093,"(5.5, 8.0, 7.848)","(16.0, 23.0, 22.11111111111111)","(4.0, 4.8, 4.797142857142857)","(6.5, 8.4, 8.344262295081966)","(2.6, 3.1, 3.1104545454545454)","(7.5, 9.0, 8.82114537444934)","(15.0, 18.0, 17.88888888888889)","(61.0, 170.0, 144.28571428571428)"
04-01-2023 13:47:56.550082,"(5.5, 8.0, 7.844897959183673)","(16.0, 23.0, 22.11111111111111)","(4.0, 4.8, 4.797142857142857)","(6.5, 8.6, 8.344262295081966)","(2.6, 3.15, 3.108846153846154)","(7.5, 9.0, 8.816814159292036)","(15.0, 18.0, 19.58823529411765)","(61.0, 170.0, 144.28571428571428)"
04-01-2023 13:47:57.591930,"(5.5, 8.0, 7.844897959183673)","(16.0, 23.0, 22.11111111111111)","(4.0, 4.8, 4.775555555555555)","(6.5, 8.6, 8.376)","(2.6, 3.15, 3.0836909871244633)","(7.5, 9.0, 8.816814159292036)","(15.0, 21.0, 18.5)","(61.0, 170.0, 144.28571428571428)"
04-01-2023 13:47:58.648551,"(5.5, 8.0, 7.8382978723404255)","(16.0, 23.0, 22.11111111111111)","(4.0, 4.8, 4.775555555555555)","(6.5, 8.4, 8.376)","(2.6, 3.1, 3.0800766283524905)","(7.5, 9.0, 8.816814159292036)","(15.0, 21.0, 19.25)","(61.0, 170.0, 144.28571428571428)"
04-01-2023 13:47:59.730341,"(5.5, 8.0, 7.861818181818181)","(16.0, 23.0, 22.11111111111111)","(4.0, 4.8, 4.797142857142857)","(6.5, 8.4, 8.376)","(2.6, 3.1, 3.0800766283524905)","(7.5, 9.0, 8.816814159292036)","(15.0, 21.0, 19.25)","(61.0, 170.0, 144.28571428571428)"
04-01-2023 13:48:00.866218,"(5.5, 8.0, 7.861818181818181)","(17.0, 23.0, 21.0)","(4.0, 4.8, 4.797142857142857)","(6.5, 8.4, 8.376)","(2.6, 3.1, 3.0800766283524905)","(7.5, 9.0, 8.816814159292036)","(15.0, 21.0, 19.25)","(71.0, 170.0, 144.28571428571428)"
04-01-2023 13:48:02.010603,"(5.5, 8.0, 7.861818181818181)","(17.0, 23.0, 21.0)","(4.0, 4.8, 4.797142857142857)","(6.5, 8.4, 8.376)","(2.6, 3.1, 3.0800766283524905)","(7.5, 9.0, 8.816814159292036)","(15.0, 21.0, 19.25)","(71.0, 170.0, 144.28571428571428)"
