,Forgive Me,Vermont,Keayang Tara,Artful Jack,Kudos Mason,Whata Terror,The Casual Goose,Scene Of Terror,Voodoo Fella
12-01-2023 16:07:50.528572,"(5.5, 9.8, 9.100000000000001)","(5.0, 8.4, 6.95)","(14.0, 30.0, 24.666666666666664)","(15.0, 26.0, 14.181818181818182)","(31.0, 70.0, 54.25)","(3.4, 4.8, 3.495)","(8.5, 16.5, 13.26)","(6.5, 11.0, 8.8)","(4.6, 7.4, 6.233333333333333)"
12-01-2023 16:07:51.989419,"(5.5, 9.8, 9.100000000000001)","(5.0, 8.4, 6.95)","(14.0, 30.0, 24.666666666666664)","(15.0, 26.0, 14.181818181818182)","(31.0, 70.0, 54.25)","(3.4, 4.8, 3.495)","(8.5, 16.5, 13.26)","(6.5, 11.0, 8.8)","(4.6, 7.4, 6.233333333333333)"
12-01-2023 16:07:53.339166,"(5.5, 9.8, 9.100000000000001)","(5.0, 8.4, 6.95)","(14.0, 30.0, 24.666666666666664)","(15.0, 26.0, 14.181818181818182)","(31.0, 70.0, 54.25)","(3.4, 4.8, 3.495)","(8.5, 16.5, 13.26)","(6.5, 11.0, 8.8)","(4.6, 7.4, 6.233333333333333)"
12-01-2023 16:07:54.617613,"(5.5, 9.8, 9.100000000000001)","(5.0, 8.4, 6.95)","(14.0, 30.0, 24.666666666666664)","(15.0, 26.0, 14.181818181818182)","(31.0, 70.0, 54.25)","(3.4, 4.8, 3.495)","(8.5, 16.5, 13.26)","(6.5, 11.0, 8.8)","(4.6, 7.4, 6.233333333333333)"
12-01-2023 16:07:56.019345,"(5.5, 9.8, 9.100000000000001)","(5.0, 8.4, 6.95)","(14.0, 30.0, 24.666666666666664)","(15.0, 26.0, 14.181818181818182)","(31.0, 70.0, 54.25)","(3.4, 4.8, 3.495)","(8.5, 16.5, 13.26)","(6.5, 11.0, 8.8)","(4.6, 7.4, 6.233333333333333)"
12-01-2023 16:07:57.321598,"(5.5, 9.8, 9.100000000000001)","(5.0, 8.4, 6.95)","(14.0, 30.0, 24.666666666666664)","(15.0, 26.0, 14.181818181818182)","(31.0, 70.0, 54.25)","(3.4, 4.8, 3.505)","(8.5, 16.5, 13.26)","(6.5, 11.0, 8.8)","(4.6, 7.4, 6.233333333333333)"
12-01-2023 16:07:58.523529,"(5.5, 9.8, 9.100000000000001)","(5.0, 8.4, 6.95)","(14.0, 30.0, 24.666666666666664)","(15.0, 26.0, 14.181818181818182)","(31.0, 70.0, 54.25)","(3.4, 4.9, 3.505)","(8.5, 16.5, 13.26)","(6.5, 11.0, 8.8)","(4.6, 7.4, 6.233333333333333)"
12-01-2023 16:07:59.832634,"(5.5, 9.8, 9.100000000000001)","(5.0, 8.4, 6.95)","(14.0, 30.0, 24.666666666666664)","(15.0, 26.0, 14.181818181818182)","(31.0, 70.0, 54.25)","(3.4, 4.9, 3.505)","(8.5, 16.5, 13.26)","(6.5, 11.0, 8.8)","(4.6, 7.4, 6.233333333333333)"
12-01-2023 16:08:00.969343,"(5.5, 9.8, 9.100000000000001)","(5.0, 8.4, 6.95)","(14.0, 30.0, 24.666666666666664)","(15.0, 26.0, 14.181818181818182)","(31.0, 70.0, 54.25)","(3.4, 4.9, 3.505)","(8.5, 16.5, 13.26)","(6.5, 11.0, 8.8)","(4.6, 7.4, 6.233333333333333)"
12-01-2023 16:08:02.179290,"(5.5, 9.8, 9.100000000000001)","(5.0, 8.4, 6.95)","(14.0, 30.0, 20.0)","(15.0, 26.0, 15.565217391304348)","(31.0, 70.0, 39.25)","(3.4, 4.9, 3.834375)","(8.5, 16.5, 13.8)","(6.5, 11.0, 8.8)","(4.6, 7.4, 6.247058823529412)"
