,Van Damme,Bold Prophet,A I Initiative,Pont Du Gard,Onlyattheshoe
51,"[datetime.datetime(2022, 11, 28, 10, 47, 28, 112275), 10.0, 38.0]","[datetime.datetime(2022, 11, 28, 10, 47, 28, 112275), 18.0, 38.0]","[datetime.datetime(2022, 11, 28, 10, 47, 28, 112275), 1.6, 2.4]","[datetime.datetime(2022, 11, 28, 10, 47, 28, 112275), 6.0, 10.5]","[datetime.datetime(2022, 11, 28, 10, 47, 28, 112275), 4.8, 7.4]"
52,"[datetime.datetime(2022, 11, 28, 10, 47, 29, 203293), 10.0, 38.0]","[datetime.datetime(2022, 11, 28, 10, 47, 29, 203293), 18.0, 38.0]","[datetime.datetime(2022, 11, 28, 10, 47, 29, 203293), 1.6, 2.4]","[datetime.datetime(2022, 11, 28, 10, 47, 29, 203293), 6.0, 10.5]","[datetime.datetime(2022, 11, 28, 10, 47, 29, 203293), 4.8, 7.4]"
53,"[datetime.datetime(2022, 11, 28, 10, 47, 30, 291819), 10.0, 38.0]","[datetime.datetime(2022, 11, 28, 10, 47, 30, 291819), 18.0, 38.0]","[datetime.datetime(2022, 11, 28, 10, 47, 30, 291819), 1.6, 2.4]","[datetime.datetime(2022, 11, 28, 10, 47, 30, 291819), 6.0, 10.5]","[datetime.datetime(2022, 11, 28, 10, 47, 30, 291819), 4.8, 7.4]"
54,"[datetime.datetime(2022, 11, 28, 10, 47, 31, 372418), 10.0, 38.0]","[datetime.datetime(2022, 11, 28, 10, 47, 31, 372418), 18.0, 38.0]","[datetime.datetime(2022, 11, 28, 10, 47, 31, 372418), 1.6, 2.4]","[datetime.datetime(2022, 11, 28, 10, 47, 31, 372418), 6.0, 10.5]","[datetime.datetime(2022, 11, 28, 10, 47, 31, 372418), 4.8, 7.4]"
55,"[datetime.datetime(2022, 11, 28, 10, 47, 32, 470495), 10.0, 38.0]","[datetime.datetime(2022, 11, 28, 10, 47, 32, 470495), 18.0, 38.0]","[datetime.datetime(2022, 11, 28, 10, 47, 32, 470495), 1.6, 2.4]","[datetime.datetime(2022, 11, 28, 10, 47, 32, 470495), 6.0, 10.5]","[datetime.datetime(2022, 11, 28, 10, 47, 32, 470495), 4.8, 7.4]"
56,"[datetime.datetime(2022, 11, 28, 10, 47, 33, 561411), 10.0, 38.0]","[datetime.datetime(2022, 11, 28, 10, 47, 33, 561411), 18.0, 38.0]","[datetime.datetime(2022, 11, 28, 10, 47, 33, 561411), 1.6, 2.4]","[datetime.datetime(2022, 11, 28, 10, 47, 33, 561411), 6.0, 10.5]","[datetime.datetime(2022, 11, 28, 10, 47, 33, 561411), 4.8, 7.4]"
57,"[datetime.datetime(2022, 11, 28, 10, 47, 34, 635112), 10.0, 38.0]","[datetime.datetime(2022, 11, 28, 10, 47, 34, 635112), 18.0, 38.0]","[datetime.datetime(2022, 11, 28, 10, 47, 34, 635112), 1.6, 2.4]","[datetime.datetime(2022, 11, 28, 10, 47, 34, 635112), 6.0, 10.5]","[datetime.datetime(2022, 11, 28, 10, 47, 34, 635112), 4.8, 7.4]"
58,"[datetime.datetime(2022, 11, 28, 10, 47, 35, 724278), 10.0, 38.0]","[datetime.datetime(2022, 11, 28, 10, 47, 35, 724278), 18.0, 38.0]","[datetime.datetime(2022, 11, 28, 10, 47, 35, 724278), 1.6, 2.4]","[datetime.datetime(2022, 11, 28, 10, 47, 35, 724278), 6.0, 10.5]","[datetime.datetime(2022, 11, 28, 10, 47, 35, 724278), 4.8, 7.4]"
59,"[datetime.datetime(2022, 11, 28, 10, 47, 36, 811331), 10.0, 38.0]","[datetime.datetime(2022, 11, 28, 10, 47, 36, 811331), 18.0, 38.0]","[datetime.datetime(2022, 11, 28, 10, 47, 36, 811331), 1.6, 2.4]","[datetime.datetime(2022, 11, 28, 10, 47, 36, 811331), 6.0, 10.5]","[datetime.datetime(2022, 11, 28, 10, 47, 36, 811331), 4.8, 7.4]"
60,"[datetime.datetime(2022, 11, 28, 10, 47, 37, 892489), 10.0, 38.0]","[datetime.datetime(2022, 11, 28, 10, 47, 37, 892489), 18.0, 38.0]","[datetime.datetime(2022, 11, 28, 10, 47, 37, 892489), 1.6, 2.4]","[datetime.datetime(2022, 11, 28, 10, 47, 37, 892489), 6.0, 10.5]","[datetime.datetime(2022, 11, 28, 10, 47, 37, 892489), 4.8, 7.4]"
