,Haras Pearl,Stolen Moment,Jack Spot,Mad Max Blue,Fire Flick,Uncle Charlie,Dairy Girl
04-01-2023 13:54:27.542920,"(2.45, 2.9, 2.7727272727272725)","(41.0, 500.0, 271.0)","(1.45, 1.99, 1.9733333333333334)","(81.0, 590.0, 510.0)","(41.0, 390.0, 215.0)","(8.0, 23.0, 14.48)","(21.0, 80.0, 44.375)"
04-01-2023 13:54:28.561177,"(2.45, 2.9, 2.7727272727272725)","(41.0, 500.0, 271.0)","(1.45, 1.99, 1.9733333333333334)","(81.0, 590.0, 510.0)","(41.0, 390.0, 215.0)","(8.0, 23.0, 14.48)","(21.0, 80.0, 44.375)"
04-01-2023 13:54:29.686973,"(2.45, 2.9, 2.7727272727272725)","(41.0, 500.0, 271.0)","(1.45, 1.99, 1.9733333333333334)","(81.0, 590.0, 510.0)","(41.0, 390.0, 215.0)","(8.0, 23.0, 14.48)","(21.0, 80.0, 44.375)"
04-01-2023 13:54:30.799474,"(2.45, 2.9, 2.7727272727272725)","(41.0, 500.0, 271.0)","(1.45, 1.99, 1.9733333333333334)","(81.0, 590.0, 510.0)","(41.0, 390.0, 215.0)","(8.0, 23.0, 14.48)","(21.0, 80.0, 44.375)"
04-01-2023 13:54:31.896092,"(2.45, 2.9, 2.7727272727272725)","(41.0, 500.0, 271.0)","(1.45, 1.99, 1.9733333333333334)","(81.0, 590.0, 510.0)","(41.0, 390.0, 215.0)","(8.0, 23.0, 12.8)","(21.0, 80.0, 44.375)"
04-01-2023 13:54:32.927373,"(2.45, 2.9, 2.7727272727272725)","(41.0, 500.0, 271.0)","(1.45, 1.99, 1.9733333333333334)","(81.0, 590.0, 510.0)","(41.0, 390.0, 215.0)","(8.0, 23.0, 16.0)","(21.0, 80.0, 44.375)"
04-01-2023 13:54:33.994741,"(2.45, 2.9, 2.7727272727272725)","(41.0, 500.0, 271.0)","(1.45, 1.99, 1.9733333333333334)","(81.0, 590.0, 510.0)","(41.0, 390.0, 215.0)","(8.0, 23.0, 16.0)","(21.0, 80.0, 44.375)"
04-01-2023 13:54:35.097601,"(2.45, 2.9, 2.7727272727272725)","(41.0, 500.0, 271.0)","(1.45, 1.99, 1.9733333333333334)","(81.0, 590.0, 510.0)","(41.0, 390.0, 215.0)","(8.0, 23.0, 14.719999999999999)","(21.0, 80.0, 44.375)"
04-01-2023 13:54:36.169637,"(2.45, 2.9, 2.7727272727272725)","(41.0, 500.0, 271.0)","(1.45, 1.99, 1.9733333333333334)","(81.0, 590.0, 510.0)","(41.0, 390.0, 215.0)","(8.0, 23.0, 14.84)","(21.0, 80.0, 44.375)"
04-01-2023 13:54:37.215633,"(2.45, 2.9, 2.7727272727272725)","(41.0, 500.0, 271.0)","(1.45, 1.99, 1.9733333333333334)","(81.0, 590.0, 510.0)","(41.0, 390.0, 215.0)","(8.0, 23.0, 14.84)","(21.0, 80.0, 44.375)"
04-01-2023 13:54:38.239501,"(2.45, 2.9, 2.7727272727272725)","(41.0, 500.0, 271.0)","(1.45, 1.99, 1.9733333333333334)","(81.0, 590.0, 510.0)","(41.0, 390.0, 215.0)","(8.0, 23.0, 14.84)","(21.0, 80.0, 44.375)"
04-01-2023 13:54:39.304565,"(2.45, 2.9, 2.7727272727272725)","(41.0, 500.0, 271.0)","(1.45, 1.99, 1.9733333333333334)","(81.0, 590.0, 510.0)","(41.0, 390.0, 215.0)","(8.0, 23.0, 14.84)","(21.0, 80.0, 44.375)"
04-01-2023 13:54:40.371908,"(2.45, 2.9, 2.7727272727272725)","(41.0, 500.0, 271.0)","(1.45, 1.99, 1.9733333333333334)","(81.0, 590.0, 510.0)","(41.0, 390.0, 215.0)","(8.0, 23.0, 14.96)","(21.0, 80.0, 44.375)"
04-01-2023 13:54:41.340672,"(2.45, 2.9, 2.7727272727272725)","(41.0, 500.0, 271.0)","(1.45, 1.99, 1.9733333333333334)","(81.0, 590.0, 510.0)","(41.0, 390.0, 215.0)","(8.0, 23.0, 14.96)","(21.0, 80.0, 44.375)"
04-01-2023 13:54:42.429421,"(2.45, 2.9, 2.7727272727272725)","(41.0, 500.0, 271.0)","(1.45, 1.99, 1.9733333333333334)","(81.0, 590.0, 510.0)","(41.0, 390.0, 215.0)","(8.0, 23.0, 14.96)","(21.0, 80.0, 44.375)"
04-01-2023 13:54:43.515619,"(2.45, 2.9, 2.7727272727272725)","(41.0, 500.0, 271.0)","(1.45, 1.99, 1.9733333333333334)","(81.0, 590.0, 510.0)","(41.0, 390.0, 215.0)","(8.0, 23.0, 14.96)","(21.0, 80.0, 44.375)"
04-01-2023 13:54:44.553339,"(2.45, 2.9, 2.7727272727272725)","(41.0, 500.0, 271.0)","(1.45, 1.99, 1.9733333333333334)","(81.0, 590.0, 510.0)","(41.0, 390.0, 215.0)","(8.0, 23.0, 14.96)","(21.0, 80.0, 44.375)"
04-01-2023 13:54:45.496412,"(2.45, 2.9, 2.7727272727272725)","(41.0, 500.0, 271.0)","(1.45, 1.98, 1.7830188679245282)","(81.0, 590.0, 510.0)","(41.0, 390.0, 215.0)","(8.0, 23.0, 14.96)","(21.0, 80.0, 44.375)"
04-01-2023 13:54:46.538154,"(2.45, 2.9, 2.7727272727272725)","(41.0, 500.0, 271.0)","(1.45, 1.98, 1.7830188679245282)","(81.0, 590.0, 510.0)","(41.0, 390.0, 215.0)","(8.0, 23.0, 14.96)","(21.0, 80.0, 44.375)"
04-01-2023 13:54:47.547035,"(2.45, 2.98, 2.7729411764705882)","(41.0, 500.0, 271.0)","(1.45, 1.99, 1.979)","(81.0, 590.0, 510.0)","(41.0, 390.0, 215.0)","(8.0, 23.0, 14.96)","(21.0, 80.0, 44.375)"
