,Sutter Man,Childers Road,Bettor Beontoit Nz,Celestial Daybreak,Damysus,Bayonet Soldier,Ammicchi,Whoee Johnson,Our Major Jack Nz,Barney Fella
12-01-2023 16:38:17.553634,"(8.0, 10.0, 9.015151515151516)","(5.5, 8.4, 8.257142857142858)","(8.5, 99999, 99990)","(41.0, 65.0, 63.125)","(15.0, 18.5, 18.357142857142858)","(91.0, 220.0, 210.0)","(7.5, 8.8, 8.094117647058823)","(13.0, 30.0, 26.4)","(2.4, 99999, 99990)","(11.0, 16.0, 11.375)"
12-01-2023 16:38:18.741923,"(8.0, 10.0, 9.014705882352942)","(5.5, 8.4, 8.257142857142858)","(8.5, 99999, 99990)","(41.0, 65.0, 63.125)","(15.0, 18.5, 18.295454545454547)","(91.0, 220.0, 210.0)","(7.5, 8.8, 8.141176470588237)","(13.0, 30.0, 26.4)","(2.4, 99999, 99990)","(11.0, 12.5, 14.0)"
12-01-2023 16:38:19.933592,"(8.0, 10.0, 9.825974025974027)","(5.5, 8.2, 7.933333333333333)","(8.5, 99999, 99990)","(41.0, 65.0, 63.125)","(15.0, 18.5, 18.295454545454547)","(91.0, 220.0, 210.0)","(7.5, 8.8, 7.7875)","(13.0, 30.0, 28.0)","(2.4, 99999, 99990)","(11.0, 15.5, 14.0)"
12-01-2023 16:38:21.237404,"(8.0, 9.8, 9.700000000000001)","(5.5, 8.2, 7.933333333333333)","(8.5, 99999, 99990)","(41.0, 65.0, 63.125)","(15.0, 18.5, 18.295454545454547)","(101.0, 220.0, 206.66666666666666)","(7.5, 8.6, 7.7875)","(13.0, 30.0, 28.0)","(2.4, 99999, 99990)","(11.0, 15.5, 14.0)"
12-01-2023 16:38:22.498263,"(8.0, 9.8, 9.682352941176472)","(5.5, 8.2, 7.933333333333333)","(8.5, 99999, 99990)","(41.0, 65.0, 63.125)","(15.0, 18.5, 18.425)","(101.0, 220.0, 206.66666666666666)","(7.5, 8.6, 8.08)","(13.0, 30.0, 28.0)","(2.4, 99999, 99990)","(11.0, 15.5, 14.0)"
12-01-2023 16:38:23.805924,"(8.0, 9.8, 9.682352941176472)","(5.5, 8.2, 8.088888888888889)","(8.5, 99999, 99990)","(41.0, 65.0, 63.125)","(15.0, 18.5, 18.425)","(101.0, 220.0, 206.66666666666666)","(7.5, 8.4, 8.08)","(13.0, 30.0, 28.0)","(2.4, 99999, 99990)","(11.0, 15.5, 14.0)"
12-01-2023 16:38:25.144014,"(8.0, 9.8, 9.682352941176472)","(5.5, 8.4, 8.03076923076923)","(8.5, 99999, 99990)","(41.0, 65.0, 54.666666666666664)","(15.0, 18.5, 18.727272727272727)","(101.0, 220.0, 206.66666666666666)","(7.5, 8.4, 7.771428571428571)","(13.0, 30.0, 28.0)","(2.4, 99999, 99990)","(11.0, 15.5, 14.875)"
12-01-2023 16:38:26.399231,"(8.0, 9.8, 9.7375)","(5.5, 8.4, 8.329411764705883)","(8.5, 99999, 99990)","(41.0, 70.0, 63.125)","(15.0, 19.0, 18.80952380952381)","(101.0, 220.0, 206.66666666666666)","(7.5, 8.4, 7.7846153846153845)","(13.0, 30.0, 28.0)","(2.4, 99999, 99990)","(11.0, 15.5, 13.5)"
12-01-2023 16:38:27.570682,"(8.0, 9.8, 9.7375)","(5.5, 8.2, 8.141176470588235)","(8.5, 99999, 99990)","(41.0, 65.0, 63.125)","(15.0, 19.0, 18.80952380952381)","(91.0, 220.0, 395.0)","(7.5, 8.4, 7.7846153846153845)","(13.0, 30.0, 28.0)","(2.4, 99999, 99990)","(11.0, 15.5, 14.375)"
12-01-2023 16:38:28.762794,"(8.0, 9.8, 9.752380952380953)","(5.5, 8.2, 8.141176470588235)","(8.5, 99999, 99990)","(41.0, 65.0, 63.125)","(15.0, 19.0, 18.80952380952381)","(91.0, 530.0, 346.6666666666667)","(7.5, 8.4, 7.7846153846153845)","(13.0, 30.0, 24.5)","(2.4, 99999, 99990)","(11.0, 15.5, 13.5)"
12-01-2023 16:38:30.031693,"(8.0, 9.8, 9.533333333333333)","(5.5, 8.0, 7.8)","(8.5, 99999, 99990)","(41.0, 65.0, 63.125)","(15.0, 18.5, 18.0)","(91.0, 520.0, 346.6666666666667)","(7.5, 8.4, 7.828571428571429)","(13.0, 30.0, 27.7)","(2.4, 99999, 99990)","(11.0, 15.5, 13.88888888888889)"
