,Sunset Tara,Body Slam,Fried Giblet,Intruder,Zinger Giblet,Shes Magical
08-01-2023 15:59:24.423332,"(61.0, 570.0, 312.5)","(3.9, 6.6, 5.445652173913043)","(6.0, 10.5, 8.537037037037038)","(5.5, 11.5, 5.908333333333333)","(6.5, 11.5, 6.46)","(1.9, 2.42, 2.377894736842105)"
08-01-2023 15:59:25.271115,"(61.0, 570.0, 312.5)","(3.9, 6.6, 5.445652173913043)","(6.0, 10.5, 8.537037037037038)","(5.5, 11.5, 5.908333333333333)","(6.5, 11.5, 6.46)","(1.9, 2.42, 2.377894736842105)"
08-01-2023 15:59:26.192511,"(61.0, 570.0, 312.5)","(3.9, 6.6, 5.445652173913043)","(6.0, 10.5, 8.537037037037038)","(5.5, 11.5, 5.908333333333333)","(6.5, 11.5, 6.46)","(1.9, 2.42, 2.377894736842105)"
08-01-2023 15:59:27.129945,"(61.0, 570.0, 312.5)","(3.9, 6.6, 5.445652173913043)","(6.0, 10.5, 8.537037037037038)","(5.5, 11.5, 5.908333333333333)","(6.5, 11.5, 6.46)","(1.9, 2.42, 2.377894736842105)"
08-01-2023 15:59:28.151154,"(61.0, 570.0, 312.5)","(3.9, 6.6, 5.445652173913043)","(6.0, 10.5, 8.537037037037038)","(5.5, 11.5, 5.908333333333333)","(6.5, 11.5, 6.46)","(1.9, 2.42, 2.377894736842105)"
08-01-2023 15:59:29.151460,"(61.0, 570.0, 312.5)","(3.9, 6.6, 5.445652173913043)","(6.0, 10.5, 8.537037037037038)","(5.5, 11.5, 5.908333333333333)","(6.5, 11.5, 6.46)","(1.9, 2.42, 2.377894736842105)"
08-01-2023 15:59:30.185182,"(61.0, 570.0, 312.5)","(3.9, 6.6, 5.445652173913043)","(6.0, 10.5, 8.537037037037038)","(5.5, 11.5, 5.908333333333333)","(6.5, 11.5, 6.46)","(1.9, 2.42, 2.377894736842105)"
08-01-2023 15:59:31.161275,"(61.0, 570.0, 312.5)","(3.9, 6.6, 5.445652173913043)","(6.0, 10.5, 8.537037037037038)","(5.5, 11.5, 5.908333333333333)","(6.5, 11.5, 6.46)","(1.9, 2.42, 2.377894736842105)"
08-01-2023 15:59:32.153768,"(61.0, 570.0, 312.5)","(3.9, 6.6, 5.445652173913043)","(6.0, 10.5, 8.537037037037038)","(5.5, 11.5, 5.908333333333333)","(6.5, 11.5, 6.46)","(1.9, 2.42, 2.377894736842105)"
08-01-2023 15:59:33.117822,"(61.0, 570.0, 312.5)","(3.9, 6.6, 5.445652173913043)","(6.0, 10.5, 8.537037037037038)","(5.5, 11.5, 5.908333333333333)","(6.5, 11.5, 6.46)","(1.9, 2.42, 2.377894736842105)"
08-01-2023 15:59:34.038002,"(61.0, 570.0, 312.5)","(3.9, 6.6, 5.445652173913043)","(6.0, 10.5, 8.537037037037038)","(5.5, 11.5, 5.908333333333333)","(6.5, 11.5, 6.46)","(1.9, 2.42, 2.377894736842105)"
08-01-2023 15:59:35.099238,"(61.0, 570.0, 312.5)","(3.9, 6.6, 5.445652173913043)","(6.0, 10.5, 8.537037037037038)","(5.5, 11.5, 5.908333333333333)","(6.5, 11.5, 6.46)","(1.9, 2.42, 2.377894736842105)"
08-01-2023 15:59:36.153234,"(61.0, 570.0, 312.5)","(3.9, 6.6, 5.445652173913043)","(6.0, 10.5, 8.537037037037038)","(5.5, 11.5, 5.908333333333333)","(6.5, 11.5, 6.46)","(1.9, 2.42, 2.377894736842105)"
08-01-2023 15:59:37.139417,"(61.0, 570.0, 312.5)","(3.9, 6.6, 5.445652173913043)","(6.0, 10.5, 8.537037037037038)","(5.5, 11.5, 5.908333333333333)","(6.5, 11.5, 6.46)","(1.9, 2.42, 2.377894736842105)"
08-01-2023 15:59:38.067154,"(61.0, 570.0, 312.5)","(3.9, 6.6, 5.445652173913043)","(6.0, 10.5, 8.537037037037038)","(5.5, 11.5, 5.908333333333333)","(6.5, 11.5, 6.46)","(1.9, 2.42, 2.377894736842105)"
08-01-2023 15:59:39.004674,"(61.0, 570.0, 312.5)","(3.9, 6.6, 5.445652173913043)","(6.0, 10.5, 8.537037037037038)","(5.5, 11.5, 5.908333333333333)","(6.5, 11.5, 6.46)","(1.9, 2.42, 2.377894736842105)"
08-01-2023 15:59:39.952184,"(61.0, 570.0, 312.5)","(3.9, 6.6, 5.445652173913043)","(6.0, 10.5, 8.537037037037038)","(5.5, 11.5, 5.908333333333333)","(6.5, 11.5, 6.46)","(1.9, 2.42, 2.377894736842105)"
08-01-2023 15:59:40.873196,"(61.0, 570.0, 312.5)","(3.9, 6.6, 5.445652173913043)","(6.0, 10.5, 8.537037037037038)","(5.5, 11.5, 5.908333333333333)","(6.5, 11.5, 6.46)","(1.9, 2.42, 2.377894736842105)"
08-01-2023 15:59:41.907561,"(61.0, 570.0, 312.5)","(3.9, 6.6, 5.445652173913043)","(6.0, 10.5, 8.23913043478261)","(5.5, 11.5, 5.908333333333333)","(6.5, 11.5, 6.46)","(1.9, 2.42, 2.377894736842105)"
08-01-2023 15:59:42.833541,"(61.0, 570.0, 312.5)","(3.9, 6.6, 5.445652173913043)","(6.0, 10.5, 8.23913043478261)","(5.5, 11.5, 5.908333333333333)","(6.5, 11.5, 6.46)","(1.9, 2.42, 2.377894736842105)"
08-01-2023 15:59:43.713601,"(61.0, 570.0, 312.5)","(3.9, 6.6, 5.445652173913043)","(6.0, 10.5, 8.23913043478261)","(5.5, 11.5, 5.908333333333333)","(6.5, 11.5, 6.46)","(1.9, 2.42, 2.377894736842105)"
