,Nicco The Greek,Im Krupt,Flying To Paris,Coronation Veronic,Black Eaglet,Gee Gee Miss Quita,Alvarinho,Finxy,Zulu Guru
06-01-2023 17:11:01.203553,"(3.1, 3.5, 3.0563829787234043)","(17.0, 29.0, 23.0)","(2.5, 2.9, 2.716666666666667)","(13.0, 25.0, 18.7)","(19.0, 40.0, 35.0)","(5.5, 9.4, 8.76)","(10.0, 20.0, 17.625)","(31.0, 50.0, 39.2)","(15.0, 32.0, 29.25)"
06-01-2023 17:11:02.419391,"(3.1, 3.5, 3.0563829787234043)","(17.0, 29.0, 23.0)","(2.5, 2.9, 2.716666666666667)","(13.0, 25.0, 18.7)","(19.0, 40.0, 35.0)","(5.5, 9.4, 8.76)","(10.0, 20.0, 17.625)","(31.0, 50.0, 39.2)","(15.0, 32.0, 29.25)"
06-01-2023 17:11:03.610586,"(3.1, 3.5, 3.0563829787234043)","(17.0, 29.0, 23.0)","(2.5, 2.9, 2.716666666666667)","(13.0, 25.0, 18.7)","(19.0, 40.0, 35.0)","(5.5, 9.4, 8.76)","(10.0, 20.0, 17.625)","(31.0, 50.0, 39.2)","(15.0, 32.0, 29.25)"
06-01-2023 17:11:04.879527,"(3.1, 3.5, 3.0563829787234043)","(17.0, 29.0, 23.0)","(2.5, 2.9, 2.716666666666667)","(13.0, 25.0, 18.7)","(19.0, 40.0, 35.0)","(5.5, 9.4, 8.76)","(10.0, 20.0, 17.625)","(31.0, 50.0, 39.2)","(15.0, 32.0, 29.25)"
06-01-2023 17:11:06.049602,"(3.1, 3.5, 3.0563829787234043)","(17.0, 29.0, 23.0)","(2.5, 2.9, 2.716666666666667)","(13.0, 25.0, 18.7)","(19.0, 40.0, 35.0)","(5.5, 9.4, 8.76)","(10.0, 20.0, 17.625)","(31.0, 50.0, 39.2)","(15.0, 32.0, 29.25)"
06-01-2023 17:11:07.240639,"(3.1, 3.5, 3.0563829787234043)","(17.0, 29.0, 23.0)","(2.5, 2.9, 2.716666666666667)","(13.0, 25.0, 18.7)","(19.0, 40.0, 35.0)","(5.5, 9.4, 8.76)","(10.0, 20.0, 17.625)","(31.0, 50.0, 39.2)","(15.0, 32.0, 29.25)"
06-01-2023 17:11:08.431618,"(3.1, 3.5, 3.0563829787234043)","(17.0, 29.0, 23.0)","(2.5, 2.9, 2.716666666666667)","(13.0, 25.0, 18.7)","(19.0, 40.0, 19.289473684210527)","(5.5, 9.4, 8.8)","(10.0, 20.0, 15.75)","(31.0, 50.0, 39.2)","(15.0, 32.0, 29.25)"
06-01-2023 17:11:09.643700,"(3.1, 3.5, 3.1070671378091874)","(17.0, 29.0, 23.0)","(2.5, 2.9, 2.716666666666667)","(13.0, 25.0, 18.7)","(19.0, 19.5, 38.25)","(5.5, 9.4, 8.76)","(10.0, 20.0, 17.625)","(31.0, 50.0, 39.2)","(15.0, 32.0, 29.25)"
06-01-2023 17:11:10.860438,"(3.1, 3.5, 3.0563829787234043)","(17.0, 29.0, 23.0)","(2.5, 2.9, 2.716666666666667)","(13.0, 25.0, 18.7)","(19.0, 40.0, 33.166666666666664)","(5.5, 9.4, 7.6)","(10.0, 20.0, 17.625)","(31.0, 50.0, 39.2)","(15.0, 32.0, 29.25)"
06-01-2023 17:11:12.070378,"(3.1, 3.5, 3.0563829787234043)","(17.0, 29.0, 23.0)","(2.5, 2.9, 2.716666666666667)","(13.0, 25.0, 18.7)","(19.0, 40.0, 33.166666666666664)","(5.5, 9.0, 7.6)","(10.0, 20.0, 17.625)","(31.0, 50.0, 39.2)","(15.0, 32.0, 29.25)"
