,Whata Reactor,Little Auckland,Lurking,Eastbro Tex,Gulmarg,Whata Challenge,The Crom,Caught Out,Nevaevabend
07-12-2022 20:48:44.884651,"(2.8, 4.0, 3.41)","(51.0, 140.0, 124.0)","(4.6, 6.2, 5.514285714285714)","(21.0, 42.0, 24.857142857142858)","(5.5, 9.2, 7.866666666666666)","(19.0, 38.0, 23.0)","(6.5, 10.5, 9.35)","(4.2, 6.0, 4.859999999999999)","(21.0, 40.0, 33.85714285714286)"
07-12-2022 20:48:46.025803,"(2.8, 4.0, 3.41)","(51.0, 140.0, 124.0)","(4.6, 6.2, 5.514285714285714)","(21.0, 42.0, 24.857142857142858)","(5.5, 9.2, 7.866666666666666)","(19.0, 38.0, 23.0)","(6.5, 10.5, 9.35)","(4.2, 6.0, 4.859999999999999)","(21.0, 40.0, 33.85714285714286)"
07-12-2022 20:48:47.275381,"(2.8, 4.0, 3.41)","(51.0, 140.0, 124.0)","(4.6, 6.2, 5.514285714285714)","(21.0, 42.0, 24.857142857142858)","(5.5, 9.2, 7.866666666666666)","(19.0, 38.0, 23.0)","(6.5, 10.5, 9.35)","(4.2, 6.0, 4.859999999999999)","(21.0, 40.0, 33.85714285714286)"
07-12-2022 20:48:48.484955,"(2.8, 4.0, 3.41)","(51.0, 140.0, 124.0)","(4.6, 6.2, 5.514285714285714)","(21.0, 42.0, 24.857142857142858)","(5.5, 9.2, 7.866666666666666)","(19.0, 38.0, 23.0)","(6.5, 10.5, 9.35)","(4.2, 6.0, 4.859999999999999)","(21.0, 40.0, 33.85714285714286)"
07-12-2022 20:48:49.818397,"(2.8, 4.0, 3.41)","(51.0, 140.0, 124.0)","(4.6, 6.2, 5.514285714285714)","(21.0, 42.0, 24.857142857142858)","(5.5, 9.2, 7.866666666666666)","(19.0, 38.0, 23.0)","(6.5, 10.5, 9.35)","(4.2, 6.0, 4.859999999999999)","(21.0, 40.0, 33.85714285714286)"
07-12-2022 20:48:51.072853,"(2.8, 4.0, 3.41)","(51.0, 140.0, 124.0)","(4.6, 6.2, 5.514285714285714)","(21.0, 42.0, 24.857142857142858)","(5.5, 9.2, 7.866666666666666)","(19.0, 38.0, 23.0)","(6.5, 10.5, 9.35)","(4.2, 6.0, 4.859999999999999)","(21.0, 40.0, 33.85714285714286)"
07-12-2022 20:48:52.370099,"(2.8, 4.0, 3.41)","(51.0, 140.0, 124.0)","(4.6, 6.2, 5.514285714285714)","(21.0, 42.0, 24.857142857142858)","(5.5, 9.2, 7.866666666666666)","(19.0, 38.0, 23.0)","(6.5, 10.5, 9.35)","(4.2, 6.0, 4.859999999999999)","(21.0, 40.0, 33.85714285714286)"
07-12-2022 20:48:53.634062,"(2.8, 4.0, 3.41)","(51.0, 140.0, 124.0)","(4.6, 6.2, 5.514285714285714)","(21.0, 42.0, 24.857142857142858)","(5.5, 9.2, 7.866666666666666)","(19.0, 38.0, 23.0)","(6.5, 10.5, 9.35)","(4.2, 6.0, 4.859999999999999)","(21.0, 40.0, 33.85714285714286)"
07-12-2022 20:48:54.858032,"(2.8, 4.0, 3.41)","(51.0, 140.0, 124.0)","(4.6, 6.2, 5.514285714285714)","(21.0, 42.0, 24.857142857142858)","(5.5, 9.2, 7.866666666666666)","(19.0, 38.0, 23.0)","(6.5, 10.5, 9.35)","(4.2, 6.0, 4.859999999999999)","(21.0, 40.0, 33.85714285714286)"
07-12-2022 20:48:56.060783,"(2.8, 4.0, 3.41)","(51.0, 140.0, 124.0)","(4.6, 6.2, 5.514285714285714)","(21.0, 42.0, 24.857142857142858)","(5.5, 9.2, 7.866666666666666)","(19.0, 38.0, 23.0)","(6.5, 10.5, 9.35)","(4.2, 6.0, 4.859999999999999)","(21.0, 40.0, 33.85714285714286)"
