,Seductive Angel,Bokarm Luna,Ember Lad,Clover Lizzie,Star Sirius,Bokarm Nero,Burringbar Gypsy
12-01-2023 10:31:01.260457,"(3.9, 6.6, 6.044444444444444)","(3.6, 5.2, 4.5)","(31.0, 100.0, 83.0)","(8.0, 13.5, 12.48)","(4.6, 7.8, 6.56)","(16.0, 42.0, 31.791666666666664)","(2.9, 4.6, 3.7375)"
12-01-2023 10:31:02.329407,"(3.9, 6.6, 6.044444444444444)","(3.6, 5.2, 4.5)","(31.0, 100.0, 83.0)","(8.0, 13.5, 12.48)","(4.6, 7.8, 6.56)","(16.0, 42.0, 31.791666666666664)","(2.9, 4.6, 3.7375)"
12-01-2023 10:31:03.402489,"(3.9, 6.6, 6.044444444444444)","(3.6, 5.2, 4.5)","(31.0, 100.0, 83.0)","(8.0, 13.5, 12.48)","(4.6, 7.8, 6.56)","(16.0, 42.0, 31.791666666666664)","(2.9, 4.6, 3.7375)"
12-01-2023 10:31:04.511513,"(3.9, 6.6, 6.044444444444444)","(3.6, 5.2, 4.5)","(31.0, 100.0, 83.0)","(8.0, 13.5, 12.48)","(4.6, 7.8, 6.56)","(16.0, 42.0, 31.791666666666664)","(2.9, 4.6, 3.7375)"
12-01-2023 10:31:05.517910,"(3.9, 6.6, 6.044444444444444)","(3.6, 5.2, 4.5)","(31.0, 100.0, 83.0)","(8.0, 13.5, 12.48)","(4.6, 7.8, 6.56)","(16.0, 42.0, 31.791666666666664)","(2.9, 4.6, 3.7375)"
12-01-2023 10:31:06.583295,"(3.9, 6.6, 6.044444444444444)","(3.6, 5.2, 4.5)","(31.0, 100.0, 83.0)","(8.0, 13.5, 12.48)","(4.6, 7.8, 6.56)","(16.0, 42.0, 31.791666666666664)","(2.9, 4.6, 3.7375)"
12-01-2023 10:31:07.647252,"(3.9, 6.6, 6.044444444444444)","(3.6, 5.2, 4.5)","(31.0, 100.0, 83.0)","(8.0, 13.5, 12.48)","(4.6, 7.8, 6.56)","(16.0, 42.0, 31.791666666666664)","(2.9, 4.6, 3.7375)"
12-01-2023 10:31:08.733955,"(3.9, 6.6, 6.044444444444444)","(3.6, 5.2, 4.5)","(31.0, 100.0, 83.0)","(8.0, 13.5, 12.48)","(4.6, 7.8, 6.56)","(16.0, 42.0, 31.791666666666664)","(2.9, 4.6, 3.7375)"
12-01-2023 10:31:09.952808,"(3.9, 6.6, 6.044444444444444)","(3.6, 5.2, 4.5)","(31.0, 100.0, 83.0)","(8.0, 13.5, 12.48)","(4.6, 7.8, 6.56)","(16.0, 42.0, 31.791666666666664)","(2.9, 4.6, 3.7375)"
12-01-2023 10:31:11.103012,"(3.9, 6.6, 6.044444444444444)","(3.6, 5.2, 4.5)","(31.0, 100.0, 83.0)","(8.0, 13.5, 12.48)","(4.6, 7.8, 6.56)","(16.0, 42.0, 31.791666666666664)","(2.9, 4.6, 3.7375)"
