,Tessa Orchid,Princess Gypsy,Little Zambora,Lala Ultra Fast,River Matt,Super Bob,Holtorf Bale,Vitnell Bale
14-12-2022 13:38:52.807662,"(12.0, 26.0, 17.666666666666668)","(8.0, 11.5, 9.5)","(6.0, 12.5, 11.771428571428572)","(6.0, 12.5, 8.138461538461538)","(8.0, 19.5, 9.814285714285713)","(2.45, 3.1, 2.8506666666666667)","(4.8, 9.2, 8.876923076923077)","(21.0, 65.0, 39.44444444444444)"
14-12-2022 13:38:53.910278,"(12.0, 26.0, 17.666666666666668)","(8.0, 11.5, 9.5)","(6.0, 12.5, 11.771428571428572)","(6.0, 12.5, 8.138461538461538)","(8.0, 19.5, 9.814285714285713)","(2.45, 3.1, 2.8506666666666667)","(4.8, 9.2, 8.876923076923077)","(21.0, 65.0, 39.44444444444444)"
14-12-2022 13:38:55.230699,"(12.0, 26.0, 17.666666666666668)","(8.0, 11.5, 9.5)","(6.0, 12.5, 11.771428571428572)","(6.0, 12.5, 8.138461538461538)","(8.0, 19.5, 9.814285714285713)","(2.45, 3.1, 2.8506666666666667)","(4.8, 9.2, 8.876923076923077)","(21.0, 65.0, 39.44444444444444)"
14-12-2022 13:38:56.455857,"(12.0, 26.0, 17.666666666666668)","(8.0, 11.5, 9.5)","(6.0, 12.5, 11.771428571428572)","(6.0, 12.5, 8.138461538461538)","(8.0, 19.5, 9.814285714285713)","(2.45, 3.1, 2.8506666666666667)","(4.8, 9.2, 8.876923076923077)","(21.0, 65.0, 39.44444444444444)"
14-12-2022 13:38:57.573852,"(12.0, 26.0, 17.666666666666668)","(8.0, 11.5, 9.5)","(6.0, 12.5, 11.771428571428572)","(6.0, 12.5, 8.138461538461538)","(8.0, 19.5, 9.814285714285713)","(2.45, 3.1, 2.8506666666666667)","(4.8, 9.2, 8.876923076923077)","(21.0, 65.0, 39.44444444444444)"
14-12-2022 13:38:58.671343,"(12.0, 26.0, 17.666666666666668)","(8.0, 11.5, 9.5)","(6.0, 12.5, 11.771428571428572)","(6.0, 12.5, 8.138461538461538)","(8.0, 19.5, 9.814285714285713)","(2.45, 3.1, 2.8506666666666667)","(4.8, 9.2, 8.876923076923077)","(21.0, 65.0, 39.44444444444444)"
14-12-2022 13:38:59.764236,"(12.0, 26.0, 17.666666666666668)","(8.0, 11.5, 9.5)","(6.0, 12.5, 11.771428571428572)","(6.0, 12.5, 8.138461538461538)","(8.0, 19.5, 9.814285714285713)","(2.45, 3.1, 2.8506666666666667)","(4.8, 9.2, 8.876923076923077)","(21.0, 65.0, 39.44444444444444)"
14-12-2022 13:39:00.891736,"(12.0, 26.0, 17.666666666666668)","(8.0, 11.5, 9.5)","(6.0, 12.5, 11.771428571428572)","(6.0, 12.5, 8.138461538461538)","(8.0, 19.5, 9.814285714285713)","(2.45, 3.1, 2.8506666666666667)","(4.8, 9.2, 8.876923076923077)","(21.0, 65.0, 39.44444444444444)"
14-12-2022 13:39:02.043617,"(12.0, 26.0, 17.666666666666668)","(8.0, 11.5, 9.5)","(6.0, 12.5, 11.771428571428572)","(6.0, 12.5, 8.138461538461538)","(8.0, 19.5, 9.814285714285713)","(2.45, 3.1, 2.8506666666666667)","(4.8, 9.2, 8.876923076923077)","(21.0, 65.0, 60.625)"
14-12-2022 13:39:03.366812,"(12.0, 26.0, 14.333333333333334)","(8.0, 11.5, 9.5)","(6.0, 12.5, 11.771428571428572)","(6.0, 12.5, 8.138461538461538)","(8.0, 19.5, 9.814285714285713)","(2.45, 3.1, 2.8506666666666667)","(4.8, 9.2, 8.876923076923077)","(21.0, 65.0, 32.85714285714286)"
14-12-2022 13:39:04.613754,"(12.0, 26.0, 14.333333333333334)","(8.0, 11.5, 9.5)","(6.0, 12.5, 11.771428571428572)","(6.0, 12.5, 8.138461538461538)","(8.0, 19.5, 9.814285714285713)","(2.45, 3.1, 2.8506666666666667)","(4.8, 9.2, 8.876923076923077)","(21.0, 65.0, 42.5)"
14-12-2022 13:39:06.055944,"(12.0, 26.0, 14.333333333333334)","(8.0, 11.5, 9.5)","(6.0, 12.5, 9.8)","(6.0, 12.5, 8.138461538461538)","(8.0, 19.5, 9.814285714285713)","(2.45, 3.1, 2.8506666666666667)","(4.8, 9.2, 8.876923076923077)","(21.0, 65.0, 42.5)"
14-12-2022 13:39:07.511028,"(12.0, 26.0, 14.333333333333334)","(8.0, 11.5, 9.5)","(6.0, 13.0, 9.8)","(6.0, 12.5, 8.138461538461538)","(8.0, 19.5, 9.814285714285713)","(2.45, 3.1, 2.8506666666666667)","(4.8, 9.2, 8.7)","(21.0, 65.0, 42.5)"
14-12-2022 13:39:08.751158,"(12.0, 26.0, 14.333333333333334)","(8.0, 11.5, 9.5)","(6.0, 13.0, 9.8)","(6.0, 12.5, 8.138461538461538)","(8.0, 19.5, 9.814285714285713)","(2.45, 3.1, 2.8506666666666667)","(4.8, 9.2, 8.7)","(21.0, 65.0, 42.5)"
14-12-2022 13:39:10.131096,"(12.0, 26.0, 14.333333333333334)","(8.0, 11.5, 9.5)","(6.0, 13.0, 9.8)","(6.0, 12.5, 8.138461538461538)","(8.0, 19.5, 9.814285714285713)","(2.45, 3.1, 2.8506666666666667)","(4.8, 9.2, 8.7)","(21.0, 65.0, 42.5)"
14-12-2022 13:39:11.712626,"(12.0, 26.0, 14.333333333333334)","(8.0, 11.5, 9.5)","(6.0, 13.0, 9.8)","(6.0, 12.5, 8.138461538461538)","(8.0, 19.5, 9.814285714285713)","(2.45, 3.1, 2.8506666666666667)","(4.8, 9.2, 8.7)","(21.0, 65.0, 42.5)"
14-12-2022 13:39:13.156662,"(12.0, 26.0, 14.333333333333334)","(8.0, 11.5, 9.5)","(6.0, 13.0, 9.8)","(6.0, 12.5, 8.138461538461538)","(8.0, 19.5, 9.985714285714286)","(2.45, 3.1, 2.5472727272727274)","(4.8, 9.2, 8.809999999999999)","(21.0, 65.0, 42.5)"
