,Bisping,Double Edge Sword,Im A Cowboy,Scatamaran,Rithm Nic
15-12-2022 12:05:46.510147,"(5.0, 8.0, 7.4)","(6.5, 8.2, 7.618181818181818)","(9.0, 14.0, 13.6)","(4.4, 5.0, 4.857142857142857)","(2.05, 2.3, 2.2392857142857143)"
15-12-2022 12:05:47.439354,"(5.0, 7.8, 7.107692307692307)","(6.5, 8.2, 7.618181818181818)","(9.0, 14.0, 13.5)","(4.4, 5.0, 4.857142857142857)","(2.05, 2.3, 2.2392857142857143)"
15-12-2022 12:05:48.329173,"(5.0, 7.8, 7.427586206896551)","(6.5, 8.2, 7.7)","(9.0, 14.0, 13.166666666666666)","(4.4, 5.0, 4.857142857142857)","(2.05, 2.3, 2.2392857142857143)"
15-12-2022 12:05:49.159186,"(5.0, 8.0, 7.766666666666667)","(6.5, 8.6, 7.85)","(9.0, 14.0, 13.166666666666666)","(4.4, 5.0, 4.857142857142857)","(2.05, 2.3, 2.2392857142857143)"
15-12-2022 12:05:50.265685,"(5.0, 8.0, 7.792592592592593)","(6.5, 8.6, 7.85)","(9.0, 14.0, 13.166666666666666)","(4.4, 5.0, 4.857142857142857)","(2.05, 2.3, 2.2392857142857143)"
15-12-2022 12:05:51.150252,"(5.0, 8.0, 7.792592592592593)","(6.5, 8.6, 7.85)","(9.0, 14.0, 13.166666666666666)","(4.4, 5.0, 4.857142857142857)","(2.05, 2.3, 2.2392857142857143)"
15-12-2022 12:05:52.019244,"(5.0, 8.0, 7.792592592592593)","(6.5, 8.4, 8.0)","(9.0, 14.0, 13.166666666666666)","(4.4, 5.0, 4.857142857142857)","(2.05, 2.3, 2.2392857142857143)"
15-12-2022 12:05:52.913085,"(5.0, 8.0, 7.2)","(6.5, 8.4, 8.0)","(9.0, 14.0, 13.166666666666666)","(4.4, 5.0, 4.857142857142857)","(2.05, 2.3, 2.2392857142857143)"
15-12-2022 12:05:53.730473,"(5.0, 8.0, 7.4)","(6.5, 8.2, 7.7)","(9.0, 14.0, 13.166666666666666)","(4.4, 5.0, 4.857142857142857)","(2.05, 2.3, 2.2392857142857143)"
15-12-2022 12:05:54.617184,"(5.0, 8.0, 7.4)","(6.5, 8.2, 7.7)","(9.0, 14.0, 13.166666666666666)","(4.4, 5.0, 4.857142857142857)","(2.05, 2.3, 2.2392857142857143)"
15-12-2022 12:05:55.635013,"(5.0, 8.0, 7.4)","(6.5, 8.2, 7.7)","(9.0, 14.0, 12.75)","(4.4, 5.0, 4.857142857142857)","(2.05, 2.3, 2.2244444444444444)"
15-12-2022 12:05:56.548957,"(5.0, 8.0, 7.4)","(6.5, 8.2, 7.7)","(9.0, 14.0, 13.166666666666666)","(4.4, 5.0, 4.857142857142857)","(2.05, 2.3, 2.2244444444444444)"
15-12-2022 12:05:57.437264,"(5.0, 8.0, 7.7)","(6.5, 8.2, 7.7)","(9.0, 14.0, 13.166666666666666)","(4.4, 5.0, 4.857142857142857)","(2.05, 2.3, 2.2244444444444444)"
15-12-2022 12:05:58.247616,"(5.0, 8.0, 7.7)","(6.5, 8.2, 7.7)","(9.0, 14.0, 13.166666666666666)","(4.4, 5.0, 4.857142857142857)","(2.05, 2.3, 2.2244444444444444)"
15-12-2022 12:05:59.258823,"(5.0, 8.0, 7.7)","(6.5, 8.2, 7.7)","(9.0, 14.0, 13.166666666666666)","(4.4, 5.0, 4.857142857142857)","(2.05, 2.3, 2.2244444444444444)"
15-12-2022 12:06:00.290071,"(5.0, 8.0, 7.7)","(6.5, 8.2, 7.7)","(9.0, 14.0, 13.166666666666666)","(4.4, 5.0, 4.857142857142857)","(2.05, 2.3, 2.2293333333333334)"
15-12-2022 12:06:01.169239,"(5.0, 8.0, 7.7)","(6.5, 8.2, 7.7)","(9.0, 14.0, 13.166666666666666)","(4.4, 5.0, 4.857142857142857)","(2.05, 2.28, 2.2293333333333334)"
15-12-2022 12:06:02.055957,"(5.5, 8.0, 7.7)","(6.5, 8.2, 7.7)","(10.0, 14.0, 13.166666666666666)","(4.4, 5.0, 4.857142857142857)","(2.0, 2.28, 2.2293333333333334)"
15-12-2022 12:06:02.859526,"(5.5, 8.0, 7.7)","(6.5, 8.2, 7.7)","(10.0, 14.0, 13.166666666666666)","(4.4, 5.0, 4.857142857142857)","(2.0, 2.28, 2.2293333333333334)"
15-12-2022 12:06:03.748880,"(5.5, 8.0, 7.7)","(6.5, 8.6, 7.85)","(10.0, 14.0, 13.375)","(4.4, 5.0, 4.857142857142857)","(2.0, 2.28, 2.2293333333333334)"
15-12-2022 12:06:04.605513,"(5.5, 7.8, 7.2)","(6.5, 8.6, 7.85)","(10.0, 14.0, 13.375)","(4.4, 5.0, 4.857142857142857)","(2.0, 2.28, 2.242)"
15-12-2022 12:06:05.410819,"(5.5, 7.8, 7.2)","(6.5, 8.6, 7.85)","(10.0, 14.0, 13.0)","(4.4, 5.0, 4.888888888888888)","(2.0, 2.28, 2.242)"
15-12-2022 12:06:06.269403,"(5.5, 8.0, 7.7)","(6.5, 8.6, 7.85)","(10.0, 14.0, 13.375)","(4.4, 5.0, 4.888888888888888)","(2.0, 2.28, 2.243225806451613)"
15-12-2022 12:06:07.115169,"(5.5, 8.0, 7.858823529411765)","(6.5, 8.6, 7.85)","(10.0, 13.5, 13.0)","(4.4, 5.0, 4.888888888888888)","(2.0, 2.28, 2.243225806451613)"
15-12-2022 12:06:07.948429,"(5.5, 7.8, 7.390909090909091)","(6.5, 8.6, 7.85)","(10.0, 13.5, 13.0)","(4.4, 5.0, 4.888888888888888)","(2.0, 2.28, 2.243225806451613)"
15-12-2022 12:06:08.801707,"(5.5, 7.8, 7.390909090909091)","(6.5, 8.6, 7.85)","(10.0, 13.5, 13.0)","(4.4, 5.0, 4.888888888888888)","(2.0, 2.28, 2.243225806451613)"
15-12-2022 12:06:09.646264,"(5.5, 8.4, 8.1)","(6.5, 8.6, 7.85)","(10.0, 13.5, 13.0)","(4.4, 5.0, 4.888888888888888)","(2.0, 2.28, 2.243225806451613)"
15-12-2022 12:06:10.515819,"(5.5, 8.4, 8.266666666666667)","(6.5, 8.4, 7.9)","(10.0, 13.5, 13.0)","(4.4, 5.0, 4.888888888888888)","(2.0, 2.28, 2.243225806451613)"
15-12-2022 12:06:11.382485,"(5.5, 8.2, 7.926829268292682)","(6.5, 8.2, 7.96470588235294)","(10.0, 13.5, 13.0)","(4.4, 5.0, 4.888888888888888)","(2.0, 2.28, 2.243225806451613)"
15-12-2022 12:06:12.259475,"(5.5, 8.2, 7.926829268292682)","(6.5, 8.2, 7.96470588235294)","(10.0, 13.5, 13.0)","(4.4, 5.0, 4.888888888888888)","(2.0, 2.28, 2.243225806451613)"
15-12-2022 12:06:13.355359,"(5.5, 8.4, 8.266666666666667)","(6.5, 8.2, 7.96470588235294)","(10.0, 13.5, 13.0)","(4.4, 5.0, 4.888888888888888)","(2.0, 2.28, 2.243225806451613)"
15-12-2022 12:06:14.342461,"(5.5, 8.4, 8.266666666666667)","(6.5, 8.2, 7.96470588235294)","(10.0, 13.5, 13.0)","(4.4, 5.0, 4.888888888888888)","(2.0, 2.28, 2.243225806451613)"
15-12-2022 12:06:15.231544,"(5.5, 8.4, 8.266666666666667)","(6.5, 8.2, 7.96470588235294)","(10.0, 13.5, 13.0)","(4.4, 5.0, 4.888888888888888)","(2.0, 2.28, 2.243225806451613)"
15-12-2022 12:06:16.184896,"(5.5, 8.2, 7.926829268292682)","(6.5, 8.2, 7.96470588235294)","(10.0, 13.5, 13.0)","(4.4, 5.0, 4.866666666666666)","(2.0, 2.28, 2.2230000000000003)"
15-12-2022 12:06:17.204617,"(5.5, 8.2, 7.926829268292682)","(6.5, 8.2, 7.96470588235294)","(10.0, 13.5, 13.0)","(4.4, 5.0, 4.866666666666666)","(2.0, 2.28, 2.2230000000000003)"
15-12-2022 12:06:18.234165,"(5.5, 8.8, 8.685714285714287)","(6.5, 8.2, 7.96470588235294)","(10.0, 13.5, 13.0)","(4.4, 5.0, 4.866666666666666)","(2.0, 2.28, 2.2230000000000003)"
15-12-2022 12:06:19.176188,"(5.5, 8.6, 7.685714285714285)","(6.5, 8.2, 7.96470588235294)","(10.0, 13.5, 13.0)","(4.4, 5.0, 4.866666666666666)","(2.0, 2.28, 2.2230000000000003)"
15-12-2022 12:06:20.131426,"(5.5, 8.6, 7.685714285714285)","(6.5, 8.0, 7.914285714285715)","(10.0, 13.5, 13.0)","(4.4, 5.0, 4.866666666666666)","(2.0, 2.28, 2.2230000000000003)"
15-12-2022 12:06:21.079238,"(5.5, 8.8, 8.350000000000001)","(6.5, 7.8, 7.682352941176471)","(10.0, 13.5, 13.0)","(4.4, 5.0, 4.866666666666666)","(2.0, 2.28, 2.2230000000000003)"
15-12-2022 12:06:22.157920,"(5.5, 8.6, 7.685714285714285)","(6.5, 7.8, 7.682352941176471)","(10.0, 13.5, 13.0)","(4.4, 5.0, 4.866666666666666)","(2.0, 2.28, 2.2230000000000003)"
15-12-2022 12:06:22.970733,"(5.5, 8.6, 7.685714285714285)","(6.5, 7.8, 7.682352941176471)","(10.0, 13.5, 13.0)","(4.4, 5.0, 4.866666666666666)","(2.0, 2.28, 2.2230000000000003)"
15-12-2022 12:06:23.861954,"(5.5, 8.8, 8.350000000000001)","(6.5, 7.8, 7.682352941176471)","(10.0, 13.5, 13.0)","(4.4, 5.0, 4.866666666666666)","(2.0, 2.28, 2.2214814814814816)"
15-12-2022 12:06:24.836376,"(5.5, 8.8, 8.350000000000001)","(6.5, 7.8, 7.682352941176471)","(10.0, 13.5, 13.0)","(4.4, 5.0, 4.866666666666666)","(2.0, 2.26, 2.2214814814814816)"
