,Prompt Prodigy,Deevine,Grand Pope,Grinzinger Prince,Tramontana,Bluestone Lane,Cosmic Rhapsody,Jamarra,Rosalia,Pinnace,Snappy Magnus,Hes Essential,The Siscos Kid
04-01-2023 16:00:00.448984,"(61.0, 250.0, 225.71428571428572)","(26.0, 85.0, 69.33333333333333)","(6.5, 8.2, 8.133333333333333)","(5.5, 6.4, 6.311111111111112)","(9.0, 11.0, 11.023809523809524)","(18.0, 40.0, 36.57142857142857)","(26.0, 40.0, 37.9375)","(6.0, 7.0, 6.96)","(8.0, 9.0, 8.866666666666667)","(4.4, 5.9, 5.823076923076924)","(31.0, 55.0, 41.25)","(10.0, 12.0, 11.818965517241379)","(81.0, 180.0, 141.36363636363637)"
04-01-2023 16:00:01.922489,"(61.0, 250.0, 207.5)","(26.0, 80.0, 70.85714285714286)","(6.5, 8.2, 8.133333333333333)","(5.5, 6.4, 6.311111111111112)","(9.0, 11.5, 11.0)","(18.0, 40.0, 36.57142857142857)","(26.0, 40.0, 37.411764705882355)","(6.0, 7.0, 6.963636363636364)","(8.0, 9.0, 8.860000000000001)","(4.4, 5.9, 5.833333333333334)","(31.0, 50.0, 42.22222222222222)","(10.0, 12.0, 11.818965517241379)","(81.0, 180.0, 141.36363636363637)"
04-01-2023 16:00:03.392642,"(61.0, 250.0, 207.5)","(26.0, 80.0, 70.85714285714286)","(6.5, 8.2, 8.133333333333333)","(5.5, 6.4, 6.311111111111112)","(9.0, 11.5, 11.0)","(18.0, 40.0, 36.57142857142857)","(26.0, 40.0, 37.411764705882355)","(6.0, 7.0, 6.963636363636364)","(8.0, 9.0, 8.92)","(4.4, 5.9, 5.833333333333334)","(31.0, 50.0, 42.22222222222222)","(10.0, 12.0, 11.818965517241379)","(81.0, 180.0, 141.36363636363637)"
04-01-2023 16:00:04.935202,"(61.0, 250.0, 207.5)","(26.0, 80.0, 70.85714285714286)","(6.5, 8.2, 8.133333333333333)","(5.5, 6.4, 6.311111111111112)","(9.0, 11.5, 11.0)","(18.0, 40.0, 36.57142857142857)","(26.0, 40.0, 37.411764705882355)","(6.0, 7.0, 6.963636363636364)","(8.0, 9.0, 8.92)","(4.4, 5.9, 6.189130434782609)","(31.0, 50.0, 40.0)","(10.0, 12.0, 11.814159292035399)","(81.0, 180.0, 141.36363636363637)"
04-01-2023 16:00:06.423173,"(61.0, 250.0, 207.5)","(26.0, 80.0, 70.85714285714286)","(6.5, 8.2, 8.072727272727272)","(5.5, 6.4, 6.460606060606061)","(9.0, 11.5, 11.0)","(18.0, 40.0, 35.5)","(26.0, 40.0, 37.411764705882355)","(6.0, 7.0, 6.955555555555556)","(8.0, 9.0, 8.92)","(4.4, 6.2, 6.189130434782609)","(31.0, 48.0, 39.111111111111114)","(10.0, 12.0, 11.814159292035399)","(81.0, 180.0, 141.36363636363637)"
04-01-2023 16:00:07.862398,"(61.0, 250.0, 165.0)","(26.0, 80.0, 64.875)","(6.5, 8.2, 8.126315789473685)","(5.5, 6.6, 6.460606060606061)","(9.0, 11.5, 11.0)","(18.0, 40.0, 35.5)","(26.0, 40.0, 34.5)","(6.0, 7.0, 6.9837837837837835)","(8.0, 9.0, 8.719999999999999)","(4.4, 6.2, 6.337614678899083)","(31.0, 48.0, 39.111111111111114)","(10.0, 12.0, 11.814159292035399)","(81.0, 180.0, 113.33333333333333)"
04-01-2023 16:00:09.322080,"(61.0, 250.0, 165.0)","(26.0, 75.0, 64.875)","(6.5, 8.2, 8.126315789473685)","(5.5, 6.6, 6.460606060606061)","(9.0, 11.5, 11.0)","(18.0, 40.0, 35.5)","(26.0, 40.0, 34.5)","(6.0, 7.2, 6.9837837837837835)","(8.0, 9.0, 8.719999999999999)","(4.4, 6.4, 6.2250000000000005)","(31.0, 48.0, 39.111111111111114)","(10.0, 12.0, 11.814159292035399)","(81.0, 180.0, 143.63636363636363)"
04-01-2023 16:00:10.793340,"(61.0, 250.0, 140.0)","(26.0, 75.0, 64.875)","(6.5, 8.2, 8.126315789473685)","(5.5, 6.6, 6.386956521739131)","(9.0, 11.5, 11.0)","(18.0, 40.0, 35.5)","(26.0, 40.0, 34.5)","(6.0, 7.2, 6.9837837837837835)","(8.0, 9.0, 8.719999999999999)","(4.4, 6.4, 6.347169811320755)","(31.0, 48.0, 39.111111111111114)","(10.0, 12.0, 11.814159292035399)","(81.0, 180.0, 143.63636363636363)"
04-01-2023 16:00:12.285893,"(61.0, 250.0, 140.0)","(26.0, 75.0, 64.875)","(6.5, 8.2, 8.126315789473685)","(5.5, 6.4, 6.386956521739131)","(9.0, 11.5, 10.9)","(18.0, 40.0, 35.5)","(26.0, 40.0, 34.5)","(6.0, 7.2, 6.97)","(8.0, 9.0, 8.719999999999999)","(4.4, 6.4, 6.34909090909091)","(31.0, 48.0, 39.111111111111114)","(10.0, 12.0, 11.814159292035399)","(81.0, 180.0, 143.63636363636363)"
04-01-2023 16:00:13.704457,"(61.0, 250.0, 140.0)","(26.0, 75.0, 61.5)","(6.5, 8.2, 8.126315789473685)","(5.5, 6.4, 6.386956521739131)","(9.0, 11.5, 10.9)","(20.0, 40.0, 35.5)","(26.0, 40.0, 34.5)","(6.0, 7.0, 6.97)","(8.0, 9.0, 8.719999999999999)","(4.4, 6.4, 6.34909090909091)","(31.0, 48.0, 39.111111111111114)","(10.0, 12.0, 11.814159292035399)","(81.0, 180.0, 143.63636363636363)"
