,Suparazi,I Could Do Better,Oxley Jack,Pocket Change,Twiggy Pop,Kapanku,Rutherford,Star Buyer,Forbidden City
07-12-2022 17:58:44.871247,"(4.6, 5.0, 4.989953632148377)","(71.0, 140.0, 132.45283018867926)","(20.0, 27.0, 26.544827586206896)","(3.9, 4.5, 4.490243902439024)","(26.0, 34.0, 33.333333333333336)","(7.5, 8.6, 8.522305764411028)","(12.0, 15.5, 15.106666666666667)","(51.0, 75.0, 73.79310344827586)","(2.8, 3.3, 3.241782006920415)"
07-12-2022 17:58:46.062933,"(4.6, 5.1, 5.015686274509804)","(71.0, 140.0, 135.75)","(20.0, 27.0, 26.56)","(3.9, 4.6, 4.504529616724739)","(26.0, 34.0, 33.333333333333336)","(7.5, 8.6, 8.560424028268551)","(12.0, 15.5, 15.106666666666667)","(51.0, 80.0, 73.51063829787233)","(2.8, 3.25, 3.2501193317422437)"
07-12-2022 17:58:47.255711,"(4.6, 5.1, 5.013057324840764)","(71.0, 140.0, 136.6)","(20.0, 27.0, 25.56)","(3.9, 4.6, 4.46027397260274)","(26.0, 34.0, 35.013698630136986)","(7.5, 8.6, 8.560424028268551)","(12.0, 15.5, 15.014492753623188)","(51.0, 75.0, 73.16326530612245)","(2.8, 3.3, 3.250109649122807)"
07-12-2022 17:58:48.495325,"(4.6, 5.1, 5.053260869565217)","(71.0, 140.0, 136.6)","(20.0, 27.0, 25.56)","(4.0, 4.5, 4.46027397260274)","(26.0, 36.0, 35.013698630136986)","(7.5, 8.6, 8.562666666666667)","(12.0, 15.5, 15.075949367088608)","(51.0, 75.0, 73.16326530612245)","(2.8, 3.3, 3.231032412965186)"
07-12-2022 17:58:49.656300,"(4.6, 5.1, 5.065983606557377)","(71.0, 150.0, 141.11111111111111)","(20.0, 27.0, 25.56)","(4.0, 4.5, 4.460490463215259)","(26.0, 36.0, 35.05732484076433)","(7.5, 8.6, 8.562666666666667)","(12.0, 15.5, 15.075949367088608)","(51.0, 75.0, 73.16326530612245)","(2.8, 3.25, 3.2321118012422363)"
07-12-2022 17:58:50.783828,"(4.6, 5.1, 5.0517094017094015)","(71.0, 150.0, 143.2258064516129)","(20.0, 26.0, 25.46456692913386)","(4.0, 4.5, 4.472932330827068)","(26.0, 36.0, 34.546875)","(7.5, 8.6, 8.566765578635014)","(12.0, 15.5, 15.075949367088608)","(51.0, 75.0, 73.16326530612245)","(2.8, 3.25, 3.231656050955414)"
07-12-2022 17:58:51.955742,"(4.6, 5.1, 5.0517094017094015)","(71.0, 150.0, 143.2258064516129)","(20.0, 26.0, 25.46456692913386)","(4.0, 4.6, 4.501201923076923)","(26.0, 36.0, 34.55813953488372)","(7.5, 8.6, 8.530092592592592)","(12.0, 15.5, 15.075949367088608)","(51.0, 75.0, 73.16326530612245)","(2.8, 3.25, 3.233542857142857)"
07-12-2022 17:58:53.136349,"(4.6, 5.1, 5.05021645021645)","(71.0, 150.0, 143.2258064516129)","(20.0, 26.0, 25.476923076923075)","(4.0, 4.6, 4.501184834123222)","(26.0, 36.0, 34.5)","(7.5, 8.6, 8.51657458563536)","(12.0, 15.5, 15.04109589041096)","(51.0, 75.0, 73.16326530612245)","(2.8, 3.25, 3.225343320848939)"
07-12-2022 17:58:54.281212,"(4.6, 5.1, 5.048775055679287)","(81.0, 150.0, 144.16666666666666)","(20.0, 26.0, 25.546666666666667)","(4.0, 4.6, 4.501016260162602)","(26.0, 36.0, 34.5)","(7.5, 8.6, 8.52710843373494)","(12.0, 15.5, 15.04109589041096)","(61.0, 75.0, 73.16326530612245)","(2.8, 3.25, 3.225343320848939)"
07-12-2022 17:58:55.497469,"(4.6, 5.1, 5.043765281173594)","(81.0, 150.0, 144.6153846153846)","(20.0, 26.0, 25.546666666666667)","(4.0, 4.6, 4.503659742828883)","(26.0, 36.0, 34.79220779220779)","(7.5, 8.6, 8.540975609756098)","(12.0, 15.5, 14.49731182795699)","(61.0, 75.0, 73.19672131147541)","(2.8, 3.25, 3.2255357142857144)"
07-12-2022 17:58:56.684559,"(4.6, 5.1, 5.015750915750916)","(81.0, 150.0, 145.71428571428572)","(20.0, 26.0, 25.585365853658537)","(4.0, 4.6, 4.529087779690189)","(26.0, 36.0, 34.86585365853659)","(7.5, 8.6, 8.644444444444444)","(12.0, 14.5, 14.757142857142856)","(61.0, 75.0, 73.13559322033899)","(2.8, 3.25, 3.237444279346211)"
07-12-2022 17:58:57.879111,"(4.6, 5.1, 5.025701943844492)","(81.0, 150.0, 145.96153846153845)","(20.0, 26.0, 25.585365853658537)","(4.0, 4.6, 4.529087779690189)","(26.0, 36.0, 34.86585365853659)","(7.5, 8.8, 8.643010752688172)","(12.0, 15.0, 14.757142857142856)","(51.0, 75.0, 73.19672131147541)","(2.8, 3.25, 3.2338339222614843)"
07-12-2022 17:58:59.187065,"(4.6, 5.1, 5.033070866141732)","(81.0, 170.0, 167.77777777777777)","(20.0, 26.0, 25.534591194968552)","(4.0, 4.6, 4.553105590062112)","(26.0, 36.0, 34.86585365853659)","(7.5, 8.8, 8.615873015873015)","(12.0, 15.0, 14.811111111111112)","(51.0, 75.0, 73.19672131147541)","(2.8, 3.25, 3.2338339222614843)"
07-12-2022 17:59:00.352928,"(4.6, 5.1, 5.050927246790299)","(81.0, 170.0, 168.0)","(20.0, 26.0, 25.555555555555557)","(4.0, 4.6, 4.5062111801242235)","(26.0, 36.0, 34.86585365853659)","(7.5, 8.8, 8.615873015873015)","(12.0, 15.0, 14.811111111111112)","(51.0, 75.0, 73.19672131147541)","(2.8, 3.25, 3.2338339222614843)"
07-12-2022 17:59:01.590650,"(4.6, 5.1, 5.050428816466552)","(81.0, 170.0, 164.44444444444446)","(20.0, 26.0, 25.555555555555557)","(4.0, 4.5, 4.487244094488189)","(26.0, 36.0, 34.86585365853659)","(7.5, 8.6, 8.571106094808126)","(12.0, 15.0, 14.886363636363637)","(51.0, 75.0, 71.71875)","(2.8, 3.25, 3.2369469026548674)"
