,Cherokee Castle,True Flirt,Nordic Dancer,Crafty Windsor Cat,Siente La Brisa
12-01-2023 11:05:36.923252,"(3.8, 5.1, 4.4714285714285715)","(7.0, 11.0, 8.62)","(7.5, 11.5, 9.299999999999999)","(1.8, 1.89, 1.8526666666666667)","(17.0, 30.0, 27.0)"
12-01-2023 11:05:37.999630,"(3.8, 5.1, 4.4714285714285715)","(7.0, 11.0, 8.62)","(7.5, 11.5, 9.299999999999999)","(1.8, 1.89, 1.8526666666666667)","(17.0, 30.0, 27.0)"
12-01-2023 11:05:39.044110,"(3.8, 5.1, 4.4714285714285715)","(7.0, 11.0, 8.62)","(7.5, 11.5, 9.299999999999999)","(1.8, 1.89, 1.8526666666666667)","(17.0, 30.0, 27.0)"
12-01-2023 11:05:40.041525,"(3.8, 5.1, 4.4714285714285715)","(7.0, 11.0, 8.62)","(7.5, 11.5, 9.299999999999999)","(1.8, 1.89, 1.8526666666666667)","(17.0, 30.0, 27.0)"
12-01-2023 11:05:41.072294,"(3.8, 5.1, 4.4714285714285715)","(7.0, 11.0, 8.62)","(7.5, 11.5, 9.299999999999999)","(1.8, 1.89, 1.8526666666666667)","(17.0, 30.0, 27.0)"
12-01-2023 11:05:42.121308,"(3.8, 5.1, 4.4714285714285715)","(7.0, 11.0, 8.62)","(7.5, 11.5, 9.299999999999999)","(1.8, 1.89, 1.8526666666666667)","(17.0, 30.0, 27.0)"
12-01-2023 11:05:43.224423,"(3.8, 5.1, 4.4714285714285715)","(7.0, 11.0, 8.62)","(7.5, 11.5, 9.299999999999999)","(1.8, 1.89, 1.8526666666666667)","(17.0, 30.0, 27.0)"
12-01-2023 11:05:44.129558,"(3.8, 5.1, 4.4714285714285715)","(7.0, 11.0, 8.62)","(7.5, 11.5, 9.299999999999999)","(1.8, 1.89, 1.8526666666666667)","(17.0, 30.0, 27.0)"
12-01-2023 11:05:45.044071,"(3.8, 5.1, 4.4714285714285715)","(7.0, 11.0, 8.62)","(7.5, 11.5, 9.299999999999999)","(1.8, 1.89, 1.8526666666666667)","(17.0, 30.0, 27.0)"
12-01-2023 11:05:46.018569,"(3.8, 5.1, 4.4714285714285715)","(7.0, 11.0, 8.62)","(7.5, 11.5, 9.299999999999999)","(1.8, 1.89, 1.8526666666666667)","(17.0, 30.0, 27.0)"
12-01-2023 11:05:46.976522,"(3.8, 5.1, 4.4714285714285715)","(7.0, 11.0, 8.62)","(7.5, 11.5, 9.299999999999999)","(1.8, 1.89, 1.8526666666666667)","(17.0, 30.0, 27.0)"
12-01-2023 11:05:47.921737,"(3.8, 5.1, 4.4714285714285715)","(7.0, 11.0, 8.62)","(7.5, 11.5, 9.299999999999999)","(1.8, 1.89, 1.8526666666666667)","(17.0, 30.0, 27.0)"
12-01-2023 11:05:48.975760,"(3.8, 5.1, 4.4714285714285715)","(7.0, 11.0, 8.62)","(7.5, 11.5, 9.299999999999999)","(1.8, 1.89, 1.8526666666666667)","(17.0, 30.0, 27.0)"
