,Angry Angie,Dam Slipperier,Nothing Matters,Blue Haze,Titanium Gunn,Nana Rooney
42,"[datetime.datetime(2022, 11, 28, 18, 33, 58, 817479), 71.0, 400.0]","[datetime.datetime(2022, 11, 28, 18, 33, 58, 817479), 4.4, 9.0]","[datetime.datetime(2022, 11, 28, 18, 33, 58, 817479), 3.6, 5.9]","[datetime.datetime(2022, 11, 28, 18, 33, 58, 817479), 12.0, 25.0]","[datetime.datetime(2022, 11, 28, 18, 33, 58, 817479), 2.0, 3.25]","[datetime.datetime(2022, 11, 28, 18, 33, 58, 817479), 5.5, 8.4]"
43,"[datetime.datetime(2022, 11, 28, 18, 33, 59, 920873), 71.0, 400.0]","[datetime.datetime(2022, 11, 28, 18, 33, 59, 920873), 4.4, 9.0]","[datetime.datetime(2022, 11, 28, 18, 33, 59, 920873), 3.6, 5.9]","[datetime.datetime(2022, 11, 28, 18, 33, 59, 920873), 12.0, 25.0]","[datetime.datetime(2022, 11, 28, 18, 33, 59, 920873), 2.0, 3.25]","[datetime.datetime(2022, 11, 28, 18, 33, 59, 920873), 5.5, 8.4]"
44,"[datetime.datetime(2022, 11, 28, 18, 34, 1, 25900), 71.0, 400.0]","[datetime.datetime(2022, 11, 28, 18, 34, 1, 25900), 4.4, 9.0]","[datetime.datetime(2022, 11, 28, 18, 34, 1, 25900), 3.6, 5.9]","[datetime.datetime(2022, 11, 28, 18, 34, 1, 25900), 12.0, 25.0]","[datetime.datetime(2022, 11, 28, 18, 34, 1, 25900), 2.0, 3.25]","[datetime.datetime(2022, 11, 28, 18, 34, 1, 25900), 5.5, 8.4]"
45,"[datetime.datetime(2022, 11, 28, 18, 34, 2, 135880), 71.0, 400.0]","[datetime.datetime(2022, 11, 28, 18, 34, 2, 135880), 4.4, 9.0]","[datetime.datetime(2022, 11, 28, 18, 34, 2, 135880), 3.6, 5.9]","[datetime.datetime(2022, 11, 28, 18, 34, 2, 135880), 12.0, 25.0]","[datetime.datetime(2022, 11, 28, 18, 34, 2, 135880), 2.0, 3.25]","[datetime.datetime(2022, 11, 28, 18, 34, 2, 135880), 5.5, 8.4]"
46,"[datetime.datetime(2022, 11, 28, 18, 34, 3, 238583), 71.0, 400.0]","[datetime.datetime(2022, 11, 28, 18, 34, 3, 238583), 4.4, 9.0]","[datetime.datetime(2022, 11, 28, 18, 34, 3, 238583), 3.6, 5.9]","[datetime.datetime(2022, 11, 28, 18, 34, 3, 238583), 12.0, 25.0]","[datetime.datetime(2022, 11, 28, 18, 34, 3, 238583), 2.0, 3.25]","[datetime.datetime(2022, 11, 28, 18, 34, 3, 238583), 5.5, 8.4]"
47,"[datetime.datetime(2022, 11, 28, 18, 34, 4, 349567), 71.0, 400.0]","[datetime.datetime(2022, 11, 28, 18, 34, 4, 349567), 4.4, 9.0]","[datetime.datetime(2022, 11, 28, 18, 34, 4, 349567), 3.6, 5.9]","[datetime.datetime(2022, 11, 28, 18, 34, 4, 349567), 12.0, 25.0]","[datetime.datetime(2022, 11, 28, 18, 34, 4, 349567), 2.0, 3.25]","[datetime.datetime(2022, 11, 28, 18, 34, 4, 349567), 5.5, 8.4]"
48,"[datetime.datetime(2022, 11, 28, 18, 34, 5, 474220), 71.0, 400.0]","[datetime.datetime(2022, 11, 28, 18, 34, 5, 474220), 4.4, 9.0]","[datetime.datetime(2022, 11, 28, 18, 34, 5, 474220), 3.6, 5.9]","[datetime.datetime(2022, 11, 28, 18, 34, 5, 474220), 12.0, 25.0]","[datetime.datetime(2022, 11, 28, 18, 34, 5, 474220), 2.0, 3.25]","[datetime.datetime(2022, 11, 28, 18, 34, 5, 474220), 5.5, 8.4]"
49,"[datetime.datetime(2022, 11, 28, 18, 34, 6, 584372), 71.0, 400.0]","[datetime.datetime(2022, 11, 28, 18, 34, 6, 584372), 4.4, 9.0]","[datetime.datetime(2022, 11, 28, 18, 34, 6, 584372), 3.6, 5.9]","[datetime.datetime(2022, 11, 28, 18, 34, 6, 584372), 12.0, 25.0]","[datetime.datetime(2022, 11, 28, 18, 34, 6, 584372), 2.0, 3.25]","[datetime.datetime(2022, 11, 28, 18, 34, 6, 584372), 5.5, 8.4]"
50,"[datetime.datetime(2022, 11, 28, 18, 34, 7, 703808), 71.0, 400.0]","[datetime.datetime(2022, 11, 28, 18, 34, 7, 703808), 4.4, 9.0]","[datetime.datetime(2022, 11, 28, 18, 34, 7, 703808), 3.6, 5.9]","[datetime.datetime(2022, 11, 28, 18, 34, 7, 703808), 12.0, 25.0]","[datetime.datetime(2022, 11, 28, 18, 34, 7, 703808), 2.0, 3.25]","[datetime.datetime(2022, 11, 28, 18, 34, 7, 703808), 5.5, 8.4]"
51,"[datetime.datetime(2022, 11, 28, 18, 34, 8, 823503), 71.0, 400.0]","[datetime.datetime(2022, 11, 28, 18, 34, 8, 823503), 4.4, 9.0]","[datetime.datetime(2022, 11, 28, 18, 34, 8, 823503), 3.6, 5.9]","[datetime.datetime(2022, 11, 28, 18, 34, 8, 823503), 12.0, 25.0]","[datetime.datetime(2022, 11, 28, 18, 34, 8, 823503), 2.0, 3.25]","[datetime.datetime(2022, 11, 28, 18, 34, 8, 823503), 5.5, 8.4]"
52,"[datetime.datetime(2022, 11, 28, 18, 34, 9, 946405), 71.0, 400.0]","[datetime.datetime(2022, 11, 28, 18, 34, 9, 946405), 4.4, 9.0]","[datetime.datetime(2022, 11, 28, 18, 34, 9, 946405), 3.6, 5.9]","[datetime.datetime(2022, 11, 28, 18, 34, 9, 946405), 12.0, 25.0]","[datetime.datetime(2022, 11, 28, 18, 34, 9, 946405), 2.0, 3.25]","[datetime.datetime(2022, 11, 28, 18, 34, 9, 946405), 5.5, 8.4]"
