,Lil Toughman,Fit But Fat,Eisele,Rey O Reyes,Rayo Negro,Johnny Swish,Salty J J,Henry Standingbear,Skip The Bull
16-12-2022 11:47:08.101098,"(17.0, 27.0, 22.178571428571427)","(4.6, 5.9, 5.58125)","(3.9, 4.7, 4.574626865671642)","(3.5, 4.2, 4.038461538461538)","(15.0, 24.0, 22.666666666666668)","(4.0, 5.6, 5.552)","(19.0, 30.0, 27.5)","(31.0, 250.0, 133.0)","(20.0, 34.0, 32.22222222222222)"
16-12-2022 11:47:09.250861,"(17.0, 27.0, 22.178571428571427)","(4.6, 5.9, 5.58125)","(3.9, 4.7, 4.574626865671642)","(3.5, 4.2, 4.038461538461538)","(15.0, 24.0, 22.666666666666668)","(4.0, 5.6, 5.552)","(19.0, 30.0, 27.5)","(31.0, 250.0, 133.0)","(20.0, 34.0, 32.22222222222222)"
16-12-2022 11:47:10.418239,"(17.0, 27.0, 22.178571428571427)","(4.6, 5.9, 5.58125)","(3.9, 4.7, 4.574626865671642)","(3.5, 4.2, 4.038461538461538)","(15.0, 24.0, 22.666666666666668)","(4.0, 5.6, 5.552)","(19.0, 30.0, 27.5)","(31.0, 250.0, 133.0)","(20.0, 34.0, 32.22222222222222)"
16-12-2022 11:47:11.540717,"(17.0, 27.0, 22.178571428571427)","(4.6, 5.9, 5.58125)","(3.9, 4.7, 4.574626865671642)","(3.5, 4.2, 4.038461538461538)","(15.0, 24.0, 22.666666666666668)","(4.0, 5.6, 5.552)","(19.0, 30.0, 27.5)","(31.0, 250.0, 133.0)","(20.0, 34.0, 32.22222222222222)"
16-12-2022 11:47:12.686193,"(17.0, 27.0, 22.178571428571427)","(4.6, 5.9, 5.58125)","(3.9, 4.7, 4.574626865671642)","(3.5, 4.2, 4.038461538461538)","(15.0, 24.0, 22.666666666666668)","(4.0, 5.6, 5.552)","(19.0, 30.0, 27.5)","(31.0, 250.0, 133.0)","(20.0, 34.0, 32.22222222222222)"
16-12-2022 11:47:13.831529,"(17.0, 27.0, 22.178571428571427)","(4.6, 5.9, 5.58125)","(3.9, 4.7, 4.574626865671642)","(3.5, 4.2, 4.038461538461538)","(15.0, 24.0, 22.666666666666668)","(4.0, 5.6, 5.552)","(19.0, 30.0, 27.5)","(31.0, 250.0, 133.0)","(20.0, 34.0, 32.22222222222222)"
16-12-2022 11:47:14.966613,"(17.0, 27.0, 22.178571428571427)","(4.6, 5.9, 5.58125)","(3.9, 4.7, 4.574626865671642)","(3.5, 4.2, 4.038461538461538)","(15.0, 24.0, 22.666666666666668)","(4.0, 5.6, 5.552)","(19.0, 30.0, 27.5)","(31.0, 250.0, 133.0)","(20.0, 34.0, 32.22222222222222)"
16-12-2022 11:47:16.646257,"(17.0, 27.0, 22.178571428571427)","(4.6, 5.9, 5.58125)","(3.9, 4.7, 4.574626865671642)","(3.5, 4.2, 4.038461538461538)","(15.0, 24.0, 22.666666666666668)","(4.0, 5.6, 5.552)","(19.0, 30.0, 27.5)","(31.0, 250.0, 133.0)","(20.0, 34.0, 32.22222222222222)"
16-12-2022 11:47:17.768106,"(17.0, 27.0, 22.178571428571427)","(4.6, 5.9, 5.58125)","(3.9, 4.7, 4.574626865671642)","(3.5, 4.2, 4.038461538461538)","(15.0, 24.0, 22.666666666666668)","(4.0, 5.6, 5.552)","(19.0, 30.0, 27.5)","(31.0, 250.0, 133.0)","(20.0, 34.0, 32.22222222222222)"
16-12-2022 11:47:18.878737,"(17.0, 27.0, 22.178571428571427)","(4.6, 5.9, 5.58125)","(3.9, 4.7, 4.574626865671642)","(3.5, 4.2, 4.038461538461538)","(15.0, 24.0, 22.666666666666668)","(4.0, 5.6, 5.552)","(19.0, 30.0, 27.5)","(31.0, 250.0, 133.0)","(20.0, 34.0, 32.22222222222222)"
16-12-2022 11:47:20.065599,"(17.0, 27.0, 22.178571428571427)","(4.6, 5.9, 5.58125)","(3.9, 4.7, 4.574626865671642)","(3.5, 4.2, 4.038461538461538)","(15.0, 24.0, 22.666666666666668)","(4.0, 5.6, 5.552)","(19.0, 30.0, 27.5)","(31.0, 250.0, 133.0)","(20.0, 34.0, 32.22222222222222)"
