,Blue Ruby,Akuna Street,Rustic Bling,Magic Eclipse,Chasing Jess,Yeah The Boy,Buddys Mate,Diablo Bale
06-01-2023 13:55:39.026785,"(5.5, 9.2, 8.085714285714285)","(4.6, 8.4, 5.242857142857143)","(31.0, 170.0, 82.5)","(6.0, 13.0, 7.311111111111111)","(3.6, 5.7, 4.0285714285714285)","(6.0, 10.5, 8.55)","(11.0, 29.0, 17.576923076923077)","(5.0, 9.4, 8.58)"
06-01-2023 13:55:40.217627,"(5.5, 9.2, 8.085714285714285)","(4.6, 8.4, 5.242857142857143)","(31.0, 170.0, 82.5)","(6.0, 13.0, 7.311111111111111)","(3.6, 5.7, 4.0285714285714285)","(6.0, 10.5, 8.55)","(11.0, 29.0, 17.576923076923077)","(5.0, 9.4, 8.58)"
06-01-2023 13:55:41.420297,"(5.5, 9.2, 8.085714285714285)","(4.6, 8.4, 7.0)","(31.0, 170.0, 82.5)","(6.0, 13.0, 7.311111111111111)","(3.6, 5.7, 4.0285714285714285)","(6.0, 10.5, 8.55)","(11.0, 29.0, 17.576923076923077)","(5.0, 9.4, 8.58)"
06-01-2023 13:55:42.714681,"(5.5, 9.2, 8.085714285714285)","(4.6, 8.4, 7.0)","(31.0, 170.0, 82.5)","(6.0, 13.0, 7.311111111111111)","(3.6, 5.7, 4.0285714285714285)","(6.0, 10.5, 8.55)","(11.0, 29.0, 17.576923076923077)","(5.0, 9.4, 8.58)"
06-01-2023 13:55:43.899367,"(5.5, 9.2, 8.085714285714285)","(4.6, 8.4, 5.413333333333333)","(31.0, 170.0, 82.5)","(6.0, 13.0, 7.311111111111111)","(3.6, 5.7, 4.0285714285714285)","(6.0, 10.5, 8.55)","(11.0, 29.0, 17.576923076923077)","(5.0, 9.4, 8.58)"
06-01-2023 13:55:44.895919,"(5.5, 9.2, 8.085714285714285)","(4.6, 8.4, 5.911111111111111)","(31.0, 170.0, 82.5)","(6.0, 13.0, 7.311111111111111)","(3.6, 5.7, 4.0285714285714285)","(6.0, 10.5, 8.55)","(11.0, 29.0, 17.576923076923077)","(5.0, 9.4, 8.58)"
06-01-2023 13:55:46.096294,"(5.5, 9.2, 8.085714285714285)","(4.6, 8.4, 5.911111111111111)","(31.0, 170.0, 82.5)","(6.0, 13.0, 7.311111111111111)","(3.6, 5.7, 4.0285714285714285)","(6.0, 10.5, 8.55)","(11.0, 29.0, 17.576923076923077)","(5.0, 9.4, 8.58)"
06-01-2023 13:55:47.303536,"(5.5, 9.2, 8.085714285714285)","(4.6, 8.4, 5.911111111111111)","(31.0, 170.0, 82.5)","(6.0, 13.0, 7.311111111111111)","(3.6, 5.7, 4.0285714285714285)","(6.0, 10.5, 8.55)","(11.0, 29.0, 17.576923076923077)","(5.0, 9.4, 8.58)"
06-01-2023 13:55:48.484892,"(5.5, 9.2, 8.085714285714285)","(4.6, 8.4, 5.911111111111111)","(31.0, 170.0, 82.5)","(6.0, 13.0, 7.311111111111111)","(3.6, 5.7, 4.0285714285714285)","(6.0, 10.5, 8.55)","(11.0, 29.0, 17.576923076923077)","(5.0, 9.4, 8.9)"
06-01-2023 13:55:49.710698,"(5.5, 9.2, 8.085714285714285)","(4.6, 8.4, 5.911111111111111)","(31.0, 170.0, 82.5)","(6.0, 13.0, 7.311111111111111)","(3.6, 5.7, 4.0285714285714285)","(6.0, 10.5, 8.55)","(11.0, 29.0, 17.576923076923077)","(5.0, 9.8, 6.5)"
06-01-2023 13:55:50.918405,"(5.5, 9.2, 8.085714285714285)","(4.6, 8.4, 5.911111111111111)","(31.0, 170.0, 82.5)","(6.0, 13.0, 9.55)","(3.6, 5.7, 4.0285714285714285)","(6.0, 10.5, 8.55)","(11.0, 29.0, 17.576923076923077)","(5.0, 9.8, 8.74)"
06-01-2023 13:55:52.014838,"(5.5, 9.2, 8.085714285714285)","(4.6, 8.4, 5.911111111111111)","(31.0, 170.0, 82.5)","(6.0, 12.5, 9.55)","(3.6, 5.7, 4.0285714285714285)","(6.0, 10.5, 8.55)","(11.0, 29.0, 17.576923076923077)","(5.0, 9.6, 8.74)"
