,Haveyoucheckedin,Rakasharp Nz,Timely Sovereign,Swedish Meatballs,The Poobah,Outside Fighter,El Jacob,Some Chevron Nz,Classicmajor,Daggy Lamb Nz
10-01-2023 16:20:42.149453,"(3.1, 5.6, 4.833333333333333)","(101.0, 99999, 99990)","(31.0, 75.0, 63.285714285714285)","(12.0, 25.0, 21.142857142857142)","(21.0, 50.0, 28.666666666666664)","(4.2, 4.9, 4.732352941176471)","(21.0, 48.0, 35.8)","(4.0, 99999, 99990)","(7.0, 17.0, 12.3)","(7.0, 99999, 99990)"
10-01-2023 16:20:44.040039,"(3.1, 5.6, 4.833333333333333)","(101.0, 99999, 99990)","(31.0, 75.0, 63.285714285714285)","(12.0, 25.0, 21.142857142857142)","(21.0, 50.0, 28.666666666666664)","(4.2, 4.9, 4.732352941176471)","(21.0, 48.0, 35.8)","(4.0, 99999, 99990)","(7.0, 17.0, 12.3)","(7.0, 99999, 99990)"
10-01-2023 16:20:45.819286,"(3.1, 5.6, 4.833333333333333)","(101.0, 99999, 99990)","(31.0, 75.0, 64.75)","(12.0, 25.0, 21.142857142857142)","(21.0, 50.0, 28.666666666666664)","(4.2, 4.9, 4.732352941176471)","(21.0, 48.0, 35.8)","(4.0, 99999, 99990)","(7.0, 17.0, 12.3)","(7.0, 99999, 99990)"
10-01-2023 16:20:47.456000,"(3.1, 5.6, 4.833333333333333)","(101.0, 99999, 99990)","(31.0, 75.0, 57.0)","(12.0, 25.0, 21.142857142857142)","(21.0, 50.0, 28.666666666666664)","(4.2, 4.9, 4.732352941176471)","(21.0, 48.0, 35.8)","(4.0, 99999, 99990)","(7.0, 17.0, 12.3)","(7.0, 99999, 99990)"
10-01-2023 16:20:49.118123,"(3.1, 5.6, 4.833333333333333)","(101.0, 99999, 99990)","(31.0, 75.0, 57.0)","(12.0, 25.0, 21.142857142857142)","(21.0, 50.0, 28.666666666666664)","(4.2, 4.9, 4.732352941176471)","(21.0, 48.0, 35.8)","(4.0, 99999, 99990)","(7.0, 17.0, 12.3)","(7.0, 99999, 99990)"
10-01-2023 16:20:50.992820,"(3.1, 5.6, 4.833333333333333)","(101.0, 99999, 99990)","(31.0, 75.0, 57.0)","(12.0, 25.0, 21.142857142857142)","(21.0, 50.0, 28.666666666666664)","(4.2, 4.9, 4.732352941176471)","(21.0, 48.0, 35.8)","(4.0, 99999, 99990)","(7.0, 17.0, 12.3)","(7.0, 99999, 99990)"
10-01-2023 16:20:53.202073,"(3.1, 5.6, 4.833333333333333)","(101.0, 99999, 99990)","(31.0, 75.0, 57.0)","(12.0, 25.0, 21.142857142857142)","(21.0, 50.0, 28.666666666666664)","(4.2, 4.9, 4.732352941176471)","(21.0, 48.0, 35.8)","(4.0, 99999, 99990)","(7.0, 17.0, 12.3)","(7.0, 99999, 99990)"
10-01-2023 16:20:55.029710,"(3.1, 5.6, 4.833333333333333)","(101.0, 99999, 99990)","(31.0, 75.0, 57.0)","(12.0, 25.0, 21.142857142857142)","(21.0, 50.0, 28.666666666666664)","(4.2, 4.9, 4.732352941176471)","(21.0, 48.0, 35.8)","(4.0, 99999, 99990)","(7.0, 17.0, 12.3)","(7.0, 99999, 99990)"
10-01-2023 16:20:57.158636,"(3.1, 5.6, 4.833333333333333)","(101.0, 99999, 99990)","(31.0, 75.0, 57.0)","(12.0, 25.0, 21.142857142857142)","(21.0, 50.0, 28.666666666666664)","(4.2, 4.9, 4.732352941176471)","(21.0, 48.0, 35.8)","(4.0, 99999, 99990)","(7.0, 17.0, 12.3)","(7.0, 99999, 99990)"
10-01-2023 16:21:00.230793,"(3.1, 5.6, 4.833333333333333)","(101.0, 99999, 99990)","(31.0, 75.0, 57.0)","(12.0, 25.0, 21.142857142857142)","(21.0, 50.0, 28.666666666666664)","(4.2, 4.9, 4.732352941176471)","(21.0, 48.0, 35.8)","(4.0, 99999, 99990)","(7.0, 17.0, 12.3)","(7.0, 99999, 99990)"
