,Terrific Keith,Lochinvar Jazz,Hannele Bale,Daksha Bale,Gotham Diva,Long Shadow,Vance Bale,Dr Ronald
11-01-2023 19:45:10.609019,"(1.95, 3.0, 2.7)","(12.0, 29.0, 18.333333333333332)","(7.5, 12.0, 9.4)","(8.0, 13.5, 11.053846153846154)","(31.0, 110.0, 52.14285714285714)","(21.0, 70.0, 30.8)","(2.8, 4.7, 3.433333333333333)","(41.0, 320.0, 72.88888888888889)"
11-01-2023 19:45:11.883561,"(1.95, 2.98, 2.705)","(12.0, 29.0, 18.333333333333332)","(7.5, 12.0, 9.4)","(8.0, 13.5, 11.053846153846154)","(31.0, 110.0, 52.14285714285714)","(21.0, 70.0, 30.8)","(2.8, 4.7, 3.433333333333333)","(41.0, 320.0, 76.44444444444444)"
11-01-2023 19:45:13.159877,"(1.95, 2.98, 2.705)","(12.0, 29.0, 18.333333333333332)","(7.5, 12.0, 9.4)","(8.0, 13.5, 11.053846153846154)","(31.0, 110.0, 52.14285714285714)","(21.0, 70.0, 30.8)","(2.8, 4.7, 3.433333333333333)","(41.0, 320.0, 76.44444444444444)"
11-01-2023 19:45:14.562817,"(1.95, 2.98, 2.705)","(12.0, 29.0, 18.333333333333332)","(7.5, 12.0, 9.4)","(8.0, 13.5, 11.053846153846154)","(31.0, 110.0, 52.14285714285714)","(21.0, 70.0, 30.8)","(2.8, 4.7, 3.433333333333333)","(41.0, 320.0, 76.44444444444444)"
11-01-2023 19:45:15.990176,"(1.95, 2.98, 2.705)","(12.0, 29.0, 18.333333333333332)","(7.5, 12.0, 9.4)","(8.0, 13.5, 11.053846153846154)","(31.0, 110.0, 52.14285714285714)","(21.0, 70.0, 30.8)","(2.8, 4.7, 3.433333333333333)","(41.0, 320.0, 76.44444444444444)"
11-01-2023 19:45:17.315026,"(1.95, 2.98, 2.705)","(12.0, 29.0, 18.333333333333332)","(7.5, 12.0, 9.4)","(8.0, 13.5, 11.053846153846154)","(31.0, 110.0, 52.14285714285714)","(21.0, 70.0, 30.8)","(2.8, 4.7, 3.433333333333333)","(41.0, 320.0, 76.44444444444444)"
11-01-2023 19:45:18.648356,"(1.95, 2.98, 2.69)","(12.0, 29.0, 18.333333333333332)","(7.5, 12.0, 9.4)","(8.0, 13.5, 11.053846153846154)","(31.0, 110.0, 52.14285714285714)","(21.0, 70.0, 30.8)","(2.8, 4.7, 3.433333333333333)","(41.0, 320.0, 76.44444444444444)"
11-01-2023 19:45:20.014348,"(1.95, 3.15, 2.698666666666667)","(12.0, 29.0, 18.333333333333332)","(7.5, 12.0, 9.4)","(8.0, 13.5, 11.053846153846154)","(31.0, 110.0, 52.14285714285714)","(21.0, 70.0, 30.8)","(2.8, 4.7, 3.433333333333333)","(41.0, 320.0, 76.44444444444444)"
11-01-2023 19:45:21.273644,"(1.95, 2.96, 2.698666666666667)","(12.0, 29.0, 18.333333333333332)","(7.5, 12.0, 9.4)","(8.0, 13.5, 11.053846153846154)","(31.0, 110.0, 52.14285714285714)","(21.0, 70.0, 30.8)","(2.8, 4.7, 3.433333333333333)","(41.0, 320.0, 76.44444444444444)"
11-01-2023 19:45:22.659034,"(1.95, 2.96, 2.698666666666667)","(12.0, 29.0, 18.333333333333332)","(7.5, 12.0, 9.4)","(8.0, 13.5, 11.053846153846154)","(31.0, 110.0, 52.14285714285714)","(21.0, 70.0, 30.8)","(2.8, 4.7, 3.433333333333333)","(41.0, 320.0, 76.44444444444444)"
11-01-2023 19:45:23.967914,"(1.95, 2.96, 2.7536842105263157)","(12.0, 29.0, 18.333333333333332)","(7.5, 12.0, 9.4)","(8.0, 13.5, 11.053846153846154)","(31.0, 110.0, 52.14285714285714)","(21.0, 70.0, 30.8)","(2.8, 4.7, 3.433333333333333)","(41.0, 320.0, 76.44444444444444)"
11-01-2023 19:45:25.274765,"(1.95, 2.96, 2.7242105263157894)","(12.0, 29.0, 18.333333333333332)","(7.5, 12.0, 9.4)","(8.0, 13.5, 11.053846153846154)","(31.0, 110.0, 52.14285714285714)","(21.0, 70.0, 30.8)","(2.8, 4.7, 3.433333333333333)","(41.0, 320.0, 76.44444444444444)"
11-01-2023 19:45:26.639999,"(1.95, 2.96, 2.7242105263157894)","(12.0, 29.0, 18.333333333333332)","(7.5, 12.0, 9.4)","(8.0, 13.5, 11.053846153846154)","(31.0, 110.0, 52.14285714285714)","(21.0, 70.0, 30.8)","(2.8, 4.7, 3.433333333333333)","(41.0, 320.0, 76.44444444444444)"
11-01-2023 19:45:28.103455,"(1.95, 2.96, 2.718947368421053)","(12.0, 29.0, 18.333333333333332)","(7.5, 12.0, 9.4)","(8.0, 13.5, 11.053846153846154)","(31.0, 110.0, 52.14285714285714)","(21.0, 70.0, 30.8)","(2.8, 4.7, 3.433333333333333)","(41.0, 320.0, 76.44444444444444)"
11-01-2023 19:45:29.652472,"(1.95, 2.94, 2.718947368421053)","(12.0, 29.0, 18.333333333333332)","(7.5, 12.0, 9.4)","(8.0, 13.5, 11.053846153846154)","(31.0, 110.0, 52.14285714285714)","(21.0, 70.0, 30.8)","(2.8, 4.7, 3.433333333333333)","(41.0, 320.0, 76.44444444444444)"
11-01-2023 19:45:31.067522,"(1.95, 2.94, 2.718947368421053)","(12.0, 29.0, 18.333333333333332)","(7.5, 12.0, 9.4)","(8.0, 13.5, 11.053846153846154)","(31.0, 110.0, 52.14285714285714)","(21.0, 70.0, 30.8)","(2.8, 4.7, 3.433333333333333)","(41.0, 320.0, 76.44444444444444)"
11-01-2023 19:45:32.508584,"(1.95, 2.94, 2.718947368421053)","(12.0, 29.0, 18.333333333333332)","(7.5, 12.0, 9.4)","(8.0, 13.5, 11.053846153846154)","(31.0, 110.0, 52.14285714285714)","(21.0, 70.0, 30.8)","(2.8, 4.7, 3.433333333333333)","(41.0, 320.0, 76.44444444444444)"
11-01-2023 19:45:33.920474,"(1.95, 2.94, 2.7800000000000002)","(12.0, 29.0, 18.333333333333332)","(7.5, 12.0, 9.4)","(8.0, 13.5, 11.053846153846154)","(31.0, 110.0, 52.14285714285714)","(21.0, 70.0, 30.8)","(2.8, 4.7, 3.433333333333333)","(41.0, 320.0, 76.44444444444444)"
11-01-2023 19:45:35.354229,"(1.95, 2.92, 2.469)","(12.0, 29.0, 18.333333333333332)","(7.5, 12.0, 9.083333333333334)","(8.0, 13.5, 11.053846153846154)","(31.0, 110.0, 52.14285714285714)","(21.0, 70.0, 30.8)","(2.8, 4.7, 3.433333333333333)","(41.0, 320.0, 76.44444444444444)"
11-01-2023 19:45:36.799600,"(1.95, 2.92, 2.469)","(12.0, 29.0, 18.333333333333332)","(7.5, 12.0, 9.083333333333334)","(8.0, 13.5, 11.053846153846154)","(31.0, 110.0, 52.14285714285714)","(21.0, 70.0, 30.8)","(2.8, 4.7, 3.433333333333333)","(41.0, 320.0, 138.66666666666669)"
11-01-2023 19:45:38.273478,"(1.95, 2.92, 2.205)","(12.0, 29.0, 18.333333333333332)","(7.5, 12.0, 9.083333333333334)","(8.0, 13.5, 11.053846153846154)","(31.0, 110.0, 52.14285714285714)","(21.0, 70.0, 30.8)","(2.8, 4.7, 3.433333333333333)","(41.0, 320.0, 80.0)"
11-01-2023 19:45:39.564349,"(1.95, 2.92, 2.205)","(12.0, 29.0, 18.333333333333332)","(7.5, 12.0, 9.083333333333334)","(8.0, 13.5, 11.053846153846154)","(31.0, 110.0, 52.14285714285714)","(21.0, 70.0, 30.8)","(2.8, 4.7, 3.433333333333333)","(41.0, 320.0, 80.0)"
11-01-2023 19:45:40.922862,"(1.95, 2.92, 2.205)","(12.0, 29.0, 18.333333333333332)","(7.5, 12.0, 9.083333333333334)","(8.0, 13.5, 11.053846153846154)","(31.0, 110.0, 52.14285714285714)","(21.0, 70.0, 34.36363636363636)","(2.8, 4.7, 3.433333333333333)","(41.0, 320.0, 80.0)"
