,Ocean Girl,Letter To You,Hurricane Daisy,Behind Greywalls,Gethsemane,Wolf,Queen Zipper
08-12-2022 14:36:56.602280,"(17.0, 55.0, 38.75)","(5.5, 11.5, 5.954545454545455)","(5.0, 8.6, 5.640000000000001)","(5.5, 9.6, 8.37142857142857)","(15.0, 48.0, 35.11538461538461)","(1.75, 2.66, 2.37448275862069)","(19.0, 65.0, 45.208333333333336)"
08-12-2022 14:36:57.738297,"(17.0, 55.0, 38.75)","(5.5, 11.5, 5.954545454545455)","(5.0, 8.6, 5.640000000000001)","(5.5, 9.6, 8.37142857142857)","(15.0, 48.0, 35.11538461538461)","(1.75, 2.66, 2.37448275862069)","(19.0, 65.0, 45.208333333333336)"
08-12-2022 14:36:58.847647,"(17.0, 55.0, 38.75)","(5.5, 11.5, 5.954545454545455)","(5.0, 8.6, 5.640000000000001)","(5.5, 9.6, 8.37142857142857)","(15.0, 48.0, 35.11538461538461)","(1.75, 2.66, 2.37448275862069)","(19.0, 65.0, 45.208333333333336)"
08-12-2022 14:37:00.030206,"(17.0, 55.0, 38.75)","(5.5, 11.5, 5.954545454545455)","(5.0, 8.6, 5.640000000000001)","(5.5, 9.6, 8.37142857142857)","(15.0, 48.0, 35.11538461538461)","(1.75, 2.66, 2.37448275862069)","(19.0, 65.0, 45.208333333333336)"
08-12-2022 14:37:01.279965,"(17.0, 55.0, 38.75)","(5.5, 11.5, 5.954545454545455)","(5.0, 8.6, 5.640000000000001)","(5.5, 9.6, 8.37142857142857)","(15.0, 48.0, 35.11538461538461)","(1.75, 2.66, 2.37448275862069)","(19.0, 65.0, 45.208333333333336)"
08-12-2022 14:37:02.561784,"(17.0, 55.0, 38.75)","(5.5, 11.5, 5.954545454545455)","(5.0, 8.6, 5.640000000000001)","(5.5, 9.6, 8.37142857142857)","(15.0, 48.0, 35.11538461538461)","(1.75, 2.66, 2.37448275862069)","(19.0, 65.0, 45.208333333333336)"
08-12-2022 14:37:03.826546,"(17.0, 55.0, 38.75)","(5.5, 11.5, 5.954545454545455)","(5.0, 8.6, 5.640000000000001)","(5.5, 9.6, 8.37142857142857)","(15.0, 48.0, 35.11538461538461)","(1.75, 2.66, 2.37448275862069)","(19.0, 65.0, 45.208333333333336)"
08-12-2022 14:37:05.064213,"(17.0, 55.0, 38.75)","(5.5, 11.5, 5.954545454545455)","(5.0, 8.6, 5.640000000000001)","(5.5, 9.6, 8.37142857142857)","(15.0, 48.0, 35.11538461538461)","(1.75, 2.66, 2.37448275862069)","(19.0, 65.0, 45.208333333333336)"
08-12-2022 14:37:06.220530,"(17.0, 55.0, 38.75)","(5.5, 11.5, 5.954545454545455)","(5.0, 8.6, 5.640000000000001)","(5.5, 9.6, 8.37142857142857)","(15.0, 48.0, 35.11538461538461)","(1.75, 2.66, 2.37448275862069)","(19.0, 65.0, 45.208333333333336)"
08-12-2022 14:37:07.411839,"(17.0, 55.0, 38.75)","(5.5, 11.5, 5.954545454545455)","(5.0, 8.6, 5.640000000000001)","(5.5, 9.6, 8.37142857142857)","(15.0, 48.0, 35.11538461538461)","(1.75, 2.66, 2.37448275862069)","(19.0, 65.0, 45.208333333333336)"
08-12-2022 14:37:08.562291,"(17.0, 55.0, 38.75)","(5.5, 11.5, 5.954545454545455)","(5.0, 8.6, 5.640000000000001)","(5.5, 9.6, 8.37142857142857)","(15.0, 48.0, 35.11538461538461)","(1.75, 2.66, 2.37448275862069)","(19.0, 65.0, 45.208333333333336)"
08-12-2022 14:37:09.771864,"(17.0, 55.0, 38.75)","(5.5, 11.5, 5.954545454545455)","(5.0, 8.6, 5.640000000000001)","(5.5, 9.6, 8.37142857142857)","(15.0, 48.0, 35.11538461538461)","(1.75, 2.66, 2.37448275862069)","(19.0, 65.0, 45.208333333333336)"
08-12-2022 14:37:10.959822,"(17.0, 55.0, 38.75)","(5.5, 11.5, 5.954545454545455)","(5.0, 8.6, 5.640000000000001)","(5.5, 9.6, 8.37142857142857)","(15.0, 48.0, 35.11538461538461)","(1.75, 2.66, 2.37448275862069)","(19.0, 65.0, 45.208333333333336)"
08-12-2022 14:37:12.101298,"(17.0, 55.0, 38.75)","(5.5, 11.5, 5.954545454545455)","(5.0, 8.6, 5.640000000000001)","(5.5, 9.6, 8.37142857142857)","(15.0, 48.0, 35.11538461538461)","(1.75, 2.66, 2.37448275862069)","(19.0, 65.0, 45.208333333333336)"
08-12-2022 14:37:13.333455,"(17.0, 55.0, 38.75)","(5.5, 11.5, 5.954545454545455)","(5.0, 8.6, 5.640000000000001)","(5.5, 9.6, 8.37142857142857)","(15.0, 48.0, 35.11538461538461)","(1.75, 2.66, 2.37448275862069)","(19.0, 65.0, 45.208333333333336)"
08-12-2022 14:37:14.575700,"(17.0, 55.0, 38.75)","(5.5, 11.5, 5.954545454545455)","(5.0, 8.6, 5.640000000000001)","(5.5, 9.6, 8.37142857142857)","(15.0, 48.0, 35.11538461538461)","(1.75, 2.66, 2.37448275862069)","(19.0, 65.0, 45.208333333333336)"
08-12-2022 14:37:15.795447,"(17.0, 55.0, 38.75)","(5.5, 11.5, 5.954545454545455)","(5.0, 8.6, 5.640000000000001)","(5.5, 9.6, 8.37142857142857)","(15.0, 48.0, 35.11538461538461)","(1.75, 2.66, 2.37448275862069)","(19.0, 65.0, 45.208333333333336)"
08-12-2022 14:37:16.907943,"(17.0, 55.0, 38.75)","(5.5, 11.5, 5.954545454545455)","(5.0, 8.6, 5.640000000000001)","(5.5, 9.6, 8.37142857142857)","(15.0, 48.0, 35.11538461538461)","(1.75, 2.66, 2.37448275862069)","(19.0, 65.0, 45.208333333333336)"
08-12-2022 14:37:18.013310,"(17.0, 55.0, 38.75)","(5.5, 11.5, 5.954545454545455)","(5.0, 8.6, 5.640000000000001)","(5.5, 9.6, 8.37142857142857)","(15.0, 48.0, 35.11538461538461)","(1.75, 2.66, 2.37448275862069)","(19.0, 65.0, 45.208333333333336)"
08-12-2022 14:37:19.239610,"(17.0, 55.0, 38.75)","(5.5, 11.5, 5.954545454545455)","(5.0, 8.6, 5.640000000000001)","(5.5, 9.6, 8.37142857142857)","(15.0, 48.0, 35.11538461538461)","(1.75, 2.66, 2.37448275862069)","(19.0, 65.0, 45.208333333333336)"
08-12-2022 14:37:20.501283,"(17.0, 55.0, 38.75)","(5.5, 11.5, 5.954545454545455)","(5.0, 8.6, 5.640000000000001)","(5.5, 9.6, 8.37142857142857)","(15.0, 48.0, 35.11538461538461)","(1.75, 2.66, 2.37448275862069)","(19.0, 65.0, 45.208333333333336)"
08-12-2022 14:37:21.669498,"(17.0, 55.0, 38.75)","(5.5, 11.5, 5.954545454545455)","(5.0, 8.6, 5.640000000000001)","(5.5, 9.6, 8.37142857142857)","(15.0, 48.0, 35.11538461538461)","(1.75, 2.66, 2.19)","(19.0, 65.0, 35.625)"
08-12-2022 14:37:22.721923,"(17.0, 55.0, 27.0)","(5.5, 11.5, 5.954545454545455)","(5.0, 8.6, 5.640000000000001)","(5.5, 9.6, 8.761904761904763)","(15.0, 48.0, 24.0)","(1.75, 2.64, 2.19609756097561)","(19.0, 65.0, 35.625)"
08-12-2022 14:37:23.876127,"(17.0, 55.0, 27.0)","(5.5, 11.5, 5.954545454545455)","(5.0, 8.6, 5.640000000000001)","(5.5, 9.6, 8.761904761904763)","(15.0, 48.0, 24.0)","(1.75, 2.64, 2.19609756097561)","(19.0, 65.0, 35.625)"
08-12-2022 14:37:25.031438,"(17.0, 55.0, 27.0)","(5.5, 11.5, 5.954545454545455)","(5.0, 8.6, 5.640000000000001)","(5.5, 9.6, 8.761904761904763)","(15.0, 48.0, 24.0)","(1.75, 2.64, 2.19609756097561)","(19.0, 65.0, 35.625)"
08-12-2022 14:37:26.295717,"(17.0, 55.0, 27.0)","(5.5, 11.5, 5.954545454545455)","(5.0, 8.6, 5.640000000000001)","(5.5, 9.6, 8.761904761904763)","(15.0, 48.0, 24.0)","(1.75, 2.64, 2.19609756097561)","(19.0, 65.0, 35.625)"
08-12-2022 14:37:27.558466,"(17.0, 55.0, 27.0)","(5.5, 11.5, 5.954545454545455)","(5.0, 8.6, 5.640000000000001)","(5.5, 9.6, 8.761904761904763)","(15.0, 48.0, 24.0)","(1.75, 2.64, 2.19609756097561)","(19.0, 65.0, 35.625)"
08-12-2022 14:37:28.715834,"(17.0, 55.0, 27.0)","(5.5, 11.5, 5.954545454545455)","(5.0, 8.6, 5.640000000000001)","(5.5, 9.6, 8.761904761904763)","(15.0, 48.0, 24.0)","(1.75, 2.64, 2.19609756097561)","(19.0, 65.0, 35.625)"
