,Foxpath,Lika Swift,Acrion,Atlantic Ridge,Ricco Doro,Gone Ahead,Kiloran Bay,Bella Cinque,Fine Rebel,Invest And Profit,Move On Over,Martha Lavinia
07-01-2023 12:53:11.663674,"(6.0, 8.8, 8.700000000000001)","(21.0, 42.0, 38.666666666666664)","(4.2, 4.7, 4.58421052631579)","(6.0, 7.6, 7.333333333333333)","(14.0, 15.5, 14.75)","(41.0, 70.0, 63.333333333333336)","(21.0, 50.0, 47.0)","(11.0, 14.5, 14.15)","(8.0, 11.0, 10.44)","(14.0, 22.0, 20.8)","(51.0, 85.0, 77.0)","(4.8, 5.8, 5.735294117647059)"
07-01-2023 12:53:13.227092,"(6.0, 8.8, 8.700000000000001)","(21.0, 42.0, 38.666666666666664)","(4.2, 4.7, 4.58421052631579)","(6.0, 7.6, 7.333333333333333)","(14.0, 15.5, 14.75)","(41.0, 70.0, 63.333333333333336)","(21.0, 50.0, 47.0)","(11.0, 14.5, 14.15)","(8.0, 11.0, 10.44)","(14.0, 22.0, 20.8)","(51.0, 85.0, 77.0)","(4.8, 5.8, 5.735294117647059)"
07-01-2023 12:53:14.806837,"(6.0, 8.8, 8.700000000000001)","(21.0, 42.0, 38.666666666666664)","(4.2, 4.7, 4.58421052631579)","(6.0, 7.6, 7.333333333333333)","(14.0, 15.5, 14.75)","(41.0, 70.0, 63.333333333333336)","(21.0, 50.0, 47.0)","(11.0, 14.5, 14.15)","(8.0, 11.0, 10.44)","(14.0, 22.0, 20.8)","(51.0, 85.0, 77.0)","(4.8, 5.8, 5.735294117647059)"
07-01-2023 12:53:16.314754,"(6.0, 8.8, 8.700000000000001)","(21.0, 42.0, 34.5)","(4.2, 4.7, 4.58421052631579)","(6.0, 7.6, 7.333333333333333)","(14.0, 15.5, 14.75)","(41.0, 70.0, 63.333333333333336)","(21.0, 50.0, 47.6)","(11.0, 14.5, 14.15)","(8.0, 11.0, 10.44)","(14.0, 22.0, 19.75)","(51.0, 85.0, 78.33333333333333)","(4.8, 5.8, 5.735294117647059)"
07-01-2023 12:53:17.844124,"(6.0, 8.8, 8.700000000000001)","(21.0, 40.0, 35.111111111111114)","(4.2, 4.7, 4.58421052631579)","(6.0, 7.6, 7.333333333333333)","(14.0, 15.5, 14.75)","(41.0, 70.0, 63.333333333333336)","(21.0, 50.0, 47.6)","(11.0, 14.5, 14.15)","(8.0, 11.0, 10.44)","(14.0, 22.0, 20.0)","(51.0, 85.0, 78.33333333333333)","(4.8, 5.8, 5.735294117647059)"
07-01-2023 12:53:19.304895,"(6.0, 8.8, 8.700000000000001)","(21.0, 40.0, 35.111111111111114)","(4.2, 4.7, 4.58421052631579)","(6.0, 7.6, 7.542857142857143)","(14.0, 15.5, 14.75)","(41.0, 70.0, 63.333333333333336)","(21.0, 50.0, 47.6)","(11.0, 14.5, 14.15)","(8.0, 11.0, 10.44)","(14.0, 22.0, 20.0)","(51.0, 85.0, 78.33333333333333)","(4.8, 5.8, 5.735294117647059)"
07-01-2023 12:53:20.742058,"(6.0, 8.8, 8.700000000000001)","(21.0, 40.0, 35.111111111111114)","(4.2, 4.7, 4.58421052631579)","(6.0, 8.0, 7.573333333333333)","(14.0, 15.5, 14.75)","(41.0, 70.0, 63.333333333333336)","(21.0, 50.0, 46.666666666666664)","(11.0, 14.5, 14.15)","(8.0, 11.0, 10.44)","(14.0, 22.0, 20.0)","(51.0, 85.0, 78.33333333333333)","(4.8, 5.8, 5.735294117647059)"
07-01-2023 12:53:22.329519,"(6.0, 8.8, 8.700000000000001)","(21.0, 40.0, 35.111111111111114)","(4.2, 4.7, 4.58421052631579)","(6.0, 8.0, 7.573333333333333)","(14.0, 15.5, 14.75)","(41.0, 70.0, 63.333333333333336)","(21.0, 50.0, 46.666666666666664)","(11.0, 14.5, 14.15)","(8.0, 11.0, 10.2)","(14.0, 22.0, 20.0)","(51.0, 85.0, 78.33333333333333)","(4.8, 5.8, 5.735294117647059)"
07-01-2023 12:53:23.952417,"(6.0, 8.8, 8.700000000000001)","(21.0, 40.0, 33.333333333333336)","(4.2, 4.7, 4.58421052631579)","(6.0, 8.0, 7.626666666666667)","(14.0, 15.5, 14.75)","(41.0, 70.0, 63.333333333333336)","(21.0, 50.0, 46.666666666666664)","(11.0, 14.5, 14.0625)","(8.0, 11.0, 10.2)","(14.0, 22.0, 20.0)","(51.0, 85.0, 78.33333333333333)","(4.8, 5.8, 5.735294117647059)"
07-01-2023 12:53:25.466705,"(6.0, 8.8, 8.700000000000001)","(21.0, 40.0, 35.55555555555556)","(4.2, 4.7, 4.58421052631579)","(6.0, 8.0, 7.28)","(14.0, 15.5, 14.75)","(41.0, 70.0, 63.333333333333336)","(21.0, 50.0, 46.666666666666664)","(11.0, 14.5, 14.0625)","(8.0, 11.0, 10.2)","(14.0, 22.0, 19.428571428571427)","(51.0, 85.0, 78.33333333333333)","(4.8, 5.8, 5.735294117647059)"
