,Go Forward Tink,Oh Suzie,Flying Bella,Udella Bale,Hasten Jet,Pablos Star,Im Indigo,Levator
05-01-2023 14:00:26.846366,"(9.0, 34.0, 30.25)","(51.0, 230.0, 186.8888888888889)","(19.0, 130.0, 71.0909090909091)","(2.7, 3.65, 2.923529411764706)","(2.6, 4.1, 3.26)","(10.0, 19.5, 17.78333333333333)","(8.5, 17.0, 14.2)","(6.0, 9.8, 6.358823529411765)"
05-01-2023 14:00:28.020303,"(9.0, 34.0, 30.25)","(51.0, 230.0, 186.8888888888889)","(19.0, 130.0, 71.0909090909091)","(2.7, 3.65, 2.923529411764706)","(2.6, 4.1, 3.26)","(10.0, 19.5, 17.78333333333333)","(8.5, 17.0, 14.2)","(6.0, 9.8, 6.358823529411765)"
05-01-2023 14:00:29.202060,"(9.0, 34.0, 30.25)","(51.0, 230.0, 186.8888888888889)","(19.0, 130.0, 71.0909090909091)","(2.7, 3.65, 2.923529411764706)","(2.6, 4.1, 3.26)","(10.0, 19.5, 17.78333333333333)","(8.5, 17.0, 14.2)","(6.0, 9.8, 6.358823529411765)"
05-01-2023 14:00:30.605310,"(9.0, 34.0, 30.25)","(51.0, 230.0, 186.8888888888889)","(19.0, 130.0, 71.0909090909091)","(2.7, 3.65, 2.923529411764706)","(2.6, 4.3, 2.8254901960784315)","(10.0, 19.5, 17.78333333333333)","(8.5, 17.0, 14.2)","(6.0, 9.8, 6.358823529411765)"
05-01-2023 14:00:31.840949,"(9.0, 34.0, 30.25)","(51.0, 230.0, 186.8888888888889)","(19.0, 130.0, 71.0909090909091)","(2.7, 3.65, 2.923529411764706)","(2.6, 4.3, 3.1666666666666665)","(10.0, 19.5, 17.78333333333333)","(8.5, 17.0, 14.2)","(6.0, 9.8, 6.358823529411765)"
05-01-2023 14:00:33.150226,"(9.0, 34.0, 30.25)","(51.0, 230.0, 186.8888888888889)","(19.0, 130.0, 49.75)","(2.7, 3.65, 2.923529411764706)","(2.6, 4.1, 3.1666666666666665)","(10.0, 19.5, 17.78333333333333)","(8.5, 17.0, 14.2)","(6.0, 9.8, 6.358823529411765)"
05-01-2023 14:00:34.468284,"(9.0, 34.0, 30.25)","(51.0, 230.0, 186.8888888888889)","(19.0, 130.0, 49.75)","(2.7, 3.65, 2.923529411764706)","(2.6, 4.1, 3.1666666666666665)","(10.0, 19.5, 17.78333333333333)","(8.5, 17.0, 14.2)","(6.0, 9.8, 6.358823529411765)"
05-01-2023 14:00:35.648698,"(9.0, 34.0, 30.400000000000002)","(51.0, 230.0, 186.8888888888889)","(19.0, 130.0, 49.75)","(2.7, 3.65, 2.923529411764706)","(2.6, 4.1, 3.1666666666666665)","(10.0, 19.5, 17.78333333333333)","(8.5, 17.0, 14.2)","(6.0, 9.8, 6.358823529411765)"
05-01-2023 14:00:36.955874,"(9.0, 34.0, 29.0)","(51.0, 230.0, 186.8888888888889)","(19.0, 130.0, 49.75)","(2.7, 3.65, 2.923529411764706)","(2.6, 4.1, 3.1666666666666665)","(10.0, 19.5, 17.78333333333333)","(8.5, 17.0, 14.2)","(6.0, 9.8, 6.358823529411765)"
05-01-2023 14:00:38.249763,"(9.0, 34.0, 29.0)","(51.0, 230.0, 186.8888888888889)","(19.0, 130.0, 49.75)","(2.7, 3.65, 2.923529411764706)","(2.6, 4.1, 3.1666666666666665)","(10.0, 19.5, 17.78333333333333)","(8.5, 17.0, 14.2)","(6.0, 9.8, 6.358823529411765)"
05-01-2023 14:00:39.645637,"(9.0, 34.0, 29.0)","(51.0, 230.0, 186.8888888888889)","(19.0, 130.0, 49.75)","(2.7, 3.65, 2.923529411764706)","(2.6, 4.1, 3.1666666666666665)","(10.0, 19.5, 17.78333333333333)","(8.5, 17.0, 14.2)","(6.0, 9.8, 6.358823529411765)"
05-01-2023 14:00:40.855949,"(9.0, 34.0, 29.0)","(51.0, 230.0, 186.8888888888889)","(19.0, 130.0, 49.75)","(2.7, 3.65, 2.923529411764706)","(2.6, 4.1, 3.1666666666666665)","(10.0, 19.5, 17.78333333333333)","(8.5, 17.0, 14.2)","(6.0, 9.8, 6.358823529411765)"
05-01-2023 14:00:42.066339,"(9.0, 34.0, 29.0)","(51.0, 230.0, 186.8888888888889)","(19.0, 130.0, 49.75)","(2.7, 3.65, 2.923529411764706)","(2.6, 4.1, 3.1666666666666665)","(10.0, 19.5, 17.78333333333333)","(8.5, 17.0, 14.2)","(6.0, 9.8, 6.358823529411765)"
05-01-2023 14:00:43.234603,"(9.0, 34.0, 29.0)","(51.0, 230.0, 186.8888888888889)","(19.0, 130.0, 49.75)","(2.7, 3.65, 2.923529411764706)","(2.6, 4.1, 3.1666666666666665)","(10.0, 19.5, 17.78333333333333)","(8.5, 17.0, 14.2)","(6.0, 9.8, 6.358823529411765)"
05-01-2023 14:00:44.293393,"(9.0, 34.0, 29.0)","(51.0, 230.0, 186.8888888888889)","(19.0, 130.0, 49.75)","(2.7, 3.65, 2.923529411764706)","(2.6, 4.1, 3.1666666666666665)","(10.0, 19.5, 17.78333333333333)","(8.5, 17.0, 14.2)","(6.0, 9.8, 6.358823529411765)"
