,Aston Marley,Fired Up,Thunder Dash,Scott Hue,Aston Prince,Ripplebrook Snip
07-12-2022 14:02:12.999024,"(3.2, 5.0, 4.08125)","(3.9, 5.7, 4.5625)","(3.9, 5.5, 4.042857142857143)","(11.0, 23.0, 17.5)","(3.7, 7.0, 6.6)","(12.0, 23.0, 20.375)"
07-12-2022 14:02:13.947168,"(3.2, 5.0, 4.6325)","(3.9, 5.7, 4.5625)","(3.9, 5.5, 4.4799999999999995)","(11.0, 23.0, 17.5)","(3.7, 7.0, 6.6)","(12.0, 23.0, 20.375)"
07-12-2022 14:02:14.958832,"(3.2, 5.0, 4.6325)","(3.9, 5.7, 4.5625)","(3.9, 5.5, 4.2625)","(11.0, 23.0, 17.5)","(3.7, 7.0, 6.6)","(12.0, 23.0, 20.375)"
07-12-2022 14:02:15.913840,"(3.2, 5.0, 4.6325)","(3.9, 5.7, 4.5625)","(3.9, 5.5, 4.366666666666666)","(11.0, 23.0, 17.5)","(3.7, 7.0, 6.6)","(12.0, 23.0, 20.375)"
07-12-2022 14:02:16.952414,"(3.2, 5.0, 4.6325)","(3.9, 5.7, 4.5625)","(3.9, 5.5, 4.042857142857143)","(11.0, 23.0, 17.5)","(3.7, 7.0, 6.6)","(12.0, 23.0, 20.375)"
07-12-2022 14:02:17.965430,"(3.2, 5.0, 4.6325)","(3.9, 5.7, 4.5625)","(3.9, 5.5, 4.042857142857143)","(11.0, 23.0, 17.5)","(3.7, 7.0, 6.6)","(12.0, 23.0, 20.375)"
07-12-2022 14:02:18.889781,"(3.2, 5.0, 4.3)","(3.9, 5.7, 4.5625)","(3.9, 5.5, 4.042857142857143)","(11.0, 23.0, 17.5)","(3.7, 7.0, 6.6)","(12.0, 23.0, 20.375)"
07-12-2022 14:02:19.835498,"(3.2, 5.0, 4.629411764705882)","(3.9, 5.7, 4.5625)","(3.9, 5.5, 4.042857142857143)","(11.0, 23.0, 17.5)","(3.7, 7.0, 6.5777777777777775)","(12.0, 23.0, 20.375)"
07-12-2022 14:02:20.791106,"(3.2, 5.0, 4.629411764705882)","(3.9, 5.7, 4.5625)","(3.9, 5.5, 4.042857142857143)","(11.0, 23.0, 17.5)","(3.7, 7.0, 6.5777777777777775)","(12.0, 23.0, 20.375)"
07-12-2022 14:02:21.736043,"(3.2, 5.0, 4.629411764705882)","(3.9, 5.7, 4.5625)","(3.9, 5.5, 4.042857142857143)","(11.0, 23.0, 17.5)","(3.7, 7.0, 6.5777777777777775)","(12.0, 23.0, 20.375)"
07-12-2022 14:02:22.712363,"(3.2, 5.0, 4.629411764705882)","(3.9, 5.7, 4.5625)","(3.9, 5.5, 4.042857142857143)","(11.0, 23.0, 17.5)","(3.7, 7.0, 6.5777777777777775)","(12.0, 23.0, 20.375)"
07-12-2022 14:02:23.645489,"(3.2, 5.0, 4.629411764705882)","(3.9, 5.7, 4.5625)","(3.9, 5.5, 4.042857142857143)","(11.0, 23.0, 17.5)","(3.7, 7.0, 6.5777777777777775)","(12.0, 23.0, 20.375)"
07-12-2022 14:02:24.584814,"(3.2, 5.0, 4.629411764705882)","(3.9, 5.7, 4.5625)","(3.9, 5.5, 4.042857142857143)","(11.0, 23.0, 17.5)","(3.7, 7.0, 6.5777777777777775)","(12.0, 23.0, 20.375)"
