,Wishing Well,Indy Korie,Chinchilla Mist,Blackpool Dill,Edi Bale,Responder,Kyanna,Whiskey Diva
06-01-2023 14:45:11.294680,"(5.0, 8.6, 7.088888888888889)","(31.0, 160.0, 70.625)","(5.5, 13.0, 12.155555555555555)","(7.0, 10.0, 9.5)","(19.0, 70.0, 43.333333333333336)","(3.9, 7.0, 6.483333333333333)","(3.2, 5.4, 5.192)","(6.0, 8.6, 7.9799999999999995)"
06-01-2023 14:45:12.477668,"(5.0, 8.6, 7.088888888888889)","(31.0, 160.0, 70.625)","(5.5, 13.0, 12.155555555555555)","(7.0, 10.0, 8.633333333333333)","(19.0, 70.0, 43.333333333333336)","(3.9, 7.0, 6.483333333333333)","(3.2, 5.4, 5.192)","(6.0, 8.6, 7.9799999999999995)"
06-01-2023 14:45:13.761205,"(5.0, 8.6, 7.088888888888889)","(31.0, 160.0, 70.625)","(5.5, 13.0, 12.155555555555555)","(7.0, 10.0, 8.633333333333333)","(19.0, 70.0, 43.333333333333336)","(3.9, 7.0, 6.483333333333333)","(3.2, 5.4, 5.192)","(6.0, 8.6, 7.9799999999999995)"
06-01-2023 14:45:15.019040,"(5.0, 8.6, 7.088888888888889)","(31.0, 160.0, 70.625)","(5.5, 13.0, 12.155555555555555)","(7.0, 10.0, 8.633333333333333)","(19.0, 70.0, 43.333333333333336)","(3.9, 7.0, 6.483333333333333)","(3.2, 5.4, 5.192)","(6.0, 8.6, 7.9799999999999995)"
06-01-2023 14:45:16.240949,"(5.0, 8.6, 7.088888888888889)","(31.0, 160.0, 70.625)","(5.5, 13.0, 12.155555555555555)","(7.0, 10.0, 8.633333333333333)","(19.0, 70.0, 43.333333333333336)","(3.9, 7.0, 6.483333333333333)","(3.2, 5.4, 5.192)","(6.0, 8.6, 7.9799999999999995)"
06-01-2023 14:45:17.506021,"(5.0, 8.6, 7.088888888888889)","(31.0, 160.0, 70.625)","(5.5, 13.0, 12.155555555555555)","(7.0, 10.0, 8.633333333333333)","(19.0, 70.0, 43.333333333333336)","(3.9, 7.0, 6.483333333333333)","(3.2, 5.4, 5.192)","(6.0, 8.6, 7.9799999999999995)"
06-01-2023 14:45:18.767087,"(5.0, 8.6, 7.088888888888889)","(31.0, 160.0, 70.625)","(5.5, 13.0, 12.155555555555555)","(7.0, 10.0, 8.633333333333333)","(19.0, 70.0, 43.333333333333336)","(3.9, 7.0, 6.483333333333333)","(3.2, 5.4, 5.192)","(6.0, 8.6, 7.9799999999999995)"
06-01-2023 14:45:20.069791,"(5.0, 8.6, 7.088888888888889)","(31.0, 160.0, 70.625)","(5.5, 13.0, 12.155555555555555)","(7.0, 10.0, 8.633333333333333)","(19.0, 70.0, 43.333333333333336)","(3.9, 7.0, 6.483333333333333)","(3.2, 5.4, 5.152380952380953)","(6.0, 8.6, 7.9799999999999995)"
06-01-2023 14:45:21.294614,"(5.0, 8.6, 7.088888888888889)","(31.0, 160.0, 70.625)","(5.5, 13.0, 12.155555555555555)","(7.0, 10.0, 8.633333333333333)","(19.0, 70.0, 43.333333333333336)","(3.9, 7.0, 6.483333333333333)","(3.2, 5.4, 5.152380952380953)","(6.0, 8.6, 7.9799999999999995)"
06-01-2023 14:45:22.531502,"(5.0, 8.6, 7.088888888888889)","(31.0, 160.0, 70.625)","(5.5, 13.0, 12.155555555555555)","(7.0, 10.0, 8.633333333333333)","(19.0, 70.0, 43.333333333333336)","(3.9, 7.0, 6.483333333333333)","(3.2, 5.4, 5.152380952380953)","(6.0, 8.6, 7.9799999999999995)"
