,Vanburg,Oakfield Triumph,Sneaky Paige,Compassionate,Hell I Am,Shalailed,Resonator,Arch Of Titus
14-12-2022 14:29:48.383174,"(101.0, 230.0, 206.0)","(101.0, 150.0, 142.85714285714286)","(3.2, 3.75, 3.710372340425532)","(31.0, 42.0, 41.13157894736842)","(2.6, 2.98, 2.97468438538206)","(4.0, 4.8, 4.78695652173913)","(6.5, 7.4, 7.325170068027211)","(101.0, 210.0, 186.66666666666666)"
14-12-2022 14:29:49.433415,"(101.0, 190.0, 188.63636363636363)","(101.0, 150.0, 141.66666666666666)","(3.2, 3.7, 3.697985347985348)","(31.0, 42.0, 41.18518518518518)","(2.6, 2.98, 2.973089005235602)","(4.0, 4.8, 4.787012987012987)","(6.5, 7.4, 6.894424673784104)","(101.0, 190.0, 188.0)"
14-12-2022 14:29:50.540952,"(101.0, 230.0, 226.875)","(101.0, 150.0, 145.7377049180328)","(3.2, 3.7, 3.698684210526316)","(31.0, 42.0, 41.18518518518518)","(2.6, 2.98, 2.975432098765432)","(4.0, 4.8, 4.790816326530612)","(6.5, 7.0, 6.898989898989899)","(101.0, 200.0, 188.0)"
14-12-2022 14:29:51.702325,"(101.0, 230.0, 219.4736842105263)","(101.0, 150.0, 145.7377049180328)","(3.2, 3.7, 3.657356076759062)","(31.0, 42.0, 41.18518518518518)","(2.6, 2.98, 2.981773399014778)","(4.0, 4.8, 4.791764705882353)","(6.5, 7.0, 6.899874529485571)","(101.0, 200.0, 202.0)"
14-12-2022 14:29:52.874532,"(101.0, 220.0, 213.33333333333334)","(101.0, 140.0, 139.79591836734693)","(3.2, 3.7, 3.6607291666666666)","(31.0, 42.0, 41.18518518518518)","(2.6, 3.0, 2.9834597156398104)","(4.0, 4.8, 4.793457943925233)","(6.5, 7.0, 6.942795698924731)","(101.0, 210.0, 202.0)"
14-12-2022 14:29:53.982533,"(101.0, 220.0, 213.84615384615384)","(101.0, 140.0, 139.80392156862746)","(3.2, 3.7, 3.6854651162790697)","(31.0, 42.0, 41.204819277108435)","(2.6, 3.0, 3.027941176470588)","(4.0, 4.8, 4.78)","(6.5, 7.0, 6.947483588621444)","(101.0, 210.0, 202.0)"
14-12-2022 14:29:55.033333,"(101.0, 220.0, 213.84615384615384)","(101.0, 140.0, 139.80392156862746)","(3.2, 3.7, 3.6843971631205674)","(31.0, 42.0, 41.204819277108435)","(2.6, 3.1, 3.027941176470588)","(4.0, 4.8, 4.779047619047619)","(6.5, 7.0, 7.176536312849162)","(101.0, 210.0, 202.0)"
14-12-2022 14:29:56.043789,"(101.0, 220.0, 213.84615384615384)","(101.0, 140.0, 139.8)","(3.2, 3.7, 3.669491525423729)","(31.0, 42.0, 41.204819277108435)","(2.6, 3.1, 3.028672086720867)","(4.0, 4.8, 4.776086956521739)","(6.5, 7.2, 7.091891891891892)","(101.0, 210.0, 202.0)"
14-12-2022 14:29:57.086231,"(101.0, 220.0, 216.66666666666669)","(101.0, 150.0, 145.80645161290323)","(3.2, 3.7, 3.668253968253968)","(31.0, 42.0, 40.75471698113208)","(2.6, 3.05, 2.996848484848485)","(4.0, 4.8, 4.740495867768595)","(6.5, 7.4, 7.144827586206897)","(101.0, 210.0, 202.0)"
14-12-2022 14:29:58.140537,"(101.0, 220.0, 216.66666666666669)","(101.0, 150.0, 145.80645161290323)","(3.2, 3.7, 3.668253968253968)","(31.0, 42.0, 40.6530612244898)","(2.6, 3.0, 2.993333333333333)","(4.0, 4.8, 4.740441176470588)","(6.5, 7.4, 7.060869565217391)","(101.0, 210.0, 202.0)"
14-12-2022 14:29:59.262070,"(101.0, 220.0, 216.66666666666669)","(101.0, 150.0, 145.80645161290323)","(3.2, 3.7, 3.6658256880733946)","(31.0, 42.0, 40.6530612244898)","(2.6, 3.0, 2.9935526315789476)","(4.0, 4.8, 4.688095238095238)","(6.5, 7.4, 7.276646706586827)","(101.0, 210.0, 201.11111111111111)"
14-12-2022 14:30:00.328114,"(101.0, 220.0, 216.66666666666669)","(101.0, 150.0, 145.80645161290323)","(3.2, 3.7, 3.6203636363636362)","(31.0, 42.0, 40.77777777777778)","(2.6, 3.0, 3.0690322580645164)","(4.0, 4.7, 4.677477477477478)","(6.5, 7.4, 7.278823529411765)","(101.0, 210.0, 201.11111111111111)"
14-12-2022 14:30:01.349159,"(101.0, 220.0, 216.66666666666669)","(101.0, 150.0, 145.80645161290323)","(3.2, 3.7, 3.6284848484848484)","(31.0, 42.0, 40.69767441860465)","(2.6, 3.1, 3.026)","(4.0, 4.7, 4.68848167539267)","(6.5, 7.4, 7.253061224489796)","(101.0, 210.0, 190.0)"
14-12-2022 14:30:02.411391,"(101.0, 220.0, 216.66666666666669)","(101.0, 150.0, 145.80645161290323)","(3.2, 3.75, 3.6795112781954886)","(31.0, 42.0, 40.193548387096776)","(2.6, 3.1, 3.0058035714285714)","(4.0, 4.7, 4.685806451612903)","(6.5, 7.4, 7.2478873239436625)","(101.0, 200.0, 190.0)"
14-12-2022 14:30:03.462361,"(101.0, 220.0, 216.66666666666669)","(101.0, 150.0, 145.80645161290323)","(3.2, 3.65, 3.6400568181818183)","(31.0, 42.0, 40.193548387096776)","(2.6, 3.05, 2.9863636363636363)","(4.0, 4.7, 4.688079470198676)","(6.5, 7.4, 7.252054794520548)","(101.0, 200.0, 188.0)"
14-12-2022 14:30:04.501308,"(101.0, 220.0, 216.66666666666669)","(101.0, 150.0, 145.43859649122805)","(3.2, 3.65, 3.6389937106918238)","(31.0, 42.0, 40.206896551724135)","(2.6, 3.05, 3.013235294117647)","(4.0, 4.7, 4.684347826086957)","(6.5, 7.4, 7.294573643410853)","(101.0, 200.0, 188.0)"
14-12-2022 14:30:05.607757,"(101.0, 220.0, 216.66666666666669)","(91.0, 150.0, 145.43859649122805)","(3.2, 3.75, 3.665916955017301)","(31.0, 42.0, 40.206896551724135)","(2.6, 3.05, 3.009349593495935)","(4.0, 4.7, 4.676)","(6.5, 7.4, 7.342857142857143)","(101.0, 200.0, 188.0)"
14-12-2022 14:30:06.672535,"(101.0, 220.0, 216.66666666666669)","(91.0, 150.0, 145.43859649122805)","(3.2, 3.75, 3.6683673469387754)","(31.0, 42.0, 40.206896551724135)","(2.6, 3.05, 3.0578512396694215)","(4.0, 4.7, 4.682608695652174)","(6.5, 7.4, 7.348717948717949)","(101.0, 200.0, 188.0)"
14-12-2022 14:30:07.789192,"(101.0, 220.0, 216.36363636363637)","(91.0, 150.0, 145.35714285714286)","(3.2, 3.7, 3.6859375)","(31.0, 42.0, 41.51401869158879)","(2.6, 3.1, 3.0641791044776117)","(4.0, 4.7, 4.681395348837209)","(6.5, 7.4, 7.333333333333334)","(101.0, 200.0, 185.0)"
14-12-2022 14:30:08.921677,"(101.0, 220.0, 216.66666666666669)","(91.0, 140.0, 139.56521739130434)","(3.2, 3.7, 3.691228070175439)","(31.0, 42.0, 40.758620689655174)","(2.6, 3.1, 3.0627450980392155)","(4.0, 4.8, 4.674285714285714)","(6.5, 7.4, 7.457142857142857)","(101.0, 190.0, 178.33333333333334)"
14-12-2022 14:30:10.013354,"(101.0, 220.0, 216.92307692307693)","(91.0, 140.0, 139.56521739130434)","(3.2, 3.65, 3.645631067961165)","(31.0, 42.0, 40.19417475728155)","(2.6, 3.1, 3.0933734939759034)","(4.0, 4.7, 4.616666666666666)","(6.5, 7.6, 7.4483516483516485)","(101.0, 180.0, 178.33333333333334)"
14-12-2022 14:30:11.161873,"(101.0, 220.0, 216.66666666666669)","(91.0, 140.0, 139.14893617021278)","(3.2, 3.65, 3.645348837209302)","(31.0, 44.0, 40.59016393442623)","(2.6, 3.1, 3.0813432835820893)","(4.0, 4.7, 4.692105263157895)","(6.5, 7.6, 7.446575342465754)","(101.0, 180.0, 178.33333333333334)"
14-12-2022 14:30:12.318300,"(101.0, 220.0, 216.66666666666669)","(91.0, 140.0, 139.14893617021278)","(3.2, 3.65, 3.6457219251336896)","(31.0, 44.0, 39.88095238095238)","(2.6, 3.15, 3.094578313253012)","(4.0, 4.7, 4.675)","(6.5, 7.6, 7.26)","(101.0, 180.0, 178.33333333333334)"
14-12-2022 14:30:13.392901,"(101.0, 190.0, 187.33333333333334)","(91.0, 140.0, 138.26923076923077)","(3.2, 3.65, 3.6440217391304346)","(31.0, 40.0, 39.86666666666667)","(2.6, 3.15, 3.094578313253012)","(4.0, 4.7, 4.675)","(6.5, 7.4, 7.196766743648961)","(101.0, 180.0, 178.33333333333334)"
14-12-2022 14:30:14.424973,"(101.0, 190.0, 187.33333333333334)","(91.0, 140.0, 137.16666666666666)","(3.2, 3.65, 3.592195121951219)","(31.0, 40.0, 39.86666666666667)","(2.6, 3.15, 3.118794326241135)","(4.0, 4.7, 4.682027649769585)","(6.5, 7.2, 7.196846846846847)","(101.0, 180.0, 178.33333333333334)"
14-12-2022 14:30:15.538467,"(101.0, 190.0, 187.33333333333334)","(91.0, 140.0, 137.16666666666666)","(3.2, 3.65, 3.585162601626016)","(31.0, 40.0, 39.473684210526315)","(2.6, 3.15, 3.1209677419354835)","(4.0, 4.7, 4.641176470588235)","(6.5, 7.2, 7.196943231441049)","(101.0, 180.0, 178.33333333333334)"
14-12-2022 14:30:16.552980,"(101.0, 190.0, 187.33333333333334)","(91.0, 140.0, 136.96428571428572)","(3.2, 3.6, 3.5862264150943397)","(31.0, 40.0, 39.473684210526315)","(2.6, 3.15, 3.1254098360655735)","(4.0, 4.7, 4.662264150943396)","(6.5, 7.2, 7.252631578947368)","(101.0, 180.0, 178.1818181818182)"
14-12-2022 14:30:17.705774,"(101.0, 190.0, 187.5)","(91.0, 140.0, 136.96428571428572)","(3.2, 3.6, 3.5786931818181817)","(31.0, 40.0, 38.357142857142854)","(2.6, 3.15, 3.124624060150376)","(4.0, 4.7, 4.552380952380952)","(6.5, 7.6, 7.402985074626866)","(101.0, 180.0, 178.1818181818182)"
14-12-2022 14:30:18.791556,"(101.0, 190.0, 187.5)","(91.0, 140.0, 136.96428571428572)","(3.2, 3.6, 3.5791666666666666)","(31.0, 40.0, 38.357142857142854)","(2.6, 3.15, 3.1094059405940593)","(4.0, 4.6, 4.573469387755102)","(6.5, 7.6, 7.362025316455696)","(101.0, 180.0, 181.76470588235293)"
14-12-2022 14:30:19.887986,"(101.0, 190.0, 188.57142857142858)","(91.0, 140.0, 137.35849056603774)","(3.2, 3.65, 3.608274647887324)","(31.0, 40.0, 38.60606060606061)","(2.6, 3.15, 3.1353919239904986)","(4.0, 4.6, 4.573469387755102)","(6.5, 7.4, 7.429565217391304)","(101.0, 190.0, 185.0)"
14-12-2022 14:30:20.892388,"(101.0, 190.0, 188.57142857142858)","(91.0, 140.0, 137.5438596491228)","(3.2, 3.65, 3.608274647887324)","(31.0, 40.0, 38.60606060606061)","(2.6, 3.15, 3.0475)","(4.0, 4.6, 4.59)","(6.5, 7.6, 7.508860759493671)","(101.0, 190.0, 185.55555555555554)"
14-12-2022 14:30:22.019611,"(101.0, 190.0, 189.375)","(91.0, 140.0, 137.67857142857142)","(3.2, 3.65, 3.611206896551724)","(31.0, 40.0, 38.689655172413794)","(2.6, 3.15, 3.0184615384615383)","(4.0, 4.6, 4.633333333333333)","(6.5, 7.6, 7.514563106796116)","(101.0, 190.0, 185.55555555555554)"
14-12-2022 14:30:23.187111,"(101.0, 190.0, 189.375)","(91.0, 140.0, 138.94736842105263)","(3.2, 3.65, 3.611206896551724)","(31.0, 40.0, 38.689655172413794)","(2.6, 3.1, 3.0806896551724137)","(4.0, 4.7, 4.6414634146341465)","(6.5, 7.6, 7.5771428571428565)","(101.0, 190.0, 185.55555555555554)"
14-12-2022 14:30:24.383561,"(101.0, 190.0, 189.375)","(91.0, 140.0, 138.88888888888889)","(3.2, 3.65, 3.645614035087719)","(31.0, 40.0, 38.416666666666664)","(2.6, 3.1, 3.0225512528473804)","(4.0, 4.7, 4.6414634146341465)","(6.5, 7.6, 7.5771428571428565)","(101.0, 190.0, 185.55555555555554)"
14-12-2022 14:30:25.483464,"(101.0, 190.0, 189.375)","(91.0, 140.0, 138.85714285714286)","(3.2, 3.65, 3.645614035087719)","(31.0, 40.0, 38.27272727272727)","(2.6, 3.1, 3.0616438356164384)","(4.0, 4.7, 4.690909090909091)","(6.5, 7.6, 7.343478260869565)","(101.0, 190.0, 187.33333333333334)"
14-12-2022 14:30:26.594815,"(101.0, 190.0, 189.375)","(91.0, 140.0, 138.8235294117647)","(3.2, 3.6, 3.570703125)","(31.0, 40.0, 38.285714285714285)","(2.6, 3.1, 3.0470198675496687)","(4.0, 4.7, 4.6923076923076925)","(6.5, 7.4, 7.342857142857143)","(101.0, 190.0, 202.5)"
14-12-2022 14:30:27.703643,"(101.0, 210.0, 195.0)","(91.0, 140.0, 138.8235294117647)","(3.2, 3.6, 3.5690934065934066)","(31.0, 40.0, 38.36363636363637)","(2.6, 3.05, 3.0344594594594594)","(4.0, 4.7, 4.696875)","(6.5, 7.4, 7.372413793103449)","(101.0, 210.0, 202.5)"
14-12-2022 14:30:28.769128,"(101.0, 210.0, 202.0)","(91.0, 140.0, 138.85714285714286)","(3.2, 3.6, 3.592608695652174)","(31.0, 40.0, 38.36363636363637)","(2.6, 3.05, 3.030057803468208)","(4.0, 4.7, 4.69)","(6.5, 7.4, 7.284337349397591)","(101.0, 210.0, 202.5)"
14-12-2022 14:30:29.878691,"(101.0, 210.0, 202.5)","(91.0, 140.0, 138.85714285714286)","(3.2, 3.65, 3.634375)","(31.0, 40.0, 38.43478260869565)","(2.6, 3.05, 3.0051181102362206)","(4.0, 4.7, 4.696551724137931)","(6.5, 7.4, 7.2444444444444445)","(101.0, 210.0, 203.57142857142856)"
14-12-2022 14:30:30.975425,"(101.0, 210.0, 202.5)","(91.0, 140.0, 138.6206896551724)","(3.2, 3.65, 3.6454545454545455)","(31.0, 40.0, 38.43478260869565)","(2.6, 3.05, 3.005868544600939)","(4.0, 4.7, 4.6947368421052635)","(6.5, 7.4, 7.338916256157636)","(101.0, 210.0, 203.57142857142856)"
14-12-2022 14:30:32.014150,"(101.0, 210.0, 202.5)","(91.0, 140.0, 138.6206896551724)","(3.2, 3.65, 3.6203703703703702)","(31.0, 40.0, 39.333333333333336)","(2.6, 3.05, 3.011463414634146)","(4.0, 4.7, 4.694117647058824)","(6.5, 7.4, 7.338916256157636)","(101.0, 210.0, 203.57142857142856)"
14-12-2022 14:30:33.030728,"(101.0, 210.0, 202.5)","(91.0, 140.0, 136.66666666666666)","(3.2, 3.65, 3.6257575757575755)","(31.0, 40.0, 39.333333333333336)","(2.6, 3.05, 3.011463414634146)","(4.0, 4.7, 4.694117647058824)","(6.5, 7.4, 7.340298507462687)","(101.0, 210.0, 205.0)"
14-12-2022 14:30:34.058041,"(101.0, 210.0, 202.5)","(91.0, 140.0, 136.66666666666666)","(3.2, 3.65, 3.6399999999999997)","(31.0, 40.0, 39.333333333333336)","(2.6, 3.05, 3.0256923076923075)","(4.0, 4.7, 4.694117647058824)","(6.5, 7.4, 7.340298507462687)","(101.0, 210.0, 205.0)"
14-12-2022 14:30:35.053890,"(101.0, 210.0, 202.5)","(91.0, 140.0, 136.0)","(3.2, 3.65, 3.6402439024390243)","(31.0, 38.0, 37.23529411764706)","(2.6, 3.05, 3.020300751879699)","(4.0, 4.7, 4.694117647058824)","(6.5, 7.4, 7.3420289855072465)","(101.0, 210.0, 205.0)"
14-12-2022 14:30:36.084861,"(101.0, 210.0, 202.5)","(91.0, 140.0, 136.36363636363637)","(3.2, 3.65, 3.626470588235294)","(31.0, 38.0, 37.333333333333336)","(2.6, 3.05, 3.017153284671533)","(4.0, 4.7, 4.6967741935483875)","(6.5, 7.4, 7.331838565022422)","(101.0, 210.0, 205.0)"
14-12-2022 14:30:37.132318,"(101.0, 240.0, 222.35294117647058)","(91.0, 140.0, 136.36363636363637)","(3.2, 3.65, 3.6493775933609958)","(31.0, 38.0, 37.23529411764706)","(2.6, 3.05, 3.017153284671533)","(4.0, 4.7, 4.697058823529412)","(6.5, 7.4, 7.3324444444444445)","(101.0, 210.0, 205.0)"
14-12-2022 14:30:38.146149,"(101.0, 240.0, 198.33333333333334)","(91.0, 140.0, 134.11764705882354)","(3.2, 3.65, 3.6493775933609958)","(31.0, 38.0, 37.27777777777778)","(2.6, 3.0, 2.9891588785046728)","(4.0, 4.7, 4.631746031746031)","(6.5, 7.4, 7.332743362831859)","(101.0, 210.0, 205.0)"
14-12-2022 14:30:39.162311,"(101.0, 240.0, 198.33333333333334)","(91.0, 140.0, 134.11764705882354)","(3.2, 3.65, 3.6494642857142856)","(31.0, 38.0, 37.16129032258065)","(2.6, 3.0, 2.987495682210708)","(4.0, 4.7, 4.644805194805195)","(6.5, 7.4, 7.370285714285715)","(101.0, 210.0, 202.5)"
14-12-2022 14:30:40.193825,"(101.0, 240.0, 231.66666666666666)","(91.0, 140.0, 135.0)","(3.2, 3.7, 3.6664451827242526)","(31.0, 38.0, 37.625)","(2.6, 3.0, 2.987495682210708)","(4.0, 4.7, 4.67752808988764)","(6.5, 7.4, 7.372192513368985)","(101.0, 210.0, 202.5)"
14-12-2022 14:30:41.264053,"(101.0, 240.0, 231.66666666666666)","(91.0, 140.0, 135.0)","(3.2, 3.7, 3.6690184049079755)","(31.0, 38.0, 38.92537313432836)","(2.6, 3.0, 2.987743658210948)","(4.0, 4.6, 4.611784511784512)","(6.5, 7.4, 7.503333333333333)","(101.0, 210.0, 205.0)"
14-12-2022 14:30:42.327905,"(101.0, 240.0, 233.75)","(91.0, 140.0, 135.65217391304347)","(3.2, 3.7, 3.6656451612903225)","(31.0, 40.0, 38.758620689655174)","(2.6, 3.0, 2.986937799043062)","(4.0, 4.7, 4.608797653958944)","(6.5, 7.6, 7.554347826086956)","(101.0, 210.0, 205.0)"
14-12-2022 14:30:43.379129,"(101.0, 240.0, 233.75)","(91.0, 140.0, 135.65217391304347)","(3.2, 3.7, 3.6658163265306123)","(31.0, 40.0, 38.758620689655174)","(2.6, 3.0, 2.9859371362048894)","(4.0, 4.7, 4.627126436781609)","(6.5, 7.6, 7.065898305084746)","(101.0, 210.0, 205.0)"
14-12-2022 14:30:44.414468,"(101.0, 240.0, 233.75)","(91.0, 140.0, 135.65217391304347)","(3.2, 3.7, 3.672189349112426)","(31.0, 40.0, 39.705882352941174)","(2.6, 3.0, 2.9859371362048894)","(4.0, 4.7, 4.637475345167653)","(6.5, 7.2, 7.070634401569653)","(101.0, 210.0, 207.0)"
14-12-2022 14:30:45.491236,"(101.0, 240.0, 235.45454545454547)","(91.0, 140.0, 136.8181818181818)","(3.2, 3.7, 3.676353092783505)","(31.0, 40.0, 41.142857142857146)","(2.6, 3.0, 2.987711088504578)","(4.0, 4.7, 4.640152963671128)","(6.5, 7.2, 7.1633082706766915)","(101.0, 210.0, 207.0)"
14-12-2022 14:30:46.585414,"(101.0, 240.0, 236.66666666666666)","(91.0, 140.0, 137.08333333333334)","(3.2, 3.75, 3.7134259259259257)","(31.0, 42.0, 41.142857142857146)","(2.7, 3.0, 2.987790339157246)","(4.0, 4.7, 4.644871794871794)","(6.5, 7.2, 7.1633082706766915)","(101.0, 210.0, 207.0)"
14-12-2022 14:30:47.720672,"(101.0, 240.0, 236.66666666666666)","(91.0, 140.0, 136.31578947368422)","(3.2, 3.7, 3.676281208935611)","(31.0, 42.0, 40.285714285714285)","(2.7, 3.0, 2.987914547304171)","(4.0, 4.7, 4.638424821002387)","(6.5, 7.2, 7.391489361702128)","(101.0, 210.0, 207.27272727272728)"
14-12-2022 14:30:48.840553,"(101.0, 240.0, 236.875)","(91.0, 140.0, 136.5)","(3.2, 3.7, 3.676281208935611)","(31.0, 42.0, 40.56)","(2.7, 3.0, 2.9768333333333334)","(4.0, 4.7, 4.638424821002387)","(6.5, 7.6, 7.255294117647059)","(101.0, 210.0, 207.27272727272728)"
14-12-2022 14:30:50.009568,"(101.0, 240.0, 236.875)","(91.0, 140.0, 136.5)","(3.2, 3.7, 3.675641025641026)","(31.0, 42.0, 40.666666666666664)","(2.7, 2.98, 2.947741935483871)","(4.0, 4.7, 4.642702702702702)","(6.5, 7.4, 7.255)","(101.0, 210.0, 216.25)"
14-12-2022 14:30:51.116635,"(101.0, 240.0, 236.875)","(91.0, 140.0, 136.5)","(3.2, 3.7, 3.687568870523416)","(31.0, 42.0, 40.666666666666664)","(2.7, 2.98, 2.972956810631229)","(4.0, 4.7, 4.641917808219178)","(6.5, 7.4, 7.255)","(101.0, 220.0, 216.25)"
14-12-2022 14:30:52.138925,"(101.0, 240.0, 236.66666666666666)","(91.0, 150.0, 143.68421052631578)","(3.2, 3.7, 3.6776027397260274)","(31.0, 42.0, 40.36363636363637)","(2.7, 2.98, 2.961627906976744)","(4.0, 4.7, 4.638011695906433)","(6.5, 7.4, 7.255)","(101.0, 220.0, 216.25)"
14-12-2022 14:30:53.186549,"(101.0, 240.0, 236.66666666666666)","(91.0, 150.0, 146.8421052631579)","(3.2, 3.7, 3.676372832369942)","(31.0, 42.0, 40.36363636363637)","(2.7, 3.0, 2.9606349206349205)","(4.0, 4.7, 4.614563106796116)","(6.5, 7.4, 7.203178484107579)","(101.0, 220.0, 216.25)"
14-12-2022 14:30:54.257220,"(101.0, 240.0, 236.15384615384616)","(91.0, 150.0, 146.8421052631579)","(3.2, 3.7, 3.6821895424836604)","(31.0, 42.0, 40.36363636363637)","(2.7, 3.0, 2.9564969450101835)","(4.0, 4.7, 4.625106382978723)","(6.5, 7.4, 7.167341040462428)","(101.0, 220.0, 215.71428571428572)"
14-12-2022 14:30:55.344669,"(101.0, 240.0, 235.83333333333334)","(91.0, 150.0, 147.0)","(3.2, 3.7, 3.6828616352201258)","(31.0, 42.0, 41.41935483870968)","(2.7, 3.0, 2.965851318944844)","(4.0, 4.7, 4.671951219512195)","(6.5, 7.4, 7.171599402092676)","(101.0, 220.0, 215.71428571428572)"
14-12-2022 14:30:56.442703,"(101.0, 240.0, 235.83333333333334)","(91.0, 150.0, 147.0)","(3.2, 3.7, 3.6828616352201258)","(31.0, 42.0, 41.41935483870968)","(2.7, 3.0, 2.9648395061728396)","(4.0, 4.7, 4.678899082568807)","(6.5, 7.4, 7.233477321814255)","(101.0, 220.0, 216.66666666666666)"
14-12-2022 14:30:57.452234,"(101.0, 240.0, 235.83333333333334)","(91.0, 150.0, 147.0)","(3.2, 3.7, 3.6816216216216215)","(31.0, 42.0, 41.43859649122807)","(2.7, 3.0, 2.9825764192139737)","(4.0, 4.8, 4.703095975232198)","(6.5, 7.4, 7.233477321814255)","(101.0, 220.0, 216.66666666666666)"
14-12-2022 14:30:58.469965,"(101.0, 240.0, 235.83333333333334)","(91.0, 160.0, 151.57894736842104)","(3.2, 3.7, 3.681893687707641)","(31.0, 42.0, 41.285714285714285)","(2.7, 3.0, 2.9825764192139737)","(4.0, 4.8, 4.625510204081633)","(6.5, 7.4, 7.318441558441559)","(101.0, 220.0, 216.66666666666666)"
14-12-2022 14:30:59.595773,"(101.0, 240.0, 235.83333333333334)","(91.0, 160.0, 153.33333333333334)","(3.2, 3.7, 3.681893687707641)","(31.0, 42.0, 41.285714285714285)","(2.6, 3.0, 2.9825)","(4.0, 4.8, 4.625510204081633)","(6.5, 7.4, 7.255299539170507)","(101.0, 220.0, 216.66666666666666)"
14-12-2022 14:31:00.720466,"(101.0, 260.0, 242.35294117647058)","(91.0, 160.0, 153.33333333333334)","(3.2, 3.7, 3.6815254237288135)","(31.0, 42.0, 41.285714285714285)","(2.6, 3.0, 2.9816241299303945)","(4.0, 4.6, 4.577805486284289)","(6.5, 7.4, 7.307647058823529)","(101.0, 220.0, 216.66666666666666)"
14-12-2022 14:31:01.851891,"(101.0, 260.0, 248.23529411764707)","(91.0, 160.0, 153.33333333333334)","(3.2, 3.7, 3.681185270425777)","(31.0, 42.0, 41.0)","(2.6, 3.0, 2.9475132275132276)","(4.0, 4.8, 4.597790055248619)","(6.5, 7.4, 7.315591397849462)","(101.0, 220.0, 217.5)"
14-12-2022 14:31:02.979619,"(101.0, 260.0, 248.88888888888889)","(91.0, 160.0, 153.33333333333334)","(3.2, 3.7, 3.683633633633634)","(31.0, 42.0, 41.2)","(2.6, 3.0, 2.957546362339515)","(4.0, 4.6, 4.6274999999999995)","(6.5, 7.4, 7.337380191693291)","(101.0, 220.0, 213.52941176470588)"
14-12-2022 14:31:04.027137,"(101.0, 260.0, 250.9090909090909)","(91.0, 160.0, 154.07407407407408)","(3.2, 3.7, 3.6880952380952383)","(31.0, 42.0, 41.2)","(2.6, 3.0, 2.957546362339515)","(4.0, 4.8, 4.6274999999999995)","(6.5, 7.4, 7.331707317073171)","(101.0, 230.0, 215.26315789473685)"
14-12-2022 14:31:05.079271,"(101.0, 260.0, 250.9090909090909)","(91.0, 160.0, 154.07407407407408)","(3.2, 3.7, 3.6879448909299657)","(31.0, 42.0, 41.16279069767442)","(2.6, 3.0, 2.9401207243460763)","(4.0, 4.8, 4.602857142857142)","(6.5, 7.4, 7.331707317073171)","(101.0, 230.0, 215.26315789473685)"
14-12-2022 14:31:06.144581,"(101.0, 260.0, 250.9090909090909)","(91.0, 160.0, 154.07407407407408)","(3.2, 3.75, 3.723690078037904)","(31.0, 42.0, 41.16279069767442)","(2.6, 3.0, 2.880470588235294)","(4.0, 4.8, 4.661739130434783)","(6.5, 7.4, 7.534090909090909)","(101.0, 230.0, 213.63636363636363)"
14-12-2022 14:31:07.220896,"(101.0, 260.0, 250.9090909090909)","(91.0, 160.0, 154.07407407407408)","(3.2, 3.75, 3.732236842105263)","(31.0, 44.0, 40.63576158940398)","(2.6, 2.9, 2.880470588235294)","(4.0, 4.7, 4.683561643835617)","(6.5, 7.6, 7.562962962962962)","(101.0, 230.0, 220.76923076923077)"
14-12-2022 14:31:08.338120,"(101.0, 260.0, 254.11764705882354)","(91.0, 160.0, 154.48275862068965)","(3.2, 3.8, 3.755340699815838)","(31.0, 44.0, 32.0)","(2.6, 2.9, 2.88)","(4.0, 4.7, 4.328723404255319)","(6.5, 7.6, 8.58)","(101.0, 230.0, 380.0)"
14-12-2022 14:31:09.437512,"(101.0, 420.0, 247.5)","(91.0, 300.0, 185.0)","(3.2, 3.85, 3.6973282442748094)","(31.0, 48.0, 32.0)","(2.6, 3.2, 2.9183098591549297)","(4.0, 5.1, 4.658823529411765)","(6.5, 9.0, 7.648780487804878)","(101.0, 430.0, 380.0)"
14-12-2022 14:31:10.492752,"(101.0, 420.0, 247.5)","(91.0, 370.0, 220.0)","(3.2, 3.65, 3.628021978021978)","(31.0, 30.0, 24.15)","(2.6, 3.2, 2.8521739130434782)","(4.0, 5.1, 4.164)","(6.5, 8.0, 8.4)","(101.0, 430.0, 372.0)"
14-12-2022 14:31:11.528836,"(101.0, 420.0, 247.5)","(91.0, 190.0, 130.0)","(3.2, 3.75, 3.7384615384615385)","(31.0, 30.0, 24.15)","(2.6, 3.2, 2.808181818181818)","(4.0, 4.9, 4.283870967741936)","(6.5, 9.0, 7.938461538461539)","(101.0, 420.0, 409.5)"
14-12-2022 14:31:12.576605,"(101.0, 420.0, 247.5)","(91.0, 260.0, 165.0)","(3.2, 3.75, 3.6115384615384616)","(31.0, 30.0, 24.17142857142857)","(2.6, 2.86, 2.808181818181818)","(4.0, 5.1, 4.283870967741936)","(6.5, 10.5, 10.05)","(101.0, 420.0, 400.0)"
14-12-2022 14:31:13.631582,"(101.0, 420.0, 255.0)","(91.0, 230.0, 155.0)","(3.2, 3.6, 3.584375)","(31.0, 15.0, 14.535714285714286)","(2.6, 2.86, 2.843035714285714)","(4.0, 5.1, 4.923076923076923)","(6.5, 10.5, 10.05)","(101.0, 420.0, 400.0)"
