,The Girls Have It,Lara Tiara,Rose Of Juliana,Krafty Boy,Chelseas Girl,Karinya Max,Kulani Courage,Preacher Quince,Limousine Cheeky
11-01-2023 19:29:52.133022,"(3.2, 6.2, 5.866666666666667)","(6.5, 9.6, 9.266666666666666)","(21.0, 30.0, 18.333333333333332)","(14.0, 21.0, 17.142857142857142)","(6.0, 9.8, 8.200000000000001)","(12.0, 17.0, 13.25)","(5.0, 6.6, 5.3999999999999995)","(5.0, 8.0, 7.410526315789474)","(10.0, 16.0, 11.909090909090908)"
11-01-2023 19:29:53.525147,"(3.2, 6.2, 5.866666666666667)","(6.5, 9.6, 9.375)","(21.0, 30.0, 18.333333333333332)","(14.0, 21.0, 17.142857142857142)","(6.0, 9.8, 8.200000000000001)","(12.0, 17.0, 13.25)","(5.0, 6.6, 5.3999999999999995)","(5.0, 8.0, 7.410526315789474)","(10.0, 16.0, 11.909090909090908)"
11-01-2023 19:29:54.869427,"(3.2, 6.2, 5.866666666666667)","(6.5, 9.6, 9.375)","(21.0, 30.0, 18.333333333333332)","(14.0, 21.0, 17.142857142857142)","(6.0, 9.8, 8.200000000000001)","(12.0, 17.0, 13.25)","(5.0, 6.6, 5.3999999999999995)","(5.0, 8.0, 7.410526315789474)","(10.0, 16.0, 11.909090909090908)"
11-01-2023 19:29:56.202784,"(3.2, 6.2, 5.866666666666667)","(6.5, 9.6, 9.375)","(21.0, 30.0, 18.333333333333332)","(14.0, 21.0, 17.142857142857142)","(6.0, 9.8, 8.200000000000001)","(12.0, 17.0, 13.25)","(5.0, 6.6, 5.3999999999999995)","(5.0, 8.0, 7.410526315789474)","(10.0, 16.0, 11.909090909090908)"
11-01-2023 19:29:57.619533,"(3.2, 6.2, 5.927272727272728)","(6.5, 9.6, 9.375)","(21.0, 30.0, 18.333333333333332)","(14.0, 21.0, 17.25)","(6.0, 9.8, 8.257142857142858)","(12.0, 17.0, 13.25)","(5.0, 6.6, 5.475)","(5.0, 8.0, 7.410526315789474)","(10.0, 16.0, 11.909090909090908)"
11-01-2023 19:29:58.985188,"(3.2, 6.2, 5.927272727272728)","(6.5, 9.6, 9.375)","(21.0, 30.0, 18.333333333333332)","(14.0, 21.0, 17.25)","(6.0, 9.8, 8.257142857142858)","(12.0, 17.0, 13.25)","(5.0, 6.6, 5.475)","(5.0, 8.0, 7.410526315789474)","(10.0, 16.0, 11.909090909090908)"
11-01-2023 19:30:00.325106,"(3.2, 6.2, 5.75)","(6.5, 9.6, 9.375)","(21.0, 30.0, 18.0)","(14.0, 21.0, 17.25)","(6.0, 9.8, 8.257142857142858)","(12.0, 17.0, 13.25)","(5.0, 6.6, 5.475)","(5.0, 8.0, 7.410526315789474)","(10.0, 16.0, 11.909090909090908)"
11-01-2023 19:30:01.633294,"(3.2, 6.2, 5.75)","(6.5, 9.6, 9.375)","(21.0, 30.0, 22.5)","(14.0, 21.0, 17.25)","(6.0, 9.8, 8.257142857142858)","(12.0, 17.0, 13.142857142857142)","(5.0, 6.6, 5.85)","(5.0, 8.0, 7.410526315789474)","(10.0, 16.0, 12.464285714285715)"
11-01-2023 19:30:03.136078,"(3.2, 6.2, 5.75)","(6.5, 9.6, 9.375)","(21.0, 29.0, 25.75)","(14.0, 21.0, 17.25)","(6.0, 9.8, 8.333333333333334)","(12.0, 17.0, 14.0)","(5.0, 6.6, 5.742857142857142)","(5.0, 8.0, 7.410526315789474)","(10.0, 16.0, 13.0)"
11-01-2023 19:30:04.931779,"(3.2, 6.2, 5.75)","(6.5, 9.6, 8.85)","(21.0, 29.0, 25.75)","(14.0, 21.0, 17.25)","(6.0, 9.8, 8.466666666666667)","(12.0, 16.5, 14.0)","(5.0, 6.6, 5.742857142857142)","(5.0, 8.0, 7.410526315789474)","(10.0, 15.5, 12.8125)"
