,Break The Clouds,Zipping Vienna,Buster Banjo,Mandragora,Eskimo Fly,Whiskey Reef,Aston Zabbar,Aston Rozee
05-01-2023 17:08:09.665885,"(4.2, 7.2, 4.5285714285714285)","(3.2, 3.9, 3.059659090909091)","(3.5, 5.7, 3.9239130434782608)","(21.0, 60.0, 33.75)","(7.5, 16.5, 15.875)","(10.0, 13.0, 8.871794871794872)","(8.0, 16.0, 11.08)","(21.0, 55.0, 34.16666666666667)"
05-01-2023 17:08:10.812199,"(4.2, 7.2, 4.5285714285714285)","(3.2, 3.9, 3.059659090909091)","(3.5, 5.7, 3.9239130434782608)","(21.0, 60.0, 33.75)","(7.5, 16.5, 15.875)","(10.0, 13.0, 8.871794871794872)","(8.0, 16.0, 11.08)","(21.0, 55.0, 34.16666666666667)"
05-01-2023 17:08:11.929436,"(4.2, 7.2, 4.5285714285714285)","(3.2, 3.9, 3.059659090909091)","(3.5, 5.7, 3.9239130434782608)","(21.0, 60.0, 33.75)","(7.5, 16.5, 15.875)","(10.0, 13.0, 8.871794871794872)","(8.0, 16.0, 11.08)","(21.0, 55.0, 34.16666666666667)"
05-01-2023 17:08:13.113422,"(4.2, 7.2, 4.5285714285714285)","(3.2, 3.9, 3.059659090909091)","(3.5, 5.7, 3.9239130434782608)","(21.0, 60.0, 33.75)","(7.5, 16.5, 15.875)","(10.0, 13.0, 8.871794871794872)","(8.0, 16.0, 11.08)","(21.0, 55.0, 34.16666666666667)"
05-01-2023 17:08:14.146231,"(4.2, 7.2, 4.5285714285714285)","(3.2, 3.9, 3.059659090909091)","(3.5, 5.7, 3.9239130434782608)","(21.0, 60.0, 33.75)","(7.5, 16.5, 15.875)","(10.0, 13.0, 8.871794871794872)","(8.0, 16.0, 11.08)","(21.0, 55.0, 34.16666666666667)"
05-01-2023 17:08:15.336047,"(4.2, 7.2, 4.5285714285714285)","(3.2, 3.9, 3.059659090909091)","(3.5, 5.7, 3.9239130434782608)","(21.0, 60.0, 33.75)","(7.5, 16.5, 15.875)","(10.0, 13.0, 8.871794871794872)","(8.0, 16.0, 11.08)","(21.0, 55.0, 34.16666666666667)"
05-01-2023 17:08:16.508897,"(4.2, 7.2, 4.5285714285714285)","(3.2, 3.9, 3.059659090909091)","(3.5, 5.7, 3.9239130434782608)","(21.0, 60.0, 33.75)","(7.5, 16.5, 15.875)","(10.0, 13.0, 8.871794871794872)","(8.0, 16.0, 11.08)","(21.0, 55.0, 34.16666666666667)"
05-01-2023 17:08:17.610000,"(4.2, 7.2, 4.5285714285714285)","(3.2, 3.9, 3.059659090909091)","(3.5, 5.7, 3.9239130434782608)","(21.0, 60.0, 33.75)","(7.5, 16.5, 15.875)","(10.0, 13.0, 8.871794871794872)","(8.0, 16.0, 11.08)","(21.0, 55.0, 34.16666666666667)"
05-01-2023 17:08:18.761642,"(4.2, 7.2, 4.5285714285714285)","(3.2, 3.9, 3.059659090909091)","(3.5, 5.7, 3.9239130434782608)","(21.0, 60.0, 33.75)","(7.5, 16.5, 15.875)","(10.0, 13.0, 8.871794871794872)","(8.0, 16.0, 11.08)","(21.0, 55.0, 34.16666666666667)"
05-01-2023 17:08:19.857736,"(4.2, 7.2, 4.5285714285714285)","(3.2, 3.9, 3.059659090909091)","(3.5, 5.7, 3.9239130434782608)","(21.0, 60.0, 33.75)","(7.5, 16.5, 15.875)","(10.0, 13.0, 8.871794871794872)","(8.0, 16.0, 9.142857142857142)","(21.0, 55.0, 34.16666666666667)"
05-01-2023 17:08:21.115579,"(4.2, 7.2, 4.5285714285714285)","(3.2, 3.9, 3.059659090909091)","(3.5, 5.7, 3.9239130434782608)","(21.0, 60.0, 33.75)","(7.5, 16.5, 15.875)","(10.0, 13.0, 8.871794871794872)","(8.0, 16.0, 9.142857142857142)","(21.0, 55.0, 34.16666666666667)"
05-01-2023 17:08:22.345161,"(4.2, 7.2, 4.5285714285714285)","(3.2, 3.9, 3.059659090909091)","(3.5, 5.7, 3.9239130434782608)","(21.0, 60.0, 33.75)","(7.5, 16.5, 15.875)","(10.0, 13.0, 8.871794871794872)","(8.0, 16.0, 9.142857142857142)","(21.0, 55.0, 34.16666666666667)"
05-01-2023 17:08:23.519052,"(4.2, 7.2, 4.5285714285714285)","(3.2, 3.9, 3.059659090909091)","(3.5, 5.7, 3.9239130434782608)","(21.0, 60.0, 33.75)","(7.5, 16.5, 15.875)","(10.0, 13.0, 8.871794871794872)","(8.0, 16.0, 9.142857142857142)","(21.0, 55.0, 34.16666666666667)"
05-01-2023 17:08:24.723630,"(4.2, 7.2, 4.5285714285714285)","(3.2, 3.9, 3.059659090909091)","(3.5, 5.7, 3.9239130434782608)","(21.0, 60.0, 33.75)","(7.5, 16.5, 15.875)","(10.0, 13.0, 8.871794871794872)","(8.0, 16.0, 9.142857142857142)","(21.0, 55.0, 34.16666666666667)"
05-01-2023 17:08:25.905102,"(4.2, 7.2, 4.5285714285714285)","(3.2, 3.9, 3.059659090909091)","(3.5, 5.7, 3.9239130434782608)","(21.0, 60.0, 33.75)","(7.5, 16.5, 15.875)","(10.0, 13.0, 8.871794871794872)","(8.0, 16.0, 9.142857142857142)","(21.0, 55.0, 34.16666666666667)"
