,Appealing Road,Awesome Moon,Odina,Jumpin Jack Brass,Jubaslilballerina,Ellies At Windsor,S S Frontier Angel,Grey Flamingo,Van Hook,La Maddalena
07-01-2023 11:21:33.285792,"(12.0, 30.0, 27.2)","(26.0, 70.0, 60.5)","(12.0, 25.0, 21.0)","(2.4, 2.48, 2.373333333333333)","(19.0, 220.0, 155.33333333333334)","(16.0, 200.0, 127.0)","(31.0, 220.0, 134.0)","(12.0, 24.0, 22.1)","(3.2, 5.3, 4.890909090909091)","(5.5, 7.6, 7.4399999999999995)"
07-01-2023 11:21:34.468546,"(12.0, 30.0, 27.2)","(26.0, 70.0, 60.5)","(12.0, 25.0, 23.833333333333336)","(2.4, 2.48, 2.373333333333333)","(19.0, 220.0, 155.33333333333334)","(16.0, 200.0, 159.55555555555554)","(31.0, 220.0, 134.0)","(12.0, 24.0, 22.384615384615387)","(3.2, 5.3, 4.890909090909091)","(5.5, 7.6, 7.4399999999999995)"
07-01-2023 11:21:35.669581,"(12.0, 30.0, 24.6)","(26.0, 70.0, 60.5)","(12.0, 25.0, 23.833333333333336)","(2.4, 2.48, 2.373333333333333)","(19.0, 220.0, 155.33333333333334)","(16.0, 200.0, 159.44444444444446)","(31.0, 220.0, 134.0)","(12.0, 24.0, 22.18181818181818)","(3.2, 5.3, 4.890909090909091)","(5.5, 7.6, 7.999999999999999)"
07-01-2023 11:21:36.900398,"(12.0, 30.0, 24.6)","(26.0, 70.0, 60.5)","(12.0, 25.0, 24.115384615384613)","(2.4, 2.48, 2.373333333333333)","(19.0, 220.0, 155.33333333333334)","(16.0, 200.0, 25.75)","(31.0, 220.0, 134.0)","(12.0, 24.0, 18.75)","(3.2, 5.3, 4.890909090909091)","(5.5, 8.2, 8.3)"
07-01-2023 11:21:38.209713,"(12.0, 30.0, 24.6)","(26.0, 70.0, 60.5)","(12.0, 25.0, 23.916666666666664)","(2.4, 2.48, 2.373333333333333)","(19.0, 220.0, 155.33333333333334)","(16.0, 34.0, 25.5)","(31.0, 220.0, 134.0)","(12.0, 24.0, 20.5)","(3.2, 5.3, 4.890909090909091)","(5.5, 9.2, 8.3)"
07-01-2023 11:21:39.419014,"(12.0, 30.0, 24.6)","(26.0, 70.0, 60.5)","(12.0, 25.0, 23.916666666666664)","(2.4, 2.48, 2.373333333333333)","(19.0, 220.0, 155.33333333333334)","(16.0, 34.0, 25.5)","(31.0, 220.0, 134.0)","(12.0, 24.0, 20.5)","(3.2, 5.3, 4.890909090909091)","(5.5, 9.2, 8.3)"
07-01-2023 11:21:40.556340,"(12.0, 30.0, 24.6)","(26.0, 70.0, 60.5)","(12.0, 25.0, 23.916666666666664)","(2.4, 2.48, 2.373333333333333)","(19.0, 220.0, 155.33333333333334)","(16.0, 34.0, 25.5)","(31.0, 220.0, 134.0)","(12.0, 24.0, 20.5)","(3.2, 5.3, 4.890909090909091)","(5.5, 9.2, 7.7)"
07-01-2023 11:21:41.850791,"(12.0, 30.0, 24.6)","(26.0, 70.0, 60.5)","(12.0, 25.0, 23.916666666666664)","(2.4, 2.48, 2.373333333333333)","(19.0, 220.0, 155.33333333333334)","(16.0, 34.0, 25.5)","(31.0, 220.0, 134.0)","(12.0, 24.0, 20.5)","(3.2, 5.3, 4.890909090909091)","(5.5, 9.2, 7.7)"
07-01-2023 11:21:43.098634,"(12.0, 30.0, 24.6)","(26.0, 70.0, 60.5)","(12.0, 25.0, 23.916666666666664)","(2.4, 2.48, 2.373333333333333)","(19.0, 220.0, 155.33333333333334)","(16.0, 34.0, 25.5)","(31.0, 220.0, 134.0)","(12.0, 24.0, 20.5)","(3.2, 5.3, 4.890909090909091)","(5.5, 9.2, 7.7)"
07-01-2023 11:21:44.334163,"(12.0, 30.0, 24.6)","(26.0, 70.0, 60.5)","(12.0, 25.0, 23.916666666666664)","(2.4, 2.48, 2.373333333333333)","(19.0, 220.0, 155.33333333333334)","(16.0, 34.0, 25.5)","(31.0, 220.0, 134.0)","(12.0, 24.0, 20.5)","(3.2, 5.3, 4.890909090909091)","(5.5, 9.2, 7.7)"
07-01-2023 11:21:45.598319,"(12.0, 30.0, 24.6)","(26.0, 70.0, 58.0)","(12.0, 25.0, 23.916666666666664)","(2.4, 2.48, 2.373333333333333)","(19.0, 220.0, 155.33333333333334)","(16.0, 34.0, 25.5)","(31.0, 220.0, 134.0)","(12.0, 24.0, 20.5)","(3.2, 5.3, 4.890909090909091)","(5.5, 9.2, 7.7)"
07-01-2023 11:21:47.173001,"(12.0, 30.0, 24.6)","(26.0, 70.0, 58.0)","(12.0, 25.0, 23.916666666666664)","(2.4, 2.48, 2.373333333333333)","(19.0, 220.0, 155.33333333333334)","(16.0, 34.0, 25.5)","(31.0, 220.0, 134.0)","(12.0, 24.0, 20.5)","(3.2, 5.3, 4.890909090909091)","(5.5, 9.2, 7.7)"
07-01-2023 11:21:48.619461,"(12.0, 30.0, 24.6)","(26.0, 70.0, 58.0)","(12.0, 25.0, 23.916666666666664)","(2.4, 2.48, 2.373333333333333)","(19.0, 220.0, 155.33333333333334)","(16.0, 34.0, 25.5)","(31.0, 220.0, 134.0)","(12.0, 24.0, 20.5)","(3.2, 5.3, 4.890909090909091)","(5.5, 9.2, 7.7)"
07-01-2023 11:21:50.000742,"(14.0, 30.0, 24.6)","(31.0, 70.0, 58.0)","(14.0, 25.0, 23.916666666666664)","(2.3, 2.48, 2.373333333333333)","(21.0, 220.0, 155.33333333333334)","(19.0, 34.0, 25.5)","(41.0, 220.0, 134.0)","(11.0, 24.0, 20.5)","(3.1, 5.3, 4.890909090909091)","(5.5, 9.2, 7.7)"
