,Clearly Regal,Dont Forget Dad,Wonfontein,Razzama,Killzy,Nashian,Prince Of Troy,Clay Pan Boogie,Harry And The Duke
09-01-2023 14:25:56.464167,"(20.0, 28.0, 25.5)","(10.0, 20.0, 17.75)","(14.0, 21.0, 18.25)","(1.85, 2.14, 2.104047619047619)","(3.4, 4.1, 3.6816326530612247)","(11.0, 21.0, 18.857142857142858)","(51.0, 220.0, 147.14285714285714)","(9.0, 26.0, 25.210526315789473)","(101.0, 220.0, 178.33333333333331)"
09-01-2023 14:25:57.747325,"(20.0, 28.0, 25.5)","(10.0, 20.0, 17.75)","(14.0, 21.0, 18.25)","(1.85, 2.14, 2.104047619047619)","(3.4, 4.1, 3.6816326530612247)","(11.0, 21.0, 18.884615384615383)","(51.0, 220.0, 147.14285714285714)","(9.0, 26.0, 25.210526315789473)","(101.0, 220.0, 157.5)"
09-01-2023 14:25:59.100975,"(20.0, 28.0, 25.5)","(10.0, 20.0, 17.75)","(14.0, 21.0, 18.25)","(1.85, 2.14, 2.104047619047619)","(3.4, 4.1, 3.6816326530612247)","(11.0, 21.0, 18.884615384615383)","(51.0, 220.0, 147.14285714285714)","(9.0, 26.0, 25.210526315789473)","(101.0, 220.0, 157.5)"
09-01-2023 14:26:00.382518,"(20.0, 28.0, 25.5)","(10.0, 20.0, 17.75)","(14.0, 21.0, 18.25)","(1.85, 2.14, 2.104047619047619)","(3.4, 4.1, 3.6816326530612247)","(11.0, 21.0, 17.875)","(51.0, 220.0, 147.14285714285714)","(9.0, 26.0, 25.210526315789473)","(101.0, 220.0, 193.23076923076923)"
09-01-2023 14:26:01.605370,"(20.0, 28.0, 25.5)","(10.0, 20.0, 16.25)","(14.0, 21.0, 18.25)","(1.85, 2.14, 2.104047619047619)","(3.4, 4.1, 3.6816326530612247)","(11.0, 21.0, 19.69047619047619)","(51.0, 220.0, 147.14285714285714)","(9.0, 26.0, 25.210526315789473)","(101.0, 220.0, 171.42857142857142)"
09-01-2023 14:26:02.864780,"(20.0, 28.0, 25.5)","(10.0, 20.0, 16.25)","(14.0, 21.0, 18.25)","(1.85, 2.14, 2.104047619047619)","(3.4, 4.1, 3.6816326530612247)","(11.0, 21.0, 19.69047619047619)","(51.0, 220.0, 147.14285714285714)","(9.0, 26.0, 25.210526315789473)","(101.0, 220.0, 171.42857142857142)"
09-01-2023 14:26:04.121137,"(20.0, 28.0, 25.5)","(10.0, 20.0, 16.25)","(14.0, 21.0, 18.25)","(1.85, 2.14, 2.104047619047619)","(3.4, 4.1, 3.6816326530612247)","(11.0, 21.0, 19.69047619047619)","(51.0, 220.0, 127.27272727272728)","(9.0, 26.0, 25.210526315789473)","(101.0, 220.0, 166.0)"
09-01-2023 14:26:05.406302,"(20.0, 28.0, 25.5)","(10.0, 20.0, 16.25)","(14.0, 21.0, 18.25)","(1.85, 2.14, 2.104047619047619)","(3.4, 4.1, 3.6816326530612247)","(11.0, 21.0, 19.69047619047619)","(51.0, 220.0, 127.27272727272728)","(9.0, 26.0, 25.210526315789473)","(101.0, 220.0, 152.5)"
09-01-2023 14:26:06.701696,"(20.0, 28.0, 25.5)","(10.0, 20.0, 16.25)","(14.0, 21.0, 18.25)","(1.85, 2.14, 2.104047619047619)","(3.4, 4.1, 3.6816326530612247)","(11.0, 21.0, 19.69047619047619)","(51.0, 220.0, 127.27272727272728)","(9.0, 26.0, 25.210526315789473)","(101.0, 220.0, 152.5)"
09-01-2023 14:26:07.984498,"(20.0, 28.0, 25.5)","(10.0, 20.0, 16.25)","(14.0, 21.0, 18.25)","(1.85, 2.14, 2.104047619047619)","(3.4, 4.1, 3.6816326530612247)","(11.0, 21.0, 19.69047619047619)","(51.0, 220.0, 127.27272727272728)","(9.0, 26.0, 25.210526315789473)","(101.0, 220.0, 152.5)"
09-01-2023 14:26:09.222970,"(20.0, 28.0, 25.5)","(10.0, 20.0, 16.25)","(14.0, 21.0, 18.25)","(1.85, 2.14, 2.104047619047619)","(3.4, 4.1, 3.6816326530612247)","(11.0, 21.0, 19.69047619047619)","(51.0, 220.0, 127.27272727272728)","(9.0, 26.0, 25.210526315789473)","(101.0, 220.0, 152.5)"
09-01-2023 14:26:10.499617,"(20.0, 28.0, 25.5)","(10.0, 20.0, 16.25)","(14.0, 21.0, 18.25)","(1.85, 2.14, 2.104047619047619)","(3.4, 4.1, 3.6816326530612247)","(11.0, 21.0, 19.69047619047619)","(51.0, 220.0, 127.27272727272728)","(9.0, 26.0, 25.210526315789473)","(101.0, 220.0, 175.0)"
09-01-2023 14:26:11.762198,"(20.0, 28.0, 25.5)","(10.0, 20.0, 16.25)","(14.0, 21.0, 18.25)","(1.85, 2.14, 2.104047619047619)","(3.4, 4.1, 3.6816326530612247)","(11.0, 21.0, 19.69047619047619)","(51.0, 220.0, 127.27272727272728)","(9.0, 26.0, 25.210526315789473)","(101.0, 220.0, 175.0)"
09-01-2023 14:26:13.022441,"(20.0, 28.0, 25.5)","(10.0, 20.0, 16.25)","(14.0, 21.0, 18.25)","(1.85, 2.14, 2.104047619047619)","(3.4, 4.1, 3.6816326530612247)","(11.0, 21.0, 19.69047619047619)","(51.0, 220.0, 127.27272727272728)","(9.0, 26.0, 25.210526315789473)","(101.0, 220.0, 175.0)"
09-01-2023 14:26:14.253696,"(20.0, 28.0, 25.5)","(10.0, 20.0, 16.25)","(14.0, 21.0, 18.25)","(1.85, 2.14, 2.104047619047619)","(3.4, 4.1, 3.6816326530612247)","(11.0, 21.0, 19.69047619047619)","(51.0, 220.0, 127.27272727272728)","(9.0, 26.0, 25.210526315789473)","(101.0, 220.0, 175.0)"
09-01-2023 14:26:15.585740,"(20.0, 28.0, 25.5)","(10.0, 20.0, 16.25)","(14.0, 21.0, 18.25)","(1.85, 2.14, 2.104047619047619)","(3.4, 4.1, 3.6816326530612247)","(11.0, 21.0, 19.69047619047619)","(51.0, 220.0, 127.27272727272728)","(9.0, 26.0, 25.210526315789473)","(101.0, 220.0, 175.0)"
09-01-2023 14:26:16.929140,"(20.0, 28.0, 25.5)","(10.0, 20.0, 16.25)","(14.0, 21.0, 18.25)","(1.85, 2.14, 2.104047619047619)","(3.4, 4.1, 3.6816326530612247)","(11.0, 21.0, 19.69047619047619)","(51.0, 220.0, 127.27272727272728)","(9.0, 26.0, 25.210526315789473)","(101.0, 220.0, 175.0)"
09-01-2023 14:26:18.254818,"(20.0, 28.0, 25.5)","(10.0, 20.0, 16.25)","(14.0, 21.0, 18.25)","(1.85, 2.14, 2.104047619047619)","(3.4, 4.1, 3.6816326530612247)","(11.0, 21.0, 19.69047619047619)","(51.0, 220.0, 127.27272727272728)","(9.0, 26.0, 25.210526315789473)","(101.0, 220.0, 175.0)"
09-01-2023 14:26:19.532516,"(20.0, 28.0, 25.5)","(10.0, 20.0, 16.25)","(14.0, 21.0, 18.25)","(1.85, 2.14, 2.104047619047619)","(3.4, 4.1, 3.6816326530612247)","(11.0, 21.0, 19.69047619047619)","(51.0, 220.0, 127.27272727272728)","(9.0, 26.0, 25.210526315789473)","(101.0, 220.0, 175.0)"
09-01-2023 14:26:20.782154,"(20.0, 28.0, 25.5)","(10.0, 20.0, 16.25)","(14.0, 21.0, 18.25)","(1.85, 2.14, 2.104047619047619)","(3.4, 4.1, 3.6816326530612247)","(11.0, 21.0, 19.69047619047619)","(51.0, 220.0, 127.27272727272728)","(9.0, 26.0, 25.210526315789473)","(101.0, 220.0, 175.0)"
09-01-2023 14:26:22.002948,"(20.0, 28.0, 25.5)","(10.0, 20.0, 16.25)","(14.0, 21.0, 18.25)","(1.85, 2.14, 2.104047619047619)","(3.4, 4.1, 3.6816326530612247)","(11.0, 21.0, 19.69047619047619)","(51.0, 220.0, 127.27272727272728)","(9.0, 26.0, 25.0625)","(101.0, 220.0, 175.0)"
09-01-2023 14:26:23.374861,"(20.0, 28.0, 25.5)","(10.0, 20.0, 16.25)","(14.0, 21.0, 18.25)","(1.85, 2.14, 2.104047619047619)","(3.4, 4.1, 3.6816326530612247)","(11.0, 21.0, 19.69047619047619)","(51.0, 220.0, 127.27272727272728)","(9.0, 26.0, 25.0625)","(101.0, 220.0, 175.0)"
09-01-2023 14:26:24.826423,"(20.0, 28.0, 25.5)","(10.0, 20.0, 16.25)","(14.0, 21.0, 18.25)","(1.85, 2.14, 2.104047619047619)","(3.4, 4.1, 3.6816326530612247)","(11.0, 21.0, 19.69047619047619)","(51.0, 220.0, 127.27272727272728)","(9.0, 26.0, 25.0625)","(101.0, 220.0, 175.0)"
