,Fast Foils,Four Outlaws,Badonkidonk,Fifth Husband,Bossy Britches,West Cliff,Red Hot Chillypins,Denominator,Haleakala
04-01-2023 14:34:47.483362,"(31.0, 150.0, 94.36363636363637)","(2.9, 4.3, 4.253846153846154)","(2.15, 2.36, 2.3569811320754717)","(12.0, 21.0, 17.0)","(6.0, 9.2, 8.866666666666665)","(7.5, 10.0, 9.876923076923077)","(21.0, 40.0, 34.666666666666664)","(101.0, 260.0, 193.33333333333334)","(101.0, 180.0, 147.30769230769232)"
04-01-2023 14:34:48.800401,"(31.0, 150.0, 94.36363636363637)","(2.9, 4.2, 3.9894736842105267)","(2.15, 2.36, 2.3569811320754717)","(12.0, 21.0, 17.0)","(6.0, 9.2, 8.866666666666665)","(7.5, 10.0, 9.876923076923077)","(21.0, 40.0, 34.666666666666664)","(101.0, 260.0, 193.33333333333334)","(101.0, 180.0, 147.30769230769232)"
04-01-2023 14:34:50.080493,"(31.0, 150.0, 94.36363636363637)","(2.9, 4.2, 3.9894736842105267)","(2.15, 2.36, 2.3569811320754717)","(12.0, 21.0, 18.0)","(6.0, 9.2, 8.866666666666665)","(7.5, 10.0, 9.876923076923077)","(21.0, 40.0, 34.666666666666664)","(101.0, 260.0, 193.33333333333334)","(101.0, 180.0, 113.33333333333333)"
04-01-2023 14:34:51.394157,"(31.0, 140.0, 124.66666666666667)","(2.9, 4.2, 4.158333333333333)","(2.15, 2.36, 2.3569811320754717)","(12.0, 20.0, 16.666666666666668)","(6.0, 9.2, 8.866666666666665)","(7.5, 10.0, 9.876923076923077)","(21.0, 40.0, 34.666666666666664)","(101.0, 260.0, 193.33333333333334)","(101.0, 180.0, 113.33333333333333)"
04-01-2023 14:34:52.707069,"(31.0, 130.0, 75.33333333333333)","(2.9, 4.2, 4.25)","(2.15, 2.36, 2.3569811320754717)","(12.0, 20.0, 16.666666666666668)","(6.0, 9.2, 8.866666666666665)","(7.5, 10.0, 9.876923076923077)","(21.0, 40.0, 34.666666666666664)","(101.0, 260.0, 193.33333333333334)","(101.0, 180.0, 113.33333333333333)"
04-01-2023 14:34:54.037859,"(31.0, 130.0, 61.666666666666664)","(2.9, 4.3, 4.257142857142857)","(2.15, 2.36, 2.3569811320754717)","(12.0, 20.0, 16.666666666666668)","(6.0, 9.2, 8.866666666666665)","(7.5, 10.0, 9.733333333333333)","(21.0, 40.0, 34.666666666666664)","(101.0, 260.0, 193.33333333333334)","(101.0, 180.0, 113.33333333333333)"
04-01-2023 14:34:55.303821,"(31.0, 130.0, 61.666666666666664)","(2.9, 4.3, 4.26)","(2.15, 2.36, 2.3569811320754717)","(12.0, 20.0, 16.666666666666668)","(6.0, 9.2, 8.866666666666665)","(7.5, 10.0, 9.733333333333333)","(21.0, 40.0, 34.666666666666664)","(101.0, 260.0, 193.33333333333334)","(101.0, 180.0, 113.33333333333333)"
04-01-2023 14:34:56.581908,"(31.0, 130.0, 61.666666666666664)","(2.9, 4.3, 4.26)","(2.15, 2.36, 2.3569811320754717)","(12.0, 20.0, 16.666666666666668)","(6.0, 9.2, 8.866666666666665)","(7.5, 10.0, 9.733333333333333)","(21.0, 40.0, 34.666666666666664)","(101.0, 260.0, 193.33333333333334)","(101.0, 180.0, 113.33333333333333)"
04-01-2023 14:34:57.796786,"(31.0, 130.0, 61.666666666666664)","(2.9, 4.3, 4.26)","(2.15, 2.36, 2.3569811320754717)","(12.0, 20.0, 16.666666666666668)","(6.0, 9.2, 8.866666666666665)","(7.5, 10.0, 9.818181818181818)","(21.0, 40.0, 34.666666666666664)","(101.0, 260.0, 193.33333333333334)","(101.0, 180.0, 113.33333333333333)"
04-01-2023 14:34:59.049248,"(31.0, 130.0, 61.666666666666664)","(2.9, 4.3, 4.2846153846153845)","(2.15, 2.36, 2.3569811320754717)","(12.0, 20.0, 16.666666666666668)","(6.0, 9.2, 8.866666666666665)","(7.5, 10.0, 9.818181818181818)","(21.0, 40.0, 34.666666666666664)","(101.0, 260.0, 193.33333333333334)","(101.0, 180.0, 113.33333333333333)"
04-01-2023 14:35:00.283265,"(31.0, 130.0, 61.666666666666664)","(2.9, 4.3, 4.284210526315789)","(2.15, 2.38, 2.3706896551724137)","(12.0, 20.0, 16.666666666666668)","(6.0, 9.2, 8.866666666666665)","(7.5, 10.0, 9.818181818181818)","(21.0, 40.0, 34.666666666666664)","(101.0, 260.0, 193.33333333333334)","(101.0, 180.0, 113.33333333333333)"
04-01-2023 14:35:01.396686,"(31.0, 130.0, 59.714285714285715)","(2.9, 4.3, 4.284210526315789)","(2.15, 2.38, 2.368196721311475)","(12.0, 20.0, 16.625)","(6.0, 9.2, 8.866666666666665)","(7.5, 10.0, 9.818181818181818)","(21.0, 40.0, 34.666666666666664)","(101.0, 260.0, 193.33333333333334)","(101.0, 180.0, 113.33333333333333)"
04-01-2023 14:35:02.615844,"(31.0, 120.0, 58.285714285714285)","(2.9, 4.3, 4.284210526315789)","(2.15, 2.38, 2.368196721311475)","(12.0, 20.0, 17.545454545454547)","(6.0, 9.2, 8.866666666666665)","(7.5, 10.0, 9.818181818181818)","(21.0, 40.0, 34.666666666666664)","(101.0, 260.0, 193.33333333333334)","(101.0, 180.0, 113.33333333333333)"
04-01-2023 14:35:03.742845,"(31.0, 120.0, 58.285714285714285)","(2.9, 4.3, 4.284210526315789)","(2.15, 2.38, 2.368196721311475)","(12.0, 20.0, 17.545454545454547)","(6.0, 9.2, 8.977777777777778)","(7.5, 10.0, 9.7)","(21.0, 40.0, 34.666666666666664)","(101.0, 260.0, 193.33333333333334)","(101.0, 180.0, 113.33333333333333)"
