,Quincee Bale,Heffernan Bale,Rita Bale,Settlement Day,Tails Of Woe,Arts Inferno
07-01-2023 20:26:07.834193,"(3.3, 5.8, 3.56875)","(2.2, 3.15, 2.4655555555555555)","(5.0, 7.8, 6.3315789473684205)","(5.0, 8.2, 8.095238095238095)","(17.0, 50.0, 27.5)","(18.0, 55.0, 26.2)"
07-01-2023 20:26:08.942889,"(3.3, 5.8, 3.56875)","(2.2, 3.15, 2.4655555555555555)","(5.0, 7.8, 6.3315789473684205)","(5.0, 8.2, 8.095238095238095)","(17.0, 50.0, 27.5)","(18.0, 55.0, 26.2)"
07-01-2023 20:26:10.058087,"(3.3, 5.8, 3.56875)","(2.2, 3.15, 2.4655555555555555)","(5.0, 7.8, 6.3315789473684205)","(5.0, 8.2, 8.095238095238095)","(17.0, 50.0, 27.5)","(18.0, 55.0, 26.2)"
07-01-2023 20:26:11.190839,"(3.3, 5.8, 3.56875)","(2.2, 3.15, 2.4655555555555555)","(5.0, 7.8, 6.3315789473684205)","(5.0, 8.2, 8.095238095238095)","(17.0, 50.0, 27.5)","(18.0, 55.0, 26.2)"
07-01-2023 20:26:12.251639,"(3.3, 5.8, 3.56875)","(2.2, 3.15, 2.4655555555555555)","(5.0, 7.8, 6.3315789473684205)","(5.0, 8.2, 8.095238095238095)","(17.0, 50.0, 27.5)","(18.0, 55.0, 26.2)"
07-01-2023 20:26:13.434601,"(3.3, 5.8, 3.56875)","(2.2, 3.15, 2.4655555555555555)","(5.0, 7.8, 6.3315789473684205)","(5.0, 8.2, 8.095238095238095)","(17.0, 50.0, 27.5)","(18.0, 55.0, 26.2)"
07-01-2023 20:26:14.671882,"(3.3, 5.8, 3.56875)","(2.2, 3.15, 2.4655555555555555)","(5.0, 7.8, 6.3315789473684205)","(5.0, 8.2, 8.095238095238095)","(17.0, 50.0, 27.5)","(18.0, 55.0, 26.2)"
07-01-2023 20:26:15.864425,"(3.3, 5.8, 3.56875)","(2.2, 3.15, 2.4655555555555555)","(5.0, 7.8, 6.3315789473684205)","(5.0, 8.2, 8.095238095238095)","(17.0, 50.0, 27.5)","(18.0, 55.0, 26.2)"
07-01-2023 20:26:16.917656,"(3.3, 5.8, 3.56875)","(2.2, 3.15, 2.4655555555555555)","(5.0, 7.8, 6.3315789473684205)","(5.0, 8.2, 8.095238095238095)","(17.0, 50.0, 27.5)","(18.0, 55.0, 26.2)"
07-01-2023 20:26:18.120880,"(3.3, 5.8, 3.56875)","(2.2, 3.15, 2.4655555555555555)","(5.0, 7.8, 6.3315789473684205)","(5.0, 8.2, 8.095238095238095)","(17.0, 50.0, 27.5)","(18.0, 55.0, 26.2)"
