,Fake Magic,Taspinaro,Right Hook,Madetobebroken,Labby Rock,Tennessee Beach,Tricky Mikki,Snowbird,Destiny Force
11-01-2023 13:33:37.479271,"(2.2, 2.92, 2.8107142857142855)","(31.0, 60.0, 51.33333333333333)","(5.5, 7.8, 7.5)","(10.0, 19.5, 18.3)","(14.0, 24.0, 23.470588235294116)","(12.0, 22.0, 19.42857142857143)","(3.2, 3.55, 3.5393617021276595)","(31.0, 50.0, 47.2)","(61.0, 140.0, 110.0)"
11-01-2023 13:33:38.678253,"(2.2, 2.92, 2.8107142857142855)","(31.0, 60.0, 51.33333333333333)","(5.5, 7.8, 7.5)","(10.0, 19.5, 18.3)","(14.0, 24.0, 23.5)","(12.0, 22.0, 18.11764705882353)","(3.2, 3.55, 3.5393617021276595)","(31.0, 50.0, 47.2)","(61.0, 140.0, 89.375)"
11-01-2023 13:33:39.863744,"(2.2, 2.92, 2.8105263157894735)","(31.0, 55.0, 44.5)","(5.5, 7.8, 7.5)","(10.0, 19.5, 18.3)","(14.0, 24.0, 23.5)","(12.0, 21.0, 18.11764705882353)","(3.2, 3.55, 3.5393617021276595)","(31.0, 50.0, 47.2)","(61.0, 130.0, 89.375)"
11-01-2023 13:33:41.088566,"(2.2, 2.92, 2.8105263157894735)","(31.0, 55.0, 44.5)","(5.5, 7.8, 7.5)","(10.0, 19.5, 18.3)","(14.0, 24.0, 23.5)","(12.0, 21.0, 18.11764705882353)","(3.2, 3.55, 3.5393617021276595)","(31.0, 50.0, 47.2)","(61.0, 130.0, 89.375)"
11-01-2023 13:33:42.205587,"(2.2, 2.92, 2.8105263157894735)","(31.0, 55.0, 44.5)","(5.5, 7.8, 7.5)","(10.0, 19.5, 18.3)","(14.0, 24.0, 23.5)","(12.0, 21.0, 18.11764705882353)","(3.2, 3.55, 3.5393617021276595)","(31.0, 50.0, 47.2)","(61.0, 130.0, 89.375)"
11-01-2023 13:33:43.337615,"(2.2, 2.92, 2.8105263157894735)","(31.0, 55.0, 44.5)","(5.5, 7.8, 7.5)","(10.0, 19.5, 18.3)","(14.0, 24.0, 23.5)","(12.0, 21.0, 18.11764705882353)","(3.2, 3.55, 3.5393617021276595)","(31.0, 50.0, 47.2)","(61.0, 130.0, 89.375)"
11-01-2023 13:33:44.483290,"(2.2, 2.92, 2.8105263157894735)","(31.0, 55.0, 44.5)","(5.5, 7.8, 7.5)","(10.0, 19.5, 18.3)","(14.0, 24.0, 23.5)","(12.0, 21.0, 18.11764705882353)","(3.2, 3.55, 3.5393617021276595)","(31.0, 50.0, 47.2)","(61.0, 130.0, 89.375)"
11-01-2023 13:33:45.640178,"(2.2, 2.92, 2.8105263157894735)","(31.0, 55.0, 44.5)","(5.5, 7.8, 7.5)","(10.0, 19.5, 18.3)","(14.0, 24.0, 23.5)","(12.0, 21.0, 18.11764705882353)","(3.2, 3.55, 3.5393617021276595)","(31.0, 50.0, 47.2)","(61.0, 130.0, 89.375)"
11-01-2023 13:33:46.812639,"(2.2, 2.92, 2.8105263157894735)","(31.0, 55.0, 44.5)","(5.5, 7.8, 7.5)","(10.0, 19.5, 18.3)","(14.0, 24.0, 23.5)","(12.0, 21.0, 18.11764705882353)","(3.2, 3.55, 3.5393617021276595)","(31.0, 50.0, 47.2)","(61.0, 130.0, 89.375)"
11-01-2023 13:33:47.887374,"(2.2, 2.92, 2.8105263157894735)","(31.0, 55.0, 44.5)","(5.5, 7.8, 7.5)","(10.0, 19.5, 18.3)","(14.0, 24.0, 23.5)","(12.0, 21.0, 19.25)","(3.2, 3.55, 3.5393617021276595)","(31.0, 50.0, 47.2)","(61.0, 130.0, 89.375)"
