,Copy Cat,Solar Circles,Victa Makayla,Aston Chaffy,Gemtree Mercury
16-12-2022 14:00:10.063505,"(4.2, 5.3, 5.128571428571428)","(3.9, 4.7, 4.65)","(9.0, 14.0, 13.483870967741936)","(3.3, 4.0, 3.9641025641025642)","(3.6, 4.2, 3.9846153846153847)"
16-12-2022 14:00:11.003392,"(4.2, 5.3, 5.07)","(3.9, 4.7, 4.5375)","(9.0, 14.0, 13.384615384615385)","(3.3, 4.0, 3.8555555555555556)","(3.6, 4.2, 3.961904761904762)"
16-12-2022 14:00:11.945461,"(4.2, 5.2, 5.0285714285714285)","(3.9, 4.7, 4.5375)","(9.0, 14.0, 13.727272727272727)","(3.3, 3.95, 3.841304347826087)","(3.6, 4.2, 3.965625)"
16-12-2022 14:00:12.797900,"(4.2, 5.2, 4.933333333333334)","(3.9, 4.7, 4.555555555555556)","(9.0, 14.0, 13.727272727272727)","(3.3, 3.95, 3.841304347826087)","(3.6, 4.2, 3.965625)"
16-12-2022 14:00:13.705031,"(4.2, 5.2, 4.9375)","(3.9, 4.5, 4.480645161290322)","(9.0, 14.0, 13.727272727272727)","(3.3, 3.95, 3.783333333333333)","(3.6, 4.3, 4.088235294117647)"
16-12-2022 14:00:14.690816,"(4.2, 5.2, 4.96)","(3.9, 4.5, 4.45)","(9.0, 14.0, 14.4)","(3.3, 3.95, 3.8785714285714286)","(3.6, 4.3, 4.107142857142857)"
16-12-2022 14:00:15.610110,"(4.2, 5.0, 4.805298013245033)","(3.9, 4.5, 4.45)","(9.0, 14.5, 14.4)","(3.3, 3.95, 3.8785714285714286)","(3.6, 4.3, 4.115384615384615)"
16-12-2022 14:00:16.494108,"(4.2, 5.0, 4.806106870229008)","(3.9, 4.5, 4.45)","(9.0, 14.5, 14.4)","(3.3, 3.95, 3.8973684210526316)","(3.5, 4.3, 4.083333333333333)"
16-12-2022 14:00:17.483322,"(4.2, 5.0, 4.820618556701031)","(3.9, 4.5, 4.433333333333334)","(9.0, 15.0, 14.833333333333334)","(3.3, 3.95, 3.938636363636364)","(3.5, 4.3, 4.075)"
16-12-2022 14:00:18.498539,"(4.2, 5.0, 4.85)","(3.9, 4.5, 4.464705882352941)","(9.0, 15.0, 14.941176470588236)","(3.3, 3.95, 3.940566037735849)","(3.5, 4.3, 4.083333333333333)"
16-12-2022 14:00:19.375885,"(4.2, 5.0, 4.980645161290322)","(3.9, 4.5, 4.368)","(9.0, 15.0, 14.941176470588236)","(3.3, 3.95, 3.940566037735849)","(3.5, 4.3, 4.083333333333333)"
16-12-2022 14:00:20.299059,"(4.2, 5.0, 4.98)","(3.9, 4.5, 4.392)","(9.0, 15.0, 14.941176470588236)","(3.3, 3.95, 3.9272727272727272)","(3.5, 4.3, 4.115384615384615)"
16-12-2022 14:00:21.212093,"(4.2, 5.0, 4.98)","(3.9, 4.5, 4.392)","(9.0, 15.0, 14.928571428571429)","(3.3, 3.95, 3.8785714285714286)","(3.5, 4.3, 4.115384615384615)"
16-12-2022 14:00:22.130039,"(4.2, 5.1, 4.954545454545455)","(3.9, 4.5, 4.4361702127659575)","(9.0, 15.0, 14.61111111111111)","(3.3, 3.95, 3.9430167597765364)","(3.5, 4.3, 4.125)"
16-12-2022 14:00:23.028129,"(4.2, 5.1, 4.977777777777778)","(3.9, 4.5, 4.46)","(9.0, 15.0, 14.61111111111111)","(3.3, 3.8, 3.7668341708542714)","(3.5, 4.3, 4.134146341463414)"
16-12-2022 14:00:24.032137,"(4.2, 5.1, 5.04)","(3.9, 4.5, 4.46)","(9.0, 15.0, 14.61111111111111)","(3.3, 3.8, 3.7580786026200874)","(3.5, 4.3, 4.151162790697674)"
16-12-2022 14:00:24.978039,"(4.2, 5.2, 4.987500000000001)","(3.9, 4.5, 4.38)","(9.0, 15.0, 14.658536585365853)","(3.3, 3.8, 3.757918552036199)","(3.5, 4.3, 4.139285714285714)"
16-12-2022 14:00:26.041514,"(4.2, 5.2, 4.984)","(3.9, 4.5, 4.384615384615385)","(9.0, 15.0, 12.522727272727273)","(3.3, 3.8, 3.7261904761904763)","(3.5, 4.3, 4.1536585365853655)"
16-12-2022 14:00:27.150809,"(4.2, 5.2, 5.056521739130435)","(3.9, 4.5, 4.342105263157895)","(9.0, 13.0, 12.572916666666666)","(3.3, 3.8, 3.7231404958677685)","(3.5, 4.3, 4.2081967213114755)"
16-12-2022 14:00:28.184688,"(4.2, 5.2, 5.042857142857143)","(3.9, 4.5, 4.342105263157895)","(9.0, 13.0, 12.572916666666666)","(3.3, 3.8, 3.7231404958677685)","(3.5, 4.3, 4.21)"
16-12-2022 14:00:29.174734,"(4.2, 5.3, 5.067741935483871)","(3.9, 4.5, 4.323529411764706)","(9.0, 13.0, 12.572916666666666)","(3.3, 3.8, 3.7231404958677685)","(3.5, 4.3, 4.21578947368421)"
16-12-2022 14:00:30.217347,"(4.2, 5.3, 5.067741935483871)","(3.9, 4.5, 4.323529411764706)","(9.0, 13.5, 13.0)","(3.3, 3.8, 3.716393442622951)","(3.5, 4.3, 4.211864406779661)"
16-12-2022 14:00:31.265741,"(4.2, 5.3, 5.1)","(3.9, 4.5, 4.323529411764706)","(9.0, 13.5, 13.8125)","(3.3, 3.8, 3.701923076923077)","(3.5, 4.3, 4.211864406779661)"
16-12-2022 14:00:32.265702,"(4.2, 5.3, 5.12)","(3.9, 4.5, 4.3125)","(9.0, 14.0, 13.875)","(3.3, 3.8, 3.701923076923077)","(3.5, 4.3, 4.2064516129032254)"
16-12-2022 14:00:33.236894,"(4.2, 5.3, 5.12)","(3.9, 4.5, 4.3125)","(9.0, 14.0, 13.88)","(3.3, 3.7, 3.6911764705882355)","(3.5, 4.3, 4.222222222222222)"
16-12-2022 14:00:34.239349,"(4.2, 5.3, 5.12)","(3.9, 4.5, 4.3125)","(9.0, 14.0, 13.813559322033898)","(3.3, 3.7, 3.6625)","(3.5, 4.3, 4.21578947368421)"
16-12-2022 14:00:35.189393,"(4.2, 5.3, 5.114285714285714)","(3.9, 4.5, 4.311111111111111)","(9.0, 14.0, 13.785714285714286)","(3.3, 3.7, 3.6500000000000004)","(3.5, 4.3, 4.21578947368421)"
16-12-2022 14:00:36.157819,"(4.2, 5.3, 5.126315789473684)","(3.9, 4.5, 4.345454545454546)","(9.0, 14.0, 9777.088888888888)","(3.3, 3.7, 9998.5)","(3.5, 4.3, 9998.5)"
16-12-2022 14:00:37.147859,"(4.2, 99998, 9998.5)","(3.9, 99998, 9998.5)","(9.0, 99998, 9998.5)","(3.3, 99998, 9998.5)","(3.5, 99998, 9998.5)"
16-12-2022 14:00:38.162781,"(4.2, 99998, 9998.5)","(3.9, 99998, 9998.5)","(9.0, 99998, 9998.5)","(3.3, 99998, 9998.5)","(3.5, 99998, 9998.5)"
16-12-2022 14:00:39.143270,"(4.2, 99998, 9998.5)","(3.9, 99998, 9998.5)","(9.0, 99998, 9998.5)","(3.3, 99998, 9998.5)","(3.5, 99998, 9998.5)"
16-12-2022 14:00:40.180715,"(4.2, 99998, 9998.5)","(3.9, 99998, 9998.5)","(9.0, 99998, 9998.5)","(3.3, 99998, 9998.5)","(3.5, 99998, 9998.5)"
16-12-2022 14:00:41.137223,"(4.2, 99998, 9998.5)","(3.9, 99998, 9998.5)","(9.0, 99998, 9998.5)","(3.3, 99998, 9998.5)","(3.5, 99998, 9998.5)"
16-12-2022 14:00:42.509740,"(4.2, 99998, 9998.5)","(3.9, 99998, 9998.5)","(9.0, 99998, 9998.5)","(3.3, 99998, 9998.5)","(3.5, 99998, 9998.5)"
16-12-2022 14:00:43.694288,"(4.2, 99998, 9998.5)","(3.9, 99998, 9998.5)","(9.0, 99998, 9998.5)","(3.3, 99998, 9998.5)","(3.5, 99998, 9998.5)"
16-12-2022 14:00:44.665817,"(4.2, 99998, 9998.5)","(3.9, 99998, 9998.5)","(9.0, 99998, 9998.5)","(3.3, 99998, 9998.5)","(3.5, 99998, 9998.5)"
16-12-2022 14:00:45.606972,"(4.2, 99998, 9998.5)","(3.9, 99998, 9998.5)","(9.0, 99998, 9998.5)","(3.3, 99998, 9998.5)","(3.5, 99998, 9998.5)"
