,Nixon Bale,Zhenye Bale,Zipping Pip,Love A Collision,Mt View Bee,Under His Spell,Black Power
12-01-2023 15:49:08.962861,"(3.8, 6.8, 4.871428571428571)","(2.9, 4.4, 4.361951219512195)","(5.5, 10.0, 8.114285714285714)","(16.0, 50.0, 25.272727272727273)","(15.0, 32.0, 28.9)","(6.0, 12.5, 11.726923076923077)","(4.2, 8.0, 5.357142857142857)"
12-01-2023 15:49:09.993483,"(3.8, 6.8, 4.871428571428571)","(2.9, 4.4, 4.361951219512195)","(5.5, 10.0, 8.114285714285714)","(16.0, 50.0, 25.272727272727273)","(15.0, 32.0, 28.9)","(6.0, 12.5, 11.726923076923077)","(4.2, 8.0, 5.357142857142857)"
12-01-2023 15:49:11.060533,"(3.8, 6.8, 4.871428571428571)","(2.9, 4.4, 4.361951219512195)","(5.5, 10.0, 8.114285714285714)","(16.0, 50.0, 25.272727272727273)","(15.0, 32.0, 28.9)","(6.0, 12.5, 11.726923076923077)","(4.2, 8.0, 5.357142857142857)"
12-01-2023 15:49:12.232468,"(3.8, 6.8, 4.871428571428571)","(2.9, 4.4, 4.361951219512195)","(5.5, 10.0, 8.114285714285714)","(16.0, 50.0, 25.272727272727273)","(15.0, 32.0, 28.9)","(6.0, 12.5, 11.726923076923077)","(4.2, 8.0, 5.357142857142857)"
12-01-2023 15:49:13.361900,"(3.8, 6.8, 4.871428571428571)","(2.9, 4.4, 4.361951219512195)","(5.5, 10.0, 8.114285714285714)","(16.0, 50.0, 25.272727272727273)","(15.0, 32.0, 28.9)","(6.0, 12.5, 11.726923076923077)","(4.2, 8.0, 5.357142857142857)"
12-01-2023 15:49:14.496630,"(3.8, 6.8, 4.871428571428571)","(2.9, 4.4, 4.361951219512195)","(5.5, 10.0, 8.433333333333334)","(16.0, 50.0, 25.272727272727273)","(15.0, 32.0, 28.9)","(6.0, 12.5, 11.726923076923077)","(4.2, 8.0, 5.357142857142857)"
12-01-2023 15:49:15.515745,"(3.8, 6.8, 4.871428571428571)","(2.9, 4.4, 4.361951219512195)","(5.5, 10.0, 8.433333333333334)","(16.0, 50.0, 25.272727272727273)","(15.0, 32.0, 28.9)","(6.0, 12.5, 11.726923076923077)","(4.2, 8.0, 5.357142857142857)"
12-01-2023 15:49:16.646247,"(3.8, 6.8, 4.871428571428571)","(2.9, 4.4, 4.361951219512195)","(5.5, 10.0, 8.433333333333334)","(16.0, 50.0, 25.272727272727273)","(15.0, 32.0, 28.9)","(6.0, 12.5, 11.726923076923077)","(4.2, 8.0, 5.357142857142857)"
12-01-2023 15:49:17.798117,"(3.8, 6.8, 4.871428571428571)","(2.9, 4.4, 4.361951219512195)","(5.5, 10.0, 8.433333333333334)","(16.0, 50.0, 25.272727272727273)","(15.0, 32.0, 28.9)","(6.0, 12.5, 11.726923076923077)","(4.2, 8.0, 5.357142857142857)"
12-01-2023 15:49:19.016121,"(3.8, 6.8, 4.871428571428571)","(2.9, 4.4, 4.361951219512195)","(5.5, 10.0, 8.433333333333334)","(16.0, 50.0, 25.272727272727273)","(15.0, 32.0, 28.9)","(6.0, 12.5, 11.726923076923077)","(4.2, 8.0, 5.357142857142857)"
