,Fat Boy Mantra,Hooked On Prissy,Levis Beach,Bow Six,Greek Malt,Monkey Paw,Loves To Talk
12-01-2023 13:51:08.308477,"(4.0, 13.0, 11.631578947368421)","(4.0, 4.6, 4.08)","(41.0, 200.0, 106.66666666666667)","(21.0, 38.0, 27.6)","(91.0, 510.0, 360.0)","(1.5, 1.74, 1.665)","(15.0, 32.0, 24.086956521739133)"
12-01-2023 13:51:09.400378,"(4.0, 13.0, 11.631578947368421)","(4.0, 4.6, 4.0375)","(41.0, 200.0, 106.66666666666667)","(21.0, 38.0, 27.6)","(91.0, 510.0, 360.0)","(1.5, 1.74, 1.665)","(15.0, 32.0, 24.086956521739133)"
12-01-2023 13:51:10.706125,"(4.0, 13.0, 11.631578947368421)","(4.0, 4.6, 4.0375)","(41.0, 200.0, 106.66666666666667)","(21.0, 38.0, 27.6)","(91.0, 510.0, 360.0)","(1.5, 1.74, 1.665)","(15.0, 32.0, 23.333333333333332)"
12-01-2023 13:51:11.802822,"(4.0, 13.0, 11.8)","(4.0, 4.6, 4.0375)","(41.0, 200.0, 112.5)","(21.0, 38.0, 27.6)","(91.0, 510.0, 360.0)","(1.5, 1.74, 1.665)","(15.0, 32.0, 23.333333333333332)"
12-01-2023 13:51:13.140499,"(4.0, 13.0, 11.8)","(4.0, 4.6, 4.066666666666666)","(41.0, 200.0, 111.11111111111111)","(21.0, 38.0, 27.6)","(91.0, 510.0, 360.0)","(1.5, 1.74, 1.665)","(15.0, 32.0, 23.333333333333332)"
12-01-2023 13:51:14.323045,"(4.0, 13.0, 11.8)","(4.0, 4.5, 4.066666666666666)","(41.0, 200.0, 111.11111111111111)","(21.0, 38.0, 27.6)","(91.0, 510.0, 360.0)","(1.5, 1.74, 1.665)","(15.0, 32.0, 23.333333333333332)"
12-01-2023 13:51:15.518665,"(4.0, 13.0, 11.8)","(4.0, 4.5, 4.066666666666666)","(41.0, 200.0, 111.11111111111111)","(21.0, 38.0, 29.529411764705884)","(91.0, 510.0, 360.0)","(1.5, 1.74, 1.665)","(15.0, 32.0, 23.75)"
12-01-2023 13:51:16.730755,"(4.0, 13.0, 11.8)","(4.0, 4.5, 4.066666666666666)","(41.0, 200.0, 111.11111111111111)","(21.0, 38.0, 29.529411764705884)","(91.0, 510.0, 350.0)","(1.5, 1.74, 1.665)","(15.0, 32.0, 25.25)"
12-01-2023 13:51:17.932803,"(4.0, 13.0, 11.8)","(4.0, 4.5, 4.0344827586206895)","(41.0, 200.0, 111.11111111111111)","(21.0, 38.0, 29.529411764705884)","(91.0, 510.0, 350.0)","(1.5, 1.74, 1.665)","(15.0, 32.0, 25.25)"
12-01-2023 13:51:19.033444,"(4.0, 13.0, 11.8)","(4.0, 4.4, 4.266666666666667)","(41.0, 200.0, 111.11111111111111)","(21.0, 38.0, 29.529411764705884)","(91.0, 510.0, 350.0)","(1.5, 1.74, 1.665)","(15.0, 32.0, 25.25)"
12-01-2023 13:51:20.054073,"(4.0, 13.0, 11.8)","(4.0, 4.4, 4.266666666666667)","(41.0, 200.0, 111.11111111111111)","(21.0, 38.0, 29.529411764705884)","(91.0, 510.0, 350.0)","(1.5, 1.74, 1.665)","(15.0, 32.0, 25.25)"
12-01-2023 13:51:21.205332,"(4.0, 13.0, 11.8)","(4.0, 4.4, 4.266666666666667)","(41.0, 200.0, 111.11111111111111)","(21.0, 38.0, 29.529411764705884)","(91.0, 510.0, 350.0)","(1.5, 1.74, 1.665)","(15.0, 32.0, 25.25)"
12-01-2023 13:51:22.338354,"(4.0, 13.0, 11.8)","(4.0, 4.4, 4.266666666666667)","(41.0, 200.0, 111.11111111111111)","(21.0, 38.0, 29.529411764705884)","(91.0, 510.0, 350.0)","(1.5, 1.74, 1.665)","(15.0, 32.0, 25.25)"
12-01-2023 13:51:23.411807,"(4.0, 13.0, 11.8)","(4.0, 4.4, 4.266666666666667)","(41.0, 200.0, 111.11111111111111)","(21.0, 38.0, 29.529411764705884)","(91.0, 510.0, 350.0)","(1.5, 1.74, 1.665)","(15.0, 32.0, 25.25)"
12-01-2023 13:51:24.597419,"(4.0, 13.0, 11.8)","(4.0, 4.4, 4.266666666666667)","(41.0, 200.0, 111.11111111111111)","(21.0, 38.0, 29.529411764705884)","(91.0, 510.0, 350.0)","(1.5, 1.74, 1.7209859154929577)","(15.0, 32.0, 25.25)"
12-01-2023 13:51:25.652987,"(4.0, 13.0, 11.8)","(4.0, 4.4, 4.266666666666667)","(41.0, 200.0, 106.66666666666667)","(21.0, 38.0, 29.529411764705884)","(91.0, 510.0, 350.0)","(1.5, 1.74, 1.7081818181818182)","(15.0, 32.0, 25.25)"
12-01-2023 13:51:26.754402,"(4.0, 13.0, 11.8)","(4.0, 4.4, 4.266666666666667)","(41.0, 200.0, 106.66666666666667)","(21.0, 38.0, 29.529411764705884)","(91.0, 510.0, 350.0)","(1.5, 1.73, 1.7081818181818182)","(15.0, 32.0, 25.25)"
12-01-2023 13:51:27.925470,"(4.0, 13.0, 11.571428571428571)","(4.0, 4.4, 4.266666666666667)","(41.0, 200.0, 106.66666666666667)","(21.0, 38.0, 29.529411764705884)","(91.0, 510.0, 350.0)","(1.5, 1.73, 1.7081818181818182)","(15.0, 32.0, 25.25)"
12-01-2023 13:51:29.029013,"(4.0, 13.0, 11.571428571428571)","(4.0, 4.4, 4.266666666666667)","(41.0, 200.0, 108.125)","(21.0, 38.0, 29.529411764705884)","(91.0, 510.0, 444.0)","(1.5, 1.73, 1.7081818181818182)","(15.0, 32.0, 25.25)"
12-01-2023 13:51:30.060893,"(4.0, 13.0, 11.571428571428571)","(4.0, 4.4, 4.266666666666667)","(41.0, 200.0, 108.125)","(21.0, 38.0, 29.529411764705884)","(91.0, 510.0, 350.0)","(1.5, 1.73, 1.7103076923076923)","(15.0, 32.0, 25.25)"
12-01-2023 13:51:31.153871,"(4.0, 11.5, 11.428571428571429)","(4.0, 4.4, 4.266666666666667)","(41.0, 200.0, 106.66666666666667)","(21.0, 38.0, 29.529411764705884)","(91.0, 510.0, 350.0)","(1.5, 1.72, 1.7103076923076923)","(15.0, 32.0, 25.25)"
12-01-2023 13:51:32.165990,"(4.0, 11.5, 11.428571428571429)","(4.0, 4.4, 4.266666666666667)","(41.0, 200.0, 106.66666666666667)","(21.0, 38.0, 29.529411764705884)","(91.0, 510.0, 444.0)","(1.5, 1.72, 1.7103076923076923)","(15.0, 32.0, 25.25)"
12-01-2023 13:51:33.205158,"(4.0, 11.5, 11.428571428571429)","(4.0, 4.4, 4.266666666666667)","(41.0, 200.0, 106.66666666666667)","(21.0, 38.0, 29.529411764705884)","(91.0, 510.0, 315.0)","(1.5, 1.72, 1.7103076923076923)","(15.0, 32.0, 25.25)"
12-01-2023 13:51:34.250113,"(4.0, 11.5, 11.428571428571429)","(4.0, 4.4, 4.266666666666667)","(41.0, 200.0, 106.66666666666667)","(21.0, 38.0, 29.529411764705884)","(91.0, 440.0, 310.0)","(1.5, 1.72, 1.7103076923076923)","(15.0, 32.0, 25.25)"
12-01-2023 13:51:35.317243,"(4.0, 11.5, 11.428571428571429)","(4.0, 4.4, 4.266666666666667)","(41.0, 200.0, 106.66666666666667)","(21.0, 38.0, 29.529411764705884)","(91.0, 430.0, 320.0)","(1.5, 1.72, 1.7103076923076923)","(15.0, 32.0, 25.25)"
12-01-2023 13:51:36.359997,"(4.0, 11.5, 11.428571428571429)","(4.0, 4.4, 4.266666666666667)","(41.0, 200.0, 106.66666666666667)","(21.0, 38.0, 29.529411764705884)","(91.0, 430.0, 320.0)","(1.5, 1.72, 1.7103076923076923)","(15.0, 32.0, 25.25)"
12-01-2023 13:51:37.490378,"(4.0, 11.5, 11.428571428571429)","(4.0, 4.4, 4.266666666666667)","(41.0, 200.0, 106.66666666666667)","(21.0, 38.0, 29.529411764705884)","(91.0, 430.0, 320.0)","(1.5, 1.72, 1.7103076923076923)","(15.0, 32.0, 25.25)"
