,Ravioli,Awesome Fred,Tralee Doll,Bundy Rose,Shimmy Debacle,Little Olivia,Full Of Zip,Hidden Houdini
04-01-2023 11:21:43.892121,"(1.95, 3.05, 2.0205555555555557)","(41.0, 320.0, 178.0)","(3.8, 7.4, 5.296296296296297)","(31.0, 85.0, 52.22222222222222)","(101.0, 650.0, 372.5)","(4.4, 7.6, 6.293877551020408)","(14.0, 48.0, 34.041666666666664)","(6.0, 11.0, 9.28125)"
04-01-2023 11:21:44.918270,"(1.95, 3.05, 2.0205555555555557)","(41.0, 320.0, 178.0)","(3.8, 7.4, 5.296296296296297)","(31.0, 85.0, 52.22222222222222)","(101.0, 650.0, 372.5)","(4.4, 7.6, 6.293877551020408)","(14.0, 48.0, 34.041666666666664)","(6.0, 11.0, 9.28125)"
04-01-2023 11:21:46.006775,"(1.95, 3.05, 2.0205555555555557)","(41.0, 320.0, 178.0)","(3.8, 7.4, 5.296296296296297)","(31.0, 85.0, 52.22222222222222)","(101.0, 650.0, 372.5)","(4.4, 7.6, 6.293877551020408)","(14.0, 48.0, 34.041666666666664)","(6.0, 11.0, 9.28125)"
04-01-2023 11:21:47.087311,"(1.95, 3.05, 2.0205555555555557)","(41.0, 320.0, 178.0)","(3.8, 7.4, 5.296296296296297)","(31.0, 85.0, 52.22222222222222)","(101.0, 650.0, 372.5)","(4.4, 7.6, 6.293877551020408)","(14.0, 48.0, 34.041666666666664)","(6.0, 11.0, 9.28125)"
04-01-2023 11:21:48.161976,"(1.95, 3.05, 2.0205555555555557)","(41.0, 320.0, 178.0)","(3.8, 7.4, 5.296296296296297)","(31.0, 85.0, 52.22222222222222)","(101.0, 650.0, 372.5)","(4.4, 7.6, 6.293877551020408)","(14.0, 48.0, 34.041666666666664)","(6.0, 11.0, 9.28125)"
04-01-2023 11:21:49.168762,"(1.95, 3.05, 2.0205555555555557)","(41.0, 320.0, 178.0)","(3.8, 7.4, 5.296296296296297)","(31.0, 85.0, 52.22222222222222)","(101.0, 650.0, 372.5)","(4.4, 7.6, 6.293877551020408)","(14.0, 48.0, 34.041666666666664)","(6.0, 11.0, 9.28125)"
04-01-2023 11:21:50.149877,"(1.95, 3.05, 2.0205555555555557)","(41.0, 320.0, 178.0)","(3.8, 7.4, 5.296296296296297)","(31.0, 85.0, 52.22222222222222)","(101.0, 650.0, 372.5)","(4.4, 7.6, 6.293877551020408)","(14.0, 48.0, 34.041666666666664)","(6.0, 11.0, 9.28125)"
04-01-2023 11:21:51.121279,"(1.95, 3.05, 2.0205555555555557)","(41.0, 320.0, 178.0)","(3.8, 7.4, 5.296296296296297)","(31.0, 85.0, 52.22222222222222)","(101.0, 650.0, 372.5)","(4.4, 7.6, 6.293877551020408)","(14.0, 48.0, 34.041666666666664)","(6.0, 11.0, 9.28125)"
04-01-2023 11:21:52.066872,"(1.95, 3.05, 2.0205555555555557)","(41.0, 320.0, 178.0)","(3.8, 7.4, 5.296296296296297)","(31.0, 85.0, 52.22222222222222)","(101.0, 650.0, 372.5)","(4.4, 7.6, 6.293877551020408)","(14.0, 48.0, 34.041666666666664)","(6.0, 11.0, 9.28125)"
04-01-2023 11:21:53.044801,"(1.95, 3.05, 2.0205555555555557)","(41.0, 320.0, 178.0)","(3.8, 7.4, 5.296296296296297)","(31.0, 85.0, 52.22222222222222)","(101.0, 650.0, 372.5)","(4.4, 7.6, 6.293877551020408)","(14.0, 48.0, 34.041666666666664)","(6.0, 11.0, 9.28125)"
