,Laroza Bale,Blackpool Ryan,Coach Fagan,No Tax,Crymelon Comet,Spring Tune,Bahrose,Parlo Bale
07-01-2023 18:43:37.508336,"(3.7, 5.7, 5.43448275862069)","(2.6, 4.1, 3.5719999999999996)","(12.0, 36.0, 31.730769230769234)","(11.0, 32.0, 20.423076923076923)","(6.5, 13.0, 9.625)","(5.0, 8.6, 7.64)","(9.0, 18.0, 15.133333333333333)","(31.0, 290.0, 145.55555555555554)"
07-01-2023 18:43:38.629509,"(3.7, 5.7, 5.43448275862069)","(2.6, 4.1, 3.5719999999999996)","(12.0, 36.0, 24.0)","(11.0, 32.0, 20.423076923076923)","(6.5, 13.0, 9.625)","(5.0, 8.6, 7.64)","(9.0, 18.0, 16.08888888888889)","(31.0, 290.0, 151.33333333333331)"
07-01-2023 18:43:39.793962,"(3.7, 5.7, 5.43448275862069)","(2.6, 4.1, 3.5719999999999996)","(12.0, 36.0, 24.0)","(11.0, 32.0, 17.3)","(6.5, 13.0, 9.625)","(5.0, 8.6, 7.64)","(9.0, 18.0, 16.08888888888889)","(31.0, 290.0, 151.33333333333331)"
07-01-2023 18:43:40.852433,"(3.7, 5.7, 5.43448275862069)","(2.6, 4.1, 3.5719999999999996)","(12.0, 36.0, 24.0)","(11.0, 32.0, 17.3)","(6.5, 13.0, 9.625)","(5.0, 8.6, 7.64)","(9.0, 18.0, 16.08888888888889)","(31.0, 290.0, 151.33333333333331)"
07-01-2023 18:43:41.903642,"(3.7, 5.7, 5.43448275862069)","(2.6, 3.45, 2.898235294117647)","(12.0, 36.0, 24.0)","(11.0, 32.0, 17.3)","(6.5, 13.0, 9.625)","(5.0, 8.6, 7.64)","(9.0, 18.0, 16.08888888888889)","(31.0, 290.0, 151.33333333333331)"
07-01-2023 18:43:43.028872,"(3.7, 5.7, 5.43448275862069)","(2.6, 3.45, 2.898235294117647)","(12.0, 36.0, 24.0)","(11.0, 32.0, 20.153846153846153)","(6.5, 13.0, 9.625)","(5.0, 8.6, 7.64)","(9.0, 18.0, 16.08888888888889)","(31.0, 290.0, 102.36363636363636)"
07-01-2023 18:43:44.144007,"(3.7, 5.7, 5.43448275862069)","(2.6, 3.45, 2.9478260869565216)","(12.0, 36.0, 25.5)","(11.0, 32.0, 20.285714285714285)","(6.5, 13.0, 9.55)","(5.0, 8.6, 7.760000000000001)","(9.0, 18.0, 15.133333333333333)","(31.0, 290.0, 116.66666666666667)"
07-01-2023 18:43:45.224360,"(3.7, 6.0, 5.48)","(2.6, 3.3, 2.9478260869565216)","(12.0, 28.0, 25.5)","(11.0, 22.0, 20.285714285714285)","(6.5, 11.5, 9.55)","(5.0, 8.8, 7.760000000000001)","(9.0, 18.0, 15.133333333333333)","(31.0, 290.0, 116.66666666666667)"
07-01-2023 18:43:46.267537,"(3.7, 6.0, 5.48)","(2.6, 3.3, 2.9478260869565216)","(12.0, 28.0, 25.5)","(11.0, 22.0, 20.285714285714285)","(6.5, 11.5, 9.55)","(5.0, 8.8, 7.760000000000001)","(9.0, 18.0, 15.133333333333333)","(31.0, 290.0, 116.66666666666667)"
07-01-2023 18:43:47.402428,"(3.7, 6.0, 5.48)","(2.6, 3.3, 3.1448275862068966)","(12.0, 28.0, 25.5)","(11.0, 22.0, 20.285714285714285)","(6.5, 11.5, 9.55)","(5.0, 8.8, 7.760000000000001)","(9.0, 18.0, 15.133333333333333)","(31.0, 290.0, 116.66666666666667)"
